,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,GSM,Ferroglobe PLC,2020-11-24T00:00:00.000Z,TNS,,-0.14,,EST,0,EQUITY,2020-11-24
5,GSM,Ferroglobe PLC,2020-08-31T00:00:00.000Z,TNS,,-0.07,,EST,0,EQUITY,2020-08-31
6,GSM,Ferroglobe PLC,2020-06-08T00:00:00.000Z,TNS,,-0.22,,EST,0,EQUITY,2020-06-08
7,GSM,Ferroglobe PLC,2020-03-02T00:00:00.000Z,TNS,-0.22,-0.32,-42.22,EST,0,EQUITY,2020-03-02
8,GSM,Ferroglobe PLC,2019-12-02T00:00:00.000Z,TNS,-0.18,-0.1,43.5,EST,0,EQUITY,2019-12-02
9,GSM,Ferroglobe PLC,2019-09-03T00:00:00.000Z,TNS,-0.11,-0.13,-13.04,EST,0,EQUITY,2019-09-03
10,GSM,Ferroglobe PLC,2019-06-03T00:00:00.000Z,TNS,-0.11,-0.13,-15.04,EST,0,EQUITY,2019-06-03
11,GSM,Ferroglobe PLC,2019-02-25T00:00:00.000Z,TNS,-0.05,-0.05,-8.7,EST,0,EQUITY,2019-02-25
12,GSM,Ferroglobe PLC,2018-11-26T00:00:00.000Z,TNS,0.15,0.0,-100.0,EST,0,EQUITY,2018-11-26
13,GSM,Ferroglobe PLC,2018-08-21T00:00:00.000Z,TNS,0.19,0.14,-27.08,EST,0,EQUITY,2018-08-21
14,GSM,Ferroglobe PLC,2018-05-21T00:00:00.000Z,TNS,0.16,0.19,15.85,EST,0,EQUITY,2018-05-21
15,GSM,Ferroglobe PLC,2018-02-26T00:00:00.000Z,TNS,0.07,0.06,-11.76,EST,0,EQUITY,2018-02-26
16,GSM,Ferroglobe PLC,2017-11-27T00:00:00.000Z,TNS,0.03,0.05,78.57,EST,0,EQUITY,2017-11-27
17,GSM,Ferroglobe PLC,2017-08-29T00:00:00.000Z,TNS,0.01,0.05,257.14,EST,0,EQUITY,2017-08-29
18,GSM,Ferroglobe PLC,2017-05-21T00:00:00.000Z,TNS,-0.09,-0.03,68.09,EST,0,EQUITY,2017-05-21
19,GSM,Ferroglobe PLC,2017-03-16T00:00:00.000Z,TNS,-0.17,-0.09,45.78,EST,0,EQUITY,2017-03-16
20,GSM,Ferroglobe PLC,2016-11-13T00:00:00.000Z,TNS,-0.01,-0.09,-800.0,EST,0,EQUITY,2016-11-13
21,GSM,Ferroglobe PLC,2016-08-26T00:00:00.000Z,TNS,0.02,-0.01,-166.67,EST,0,EQUITY,2016-08-26
24,GSM,Ferroglobe PLC,2015-11-05T00:00:00.000Z,TNS,0.12,0.11,-8.33,EST,0,EQUITY,2015-11-05
25,GSM,Ferroglobe PLC,2015-08-25T00:00:00.000Z,TNS,0.18,0.16,-9.6,EST,0,EQUITY,2015-08-25
26,GSM,Ferroglobe PLC,2015-05-06T00:00:00.000Z,TNS,0.24,0.2,-17.36,EST,0,EQUITY,2015-05-06
27,GSM,Ferroglobe PLC,2015-02-09T00:00:00.000Z,TNS,0.2,0.21,5.53,EST,0,EQUITY,2015-02-09
28,GSM,Ferroglobe PLC,2014-11-05T00:00:00.000Z,TNS,0.18,0.19,5.56,EST,0,EQUITY,2014-11-05
29,GSM,Ferroglobe PLC,2014-08-26T00:00:00.000Z,TNS,0.15,0.18,18.42,EST,0,EQUITY,2014-08-26
30,GSM,Ferroglobe PLC,2014-05-09T00:00:00.000Z,TNS,0.14,0.14,-2.32,EST,0,EQUITY,2014-05-09
31,GSM,Ferroglobe PLC,2014-02-07T00:00:00.000Z,TNS,0.08,0.13,59.65,EST,0,EQUITY,2014-02-07
32,GSM,Ferroglobe PLC,2013-11-05T00:00:00.000Z,TNS,0.06,0.08,36.59,EST,0,EQUITY,2013-11-05
33,GSM,Ferroglobe PLC,2013-08-20T00:00:00.000Z,TNS,0.03,0.09,186.35,EST,0,EQUITY,2013-08-20
34,GSM,Ferroglobe PLC,2013-05-06T00:00:00.000Z,TNS,0.13,0.0,-100.0,EST,0,EQUITY,2013-05-06
35,GSM,Ferroglobe PLC,2013-02-08T00:00:00.000Z,TNS,0.14,0.15,8.11,EST,0,EQUITY,2013-02-08
36,GSM,Ferroglobe PLC,2012-11-06T00:00:00.000Z,TNS,0.16,0.16,-2.61,EST,0,EQUITY,2012-11-06
37,GSM,Ferroglobe PLC,2012-08-22T00:00:00.000Z,TNS,0.15,0.17,10.87,EST,0,EQUITY,2012-08-22
38,GSM,Ferroglobe PLC,2012-05-07T00:00:00.000Z,TNS,0.17,0.16,-8.2,EST,0,EQUITY,2012-05-07
39,GSM,Ferroglobe PLC,2012-02-06T00:00:00.000Z,TNS,0.21,0.22,5.48,EST,0,EQUITY,2012-02-06
40,GSM,Ferroglobe PLC,2011-11-07T00:00:00.000Z,TNS,0.25,0.28,12.0,EST,0,EQUITY,2011-11-07
41,GSM,Ferroglobe PLC,2011-08-23T00:00:00.000Z,TNS,0.31,0.28,-8.94,EST,0,EQUITY,2011-08-23
42,GSM,Ferroglobe PLC,2011-05-09T00:00:00.000Z,TNS,0.27,0.31,16.25,EST,0,EQUITY,2011-05-09
43,GSM,Ferroglobe PLC,2011-02-08T00:00:00.000Z,TNS,0.11,0.13,20.0,EST,0,EQUITY,2011-02-08
44,GSM,Ferroglobe PLC,2010-11-10T00:00:00.000Z,TNS,0.07,0.08,23.08,EST,0,EQUITY,2010-11-10
45,GSM,Ferroglobe PLC,2010-09-16T00:00:00.000Z,TNS,0.04,0.11,150.0,EST,0,EQUITY,2010-09-16
