,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,GTE,Gran Tierra Energy Inc.,2021-11-01T00:00:00.000Z,TNS,0.02,0.1,400.0,EST,0,EQUITY,2021-11-01
2,GTE,Gran Tierra Energy Inc.,2021-08-03T00:00:00.000Z,TNS,-0.07,-0.05,28.57,EST,0,EQUITY,2021-08-03
4,GTE,Gran Tierra Energy Inc.,2021-05-04T00:00:00.000Z,TNS,-0.02,-0.1,-400.0,EST,0,EQUITY,2021-05-04
6,GTE,Gran Tierra Energy Inc.,2021-02-24T00:00:00.000Z,TNS,-0.02,0.03,250.0,EST,0,EQUITY,2021-02-24
7,GTE,Gran Tierra Energy Inc.,2020-11-02T00:00:00.000Z,TNS,-0.07,-0.01,85.71,EST,0,EQUITY,2020-11-02
8,GTE,Gran Tierra Energy Inc.,2020-08-04T00:00:00.000Z,TNS,-0.06,0.08,233.33,EST,0,EQUITY,2020-08-04
9,GTE,Gran Tierra Energy Inc.,2020-05-11T00:00:00.000Z,TNS,-0.01,-0.4,-3900.0,EST,0,EQUITY,2020-05-11
11,GTE,Gran Tierra Energy Inc.,2020-02-26T00:00:00.000Z,TNS,0.04,0.07,66.67,EST,0,EQUITY,2020-02-26
13,GTE,Gran Tierra Energy Inc.,2019-11-05T00:00:00.000Z,TNS,0.03,-0.08,-350.0,EST,0,EQUITY,2019-11-05
15,GTE,Gran Tierra Energy Inc.,2019-08-07T00:00:00.000Z,TNS,0.07,0.1,42.86,EST,0,EQUITY,2019-08-07
16,GTE,Gran Tierra Energy Inc.,2019-05-07T00:00:00.000Z,TNS,0.12,0.01,-91.67,EST,0,EQUITY,2019-05-07
18,GTE,Gran Tierra Energy Inc.,2019-02-27T00:00:00.000Z,TNS,0.08,-0.03,-136.14,EST,0,EQUITY,2019-02-27
19,GTE,Gran Tierra Energy Inc.,2018-11-01T00:00:00.000Z,TNS,0.11,0.18,68.22,EST,0,EQUITY,2018-11-01
20,GTE,Gran Tierra Energy Inc.,2018-08-02T00:00:00.000Z,TNS,0.09,0.05,-44.44,EST,0,EQUITY,2018-08-02
21,GTE,Gran Tierra Energy Inc.,2018-05-01T00:00:00.000Z,TNS,0.09,0.05,-42.53,EST,0,EQUITY,2018-05-01
22,GTE,Gran Tierra Energy Inc.,2018-02-27T00:00:00.000Z,TNS,0.06,-0.01,-118.18,EST,0,EQUITY,2018-02-27
23,GTE,Gran Tierra Energy Inc.,2017-11-02T00:00:00.000Z,TNS,0.03,0.01,-62.96,EST,0,EQUITY,2017-11-02
24,GTE,Gran Tierra Energy Inc.,2017-08-03T00:00:00.000Z,TNS,0.03,0.01,-68.75,EST,0,EQUITY,2017-08-03
25,GTE,Gran Tierra Energy Inc.,2017-05-03T00:00:00.000Z,TNS,0.03,0.03,-11.76,EST,0,EQUITY,2017-05-03
26,GTE,Gran Tierra Energy Inc.,2017-03-01T00:00:00.000Z,TNS,0.0,-0.36,-9100.0,EST,0,EQUITY,2017-03-01
27,GTE,Gran Tierra Energy Inc.,2016-11-07T00:00:00.000Z,TNS,-0.02,-0.71,-3450.0,EST,0,EQUITY,2016-11-07
28,GTE,Gran Tierra Energy Inc.,2016-08-08T00:00:00.000Z,TNS,-0.04,-0.21,-438.46,EST,0,EQUITY,2016-08-08
29,GTE,Gran Tierra Energy Inc.,2016-05-04T00:00:00.000Z,TNS,-0.13,-0.15,-11.11,EST,0,EQUITY,2016-05-04
30,GTE,Gran Tierra Energy Inc.,2016-02-29T00:00:00.000Z,TNS,-0.04,0.09,343.24,EST,0,EQUITY,2016-02-29
31,GTE,Gran Tierra Energy Inc.,2015-11-04T00:00:00.000Z,TNS,-0.05,0.16,407.69,EST,0,EQUITY,2015-11-04
32,GTE,Gran Tierra Energy Inc.,2015-08-05T00:00:00.000Z,TNS,0.0,-0.02,-1900.0,EST,0,EQUITY,2015-08-05
33,GTE,Gran Tierra Energy Inc.,2015-05-06T00:00:00.000Z,TNS,-0.03,-0.13,-364.29,EST,0,EQUITY,2015-05-06
34,GTE,Gran Tierra Energy Inc.,2015-03-01T00:00:00.000Z,TNS,0.04,-0.94,-2286.05,EST,0,EQUITY,2015-03-01
35,GTE,Gran Tierra Energy Inc.,2014-11-05T00:00:00.000Z,TNS,0.14,0.15,8.7,EST,0,EQUITY,2014-11-05
36,GTE,Gran Tierra Energy Inc.,2014-08-06T00:00:00.000Z,TNS,0.14,0.11,-22.43,EST,0,EQUITY,2014-08-06
37,GTE,Gran Tierra Energy Inc.,2014-05-07T00:00:00.000Z,TNS,0.14,0.16,17.9,EST,0,EQUITY,2014-05-07
38,GTE,Gran Tierra Energy Inc.,2014-02-26T00:00:00.000Z,TNS,0.17,-0.04,-123.53,EST,0,EQUITY,2014-02-26
39,GTE,Gran Tierra Energy Inc.,2013-11-12T00:00:00.000Z,TNS,0.19,0.12,-35.83,EST,0,EQUITY,2013-11-12
40,GTE,Gran Tierra Energy Inc.,2013-08-07T00:00:00.000Z,TNS,0.14,0.17,18.67,EST,0,EQUITY,2013-08-07
41,GTE,Gran Tierra Energy Inc.,2013-05-06T00:00:00.000Z,TNS,0.15,0.2,29.45,EST,0,EQUITY,2013-05-06
42,GTE,Gran Tierra Energy Inc.,2013-02-26T00:00:00.000Z,TNS,0.13,0.15,18.58,EST,0,EQUITY,2013-02-26
43,GTE,Gran Tierra Energy Inc.,2012-11-07T00:00:00.000Z,TNS,0.11,0.16,44.37,EST,0,EQUITY,2012-11-07
44,GTE,Gran Tierra Energy Inc.,2012-08-07T00:00:00.000Z,TNS,0.09,0.05,-41.75,EST,0,EQUITY,2012-08-07
45,GTE,Gran Tierra Energy Inc.,2012-05-07T00:00:00.000Z,TNS,0.14,0.0,-100.0,EST,0,EQUITY,2012-05-07
46,GTE,Gran Tierra Energy Inc.,2012-02-27T00:00:00.000Z,TNS,0.12,0.11,-7.96,EST,0,EQUITY,2012-02-27
47,GTE,Gran Tierra Energy Inc.,2011-11-08T00:00:00.000Z,TNS,0.11,0.17,60.05,EST,0,EQUITY,2011-11-08
48,GTE,Gran Tierra Energy Inc.,2011-11-07T00:00:00.000Z,TNS,0.12,0.17,47.02,EST,0,EQUITY,2011-11-07
49,GTE,Gran Tierra Energy Inc.,2011-08-08T00:00:00.000Z,TNS,0.13,0.11,-12.15,EST,0,EQUITY,2011-08-08
50,GTE,Gran Tierra Energy Inc.,2011-05-10T00:00:00.000Z,TNS,0.09,0.06,-36.79,EST,0,EQUITY,2011-05-10
51,GTE,Gran Tierra Energy Inc.,2011-02-24T00:00:00.000Z,TNS,0.09,0.04,-55.39,EST,0,EQUITY,2011-02-24
52,GTE,Gran Tierra Energy Inc.,2010-11-04T00:00:00.000Z,TNS,0.08,-0.01,-111.89,EST,0,EQUITY,2010-11-04
53,GTE,Gran Tierra Energy Inc.,2010-08-05T00:00:00.000Z,TNS,0.07,0.07,-5.57,EST,0,EQUITY,2010-08-05
54,GTE,Gran Tierra Energy Inc.,2010-05-10T00:00:00.000Z,TNS,0.05,0.04,-20.0,EST,0,EQUITY,2010-05-10
