,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,GTLS,Chart Industries Inc,2021-10-21T07:15:00.000Z,TAS,0.84,0.55,-34.52,EST,-18000000,EQUITY,2021-10-21
4,GTLS,"Chart Industries, Inc.",2021-07-22T00:00:00.000Z,TNS,0.79,0.8,0.76,EST,0,EQUITY,2021-07-22
5,GTLS,"Chart Industries, Inc.",2021-04-22T00:00:00.000Z,TNS,0.69,0.74,6.94,EST,0,EQUITY,2021-04-22
6,GTLS,"Chart Industries, Inc.",2021-02-18T00:00:00.000Z,TNS,0.77,1.27,64.72,EST,0,EQUITY,2021-02-18
7,GTLS,"Chart Industries, Inc.",2020-10-22T00:00:00.000Z,TNS,0.61,0.63,2.77,EST,0,EQUITY,2020-10-22
8,GTLS,"Chart Industries, Inc.",2020-07-23T00:00:00.000Z,TNS,0.39,0.63,59.9,EST,0,EQUITY,2020-07-23
9,GTLS,"Chart Industries, Inc.",2020-04-23T00:00:00.000Z,TNS,0.51,0.57,11.76,EST,0,EQUITY,2020-04-23
10,GTLS,"Chart Industries, Inc.",2020-02-13T00:00:00.000Z,TNS,0.9,0.72,-20.27,EST,0,EQUITY,2020-02-13
11,GTLS,"Chart Industries, Inc.",2019-10-17T00:00:00.000Z,TNS,0.77,0.77,0.26,EST,0,EQUITY,2019-10-17
12,GTLS,"Chart Industries, Inc.",2019-07-18T00:00:00.000Z,TNS,0.6,0.68,13.33,EST,0,EQUITY,2019-07-18
13,GTLS,"Chart Industries, Inc.",2019-04-18T00:00:00.000Z,TNS,0.44,0.39,-11.56,EST,0,EQUITY,2019-04-18
14,GTLS,"Chart Industries, Inc.",2019-02-14T00:00:00.000Z,TNS,0.51,0.61,19.37,EST,0,EQUITY,2019-02-14
15,GTLS,"Chart Industries, Inc.",2018-10-18T00:00:00.000Z,TNS,0.5,0.74,48.3,EST,0,EQUITY,2018-10-18
16,GTLS,"Chart Industries, Inc.",2018-07-19T00:00:00.000Z,TNS,0.44,0.55,24.43,EST,0,EQUITY,2018-07-19
