,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,HAE,Haemonetics Corp,2021-11-09T06:00:00.000Z,TAS,0.61,0.6,-1.64,EST,-18000000,EQUITY,2021-11-09
4,HAE,Haemonetics Corporation,2021-08-11T00:00:00.000Z,TNS,0.45,0.5,11.11,EST,0,EQUITY,2021-08-11
5,HAE,Haemonetics Corporation,2021-05-13T00:00:00.000Z,TNS,0.67,0.46,-31.55,EST,0,EQUITY,2021-05-13
6,HAE,Haemonetics Corporation,2021-02-02T00:00:00.000Z,TNS,0.65,0.81,23.85,EST,0,EQUITY,2021-02-02
7,HAE,Haemonetics Corporation,2020-11-04T00:00:00.000Z,TNS,0.51,0.62,22.53,EST,0,EQUITY,2020-11-04
8,HAE,Haemonetics Corporation,2020-08-04T00:00:00.000Z,TNS,0.41,0.46,11.11,EST,0,EQUITY,2020-08-04
9,HAE,Haemonetics Corporation,2020-05-05T00:00:00.000Z,TNS,0.73,0.69,-5.48,EST,0,EQUITY,2020-05-05
10,HAE,Haemonetics Corporation,2020-02-04T00:00:00.000Z,TNS,0.76,0.94,24.01,EST,0,EQUITY,2020-02-04
11,HAE,Haemonetics Corporation,2019-11-01T00:00:00.000Z,TNS,0.7,0.87,25.18,EST,0,EQUITY,2019-11-01
12,HAE,Haemonetics Corporation,2019-08-06T00:00:00.000Z,TNS,0.63,0.81,27.76,EST,0,EQUITY,2019-08-06
13,HAE,Haemonetics Corporation,2019-05-07T00:00:00.000Z,TNS,0.55,0.61,10.51,EST,0,EQUITY,2019-05-07
14,HAE,Haemonetics Corporation,2019-02-05T00:00:00.000Z,TNS,0.59,0.63,6.6,EST,0,EQUITY,2019-02-05
15,HAE,Haemonetics Corporation,2018-11-06T00:00:00.000Z,TNS,0.54,0.56,3.51,EST,0,EQUITY,2018-11-06
16,HAE,Haemonetics Corporation,2018-08-07T00:00:00.000Z,TNS,0.42,0.59,42.17,EST,0,EQUITY,2018-08-07
17,HAE,Haemonetics Corporation,2018-05-08T00:00:00.000Z,TNS,0.42,0.43,1.42,EST,0,EQUITY,2018-05-08
18,HAE,Haemonetics Corporation,2018-02-06T00:00:00.000Z,TNS,0.44,0.62,42.2,EST,0,EQUITY,2018-02-06
19,HAE,Haemonetics Corporation,2017-11-07T00:00:00.000Z,TNS,0.41,0.48,17.36,EST,0,EQUITY,2017-11-07
20,HAE,Haemonetics Corporation,2017-08-07T00:00:00.000Z,TNS,0.31,0.33,5.1,EST,0,EQUITY,2017-08-07
21,HAE,Haemonetics Corporation,2017-05-08T00:00:00.000Z,TNS,0.38,0.39,3.72,EST,0,EQUITY,2017-05-08
22,HAE,Haemonetics Corporation,2017-02-06T00:00:00.000Z,TNS,0.41,0.43,5.91,EST,0,EQUITY,2017-02-06
23,HAE,Haemonetics Corporation,2016-11-07T00:00:00.000Z,TNS,0.35,0.46,31.05,EST,0,EQUITY,2016-11-07
24,HAE,Haemonetics Corporation,2016-08-01T00:00:00.000Z,TNS,0.28,0.25,-11.97,EST,0,EQUITY,2016-08-01
25,HAE,Haemonetics Corporation,2016-05-02T00:00:00.000Z,TNS,0.46,0.37,-19.57,EST,0,EQUITY,2016-05-02
26,HAE,Haemonetics Corporation,2016-02-01T00:00:00.000Z,TNS,0.46,0.48,5.26,EST,0,EQUITY,2016-02-01
27,HAE,Haemonetics Corporation,2015-11-04T00:00:00.000Z,TNS,0.39,0.44,12.82,EST,0,EQUITY,2015-11-04
28,HAE,Haemonetics Corporation,2015-07-27T00:00:00.000Z,TNS,0.32,0.35,10.06,EST,0,EQUITY,2015-07-27
29,HAE,Haemonetics Corporation,2015-04-27T00:00:00.000Z,TNS,0.52,0.47,-9.79,EST,0,EQUITY,2015-04-27
30,HAE,Haemonetics Corporation,2015-01-29T00:00:00.000Z,TNS,0.51,0.53,4.54,EST,0,EQUITY,2015-01-29
31,HAE,Haemonetics Corporation,2014-11-03T00:00:00.000Z,TNS,0.46,0.47,2.84,EST,0,EQUITY,2014-11-03
32,HAE,Haemonetics Corporation,2014-07-30T00:00:00.000Z,TNS,0.36,0.38,5.29,EST,0,EQUITY,2014-07-30
33,HAE,Haemonetics Corporation,2014-04-28T00:00:00.000Z,TNS,0.58,0.46,-20.94,EST,0,EQUITY,2014-04-28
34,HAE,Haemonetics Corporation,2014-01-27T00:00:00.000Z,TNS,0.6,0.61,1.16,EST,0,EQUITY,2014-01-27
35,HAE,Haemonetics Corporation,2013-10-28T00:00:00.000Z,TNS,0.58,0.66,14.45,EST,0,EQUITY,2013-10-28
36,HAE,Haemonetics Corporation,2013-07-29T00:00:00.000Z,TNS,0.47,0.46,-3.04,EST,0,EQUITY,2013-07-29
37,HAE,Haemonetics Corporation,2013-05-01T00:00:00.000Z,TNS,0.46,0.48,4.35,EST,0,EQUITY,2013-05-01
38,HAE,Haemonetics Corporation,2013-01-30T00:00:00.000Z,TNS,0.47,0.5,6.06,EST,0,EQUITY,2013-01-30
39,HAE,Haemonetics Corporation,2012-10-29T00:00:00.000Z,TNS,0.38,0.45,17.26,EST,0,EQUITY,2012-10-29
40,HAE,Haemonetics Corporation,2012-08-01T00:00:00.000Z,TNS,0.36,0.28,-22.72,EST,0,EQUITY,2012-08-01
41,HAE,Haemonetics Corporation,2012-04-30T00:00:00.000Z,TNS,0.42,0.4,-4.11,EST,0,EQUITY,2012-04-30
42,HAE,Haemonetics Corporation,2012-01-30T00:00:00.000Z,TNS,0.4,0.43,7.31,EST,0,EQUITY,2012-01-30
43,HAE,Haemonetics Corporation,2011-10-31T00:00:00.000Z,TNS,0.38,0.36,-4.64,EST,0,EQUITY,2011-10-31
44,HAE,Haemonetics Corporation,2011-08-01T00:00:00.000Z,TNS,0.39,0.33,-16.53,EST,0,EQUITY,2011-08-01
45,HAE,Haemonetics Corporation,2011-05-02T00:00:00.000Z,TNS,0.41,0.43,2.68,EST,0,EQUITY,2011-05-02
46,HAE,Haemonetics Corporation,2011-01-31T00:00:00.000Z,TNS,0.41,0.45,8.72,EST,0,EQUITY,2011-01-31
47,HAE,Haemonetics Corporation,2010-11-01T00:00:00.000Z,TNS,0.38,0.4,5.57,EST,0,EQUITY,2010-11-01
48,HAE,Haemonetics Corporation,2010-08-02T00:00:00.000Z,TNS,0.36,0.37,2.64,EST,0,EQUITY,2010-08-02
49,HAE,Haemonetics Corporation,2010-05-04T00:00:00.000Z,TNS,0.38,0.38,-0.12,EST,0,EQUITY,2010-05-04
50,HAE,Haemonetics Corporation,2010-02-01T00:00:00.000Z,TNS,0.36,0.36,-1.05,EST,0,EQUITY,2010-02-01
51,HAE,Haemonetics Corporation,2009-11-02T00:00:00.000Z,TNS,0.32,0.35,6.56,EST,0,EQUITY,2009-11-02
52,HAE,Haemonetics Corporation,2009-08-03T00:00:00.000Z,TNS,0.33,0.35,6.15,EST,0,EQUITY,2009-08-03
53,HAE,Haemonetics Corporation,2009-05-04T00:00:00.000Z,TNS,0.31,0.33,3.59,EST,0,EQUITY,2009-05-04
54,HAE,Haemonetics Corporation,2009-02-02T00:00:00.000Z,TNS,0.3,0.32,3.7,EST,0,EQUITY,2009-02-02
55,HAE,Haemonetics Corporation,2008-10-27T00:00:00.000Z,TNS,0.26,0.29,12.16,EST,0,EQUITY,2008-10-27
56,HAE,Haemonetics Corporation,2008-08-01T00:00:00.000Z,TNS,0.27,0.3,9.0,EST,0,EQUITY,2008-08-01
57,HAE,Haemonetics Corporation,2008-05-01T00:00:00.000Z,TNS,0.29,0.29,-1.22,EST,0,EQUITY,2008-05-01
58,HAE,Haemonetics Corporation,2008-01-31T00:00:00.000Z,TNS,0.27,0.28,7.04,EST,0,EQUITY,2008-01-31
59,HAE,Haemonetics Corporation,2007-11-01T00:00:00.000Z,TNS,0.23,0.23,-3.02,EST,0,EQUITY,2007-11-01
60,HAE,Haemonetics Corporation,2007-08-02T00:00:00.000Z,TNS,0.25,0.25,2.04,EST,0,EQUITY,2007-08-02
61,HAE,Haemonetics Corporation,2007-05-02T00:00:00.000Z,TNS,0.29,0.33,13.04,EST,0,EQUITY,2007-05-02
62,HAE,Haemonetics Corporation,2007-01-31T00:00:00.000Z,TNS,0.25,0.28,8.91,EST,0,EQUITY,2007-01-31
63,HAE,Haemonetics Corporation,2006-10-31T00:00:00.000Z,TNS,0.24,0.23,-3.5,EST,0,EQUITY,2006-10-31
64,HAE,Haemonetics Corporation,2006-07-27T00:00:00.000Z,TNS,0.28,0.26,-5.45,EST,0,EQUITY,2006-07-27
65,HAE,Haemonetics Corporation,2006-05-03T00:00:00.000Z,TNS,0.28,0.31,12.73,EST,0,EQUITY,2006-05-03
66,HAE,Haemonetics Corporation,2006-01-31T00:00:00.000Z,TNS,0.23,0.25,11.11,EST,0,EQUITY,2006-01-31
67,HAE,Haemonetics Corporation,2005-10-27T00:00:00.000Z,TNS,0.19,0.2,3.23,EST,0,EQUITY,2005-10-27
68,HAE,Haemonetics Corporation,2005-07-28T00:00:00.000Z,TNS,0.19,0.24,22.08,EST,0,EQUITY,2005-07-28
69,HAE,Haemonetics Corporation,2005-05-05T00:00:00.000Z,TNS,0.18,0.19,0.91,EST,0,EQUITY,2005-05-05
70,HAE,Haemonetics Corporation,2005-01-31T00:00:00.000Z,TNS,0.18,0.21,15.07,EST,0,EQUITY,2005-01-31
71,HAE,Haemonetics Corporation,2004-11-01T00:00:00.000Z,TNS,0.17,0.17,3.03,EST,0,EQUITY,2004-11-01
72,HAE,Haemonetics Corporation,2004-07-29T00:00:00.000Z,TNS,0.17,0.19,13.43,EST,0,EQUITY,2004-07-29
