,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,HEP,"Holly Energy Partners, L.P.",2021-11-02T00:00:00.000Z,TNS,0.45,0.46,1.77,EST,0,EQUITY,2021-11-02
4,HEP,"Holly Energy Partners, L.P.",2021-08-03T00:00:00.000Z,TNS,0.48,0.53,11.34,EST,0,EQUITY,2021-08-03
5,HEP,"Holly Energy Partners, L.P.",2021-05-04T00:00:00.000Z,TNS,0.45,0.61,34.96,EST,0,EQUITY,2021-05-04
6,HEP,"Holly Energy Partners, L.P.",2021-02-23T00:00:00.000Z,TNS,0.43,0.49,13.95,EST,0,EQUITY,2021-02-23
7,HEP,"Holly Energy Partners, L.P.",2020-11-04T00:00:00.000Z,TNS,0.43,0.17,-60.19,EST,0,EQUITY,2020-11-04
8,HEP,"Holly Energy Partners, L.P.",2020-08-05T00:00:00.000Z,TNS,0.29,0.73,149.15,EST,0,EQUITY,2020-08-05
9,HEP,"Holly Energy Partners, L.P.",2020-05-06T00:00:00.000Z,TNS,0.44,0.24,-45.58,EST,0,EQUITY,2020-05-06
10,HEP,"Holly Energy Partners, L.P.",2020-02-19T00:00:00.000Z,TNS,0.45,0.43,-4.66,EST,0,EQUITY,2020-02-19
11,HEP,"Holly Energy Partners, L.P.",2019-10-30T00:00:00.000Z,TNS,0.44,0.78,77.27,EST,0,EQUITY,2019-10-30
12,HEP,"Holly Energy Partners, L.P.",2019-07-31T00:00:00.000Z,TNS,0.43,0.43,0.47,EST,0,EQUITY,2019-07-31
13,HEP,"Holly Energy Partners, L.P.",2019-05-01T00:00:00.000Z,TNS,0.43,0.49,15.02,EST,0,EQUITY,2019-05-01
14,HEP,"Holly Energy Partners, L.P.",2019-02-19T00:00:00.000Z,TNS,0.44,0.45,1.58,EST,0,EQUITY,2019-02-19
15,HEP,"Holly Energy Partners, L.P.",2018-10-30T00:00:00.000Z,TNS,0.42,0.43,2.63,EST,0,EQUITY,2018-10-30
16,HEP,"Holly Energy Partners, L.P.",2018-08-01T00:00:00.000Z,TNS,0.4,0.38,-5.71,EST,0,EQUITY,2018-08-01
