,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,HMHC,Houghton Mifflin Harcourt Co,2021-11-04T07:00:28.000Z,TAS,0.18,0.68,277.78,EST,-18000000,EQUITY,2021-11-04
5,HMHC,Houghton Mifflin Harcourt Company,2021-08-05T00:00:00.000Z,TNS,-0.22,0.16,172.73,EST,0,EQUITY,2021-08-05
6,HMHC,Houghton Mifflin Harcourt Company,2021-05-06T00:00:00.000Z,TNS,-0.51,-0.41,20.08,EST,0,EQUITY,2021-05-06
7,HMHC,Houghton Mifflin Harcourt Company,2021-02-25T00:00:00.000Z,TNS,-0.51,-0.66,-28.4,EST,0,EQUITY,2021-02-25
8,HMHC,Houghton Mifflin Harcourt Company,2020-11-05T00:00:00.000Z,TNS,0.53,-0.11,-120.91,EST,0,EQUITY,2020-11-05
9,HMHC,Houghton Mifflin Harcourt Company,2020-08-06T00:00:00.000Z,TNS,-0.3,-0.3,-1.01,EST,0,EQUITY,2020-08-06
10,HMHC,Houghton Mifflin Harcourt Company,2020-05-07T00:00:00.000Z,TNS,-0.79,-2.77,-248.43,EST,0,EQUITY,2020-05-07
11,HMHC,Houghton Mifflin Harcourt Company,2020-02-27T00:00:00.000Z,TNS,-0.74,-0.89,-20.92,EST,0,EQUITY,2020-02-27
12,HMHC,Houghton Mifflin Harcourt Company,2019-10-31T00:00:00.000Z,TNS,0.62,0.55,-10.57,EST,0,EQUITY,2019-10-31
13,HMHC,Houghton Mifflin Harcourt Company,2019-08-08T00:00:00.000Z,TNS,-0.04,-0.33,-791.89,EST,0,EQUITY,2019-08-08
14,HMHC,Houghton Mifflin Harcourt Company,2019-05-09T00:00:00.000Z,TNS,-0.71,-0.95,-33.99,EST,0,EQUITY,2019-05-09
15,HMHC,Houghton Mifflin Harcourt Company,2019-02-28T00:00:00.000Z,TNS,-0.61,-0.7,-15.13,EST,0,EQUITY,2019-02-28
16,HMHC,Houghton Mifflin Harcourt Company,2018-11-08T00:00:00.000Z,TNS,0.59,0.7,19.45,EST,0,EQUITY,2018-11-08
17,HMHC,Houghton Mifflin Harcourt Company,2018-08-02T00:00:00.000Z,TNS,-0.05,-0.19,-251.85,EST,0,EQUITY,2018-08-02
18,HMHC,Houghton Mifflin Harcourt Company,2018-05-03T00:00:00.000Z,TNS,-0.81,-0.82,-1.61,EST,0,EQUITY,2018-05-03
19,HMHC,Houghton Mifflin Harcourt Company,2018-02-22T00:00:00.000Z,TNS,-0.9,-0.67,25.88,EST,0,EQUITY,2018-02-22
20,HMHC,Houghton Mifflin Harcourt Company,2017-11-02T00:00:00.000Z,TNS,0.58,0.73,25.43,EST,0,EQUITY,2017-11-02
21,HMHC,Houghton Mifflin Harcourt Company,2017-08-03T00:00:00.000Z,TNS,-0.21,-0.38,-80.95,EST,0,EQUITY,2017-08-03
22,HMHC,Houghton Mifflin Harcourt Company,2017-05-04T00:00:00.000Z,TNS,-1.06,-0.98,7.81,EST,0,EQUITY,2017-05-04
23,HMHC,Houghton Mifflin Harcourt Company,2017-02-23T00:00:00.000Z,TNS,-0.78,-0.34,56.35,EST,0,EQUITY,2017-02-23
24,HMHC,Houghton Mifflin Harcourt Company,2016-11-03T00:00:00.000Z,TNS,0.88,0.73,-17.33,EST,0,EQUITY,2016-11-03
25,HMHC,Houghton Mifflin Harcourt Company,2016-08-04T00:00:00.000Z,TNS,-0.02,-0.23,-1337.5,EST,0,EQUITY,2016-08-04
26,HMHC,Houghton Mifflin Harcourt Company,2016-05-04T00:00:00.000Z,TNS,-1.17,-1.34,-14.33,EST,0,EQUITY,2016-05-04
27,HMHC,Houghton Mifflin Harcourt Company,2016-02-25T00:00:00.000Z,TNS,-0.56,-0.75,-34.41,EST,0,EQUITY,2016-02-25
28,HMHC,Houghton Mifflin Harcourt Company,2015-11-05T00:00:00.000Z,TNS,1.07,0.94,-11.74,EST,0,EQUITY,2015-11-05
29,HMHC,Houghton Mifflin Harcourt Company,2015-08-06T00:00:00.000Z,TNS,0.21,-0.06,-128.44,EST,0,EQUITY,2015-08-06
30,HMHC,Houghton Mifflin Harcourt Company,2015-05-07T00:00:00.000Z,TNS,-0.96,-1.12,-16.06,EST,0,EQUITY,2015-05-07
31,HMHC,Houghton Mifflin Harcourt Company,2015-02-26T00:00:00.000Z,TNS,-0.31,-0.59,-87.9,EST,0,EQUITY,2015-02-26
32,HMHC,Houghton Mifflin Harcourt Company,2014-11-06T00:00:00.000Z,TNS,1.11,0.75,-32.19,EST,0,EQUITY,2014-11-06
33,HMHC,Houghton Mifflin Harcourt Company,2014-08-14T00:00:00.000Z,TNS,0.14,0.08,-44.56,EST,0,EQUITY,2014-08-14
34,HMHC,Houghton Mifflin Harcourt Company,2014-05-08T00:00:00.000Z,TNS,-0.86,-1.05,-21.89,EST,0,EQUITY,2014-05-08
35,HMHC,Houghton Mifflin Harcourt Company,2014-03-06T00:00:00.000Z,TNS,-0.29,-0.27,7.95,EST,0,EQUITY,2014-03-06
