,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,HMN,Horace Mann Educators Corporation,2021-11-03T00:00:00.000Z,TNS,0.38,0.5,31.58,EST,0,EQUITY,2021-11-03
1,HMN,Horace Mann Educators Corporation,2021-08-02T00:00:00.000Z,TNS,1.01,1.02,1.39,EST,0,EQUITY,2021-08-02
2,HMN,Horace Mann Educators Corporation,2021-05-04T00:00:00.000Z,TNS,0.8,1.1,37.5,EST,0,EQUITY,2021-05-04
3,HMN,Horace Mann Educators Corporation,2021-02-02T00:00:00.000Z,TNS,0.91,1.13,24.86,EST,0,EQUITY,2021-02-02
4,HMN,Horace Mann Educators Corporation,2020-11-02T00:00:00.000Z,TNS,0.68,0.82,20.94,EST,0,EQUITY,2020-11-02
5,HMN,Horace Mann Educators Corporation,2020-08-06T00:00:00.000Z,TNS,0.39,0.67,72.68,EST,0,EQUITY,2020-08-06
6,HMN,Horace Mann Educators Corporation,2020-05-07T00:00:00.000Z,TNS,0.69,0.78,13.04,EST,0,EQUITY,2020-05-07
7,HMN,Horace Mann Educators Corporation,2020-02-05T00:00:00.000Z,TNS,0.72,0.75,4.46,EST,0,EQUITY,2020-02-05
8,HMN,Horace Mann Educators Corporation,2019-11-06T00:00:00.000Z,TNS,0.64,0.64,0.79,EST,0,EQUITY,2019-11-06
9,HMN,Horace Mann Educators Corporation,2019-08-05T00:00:00.000Z,TNS,0.14,0.17,21.43,EST,0,EQUITY,2019-08-05
10,HMN,Horace Mann Educators Corporation,2019-04-30T00:00:00.000Z,TNS,0.53,0.63,20.0,EST,0,EQUITY,2019-04-30
11,HMN,Horace Mann Educators Corporation,2019-02-05T00:00:00.000Z,TNS,-0.09,-0.21,-121.05,EST,0,EQUITY,2019-02-05
12,HMN,Horace Mann Educators Corporation,2018-10-30T00:00:00.000Z,TNS,0.18,0.25,38.89,EST,0,EQUITY,2018-10-30
13,HMN,Horace Mann Educators Corporation,2018-08-02T00:00:00.000Z,TNS,0.21,0.13,-37.5,EST,0,EQUITY,2018-08-02
14,HMN,Horace Mann Educators Corporation,2018-05-02T00:00:00.000Z,TNS,0.63,0.51,-19.43,EST,0,EQUITY,2018-05-02
15,HMN,Horace Mann Educators Corporation,2018-02-06T00:00:00.000Z,TNS,0.48,0.65,34.58,EST,0,EQUITY,2018-02-06
16,HMN,Horace Mann Educators Corporation,2017-10-24T00:00:00.000Z,TNS,0.38,0.69,82.54,EST,0,EQUITY,2017-10-24
17,HMN,Horace Mann Educators Corporation,2017-07-24T00:00:00.000Z,TNS,0.11,0.02,-82.3,EST,0,EQUITY,2017-07-24
18,HMN,Horace Mann Educators Corporation,2017-04-24T00:00:00.000Z,TNS,0.54,0.37,-31.23,EST,0,EQUITY,2017-04-24
19,HMN,Horace Mann Educators Corporation,2017-02-06T00:00:00.000Z,TNS,0.4,0.52,31.65,EST,0,EQUITY,2017-02-06
20,HMN,Horace Mann Educators Corporation,2016-10-31T00:00:00.000Z,TNS,0.51,0.58,14.4,EST,0,EQUITY,2016-10-31
21,HMN,Horace Mann Educators Corporation,2016-07-27T00:00:00.000Z,TNS,0.17,0.25,44.51,EST,0,EQUITY,2016-07-27
22,HMN,Horace Mann Educators Corporation,2016-05-02T00:00:00.000Z,TNS,0.57,0.62,8.77,EST,0,EQUITY,2016-05-02
