,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,HRTG,"Heritage Insurance Holdings, Inc.",2021-11-04T00:00:00.000Z,TNS,-0.45,-0.59,-31.11,EST,0,EQUITY,2021-11-04
1,HRTG,"Heritage Insurance Holdings, Inc.",2021-08-05T00:00:00.000Z,TNS,0.1,-0.14,-242.86,EST,0,EQUITY,2021-08-05
2,HRTG,"Heritage Insurance Holdings, Inc.",2021-05-05T00:00:00.000Z,TNS,-0.12,-0.19,-53.23,EST,0,EQUITY,2021-05-05
3,HRTG,"Heritage Insurance Holdings, Inc.",2021-03-03T00:00:00.000Z,TNS,-0.39,0.1,125.64,EST,0,EQUITY,2021-03-03
4,HRTG,"Heritage Insurance Holdings, Inc.",2020-11-02T00:00:00.000Z,TNS,-0.6,-0.19,68.54,EST,0,EQUITY,2020-11-02
5,HRTG,"Heritage Insurance Holdings, Inc.",2020-08-03T00:00:00.000Z,TNS,0.02,0.15,733.33,EST,0,EQUITY,2020-08-03
6,HRTG,"Heritage Insurance Holdings, Inc.",2020-05-04T00:00:00.000Z,TNS,0.23,0.27,15.88,EST,0,EQUITY,2020-05-04
7,HRTG,"Heritage Insurance Holdings, Inc.",2020-02-27T00:00:00.000Z,TNS,0.39,0.42,7.69,EST,0,EQUITY,2020-02-27
8,HRTG,"Heritage Insurance Holdings, Inc.",2019-10-31T00:00:00.000Z,TNS,0.14,0.26,83.1,EST,0,EQUITY,2019-10-31
9,HRTG,"Heritage Insurance Holdings, Inc.",2019-08-01T00:00:00.000Z,TNS,-0.03,-0.01,66.67,EST,0,EQUITY,2019-08-01
10,HRTG,"Heritage Insurance Holdings, Inc.",2019-05-06T00:00:00.000Z,TNS,0.2,0.21,6.06,EST,0,EQUITY,2019-05-06
11,HRTG,"Heritage Insurance Holdings, Inc.",2019-03-01T00:00:00.000Z,TNS,0.15,0.15,-1.32,EST,0,EQUITY,2019-03-01
12,HRTG,"Heritage Insurance Holdings, Inc.",2018-10-31T00:00:00.000Z,TNS,0.09,0.23,158.43,EST,0,EQUITY,2018-10-31
13,HRTG,"Heritage Insurance Holdings, Inc.",2018-08-02T00:00:00.000Z,TNS,0.65,0.09,-86.09,EST,0,EQUITY,2018-08-02
14,HRTG,"Heritage Insurance Holdings, Inc.",2018-05-07T00:00:00.000Z,TNS,0.42,0.55,32.53,EST,0,EQUITY,2018-05-07
15,HRTG,"Heritage Insurance Holdings, Inc.",2018-03-07T00:00:00.000Z,TNS,0.39,1.23,216.2,EST,0,EQUITY,2018-03-07
16,HRTG,"Heritage Insurance Holdings, Inc.",2017-11-01T00:00:00.000Z,TNS,-0.11,-0.07,33.96,EST,0,EQUITY,2017-11-01
17,HRTG,"Heritage Insurance Holdings, Inc.",2017-08-08T00:00:00.000Z,TNS,0.23,0.23,-1.29,EST,0,EQUITY,2017-08-08
18,HRTG,"Heritage Insurance Holdings, Inc.",2017-05-03T00:00:00.000Z,TNS,0.19,0.21,11.7,EST,0,EQUITY,2017-05-03
19,HRTG,"Heritage Insurance Holdings, Inc.",2017-03-15T00:00:00.000Z,TNS,-0.11,-0.09,19.64,EST,0,EQUITY,2017-03-15
20,HRTG,"Heritage Insurance Holdings, Inc.",2016-11-08T00:00:00.000Z,TNS,0.36,0.37,3.35,EST,0,EQUITY,2016-11-08
21,HRTG,"Heritage Insurance Holdings, Inc.",2016-08-03T00:00:00.000Z,TNS,0.55,0.62,12.32,EST,0,EQUITY,2016-08-03
22,HRTG,"Heritage Insurance Holdings, Inc.",2016-05-05T00:00:00.000Z,TNS,0.47,0.24,-49.15,EST,0,EQUITY,2016-05-05
23,HRTG,"Heritage Insurance Holdings, Inc.",2016-03-02T00:00:00.000Z,TNS,0.65,0.66,1.07,EST,0,EQUITY,2016-03-02
24,HRTG,"Heritage Insurance Holdings, Inc.",2015-11-04T00:00:00.000Z,TNS,0.5,0.55,10.0,EST,0,EQUITY,2015-11-04
25,HRTG,"Heritage Insurance Holdings, Inc.",2015-08-05T00:00:00.000Z,TNS,0.8,0.84,5.26,EST,0,EQUITY,2015-08-05
26,HRTG,"Heritage Insurance Holdings, Inc.",2015-05-06T00:00:00.000Z,TNS,0.75,1.0,33.69,EST,0,EQUITY,2015-05-06
27,HRTG,"Heritage Insurance Holdings, Inc.",2015-03-04T00:00:00.000Z,TNS,0.46,0.66,45.05,EST,0,EQUITY,2015-03-04
28,HRTG,"Heritage Insurance Holdings, Inc.",2014-11-05T00:00:00.000Z,TNS,0.26,0.33,28.91,EST,0,EQUITY,2014-11-05
29,HRTG,"Heritage Insurance Holdings, Inc.",2014-08-04T00:00:00.000Z,TNS,0.32,0.39,20.93,EST,0,EQUITY,2014-08-04
