,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,HTLD,Heartland Express Inc,2021-10-14T09:00:03.000Z,TAS,0.3,0.52,73.33,EST,-18000000,EQUITY,2021-10-14
2,HTLD,"Heartland Express, Inc.",2021-07-19T00:00:00.000Z,TNS,0.26,0.26,0.0,EST,0,EQUITY,2021-07-19
3,HTLD,"Heartland Express, Inc.",2021-04-21T00:00:00.000Z,TNS,0.18,0.17,-7.1,EST,0,EQUITY,2021-04-21
4,HTLD,"Heartland Express, Inc.",2021-01-19T00:00:00.000Z,TNS,0.22,0.22,1.38,EST,0,EQUITY,2021-01-19
5,HTLD,"Heartland Express, Inc.",2020-10-16T00:00:00.000Z,TNS,0.25,0.25,0.0,EST,0,EQUITY,2020-10-16
6,HTLD,"Heartland Express, Inc.",2020-07-16T00:00:00.000Z,TNS,0.14,0.24,73.91,EST,0,EQUITY,2020-07-16
7,HTLD,"Heartland Express, Inc.",2020-04-21T00:00:00.000Z,TNS,0.13,0.16,22.14,EST,0,EQUITY,2020-04-21
8,HTLD,"Heartland Express, Inc.",2020-01-23T00:00:00.000Z,TNS,0.23,0.16,-31.62,EST,0,EQUITY,2020-01-23
9,HTLD,"Heartland Express, Inc.",2019-10-30T00:00:00.000Z,TNS,0.25,0.25,-1.19,EST,0,EQUITY,2019-10-30
10,HTLD,"Heartland Express, Inc.",2019-07-18T00:00:00.000Z,TNS,0.25,0.27,9.76,EST,0,EQUITY,2019-07-18
11,HTLD,"Heartland Express, Inc.",2019-04-18T00:00:00.000Z,TNS,0.2,0.21,6.06,EST,0,EQUITY,2019-04-18
12,HTLD,"Heartland Express, Inc.",2019-01-22T00:00:00.000Z,TNS,0.23,0.27,16.38,EST,0,EQUITY,2019-01-22
13,HTLD,"Heartland Express, Inc.",2018-10-17T00:00:00.000Z,TNS,0.21,0.23,7.48,EST,0,EQUITY,2018-10-17
14,HTLD,"Heartland Express, Inc.",2018-07-19T00:00:00.000Z,TNS,0.18,0.22,22.22,EST,0,EQUITY,2018-07-19
15,HTLD,"Heartland Express, Inc.",2018-04-25T00:00:00.000Z,TNS,0.12,0.16,35.59,EST,0,EQUITY,2018-04-25
16,HTLD,"Heartland Express, Inc.",2018-02-12T00:00:00.000Z,TNS,0.11,0.07,-33.33,EST,0,EQUITY,2018-02-12
17,HTLD,"Heartland Express, Inc.",2017-10-27T00:00:00.000Z,TNS,0.17,0.09,-46.43,EST,0,EQUITY,2017-10-27
18,HTLD,"Heartland Express, Inc.",2017-08-02T00:00:00.000Z,TNS,0.19,0.18,-2.7,EST,0,EQUITY,2017-08-02
19,HTLD,"Heartland Express, Inc.",2017-04-21T00:00:00.000Z,TNS,0.15,0.17,14.86,EST,0,EQUITY,2017-04-21
20,HTLD,"Heartland Express, Inc.",2017-01-26T00:00:00.000Z,TNS,0.15,0.16,8.84,EST,0,EQUITY,2017-01-26
21,HTLD,"Heartland Express, Inc.",2016-10-20T00:00:00.000Z,TNS,0.16,0.15,-6.25,EST,0,EQUITY,2016-10-20
22,HTLD,"Heartland Express, Inc.",2016-07-28T00:00:00.000Z,TNS,0.2,0.2,0.0,EST,0,EQUITY,2016-07-28
23,HTLD,"Heartland Express, Inc.",2016-04-26T00:00:00.000Z,TNS,0.16,0.17,6.25,EST,0,EQUITY,2016-04-26
24,HTLD,"Heartland Express, Inc.",2016-01-26T00:00:00.000Z,TNS,0.2,0.2,2.56,EST,0,EQUITY,2016-01-26
25,HTLD,"Heartland Express, Inc.",2015-10-27T00:00:00.000Z,TNS,0.25,0.17,-32.27,EST,0,EQUITY,2015-10-27
26,HTLD,"Heartland Express, Inc.",2015-07-28T00:00:00.000Z,TNS,0.26,0.27,5.88,EST,0,EQUITY,2015-07-28
27,HTLD,"Heartland Express, Inc.",2015-04-22T00:00:00.000Z,TNS,0.22,0.2,-8.68,EST,0,EQUITY,2015-04-22
28,HTLD,"Heartland Express, Inc.",2015-02-03T00:00:00.000Z,TNS,0.26,0.25,-3.1,EST,0,EQUITY,2015-02-03
29,HTLD,"Heartland Express, Inc.",2014-10-24T00:00:00.000Z,TNS,0.28,0.26,-8.77,EST,0,EQUITY,2014-10-24
30,HTLD,"Heartland Express, Inc.",2014-07-22T00:00:00.000Z,TNS,0.25,0.3,19.6,EST,0,EQUITY,2014-07-22
31,HTLD,"Heartland Express, Inc.",2014-04-23T00:00:00.000Z,TNS,0.2,0.16,-20.91,EST,0,EQUITY,2014-04-23
32,HTLD,"Heartland Express, Inc.",2014-02-04T00:00:00.000Z,TNS,0.21,0.18,-12.8,EST,0,EQUITY,2014-02-04
33,HTLD,"Heartland Express, Inc.",2013-10-16T00:00:00.000Z,TNS,0.19,0.19,-1.39,EST,0,EQUITY,2013-10-16
34,HTLD,"Heartland Express, Inc.",2013-07-19T00:00:00.000Z,TNS,0.21,0.23,10.51,EST,0,EQUITY,2013-07-19
35,HTLD,"Heartland Express, Inc.",2013-04-16T00:00:00.000Z,TNS,0.19,0.23,22.96,EST,0,EQUITY,2013-04-16
36,HTLD,"Heartland Express, Inc.",2013-01-23T00:00:00.000Z,TNS,0.16,0.17,8.24,EST,0,EQUITY,2013-01-23
37,HTLD,"Heartland Express, Inc.",2012-10-11T00:00:00.000Z,TNS,0.18,0.14,-21.49,EST,0,EQUITY,2012-10-11
38,HTLD,"Heartland Express, Inc.",2012-07-19T00:00:00.000Z,TNS,0.21,0.21,0.85,EST,0,EQUITY,2012-07-19
39,HTLD,"Heartland Express, Inc.",2012-04-17T00:00:00.000Z,TNS,0.17,0.19,13.01,EST,0,EQUITY,2012-04-17
40,HTLD,"Heartland Express, Inc.",2012-01-20T00:00:00.000Z,TNS,0.18,0.2,10.39,EST,0,EQUITY,2012-01-20
41,HTLD,"Heartland Express, Inc.",2011-10-25T00:00:00.000Z,TNS,0.21,0.17,-19.85,EST,0,EQUITY,2011-10-25
42,HTLD,"Heartland Express, Inc.",2011-07-19T00:00:00.000Z,TNS,0.21,0.25,21.8,EST,0,EQUITY,2011-07-19
43,HTLD,"Heartland Express, Inc.",2011-04-20T00:00:00.000Z,TNS,0.15,0.16,3.6,EST,0,EQUITY,2011-04-20
44,HTLD,"Heartland Express, Inc.",2011-01-20T00:00:00.000Z,TNS,0.17,0.17,-1.52,EST,0,EQUITY,2011-01-20
45,HTLD,"Heartland Express, Inc.",2010-10-20T00:00:00.000Z,TNS,0.18,0.2,9.76,EST,0,EQUITY,2010-10-20
46,HTLD,"Heartland Express, Inc.",2010-07-19T00:00:00.000Z,TNS,0.16,0.18,11.34,EST,0,EQUITY,2010-07-19
47,HTLD,"Heartland Express, Inc.",2010-04-19T00:00:00.000Z,TNS,0.12,0.13,10.64,EST,0,EQUITY,2010-04-19
48,HTLD,"Heartland Express, Inc.",2010-01-27T00:00:00.000Z,TNS,0.15,0.12,-21.54,EST,0,EQUITY,2010-01-27
49,HTLD,"Heartland Express, Inc.",2009-10-20T00:00:00.000Z,TNS,0.16,0.16,-0.42,EST,0,EQUITY,2009-10-20
50,HTLD,"Heartland Express, Inc.",2009-07-14T00:00:00.000Z,TNS,0.16,0.19,22.32,EST,0,EQUITY,2009-07-14
51,HTLD,"Heartland Express, Inc.",2009-04-15T00:00:00.000Z,TNS,0.12,0.15,22.81,EST,0,EQUITY,2009-04-15
52,HTLD,"Heartland Express, Inc.",2009-01-22T00:00:00.000Z,TNS,0.17,0.2,17.65,EST,0,EQUITY,2009-01-22
53,HTLD,"Heartland Express, Inc.",2008-10-20T00:00:00.000Z,TNS,0.17,0.19,11.26,EST,0,EQUITY,2008-10-20
54,HTLD,"Heartland Express, Inc.",2008-07-22T00:00:00.000Z,TNS,0.16,0.18,14.15,EST,0,EQUITY,2008-07-22
55,HTLD,"Heartland Express, Inc.",2008-04-22T00:00:00.000Z,TNS,0.15,0.15,-1.64,EST,0,EQUITY,2008-04-22
56,HTLD,"Heartland Express, Inc.",2008-01-24T00:00:00.000Z,TNS,0.17,0.17,1.38,EST,0,EQUITY,2008-01-24
57,HTLD,"Heartland Express, Inc.",2007-10-23T00:00:00.000Z,TNS,0.2,0.18,-8.23,EST,0,EQUITY,2007-10-23
58,HTLD,"Heartland Express, Inc.",2007-07-19T00:00:00.000Z,TNS,0.21,0.2,-4.0,EST,0,EQUITY,2007-07-19
59,HTLD,"Heartland Express, Inc.",2007-04-19T00:00:00.000Z,TNS,0.18,0.23,28.37,EST,0,EQUITY,2007-04-19
60,HTLD,"Heartland Express, Inc.",2007-01-25T00:00:00.000Z,TNS,0.22,0.2,-9.09,EST,0,EQUITY,2007-01-25
61,HTLD,"Heartland Express, Inc.",2006-10-18T00:00:00.000Z,TNS,0.22,0.23,6.53,EST,0,EQUITY,2006-10-18
62,HTLD,"Heartland Express, Inc.",2006-07-18T00:00:00.000Z,TNS,0.21,0.25,19.7,EST,0,EQUITY,2006-07-18
63,HTLD,"Heartland Express, Inc.",2006-04-17T00:00:00.000Z,TNS,0.17,0.2,18.25,EST,0,EQUITY,2006-04-17
64,HTLD,"Heartland Express, Inc.",2006-01-18T00:00:00.000Z,TNS,0.18,0.22,19.47,EST,0,EQUITY,2006-01-18
65,HTLD,"Heartland Express, Inc.",2005-10-20T00:00:00.000Z,TNS,0.19,0.18,-2.94,EST,0,EQUITY,2005-10-20
66,HTLD,"Heartland Express, Inc.",2005-07-18T00:00:00.000Z,TNS,0.18,0.18,1.15,EST,0,EQUITY,2005-07-18
67,HTLD,"Heartland Express, Inc.",2005-04-14T00:00:00.000Z,TNS,0.15,0.15,0.0,EST,0,EQUITY,2005-04-14
68,HTLD,"Heartland Express, Inc.",2005-01-18T00:00:00.000Z,TNS,0.16,0.17,0.12,EST,0,EQUITY,2005-01-18
69,HTLD,"Heartland Express, Inc.",2004-10-18T00:00:00.000Z,TNS,0.16,0.17,7.14,EST,0,EQUITY,2004-10-18
70,HTLD,"Heartland Express, Inc.",2004-07-22T00:00:00.000Z,TNS,0.14,0.16,8.26,EST,0,EQUITY,2004-07-22
71,HTLD,"Heartland Express, Inc.",2004-04-15T00:00:00.000Z,TNS,0.12,0.13,7.44,EST,0,EQUITY,2004-04-15
72,HTLD,"Heartland Express, Inc.",2004-01-23T00:00:00.000Z,TNS,0.14,0.14,-1.82,EST,0,EQUITY,2004-01-23
73,HTLD,"Heartland Express, Inc.",2003-10-21T00:00:00.000Z,TNS,0.13,0.14,12.72,EST,0,EQUITY,2003-10-21
74,HTLD,"Heartland Express, Inc.",2003-07-16T00:00:00.000Z,TNS,0.12,0.13,2.46,EST,0,EQUITY,2003-07-16
75,HTLD,"Heartland Express, Inc.",2003-04-17T00:00:00.000Z,TNS,0.1,0.11,13.4,EST,0,EQUITY,2003-04-17
76,HTLD,"Heartland Express, Inc.",2003-01-22T00:00:00.000Z,TNS,0.11,0.11,-2.22,EST,0,EQUITY,2003-01-22
77,HTLD,"Heartland Express, Inc.",2002-10-16T00:00:00.000Z,TNS,0.11,0.11,1.98,EST,0,EQUITY,2002-10-16
78,HTLD,"Heartland Express, Inc.",2002-07-17T00:00:00.000Z,TNS,0.1,0.11,4.81,EST,0,EQUITY,2002-07-17
79,HTLD,"Heartland Express, Inc.",2002-04-18T00:00:00.000Z,TNS,0.1,0.1,-0.91,EST,0,EQUITY,2002-04-18
80,HTLD,"Heartland Express, Inc.",2002-01-14T00:00:00.000Z,TNS,0.09,0.1,14.82,EST,0,EQUITY,2002-01-14
81,HTLD,"Heartland Express, Inc.",2001-10-16T00:00:00.000Z,TNS,0.09,0.09,-1.7,EST,0,EQUITY,2001-10-16
82,HTLD,"Heartland Express, Inc.",2001-07-17T00:00:00.000Z,TNS,0.09,0.1,9.16,EST,0,EQUITY,2001-07-17
83,HTLD,"Heartland Express, Inc.",2001-04-17T00:00:00.000Z,TNS,0.08,0.09,9.38,EST,0,EQUITY,2001-04-17
84,HTLD,"Heartland Express, Inc.",2001-01-23T00:00:00.000Z,TNS,0.08,0.08,0.0,EST,0,EQUITY,2001-01-23
85,HTLD,"Heartland Express, Inc.",2000-10-18T00:00:00.000Z,TNS,0.08,0.08,1.54,EST,0,EQUITY,2000-10-18
86,HTLD,"Heartland Express, Inc.",2000-07-18T00:00:00.000Z,TNS,0.08,0.09,11.11,EST,0,EQUITY,2000-07-18
87,HTLD,"Heartland Express, Inc.",2000-04-18T00:00:00.000Z,TNS,0.07,0.09,34.62,EST,0,EQUITY,2000-04-18
88,HTLD,"Heartland Express, Inc.",2000-01-24T00:00:00.000Z,TNS,0.07,0.08,12.33,EST,0,EQUITY,2000-01-24
89,HTLD,"Heartland Express, Inc.",1999-10-14T00:00:00.000Z,TNS,0.07,0.07,2.35,EST,0,EQUITY,1999-10-14
90,HTLD,"Heartland Express, Inc.",1999-07-15T00:00:00.000Z,TNS,0.07,0.07,-0.59,EST,0,EQUITY,1999-07-15
91,HTLD,"Heartland Express, Inc.",1999-04-15T00:00:00.000Z,TNS,0.07,0.06,-6.0,EST,0,EQUITY,1999-04-15
92,HTLD,"Heartland Express, Inc.",1999-01-26T00:00:00.000Z,TNS,0.07,0.07,7.01,EST,0,EQUITY,1999-01-26
93,HTLD,"Heartland Express, Inc.",1998-10-15T00:00:00.000Z,TNS,0.08,0.07,-5.61,EST,0,EQUITY,1998-10-15
94,HTLD,"Heartland Express, Inc.",1998-07-17T00:00:00.000Z,TNS,0.07,0.07,-0.59,EST,0,EQUITY,1998-07-17
95,HTLD,"Heartland Express, Inc.",1998-04-22T00:00:00.000Z,TNS,0.06,0.07,1.96,EST,0,EQUITY,1998-04-22
96,HTLD,"Heartland Express, Inc.",1998-01-22T00:00:00.000Z,TNS,0.06,0.06,-2.7,EST,0,EQUITY,1998-01-22
97,HTLD,"Heartland Express, Inc.",1997-10-16T00:00:00.000Z,TNS,0.06,0.07,13.52,EST,0,EQUITY,1997-10-16
98,HTLD,"Heartland Express, Inc.",1997-07-17T00:00:00.000Z,TNS,0.06,0.07,9.24,EST,0,EQUITY,1997-07-17
99,HTLD,"Heartland Express, Inc.",1997-04-17T00:00:00.000Z,TNS,0.05,0.06,2.67,EST,0,EQUITY,1997-04-17
