,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,HUM,Humana Inc,2021-11-03T06:30:00.000Z,TAS,4.66,4.83,3.65,EST,-18000000,EQUITY,2021-11-03
5,HUM,Humana Inc.,2021-07-28T00:00:00.000Z,TNS,6.82,6.89,0.98,EST,0,EQUITY,2021-07-28
6,HUM,Humana Inc.,2021-04-28T00:00:00.000Z,TNS,7.06,7.67,8.59,EST,0,EQUITY,2021-04-28
7,HUM,Humana Inc.,2021-02-03T00:00:00.000Z,TNS,-2.37,-2.3,2.75,EST,0,EQUITY,2021-02-03
8,HUM,Humana Inc.,2020-11-03T00:00:00.000Z,TNS,2.81,3.08,9.53,EST,0,EQUITY,2020-11-03
9,HUM,Humana Inc.,2020-08-05T00:00:00.000Z,TNS,10.27,12.56,22.27,EST,0,EQUITY,2020-08-05
10,HUM,Humana Inc.,2020-04-29T00:00:00.000Z,TNS,4.68,5.4,15.31,EST,0,EQUITY,2020-04-29
11,HUM,Humana Inc.,2020-02-05T00:00:00.000Z,TNS,2.2,2.28,3.83,EST,0,EQUITY,2020-02-05
12,HUM,Humana Inc.,2019-11-06T00:00:00.000Z,TNS,4.58,5.03,9.9,EST,0,EQUITY,2019-11-06
13,HUM,Humana Inc.,2019-07-31T00:00:00.000Z,TNS,5.31,6.05,14.04,EST,0,EQUITY,2019-07-31
14,HUM,Humana Inc.,2019-05-01T00:00:00.000Z,TNS,4.3,4.48,4.28,EST,0,EQUITY,2019-05-01
15,HUM,Humana Inc.,2019-02-06T00:00:00.000Z,TNS,2.53,2.65,4.74,EST,0,EQUITY,2019-02-06
16,HUM,Humana Inc.,2018-11-07T00:00:00.000Z,TNS,4.26,4.58,7.44,EST,0,EQUITY,2018-11-07
17,HUM,Humana Inc.,2018-08-01T00:00:00.000Z,TNS,3.78,3.96,4.9,EST,0,EQUITY,2018-08-01
18,HUM,Humana Inc.,2018-05-02T00:00:00.000Z,TNS,3.19,3.36,5.43,EST,0,EQUITY,2018-05-02
19,HUM,Humana Inc.,2018-02-07T00:00:00.000Z,TNS,2.0,2.06,2.95,EST,0,EQUITY,2018-02-07
20,HUM,Humana Inc.,2017-11-08T00:00:00.000Z,TNS,3.27,3.39,3.8,EST,0,EQUITY,2017-11-08
21,HUM,Humana Inc.,2017-08-02T00:00:00.000Z,TNS,3.08,3.49,13.24,EST,0,EQUITY,2017-08-02
22,HUM,Humana Inc.,2017-05-03T00:00:00.000Z,TNS,2.5,2.75,9.87,EST,0,EQUITY,2017-05-03
23,HUM,Humana Inc.,2017-02-08T00:00:00.000Z,TNS,2.05,2.09,2.15,EST,0,EQUITY,2017-02-08
24,HUM,Humana Inc.,2016-11-04T00:00:00.000Z,TNS,3.15,3.18,0.95,EST,0,EQUITY,2016-11-04
25,HUM,Humana Inc.,2016-08-03T00:00:00.000Z,TNS,2.24,2.3,2.91,EST,0,EQUITY,2016-08-03
26,HUM,Humana Inc.,2016-05-04T00:00:00.000Z,TNS,1.81,1.86,2.54,EST,0,EQUITY,2016-05-04
27,HUM,Humana Inc.,2016-02-10T00:00:00.000Z,TNS,1.45,1.45,0.35,EST,0,EQUITY,2016-02-10
28,HUM,Humana Inc.,2015-11-06T00:00:00.000Z,TNS,2.13,2.16,1.5,EST,0,EQUITY,2015-11-06
29,HUM,Humana Inc.,2015-07-29T00:00:00.000Z,TNS,1.63,1.67,2.58,EST,0,EQUITY,2015-07-29
30,HUM,Humana Inc.,2015-04-29T00:00:00.000Z,TNS,2.56,2.47,-3.4,EST,0,EQUITY,2015-04-29
31,HUM,Humana Inc.,2015-02-04T00:00:00.000Z,TNS,1.16,1.09,-5.95,EST,0,EQUITY,2015-02-04
32,HUM,Humana Inc.,2014-11-07T00:00:00.000Z,TNS,2.0,1.85,-7.68,EST,0,EQUITY,2014-11-07
33,HUM,Humana Inc.,2014-07-30T00:00:00.000Z,TNS,2.19,2.19,-0.02,EST,0,EQUITY,2014-07-30
34,HUM,Humana Inc.,2014-05-07T00:00:00.000Z,TNS,1.94,2.35,21.09,EST,0,EQUITY,2014-05-07
35,HUM,Humana Inc.,2014-02-05T00:00:00.000Z,TNS,0.94,0.8,-14.67,EST,0,EQUITY,2014-02-05
36,HUM,Humana Inc.,2013-11-06T00:00:00.000Z,TNS,2.15,2.31,7.36,EST,0,EQUITY,2013-11-06
37,HUM,Humana Inc.,2013-07-31T00:00:00.000Z,TNS,2.47,2.75,11.14,EST,0,EQUITY,2013-07-31
38,HUM,Humana Inc.,2013-05-01T00:00:00.000Z,TNS,1.81,2.69,49.03,EST,0,EQUITY,2013-05-01
39,HUM,Humana Inc.,2013-02-04T00:00:00.000Z,TNS,1.07,1.19,11.06,EST,0,EQUITY,2013-02-04
40,HUM,Humana Inc.,2012-11-05T00:00:00.000Z,TNS,2.05,2.62,28.1,EST,0,EQUITY,2012-11-05
41,HUM,Humana Inc.,2012-07-30T00:00:00.000Z,TNS,2.28,2.19,-4.1,EST,0,EQUITY,2012-07-30
42,HUM,Humana Inc.,2012-04-30T00:00:00.000Z,TNS,1.53,1.49,-2.54,EST,0,EQUITY,2012-04-30
43,HUM,Humana Inc.,2012-02-06T00:00:00.000Z,TNS,1.2,1.2,-0.39,EST,0,EQUITY,2012-02-06
44,HUM,Humana Inc.,2011-10-31T00:00:00.000Z,TNS,2.02,2.67,31.92,EST,0,EQUITY,2011-10-31
45,HUM,Humana Inc.,2011-08-01T00:00:00.000Z,TNS,2.06,2.71,31.5,EST,0,EQUITY,2011-08-01
46,HUM,Humana Inc.,2011-05-02T00:00:00.000Z,TNS,1.86,1.86,-0.07,EST,0,EQUITY,2011-05-02
47,HUM,Humana Inc.,2011-02-07T00:00:00.000Z,TNS,0.81,0.63,-22.22,EST,0,EQUITY,2011-02-07
48,HUM,Humana Inc.,2010-11-01T00:00:00.000Z,TNS,1.66,2.32,39.89,EST,0,EQUITY,2010-11-01
49,HUM,Humana Inc.,2010-08-02T00:00:00.000Z,TNS,1.67,2.55,52.36,EST,0,EQUITY,2010-08-02
50,HUM,Humana Inc.,2010-04-26T00:00:00.000Z,TNS,1.14,1.52,33.72,EST,0,EQUITY,2010-04-26
51,HUM,Humana Inc.,2010-02-01T00:00:00.000Z,TNS,1.48,1.48,0.19,EST,0,EQUITY,2010-02-01
52,HUM,Humana Inc.,2009-11-02T00:00:00.000Z,TNS,1.77,1.78,0.7,EST,0,EQUITY,2009-11-02
53,HUM,Humana Inc.,2009-08-03T00:00:00.000Z,TNS,1.64,1.67,1.61,EST,0,EQUITY,2009-08-03
54,HUM,Humana Inc.,2009-04-27T00:00:00.000Z,TNS,1.18,1.22,3.79,EST,0,EQUITY,2009-04-27
55,HUM,Humana Inc.,2009-02-02T00:00:00.000Z,TNS,1.07,1.07,0.44,EST,0,EQUITY,2009-02-02
56,HUM,Humana Inc.,2008-10-27T00:00:00.000Z,TNS,1.47,1.49,1.6,EST,0,EQUITY,2008-10-27
57,HUM,Humana Inc.,2008-08-04T00:00:00.000Z,TNS,1.18,1.24,5.47,EST,0,EQUITY,2008-08-04
58,HUM,Humana Inc.,2008-04-28T00:00:00.000Z,TNS,0.45,0.47,4.14,EST,0,EQUITY,2008-04-28
59,HUM,Humana Inc.,2008-02-04T00:00:00.000Z,TNS,1.32,1.43,8.18,EST,0,EQUITY,2008-02-04
60,HUM,Humana Inc.,2007-10-29T00:00:00.000Z,TNS,1.49,1.78,19.84,EST,0,EQUITY,2007-10-29
61,HUM,Humana Inc.,2007-07-18T00:00:00.000Z,TNS,1.17,1.28,9.28,EST,0,EQUITY,2007-07-18
62,HUM,Humana Inc.,2007-04-30T00:00:00.000Z,TNS,0.4,0.42,5.78,EST,0,EQUITY,2007-04-30
63,HUM,Humana Inc.,2007-02-05T00:00:00.000Z,TNS,0.88,0.92,4.4,EST,0,EQUITY,2007-02-05
64,HUM,Humana Inc.,2006-10-30T00:00:00.000Z,TNS,0.97,0.95,-2.12,EST,0,EQUITY,2006-10-30
65,HUM,Humana Inc.,2006-07-31T00:00:00.000Z,TNS,0.35,0.53,51.72,EST,0,EQUITY,2006-07-31
66,HUM,Humana Inc.,2006-05-01T00:00:00.000Z,TNS,0.43,0.39,-10.17,EST,0,EQUITY,2006-05-01
67,HUM,Humana Inc.,2006-02-06T00:00:00.000Z,TNS,0.45,0.46,2.22,EST,0,EQUITY,2006-02-06
68,HUM,Humana Inc.,2005-10-31T00:00:00.000Z,TNS,0.51,0.6,17.8,EST,0,EQUITY,2005-10-31
69,HUM,Humana Inc.,2005-08-01T00:00:00.000Z,TNS,0.51,0.51,0.42,EST,0,EQUITY,2005-08-01
70,HUM,Humana Inc.,2005-05-02T00:00:00.000Z,TNS,0.49,0.53,8.77,EST,0,EQUITY,2005-05-02
71,HUM,Humana Inc.,2005-02-07T00:00:00.000Z,TNS,0.27,0.29,8.33,EST,0,EQUITY,2005-02-07
72,HUM,Humana Inc.,2004-11-01T00:00:00.000Z,TNS,0.44,0.52,18.76,EST,0,EQUITY,2004-11-01
73,HUM,Humana Inc.,2004-07-26T00:00:00.000Z,TNS,0.39,0.46,18.71,EST,0,EQUITY,2004-07-26
74,HUM,Humana Inc.,2004-04-26T00:00:00.000Z,TNS,0.41,0.41,0.19,EST,0,EQUITY,2004-04-26
75,HUM,Humana Inc.,2004-02-02T00:00:00.000Z,TNS,0.4,0.41,2.71,EST,0,EQUITY,2004-02-02
