,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,IIIV,"i3 Verticals, Inc.",2021-11-17T00:00:00.000Z,TNS,0.29,0.33,12.63,EST,0,EQUITY,2021-11-17
1,IIIV,"i3 Verticals, Inc.",2021-08-09T00:00:00.000Z,TNS,0.28,0.26,-6.47,EST,0,EQUITY,2021-08-09
2,IIIV,"i3 Verticals, Inc.",2021-05-10T00:00:00.000Z,TNS,0.21,0.23,7.48,EST,0,EQUITY,2021-05-10
3,IIIV,"i3 Verticals, Inc.",2021-02-08T00:00:00.000Z,TNS,0.22,0.22,2.33,EST,0,EQUITY,2021-02-08
4,IIIV,"i3 Verticals, Inc.",2020-11-19T00:00:00.000Z,TNS,0.18,0.2,9.89,EST,0,EQUITY,2020-11-19
5,IIIV,"i3 Verticals, Inc.",2020-08-10T00:00:00.000Z,TNS,0.06,0.13,109.68,EST,0,EQUITY,2020-08-10
6,IIIV,"i3 Verticals, Inc.",2020-05-07T00:00:00.000Z,TNS,0.18,0.2,9.29,EST,0,EQUITY,2020-05-07
7,IIIV,"i3 Verticals, Inc.",2020-02-10T00:00:00.000Z,TNS,0.23,0.24,3.45,EST,0,EQUITY,2020-02-10
8,IIIV,"i3 Verticals, Inc.",2019-11-21T00:00:00.000Z,TNS,0.22,0.24,10.09,EST,0,EQUITY,2019-11-21
9,IIIV,"i3 Verticals, Inc.",2019-08-08T00:00:00.000Z,TNS,0.19,0.2,5.26,EST,0,EQUITY,2019-08-08
10,IIIV,"i3 Verticals, Inc.",2019-05-13T00:00:00.000Z,TNS,0.19,0.2,3.09,EST,0,EQUITY,2019-05-13
11,IIIV,"i3 Verticals, Inc.",2019-02-13T00:00:00.000Z,TNS,0.2,0.2,-1.48,EST,0,EQUITY,2019-02-13
12,IIIV,"i3 Verticals, Inc.",2018-11-28T00:00:00.000Z,TNS,0.18,0.19,8.57,EST,0,EQUITY,2018-11-28
13,IIIV,"i3 Verticals, Inc.",2018-08-09T00:00:00.000Z,TNS,0.12,0.14,13.82,EST,0,EQUITY,2018-08-09
