,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,INGN,"Inogen, Inc.",2021-11-04T00:00:00.000Z,TNS,-0.26,0.53,303.85,EST,0,EQUITY,2021-11-04
1,INGN,"Inogen, Inc.",2021-08-04T00:00:00.000Z,TNS,-0.11,0.22,300.0,EST,0,EQUITY,2021-08-04
2,INGN,"Inogen, Inc.",2021-05-04T00:00:00.000Z,TNS,-0.27,-0.03,88.81,EST,0,EQUITY,2021-05-04
3,INGN,"Inogen, Inc.",2021-02-24T00:00:00.000Z,TNS,-0.26,-0.23,12.21,EST,0,EQUITY,2021-02-24
4,INGN,"Inogen, Inc.",2020-11-04T00:00:00.000Z,TNS,-0.02,-0.08,-280.95,EST,0,EQUITY,2020-11-04
5,INGN,"Inogen, Inc.",2020-08-04T00:00:00.000Z,TNS,-0.08,0.12,255.84,EST,0,EQUITY,2020-08-04
6,INGN,"Inogen, Inc.",2020-05-05T00:00:00.000Z,TNS,-0.11,-0.07,36.94,EST,0,EQUITY,2020-05-05
7,INGN,"Inogen, Inc.",2020-02-25T00:00:00.000Z,TNS,0.1,-0.06,-158.25,EST,0,EQUITY,2020-02-25
8,INGN,"Inogen, Inc.",2019-11-05T00:00:00.000Z,TNS,0.23,0.31,34.2,EST,0,EQUITY,2019-11-05
9,INGN,"Inogen, Inc.",2019-08-07T00:00:00.000Z,TNS,0.49,0.45,-7.6,EST,0,EQUITY,2019-08-07
10,INGN,"Inogen, Inc.",2019-05-07T00:00:00.000Z,TNS,0.3,0.24,-21.05,EST,0,EQUITY,2019-05-07
11,INGN,"Inogen, Inc.",2019-02-26T00:00:00.000Z,TNS,0.25,0.44,76.71,EST,0,EQUITY,2019-02-26
12,INGN,"Inogen, Inc.",2018-11-06T00:00:00.000Z,TNS,0.52,0.73,40.12,EST,0,EQUITY,2018-11-06
13,INGN,"Inogen, Inc.",2018-08-07T00:00:00.000Z,TNS,0.44,0.65,46.4,EST,0,EQUITY,2018-08-07
14,INGN,"Inogen, Inc.",2018-04-30T00:00:00.000Z,TNS,0.29,0.48,66.67,EST,0,EQUITY,2018-04-30
15,INGN,"Inogen, Inc.",2018-02-27T00:00:00.000Z,TNS,0.23,0.31,33.05,EST,0,EQUITY,2018-02-27
16,INGN,"Inogen, Inc.",2017-11-07T00:00:00.000Z,TNS,0.29,0.33,13.01,EST,0,EQUITY,2017-11-07
17,INGN,"Inogen, Inc.",2017-08-03T00:00:00.000Z,TNS,0.28,0.38,36.69,EST,0,EQUITY,2017-08-03
18,INGN,"Inogen, Inc.",2017-05-09T00:00:00.000Z,TNS,0.14,0.27,97.08,EST,0,EQUITY,2017-05-09
19,INGN,"Inogen, Inc.",2017-02-28T00:00:00.000Z,TNS,0.11,0.25,133.64,EST,0,EQUITY,2017-02-28
20,INGN,"Inogen, Inc.",2016-11-03T00:00:00.000Z,TNS,0.13,0.16,23.08,EST,0,EQUITY,2016-11-03
21,INGN,"Inogen, Inc.",2016-08-04T00:00:00.000Z,TNS,0.2,0.25,23.76,EST,0,EQUITY,2016-08-04
22,INGN,"Inogen, Inc.",2016-05-09T00:00:00.000Z,TNS,0.12,0.11,-5.98,EST,0,EQUITY,2016-05-09
23,INGN,"Inogen, Inc.",2016-03-14T00:00:00.000Z,TNS,0.07,0.19,156.76,EST,0,EQUITY,2016-03-14
24,INGN,"Inogen, Inc.",2015-11-10T00:00:00.000Z,TNS,0.13,0.13,3.17,EST,0,EQUITY,2015-11-10
25,INGN,"Inogen, Inc.",2015-08-11T00:00:00.000Z,TNS,0.14,0.17,21.43,EST,0,EQUITY,2015-08-11
26,INGN,"Inogen, Inc.",2015-05-13T00:00:00.000Z,TNS,0.08,0.08,5.26,EST,0,EQUITY,2015-05-13
27,INGN,"Inogen, Inc.",2015-04-27T00:00:00.000Z,TNS,0.03,0.06,114.29,EST,0,EQUITY,2015-04-27
28,INGN,"Inogen, Inc.",2014-11-11T00:00:00.000Z,TNS,0.06,0.11,89.66,EST,0,EQUITY,2014-11-11
29,INGN,"Inogen, Inc.",2014-08-12T00:00:00.000Z,TNS,0.07,0.11,69.23,EST,0,EQUITY,2014-08-12
30,INGN,"Inogen, Inc.",2014-05-13T00:00:00.000Z,TNS,0.04,0.05,33.33,EST,0,EQUITY,2014-05-13
31,INGN,"Inogen, Inc.",2014-03-27T00:00:00.000Z,TNS,0.02,0.01,-42.86,EST,0,EQUITY,2014-03-27
