,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,INTC,Intel Corp,2021-10-21T20:00:00.000Z,AMC,1.11,1.71,54.05,EST,-18000000,EQUITY,2021-10-21
5,INTC,Intel Corporation,2021-07-22T00:00:00.000Z,TNS,1.06,1.28,20.53,EST,0,EQUITY,2021-07-22
6,INTC,Intel Corporation,2021-04-22T00:00:00.000Z,TNS,1.15,1.39,20.66,EST,0,EQUITY,2021-04-22
7,INTC,Intel Corporation,2021-01-21T00:00:00.000Z,TNS,1.1,1.52,37.93,EST,0,EQUITY,2021-01-21
8,INTC,Intel Corporation,2020-10-22T00:00:00.000Z,TNS,1.11,1.11,0.27,EST,0,EQUITY,2020-10-22
9,INTC,Intel Corporation,2020-07-23T00:00:00.000Z,TNS,1.11,1.23,10.71,EST,0,EQUITY,2020-07-23
10,INTC,Intel Corporation,2020-04-23T00:00:00.000Z,TNS,1.28,1.45,13.46,EST,0,EQUITY,2020-04-23
11,INTC,Intel Corporation,2020-01-23T00:00:00.000Z,TNS,1.25,1.52,21.6,EST,0,EQUITY,2020-01-23
12,INTC,Intel Corporation,2019-10-24T00:00:00.000Z,TNS,1.24,1.42,14.52,EST,0,EQUITY,2019-10-24
13,INTC,Intel Corporation,2019-07-25T00:00:00.000Z,TNS,0.89,1.06,18.57,EST,0,EQUITY,2019-07-25
14,INTC,Intel Corporation,2019-04-25T00:00:00.000Z,TNS,0.87,0.89,2.42,EST,0,EQUITY,2019-04-25
15,INTC,Intel Corporation,2019-01-24T00:00:00.000Z,TNS,1.22,1.28,4.66,EST,0,EQUITY,2019-01-24
16,INTC,Intel Corporation,2018-10-25T00:00:00.000Z,TNS,1.15,1.4,21.53,EST,0,EQUITY,2018-10-25
17,INTC,Intel Corporation,2018-07-26T00:00:00.000Z,TNS,0.96,1.04,8.45,EST,0,EQUITY,2018-07-26
