,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,IOSP,Innospec Inc.,2021-11-02T00:00:00.000Z,TNS,1.01,1.15,14.2,EST,0,EQUITY,2021-11-02
1,IOSP,Innospec Inc.,2021-08-03T00:00:00.000Z,TNS,0.89,1.3,46.56,EST,0,EQUITY,2021-08-03
2,IOSP,Innospec Inc.,2021-05-04T00:00:00.000Z,TNS,0.99,1.06,7.61,EST,0,EQUITY,2021-05-04
3,IOSP,Innospec Inc.,2021-02-16T00:00:00.000Z,TNS,0.71,1.27,78.87,EST,0,EQUITY,2021-02-16
4,IOSP,Innospec Inc.,2020-11-04T00:00:00.000Z,TNS,0.34,0.71,108.82,EST,0,EQUITY,2020-11-04
5,IOSP,Innospec Inc.,2020-08-04T00:00:00.000Z,TNS,0.2,-0.18,-190.0,EST,0,EQUITY,2020-08-04
6,IOSP,Innospec Inc.,2020-05-05T00:00:00.000Z,TNS,1.23,1.42,15.45,EST,0,EQUITY,2020-05-05
7,IOSP,Innospec Inc.,2020-02-18T00:00:00.000Z,TNS,1.37,1.47,7.06,EST,0,EQUITY,2020-02-18
8,IOSP,Innospec Inc.,2019-11-05T00:00:00.000Z,TNS,1.25,1.4,12.0,EST,0,EQUITY,2019-11-05
9,IOSP,Innospec Inc.,2019-08-06T00:00:00.000Z,TNS,1.1,1.12,1.82,EST,0,EQUITY,2019-08-06
10,IOSP,Innospec Inc.,2019-05-07T00:00:00.000Z,TNS,1.19,1.25,5.04,EST,0,EQUITY,2019-05-07
11,IOSP,Innospec Inc.,2019-02-19T00:00:00.000Z,TNS,1.37,1.62,18.51,EST,0,EQUITY,2019-02-19
12,IOSP,Innospec Inc.,2018-11-06T00:00:00.000Z,TNS,1.06,1.2,12.89,EST,0,EQUITY,2018-11-06
13,IOSP,Innospec Inc.,2018-08-07T00:00:00.000Z,TNS,1.05,1.0,-4.94,EST,0,EQUITY,2018-08-07
14,IOSP,Innospec Inc.,2018-05-08T00:00:00.000Z,TNS,0.91,1.02,12.09,EST,0,EQUITY,2018-05-08
15,IOSP,Innospec Inc.,2018-02-13T00:00:00.000Z,TNS,1.21,1.47,21.99,EST,0,EQUITY,2018-02-13
16,IOSP,Innospec Inc.,2017-11-07T00:00:00.000Z,TNS,0.92,1.0,8.34,EST,0,EQUITY,2017-11-07
17,IOSP,Innospec Inc.,2017-08-08T00:00:00.000Z,TNS,1.09,1.16,6.91,EST,0,EQUITY,2017-08-08
18,IOSP,Innospec Inc.,2017-05-09T00:00:00.000Z,TNS,0.86,1.0,16.69,EST,0,EQUITY,2017-05-09
19,IOSP,Innospec Inc.,2017-02-14T00:00:00.000Z,TNS,0.89,1.09,22.89,EST,0,EQUITY,2017-02-14
20,IOSP,Innospec Inc.,2016-11-02T00:00:00.000Z,TNS,0.77,0.78,1.3,EST,0,EQUITY,2016-11-02
21,IOSP,Innospec Inc.,2016-08-02T00:00:00.000Z,TNS,0.88,1.03,17.45,EST,0,EQUITY,2016-08-02
22,IOSP,Innospec Inc.,2016-05-03T00:00:00.000Z,TNS,0.77,0.93,20.78,EST,0,EQUITY,2016-05-03
23,IOSP,Innospec Inc.,2016-02-16T00:00:00.000Z,TNS,1.02,1.24,21.09,EST,0,EQUITY,2016-02-16
24,IOSP,Innospec Inc.,2015-11-03T00:00:00.000Z,TNS,0.87,1.18,36.42,EST,0,EQUITY,2015-11-03
25,IOSP,Innospec Inc.,2015-08-04T00:00:00.000Z,TNS,0.73,1.02,40.11,EST,0,EQUITY,2015-08-04
26,IOSP,Innospec Inc.,2015-05-05T00:00:00.000Z,TNS,0.84,0.91,8.72,EST,0,EQUITY,2015-05-05
27,IOSP,Innospec Inc.,2015-02-17T00:00:00.000Z,TNS,0.88,1.16,32.27,EST,0,EQUITY,2015-02-17
28,IOSP,Innospec Inc.,2014-11-04T00:00:00.000Z,TNS,0.75,0.77,3.08,EST,0,EQUITY,2014-11-04
29,IOSP,Innospec Inc.,2014-08-05T00:00:00.000Z,TNS,0.68,0.77,12.68,EST,0,EQUITY,2014-08-05
30,IOSP,Innospec Inc.,2014-05-06T00:00:00.000Z,TNS,0.67,0.54,-19.4,EST,0,EQUITY,2014-05-06
31,IOSP,Innospec Inc.,2014-02-12T00:00:00.000Z,TNS,0.96,1.06,10.8,EST,0,EQUITY,2014-02-12
32,IOSP,Innospec Inc.,2013-11-05T00:00:00.000Z,TNS,0.83,0.65,-21.21,EST,0,EQUITY,2013-11-05
33,IOSP,Innospec Inc.,2013-08-07T00:00:00.000Z,TNS,0.68,0.75,10.7,EST,0,EQUITY,2013-08-07
34,IOSP,Innospec Inc.,2013-05-06T00:00:00.000Z,TNS,0.85,0.72,-14.79,EST,0,EQUITY,2013-05-06
35,IOSP,Innospec Inc.,2013-02-12T00:00:00.000Z,TNS,0.86,0.89,3.49,EST,0,EQUITY,2013-02-12
36,IOSP,Innospec Inc.,2012-10-31T00:00:00.000Z,TNS,0.75,0.65,-13.33,EST,0,EQUITY,2012-10-31
37,IOSP,Innospec Inc.,2012-08-08T00:00:00.000Z,TNS,0.79,0.79,0.42,EST,0,EQUITY,2012-08-08
38,IOSP,Innospec Inc.,2012-05-07T00:00:00.000Z,TNS,0.73,1.0,36.99,EST,0,EQUITY,2012-05-07
39,IOSP,Innospec Inc.,2012-02-14T00:00:00.000Z,TNS,0.88,0.97,10.23,EST,0,EQUITY,2012-02-14
40,IOSP,Innospec Inc.,2011-11-01T00:00:00.000Z,TNS,0.78,0.93,19.23,EST,0,EQUITY,2011-11-01
41,IOSP,Innospec Inc.,2011-08-08T00:00:00.000Z,TNS,0.73,0.85,16.44,EST,0,EQUITY,2011-08-08
42,IOSP,Innospec Inc.,2010-08-03T00:00:00.000Z,TNS,0.26,0.27,3.85,EST,0,EQUITY,2010-08-03
43,IOSP,Innospec Inc.,2010-05-06T00:00:00.000Z,TNS,0.0,0.32,,EST,0,EQUITY,2010-05-06
44,IOSP,Innospec Inc.,2010-02-16T00:00:00.000Z,TNS,-0.26,-0.01,96.15,EST,0,EQUITY,2010-02-16
45,IOSP,Innospec Inc.,2009-10-29T00:00:00.000Z,TNS,0.2,-0.11,-155.0,EST,0,EQUITY,2009-10-29
46,IOSP,Innospec Inc.,2009-08-04T00:00:00.000Z,TNS,0.06,0.12,100.0,EST,0,EQUITY,2009-08-04
47,IOSP,Innospec Inc.,2009-05-06T00:00:00.000Z,TNS,0.23,0.26,13.04,EST,0,EQUITY,2009-05-06
48,IOSP,Innospec Inc.,2009-02-19T00:00:00.000Z,TNS,0.24,0.22,-8.33,EST,0,EQUITY,2009-02-19
49,IOSP,Innospec Inc.,2008-10-30T00:00:00.000Z,TNS,0.24,0.21,-10.64,EST,0,EQUITY,2008-10-30
50,IOSP,Innospec Inc.,2008-07-30T00:00:00.000Z,TNS,0.4,0.07,-82.28,EST,0,EQUITY,2008-07-30
51,IOSP,Innospec Inc.,2008-04-30T00:00:00.000Z,TNS,0.33,0.34,3.03,EST,0,EQUITY,2008-04-30
52,IOSP,Innospec Inc.,2008-02-07T00:00:00.000Z,TNS,0.28,0.45,63.64,EST,0,EQUITY,2008-02-07
53,IOSP,Innospec Inc.,2007-10-31T00:00:00.000Z,TNS,0.29,0.23,-20.69,EST,0,EQUITY,2007-10-31
54,IOSP,Innospec Inc.,2007-08-01T00:00:00.000Z,TNS,0.24,0.27,14.89,EST,0,EQUITY,2007-08-01
55,IOSP,Innospec Inc.,2007-05-02T00:00:00.000Z,TNS,0.23,0.24,2.17,EST,0,EQUITY,2007-05-02
56,IOSP,Innospec Inc.,2007-02-07T00:00:00.000Z,TNS,0.02,-0.03,-250.0,EST,0,EQUITY,2007-02-07
57,IOSP,Innospec Inc.,2006-11-01T00:00:00.000Z,TNS,-0.11,0.14,226.09,EST,0,EQUITY,2006-11-01
58,IOSP,Innospec Inc.,2006-07-26T00:00:00.000Z,TNS,-0.04,0.04,188.89,EST,0,EQUITY,2006-07-26
59,IOSP,Innospec Inc.,2006-04-24T00:00:00.000Z,TNS,-0.09,0.03,126.32,EST,0,EQUITY,2006-04-24
60,IOSP,Innospec Inc.,2006-02-06T00:00:00.000Z,TNS,-0.23,-0.31,-34.78,EST,0,EQUITY,2006-02-06
61,IOSP,Innospec Inc.,2005-10-24T00:00:00.000Z,TNS,-0.24,-0.21,12.5,EST,0,EQUITY,2005-10-24
62,IOSP,Innospec Inc.,2005-07-25T00:00:00.000Z,TNS,-0.26,-4.23,-1496.23,EST,0,EQUITY,2005-07-25
