,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ITGR,Integer Holdings Corporation,2021-10-28T00:00:00.000Z,TNS,0.84,1.05,25.45,EST,0,EQUITY,2021-10-28
1,ITGR,Integer Holdings Corporation,2021-07-29T00:00:00.000Z,TNS,0.81,1.07,31.61,EST,0,EQUITY,2021-07-29
2,ITGR,Integer Holdings Corporation,2021-04-29T00:00:00.000Z,TNS,0.84,0.97,15.48,EST,0,EQUITY,2021-04-29
3,ITGR,Integer Holdings Corporation,2021-02-18T00:00:00.000Z,TNS,0.61,0.71,16.39,EST,0,EQUITY,2021-02-18
4,ITGR,Integer Holdings Corporation,2020-10-29T00:00:00.000Z,TNS,0.36,0.5,38.89,EST,0,EQUITY,2020-10-29
5,ITGR,Integer Holdings Corporation,2020-07-30T00:00:00.000Z,TNS,0.23,0.32,39.13,EST,0,EQUITY,2020-07-30
6,ITGR,Integer Holdings Corporation,2020-05-07T00:00:00.000Z,TNS,1.06,1.25,17.92,EST,0,EQUITY,2020-05-07
7,ITGR,Integer Holdings Corporation,2020-02-20T00:00:00.000Z,TNS,1.18,1.25,6.38,EST,0,EQUITY,2020-02-20
8,ITGR,Integer Holdings Corporation,2019-10-31T00:00:00.000Z,TNS,1.06,1.2,13.53,EST,0,EQUITY,2019-10-31
9,ITGR,Integer Holdings Corporation,2019-08-01T00:00:00.000Z,TNS,1.06,1.23,16.04,EST,0,EQUITY,2019-08-01
10,ITGR,Integer Holdings Corporation,2019-05-02T00:00:00.000Z,TNS,0.81,1.0,23.92,EST,0,EQUITY,2019-05-02
11,ITGR,Integer Holdings Corporation,2019-02-21T00:00:00.000Z,TNS,0.93,1.04,11.47,EST,0,EQUITY,2019-02-21
12,ITGR,Integer Holdings Corporation,2018-11-01T00:00:00.000Z,TNS,0.93,1.06,14.35,EST,0,EQUITY,2018-11-01
13,ITGR,Integer Holdings Corporation,2018-08-02T00:00:00.000Z,TNS,0.88,1.06,20.05,EST,0,EQUITY,2018-08-02
14,ITGR,Integer Holdings Corporation,2018-05-03T00:00:00.000Z,TNS,0.7,0.61,-13.23,EST,0,EQUITY,2018-05-03
15,ITGR,Integer Holdings Corporation,2018-02-22T00:00:00.000Z,TNS,0.79,0.96,21.52,EST,0,EQUITY,2018-02-22
16,ITGR,Integer Holdings Corporation,2017-10-26T00:00:00.000Z,TNS,0.8,0.82,2.76,EST,0,EQUITY,2017-10-26
17,ITGR,Integer Holdings Corporation,2017-07-27T00:00:00.000Z,TNS,0.67,0.62,-8.01,EST,0,EQUITY,2017-07-27
18,ITGR,Integer Holdings Corporation,2017-05-08T00:00:00.000Z,TNS,0.59,0.41,-30.51,EST,0,EQUITY,2017-05-08
19,ITGR,Integer Holdings Corporation,2017-02-27T00:00:00.000Z,TNS,0.85,0.87,1.99,EST,0,EQUITY,2017-02-27
20,ITGR,Integer Holdings Corporation,2016-10-27T00:00:00.000Z,TNS,0.79,0.83,5.33,EST,0,EQUITY,2016-10-27
21,ITGR,Integer Holdings Corporation,2016-07-28T00:00:00.000Z,TNS,0.7,0.56,-20.45,EST,0,EQUITY,2016-07-28
22,ITGR,Integer Holdings Corporation,2016-04-28T00:00:00.000Z,TNS,0.5,0.34,-32.27,EST,0,EQUITY,2016-04-28
23,ITGR,Integer Holdings Corporation,2016-02-29T00:00:00.000Z,TNS,0.8,0.92,14.71,EST,0,EQUITY,2016-02-29
24,ITGR,Integer Holdings Corporation,2015-10-29T00:00:00.000Z,TNS,0.51,0.58,14.4,EST,0,EQUITY,2015-10-29
25,ITGR,Integer Holdings Corporation,2015-07-30T00:00:00.000Z,TNS,0.63,0.64,1.11,EST,0,EQUITY,2015-07-30
26,ITGR,Integer Holdings Corporation,2015-04-30T00:00:00.000Z,TNS,0.57,0.54,-6.09,EST,0,EQUITY,2015-04-30
27,ITGR,Integer Holdings Corporation,2015-02-24T00:00:00.000Z,TNS,0.59,0.65,10.17,EST,0,EQUITY,2015-02-24
28,ITGR,Integer Holdings Corporation,2014-10-30T00:00:00.000Z,TNS,0.58,0.64,10.73,EST,0,EQUITY,2014-10-30
29,ITGR,Integer Holdings Corporation,2014-07-31T00:00:00.000Z,TNS,0.59,0.6,1.01,EST,0,EQUITY,2014-07-31
30,ITGR,Integer Holdings Corporation,2014-04-30T00:00:00.000Z,TNS,0.5,0.54,8.54,EST,0,EQUITY,2014-04-30
31,ITGR,Integer Holdings Corporation,2014-02-24T00:00:00.000Z,TNS,0.55,0.55,-0.45,EST,0,EQUITY,2014-02-24
32,ITGR,Integer Holdings Corporation,2013-10-24T00:00:00.000Z,TNS,0.54,0.57,6.54,EST,0,EQUITY,2013-10-24
33,ITGR,Integer Holdings Corporation,2013-07-25T00:00:00.000Z,TNS,0.46,0.56,22.4,EST,0,EQUITY,2013-07-25
