,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ITT,ITT Inc,2021-11-03T18:08:00.000Z,TAS,0.93,0.99,6.45,EST,-18000000,EQUITY,2021-11-03
2,ITT,ITT Inc.,2021-08-05T00:00:00.000Z,TNS,0.9,0.94,4.44,EST,0,EQUITY,2021-08-05
3,ITT,ITT Inc.,2021-05-07T00:00:00.000Z,TNS,0.87,1.06,21.98,EST,0,EQUITY,2021-05-07
4,ITT,ITT Inc.,2021-02-19T00:00:00.000Z,TNS,0.92,1.01,10.26,EST,0,EQUITY,2021-02-19
5,ITT,ITT Inc.,2020-10-30T00:00:00.000Z,TNS,0.71,0.82,15.98,EST,0,EQUITY,2020-10-30
6,ITT,ITT Inc.,2020-07-31T00:00:00.000Z,TNS,0.38,0.57,50.79,EST,0,EQUITY,2020-07-31
7,ITT,ITT Inc.,2020-05-01T00:00:00.000Z,TNS,0.74,0.8,8.7,EST,0,EQUITY,2020-05-01
8,ITT,ITT Inc.,2020-02-21T00:00:00.000Z,TNS,0.92,0.99,8.2,EST,0,EQUITY,2020-02-21
9,ITT,ITT Inc.,2019-11-01T00:00:00.000Z,TNS,0.9,0.97,7.66,EST,0,EQUITY,2019-11-01
10,ITT,ITT Inc.,2019-08-02T00:00:00.000Z,TNS,0.89,0.93,4.26,EST,0,EQUITY,2019-08-02
11,ITT,ITT Inc.,2019-05-03T00:00:00.000Z,TNS,0.84,0.91,7.95,EST,0,EQUITY,2019-05-03
12,ITT,ITT Inc.,2019-02-22T00:00:00.000Z,TNS,0.74,0.82,10.81,EST,0,EQUITY,2019-02-22
13,ITT,ITT Inc.,2018-11-02T00:00:00.000Z,TNS,0.79,0.82,3.54,EST,0,EQUITY,2018-11-02
14,ITT,ITT Inc.,2018-08-03T00:00:00.000Z,TNS,0.78,0.82,5.26,EST,0,EQUITY,2018-08-03
15,ITT,ITT Inc.,2018-05-04T00:00:00.000Z,TNS,0.73,0.77,4.9,EST,0,EQUITY,2018-05-04
16,ITT,ITT Inc.,2018-02-16T00:00:00.000Z,TNS,0.59,0.64,8.84,EST,0,EQUITY,2018-02-16
17,ITT,ITT Inc.,2017-11-02T00:00:00.000Z,TNS,0.61,0.66,8.02,EST,0,EQUITY,2017-11-02
18,ITT,ITT Inc.,2017-08-04T00:00:00.000Z,TNS,0.63,0.65,3.5,EST,0,EQUITY,2017-08-04
19,ITT,ITT Inc.,2017-05-08T00:00:00.000Z,TNS,0.6,0.64,5.96,EST,0,EQUITY,2017-05-08
20,ITT,ITT Inc.,2017-02-14T00:00:00.000Z,TNS,0.42,0.48,14.56,EST,0,EQUITY,2017-02-14
21,ITT,ITT Inc.,2016-11-04T00:00:00.000Z,TNS,0.58,0.58,0.17,EST,0,EQUITY,2016-11-04
22,ITT,ITT Inc.,2016-08-04T00:00:00.000Z,TNS,0.6,0.67,11.48,EST,0,EQUITY,2016-08-04
23,ITT,ITT Inc.,2016-05-05T00:00:00.000Z,TNS,0.59,0.59,0.34,EST,0,EQUITY,2016-05-05
24,ITT,ITT Inc.,2016-02-12T00:00:00.000Z,TNS,0.55,0.58,5.45,EST,0,EQUITY,2016-02-12
25,ITT,ITT Inc.,2015-10-30T00:00:00.000Z,TNS,0.59,0.63,6.6,EST,0,EQUITY,2015-10-30
26,ITT,ITT Inc.,2015-07-31T00:00:00.000Z,TNS,0.59,0.69,16.55,EST,0,EQUITY,2015-07-31
27,ITT,ITT Inc.,2015-05-01T00:00:00.000Z,TNS,0.53,0.65,23.11,EST,0,EQUITY,2015-05-01
28,ITT,ITT Inc.,2015-02-13T00:00:00.000Z,TNS,0.57,0.59,2.97,EST,0,EQUITY,2015-02-13
29,ITT,ITT Inc.,2014-10-31T00:00:00.000Z,TNS,0.6,0.66,9.63,EST,0,EQUITY,2014-10-31
30,ITT,ITT Inc.,2014-07-31T00:00:00.000Z,TNS,0.52,0.6,14.65,EST,0,EQUITY,2014-07-31
31,ITT,ITT Inc.,2014-05-01T00:00:00.000Z,TNS,0.52,0.62,18.38,EST,0,EQUITY,2014-05-01
32,ITT,ITT Inc.,2014-02-14T00:00:00.000Z,TNS,0.47,0.49,3.98,EST,0,EQUITY,2014-02-14
33,ITT,ITT Inc.,2013-10-31T00:00:00.000Z,TNS,0.48,0.54,11.92,EST,0,EQUITY,2013-10-31
34,ITT,ITT Inc.,2013-08-01T00:00:00.000Z,TNS,0.45,0.51,14.35,EST,0,EQUITY,2013-08-01
35,ITT,ITT Inc.,2013-05-02T00:00:00.000Z,TNS,0.43,0.47,9.81,EST,0,EQUITY,2013-05-02
36,ITT,ITT Inc.,2013-02-27T00:00:00.000Z,TNS,0.38,0.37,-2.2,EST,0,EQUITY,2013-02-27
37,ITT,ITT Inc.,2012-11-02T00:00:00.000Z,TNS,0.39,0.44,12.0,EST,0,EQUITY,2012-11-02
38,ITT,ITT Inc.,2012-08-03T00:00:00.000Z,TNS,0.37,0.5,33.93,EST,0,EQUITY,2012-08-03
39,ITT,ITT Inc.,2012-05-04T00:00:00.000Z,TNS,0.32,0.39,20.93,EST,0,EQUITY,2012-05-04
40,ITT,ITT Inc.,2012-02-29T00:00:00.000Z,TNS,0.36,0.36,1.41,EST,0,EQUITY,2012-02-29
41,ITT,ITT Inc.,2011-10-28T00:00:00.000Z,TNS,2.34,2.34,-0.11,EST,0,EQUITY,2011-10-28
42,ITT,ITT Inc.,2011-07-29T00:00:00.000Z,TNS,2.31,2.36,2.02,EST,0,EQUITY,2011-07-29
43,ITT,ITT Inc.,2011-04-29T00:00:00.000Z,TNS,1.86,1.96,5.38,EST,0,EQUITY,2011-04-29
44,ITT,ITT Inc.,2011-02-03T00:00:00.000Z,TNS,2.52,2.72,7.98,EST,0,EQUITY,2011-02-03
45,ITT,ITT Inc.,2010-10-29T00:00:00.000Z,TNS,1.98,2.16,9.02,EST,0,EQUITY,2010-10-29
46,ITT,ITT Inc.,2010-07-30T00:00:00.000Z,TNS,2.14,2.28,6.4,EST,0,EQUITY,2010-07-30
47,ITT,ITT Inc.,2010-04-30T00:00:00.000Z,TNS,1.5,1.68,12.0,EST,0,EQUITY,2010-04-30
48,ITT,ITT Inc.,2010-02-03T00:00:00.000Z,TNS,1.87,1.94,3.78,EST,0,EQUITY,2010-02-03
49,ITT,ITT Inc.,2009-10-30T00:00:00.000Z,TNS,1.79,2.06,14.92,EST,0,EQUITY,2009-10-30
50,ITT,ITT Inc.,2009-07-31T00:00:00.000Z,TNS,1.6,2.12,32.21,EST,0,EQUITY,2009-07-31
51,ITT,ITT Inc.,2009-04-24T00:00:00.000Z,TNS,1.17,1.44,23.59,EST,0,EQUITY,2009-04-24
52,ITT,ITT Inc.,2009-02-04T00:00:00.000Z,TNS,1.53,1.64,6.93,EST,0,EQUITY,2009-02-04
53,ITT,ITT Inc.,2008-10-24T00:00:00.000Z,TNS,2.11,2.24,6.06,EST,0,EQUITY,2008-10-24
54,ITT,ITT Inc.,2008-07-25T00:00:00.000Z,TNS,2.21,2.38,7.75,EST,0,EQUITY,2008-07-25
55,ITT,ITT Inc.,2008-04-25T00:00:00.000Z,TNS,1.63,1.82,11.91,EST,0,EQUITY,2008-04-25
56,ITT,ITT Inc.,2008-02-06T00:00:00.000Z,TNS,1.87,1.88,0.58,EST,0,EQUITY,2008-02-06
57,ITT,ITT Inc.,2007-10-26T00:00:00.000Z,TNS,1.79,1.84,2.68,EST,0,EQUITY,2007-10-26
58,ITT,ITT Inc.,2007-07-27T00:00:00.000Z,TNS,1.8,1.84,2.22,EST,0,EQUITY,2007-07-27
59,ITT,ITT Inc.,2007-04-27T00:00:00.000Z,TNS,1.37,1.52,10.85,EST,0,EQUITY,2007-04-27
60,ITT,ITT Inc.,2007-02-02T00:00:00.000Z,TNS,1.35,1.46,8.28,EST,0,EQUITY,2007-02-02
61,ITT,ITT Inc.,2006-10-27T00:00:00.000Z,TNS,1.52,1.54,1.43,EST,0,EQUITY,2006-10-27
62,ITT,ITT Inc.,2006-07-28T00:00:00.000Z,TNS,1.54,1.52,-1.34,EST,0,EQUITY,2006-07-28
63,ITT,ITT Inc.,2006-04-28T00:00:00.000Z,TNS,1.22,1.18,-2.88,EST,0,EQUITY,2006-04-28
64,ITT,ITT Inc.,2006-01-27T00:00:00.000Z,TNS,1.41,1.43,1.67,EST,0,EQUITY,2006-01-27
65,ITT,ITT Inc.,2005-10-27T00:00:00.000Z,TNS,1.35,1.37,1.7,EST,0,EQUITY,2005-10-27
66,ITT,ITT Inc.,2005-07-29T00:00:00.000Z,TNS,1.32,1.43,8.22,EST,0,EQUITY,2005-07-29
67,ITT,ITT Inc.,2005-04-29T00:00:00.000Z,TNS,1.04,1.13,9.06,EST,0,EQUITY,2005-04-29
68,ITT,ITT Inc.,2005-01-28T00:00:00.000Z,TNS,1.25,1.28,2.51,EST,0,EQUITY,2005-01-28
69,ITT,ITT Inc.,2004-10-21T00:00:00.000Z,TNS,1.15,1.16,1.25,EST,0,EQUITY,2004-10-21
70,ITT,ITT Inc.,2004-07-23T00:00:00.000Z,TNS,1.15,1.17,1.74,EST,0,EQUITY,2004-07-23
71,ITT,ITT Inc.,2004-04-22T00:00:00.000Z,TNS,0.89,0.92,3.76,EST,0,EQUITY,2004-04-22
72,ITT,ITT Inc.,2004-01-23T00:00:00.000Z,TNS,1.04,1.05,0.51,EST,0,EQUITY,2004-01-23
73,ITT,ITT Inc.,2003-10-23T00:00:00.000Z,TNS,0.96,0.96,-0.24,EST,0,EQUITY,2003-10-23
74,ITT,ITT Inc.,2003-07-28T00:00:00.000Z,TNS,1.02,1.02,0.1,EST,0,EQUITY,2003-07-28
75,ITT,ITT Inc.,2003-04-23T00:00:00.000Z,TNS,0.81,0.83,2.09,EST,0,EQUITY,2003-04-23
76,ITT,ITT Inc.,2003-01-22T00:00:00.000Z,TNS,0.97,1.0,3.5,EST,0,EQUITY,2003-01-22
77,ITT,ITT Inc.,2002-10-23T00:00:00.000Z,TNS,0.9,0.94,4.74,EST,0,EQUITY,2002-10-23
78,ITT,ITT Inc.,2002-07-24T00:00:00.000Z,TNS,0.93,0.99,6.64,EST,0,EQUITY,2002-07-24
79,ITT,ITT Inc.,2002-04-24T00:00:00.000Z,TNS,0.72,0.77,6.42,EST,0,EQUITY,2002-04-24
80,ITT,ITT Inc.,2002-01-24T00:00:00.000Z,TNS,0.85,0.85,0.42,EST,0,EQUITY,2002-01-24
81,ITT,ITT Inc.,2001-10-25T00:00:00.000Z,TNS,0.73,0.75,2.63,EST,0,EQUITY,2001-10-25
82,ITT,ITT Inc.,2001-07-19T00:00:00.000Z,TNS,0.83,0.84,1.3,EST,0,EQUITY,2001-07-19
83,ITT,ITT Inc.,2001-04-24T00:00:00.000Z,TNS,0.65,0.65,-0.38,EST,0,EQUITY,2001-04-24
84,ITT,ITT Inc.,2001-01-23T00:00:00.000Z,TNS,0.84,0.87,3.3,EST,0,EQUITY,2001-01-23
85,ITT,ITT Inc.,2000-10-19T00:00:00.000Z,TNS,0.67,0.72,7.87,EST,0,EQUITY,2000-10-19
86,ITT,ITT Inc.,2000-07-20T00:00:00.000Z,TNS,0.77,0.78,1.89,EST,0,EQUITY,2000-07-20
87,ITT,ITT Inc.,2000-04-19T00:00:00.000Z,TNS,0.56,0.57,2.6,EST,0,EQUITY,2000-04-19
88,ITT,ITT Inc.,2000-01-25T00:00:00.000Z,TNS,0.77,0.77,-0.32,EST,0,EQUITY,2000-01-25
89,ITT,ITT Inc.,1999-10-19T00:00:00.000Z,TNS,0.58,0.6,3.63,EST,0,EQUITY,1999-10-19
90,ITT,ITT Inc.,1999-07-21T00:00:00.000Z,TNS,0.67,0.7,4.48,EST,0,EQUITY,1999-07-21
91,ITT,ITT Inc.,1999-04-21T00:00:00.000Z,TNS,0.45,0.45,0.96,EST,0,EQUITY,1999-04-21
92,ITT,ITT Inc.,1999-01-28T00:00:00.000Z,TNS,0.48,0.59,22.92,EST,0,EQUITY,1999-01-28
93,ITT,ITT Inc.,1998-10-20T00:00:00.000Z,TNS,0.47,0.35,-25.0,EST,0,EQUITY,1998-10-20
94,ITT,ITT Inc.,1998-07-21T00:00:00.000Z,TNS,0.62,0.62,0.0,EST,0,EQUITY,1998-07-21
95,ITT,ITT Inc.,1998-04-21T00:00:00.000Z,TNS,0.43,0.46,7.81,EST,0,EQUITY,1998-04-21
96,ITT,ITT Inc.,1998-01-27T00:00:00.000Z,TNS,0.62,0.6,-3.4,EST,0,EQUITY,1998-01-27
97,ITT,ITT Inc.,1997-10-16T00:00:00.000Z,TNS,0.4,0.45,12.03,EST,0,EQUITY,1997-10-16
98,ITT,ITT Inc.,1997-07-22T00:00:00.000Z,TNS,0.62,0.68,9.32,EST,0,EQUITY,1997-07-22
99,ITT,ITT Inc.,1997-04-21T00:00:00.000Z,TNS,0.34,0.37,7.56,EST,0,EQUITY,1997-04-21
