,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,JCI,Johnson Controls International plc,2021-11-05T00:00:00.000Z,TNS,0.87,0.88,0.69,EST,0,EQUITY,2021-11-05
1,JCI,Johnson Controls International plc,2021-07-30T00:00:00.000Z,TNS,0.83,0.83,-0.24,EST,0,EQUITY,2021-07-30
2,JCI,Johnson Controls International plc,2021-04-30T00:00:00.000Z,TNS,0.49,0.52,6.56,EST,0,EQUITY,2021-04-30
3,JCI,Johnson Controls International plc,2021-01-29T00:00:00.000Z,TNS,0.4,0.43,6.44,EST,0,EQUITY,2021-01-29
4,JCI,Johnson Controls International plc,2020-11-03T00:00:00.000Z,TNS,0.73,0.76,4.11,EST,0,EQUITY,2020-11-03
5,JCI,Johnson Controls International plc,2020-07-31T00:00:00.000Z,TNS,0.48,0.67,39.29,EST,0,EQUITY,2020-07-31
6,JCI,Johnson Controls International plc,2020-05-01T00:00:00.000Z,TNS,0.36,0.42,16.67,EST,0,EQUITY,2020-05-01
7,JCI,Johnson Controls International plc,2020-01-31T00:00:00.000Z,TNS,0.38,0.4,5.54,EST,0,EQUITY,2020-01-31
8,JCI,Johnson Controls International plc,2019-11-07T00:00:00.000Z,TNS,0.76,0.78,2.36,EST,0,EQUITY,2019-11-07
9,JCI,Johnson Controls International plc,2019-07-31T00:00:00.000Z,TNS,0.63,0.65,3.5,EST,0,EQUITY,2019-07-31
10,JCI,Johnson Controls International plc,2019-05-01T00:00:00.000Z,TNS,0.3,0.32,6.31,EST,0,EQUITY,2019-05-01
11,JCI,Johnson Controls International plc,2019-02-01T00:00:00.000Z,TNS,0.24,0.26,8.33,EST,0,EQUITY,2019-02-01
12,JCI,Johnson Controls International plc,2018-11-08T00:00:00.000Z,TNS,0.93,0.93,0.0,EST,0,EQUITY,2018-11-08
13,JCI,Johnson Controls International plc,2018-07-31T00:00:00.000Z,TNS,0.79,0.81,2.14,EST,0,EQUITY,2018-07-31
14,JCI,Johnson Controls International plc,2018-05-01T00:00:00.000Z,TNS,0.52,0.53,2.12,EST,0,EQUITY,2018-05-01
15,JCI,Johnson Controls International plc,2018-01-31T00:00:00.000Z,TNS,0.53,0.54,2.66,EST,0,EQUITY,2018-01-31
16,JCI,Johnson Controls International plc,2017-11-09T00:00:00.000Z,TNS,0.87,0.87,0.35,EST,0,EQUITY,2017-11-09
17,JCI,Johnson Controls International plc,2017-07-27T00:00:00.000Z,TNS,0.71,0.71,-0.28,EST,0,EQUITY,2017-07-27
18,JCI,Johnson Controls International plc,2017-04-27T00:00:00.000Z,TNS,0.49,0.5,1.21,EST,0,EQUITY,2017-04-27
19,JCI,Johnson Controls International plc,2017-02-01T00:00:00.000Z,TNS,0.52,0.53,2.51,EST,0,EQUITY,2017-02-01
20,JCI,Johnson Controls International plc,2016-11-08T00:00:00.000Z,TNS,1.06,1.21,14.58,EST,0,EQUITY,2016-11-08
21,JCI,Johnson Controls International plc,2016-07-29T00:00:00.000Z,TNS,0.56,0.56,1.25,EST,0,EQUITY,2016-07-29
22,JCI,Johnson Controls International plc,2016-04-29T00:00:00.000Z,TNS,0.48,0.47,-0.84,EST,0,EQUITY,2016-04-29
23,JCI,Johnson Controls International plc,2016-01-29T00:00:00.000Z,TNS,0.44,0.44,1.15,EST,0,EQUITY,2016-01-29
24,JCI,Johnson Controls International plc,2015-11-13T00:00:00.000Z,TNS,0.64,0.64,0.0,EST,0,EQUITY,2015-11-13
25,JCI,Johnson Controls International plc,2015-07-31T00:00:00.000Z,TNS,0.59,0.62,5.46,EST,0,EQUITY,2015-07-31
26,JCI,Johnson Controls International plc,2015-04-24T00:00:00.000Z,TNS,0.52,0.58,11.63,EST,0,EQUITY,2015-04-24
27,JCI,Johnson Controls International plc,2015-01-30T00:00:00.000Z,TNS,0.51,0.51,-0.19,EST,0,EQUITY,2015-01-30
28,JCI,Johnson Controls International plc,2014-11-13T00:00:00.000Z,TNS,0.59,0.59,-0.17,EST,0,EQUITY,2014-11-13
29,JCI,Johnson Controls International plc,2014-07-25T00:00:00.000Z,TNS,0.56,0.57,0.67,EST,0,EQUITY,2014-07-25
30,JCI,Johnson Controls International plc,2014-04-25T00:00:00.000Z,TNS,0.43,0.47,10.68,EST,0,EQUITY,2014-04-25
31,JCI,Johnson Controls International plc,2014-01-31T00:00:00.000Z,TNS,0.47,0.49,4.45,EST,0,EQUITY,2014-01-31
32,JCI,Johnson Controls International plc,2013-11-14T00:00:00.000Z,TNS,0.55,0.54,-0.22,EST,0,EQUITY,2013-11-14
33,JCI,Johnson Controls International plc,2013-07-26T00:00:00.000Z,TNS,0.5,0.52,4.3,EST,0,EQUITY,2013-07-26
34,JCI,Johnson Controls International plc,2013-04-26T00:00:00.000Z,TNS,0.41,0.44,7.01,EST,0,EQUITY,2013-04-26
35,JCI,Johnson Controls International plc,2013-01-29T00:00:00.000Z,TNS,0.41,0.42,1.87,EST,0,EQUITY,2013-01-29
36,JCI,Johnson Controls International plc,2012-11-14T00:00:00.000Z,TNS,0.36,0.35,-5.26,EST,0,EQUITY,2012-11-14
37,JCI,Johnson Controls International plc,2012-07-31T00:00:00.000Z,TNS,0.97,1.06,9.15,EST,0,EQUITY,2012-07-31
38,JCI,Johnson Controls International plc,2012-04-26T00:00:00.000Z,TNS,0.83,0.9,8.94,EST,0,EQUITY,2012-04-26
39,JCI,Johnson Controls International plc,2012-01-31T00:00:00.000Z,TNS,0.82,0.88,6.73,EST,0,EQUITY,2012-01-31
40,JCI,Johnson Controls International plc,2011-11-16T00:00:00.000Z,TNS,0.9,0.96,7.12,EST,0,EQUITY,2011-11-16
41,JCI,Johnson Controls International plc,2011-07-28T00:00:00.000Z,TNS,0.76,0.89,17.29,EST,0,EQUITY,2011-07-28
42,JCI,Johnson Controls International plc,2011-04-28T00:00:00.000Z,TNS,0.71,0.76,7.35,EST,0,EQUITY,2011-04-28
43,JCI,Johnson Controls International plc,2011-01-27T00:00:00.000Z,TNS,0.71,0.79,10.6,EST,0,EQUITY,2011-01-27
44,JCI,Johnson Controls International plc,2010-11-09T00:00:00.000Z,TNS,0.69,0.77,12.69,EST,0,EQUITY,2010-11-09
45,JCI,Johnson Controls International plc,2010-07-29T00:00:00.000Z,TNS,0.67,0.75,12.91,EST,0,EQUITY,2010-07-29
46,JCI,Johnson Controls International plc,2010-04-27T00:00:00.000Z,TNS,0.57,0.62,8.26,EST,0,EQUITY,2010-04-27
47,JCI,Johnson Controls International plc,2010-01-28T00:00:00.000Z,TNS,0.62,0.68,9.24,EST,0,EQUITY,2010-01-28
48,JCI,Johnson Controls International plc,2009-11-10T00:00:00.000Z,TNS,0.56,0.64,13.94,EST,0,EQUITY,2009-11-10
49,JCI,Johnson Controls International plc,2009-07-30T00:00:00.000Z,TNS,0.47,0.61,29.61,EST,0,EQUITY,2009-07-30
50,JCI,Johnson Controls International plc,2009-04-30T00:00:00.000Z,TNS,0.42,0.58,35.67,EST,0,EQUITY,2009-04-30
51,JCI,Johnson Controls International plc,2009-02-03T00:00:00.000Z,TNS,0.5,0.64,29.01,EST,0,EQUITY,2009-02-03
52,JCI,Johnson Controls International plc,2008-11-11T00:00:00.000Z,TNS,0.77,0.85,10.52,EST,0,EQUITY,2008-11-11
53,JCI,Johnson Controls International plc,2008-07-31T00:00:00.000Z,TNS,0.7,0.92,30.81,EST,0,EQUITY,2008-07-31
54,JCI,Johnson Controls International plc,2008-05-01T00:00:00.000Z,TNS,0.6,0.7,17.36,EST,0,EQUITY,2008-05-01
55,JCI,Johnson Controls International plc,2008-02-05T00:00:00.000Z,TNS,0.59,0.76,28.89,EST,0,EQUITY,2008-02-05
56,JCI,Johnson Controls International plc,2007-11-15T00:00:00.000Z,TNS,0.58,0.6,2.79,EST,0,EQUITY,2007-11-15
57,JCI,Johnson Controls International plc,2007-08-07T00:00:00.000Z,TNS,0.5,0.58,15.62,EST,0,EQUITY,2007-08-07
58,JCI,Johnson Controls International plc,2007-05-08T00:00:00.000Z,TNS,1.97,2.05,4.44,EST,0,EQUITY,2007-05-08
59,JCI,Johnson Controls International plc,2007-02-06T00:00:00.000Z,TNS,1.83,1.88,3.25,EST,0,EQUITY,2007-02-06
60,JCI,Johnson Controls International plc,2006-11-15T00:00:00.000Z,TNS,2.05,2.14,4.41,EST,0,EQUITY,2006-11-15
61,JCI,Johnson Controls International plc,2006-08-03T00:00:00.000Z,TNS,1.99,2.05,2.91,EST,0,EQUITY,2006-08-03
62,JCI,Johnson Controls International plc,2006-05-04T00:00:00.000Z,TNS,1.74,1.88,8.17,EST,0,EQUITY,2006-05-04
63,JCI,Johnson Controls International plc,2006-02-02T00:00:00.000Z,TNS,1.6,1.63,2.4,EST,0,EQUITY,2006-02-02
64,JCI,Johnson Controls International plc,2005-11-16T00:00:00.000Z,TNS,1.95,2.01,3.36,EST,0,EQUITY,2005-11-16
65,JCI,Johnson Controls International plc,2005-08-02T00:00:00.000Z,TNS,2.04,2.09,2.88,EST,0,EQUITY,2005-08-02
66,JCI,Johnson Controls International plc,2005-05-03T00:00:00.000Z,TNS,1.96,2.01,2.56,EST,0,EQUITY,2005-05-03
67,JCI,Johnson Controls International plc,2005-02-01T00:00:00.000Z,TNS,1.75,1.76,0.45,EST,0,EQUITY,2005-02-01
68,JCI,Johnson Controls International plc,2004-11-01T00:00:00.000Z,TNS,1.81,1.88,4.17,EST,0,EQUITY,2004-11-01
69,JCI,Johnson Controls International plc,2004-08-03T00:00:00.000Z,TNS,1.74,1.88,8.43,EST,0,EQUITY,2004-08-03
70,JCI,Johnson Controls International plc,2004-05-04T00:00:00.000Z,TNS,1.5,1.72,14.13,EST,0,EQUITY,2004-05-04
71,JCI,Johnson Controls International plc,2004-02-03T00:00:00.000Z,TNS,1.34,1.42,6.25,EST,0,EQUITY,2004-02-03
72,JCI,Johnson Controls International plc,2003-11-04T00:00:00.000Z,TNS,1.4,1.42,2.08,EST,0,EQUITY,2003-11-04
73,JCI,Johnson Controls International plc,2003-07-29T00:00:00.000Z,TNS,1.45,1.34,-7.69,EST,0,EQUITY,2003-07-29
74,JCI,Johnson Controls International plc,2003-04-30T00:00:00.000Z,TNS,1.33,1.34,0.52,EST,0,EQUITY,2003-04-30
75,JCI,Johnson Controls International plc,2003-01-22T00:00:00.000Z,TNS,1.34,1.34,0.24,EST,0,EQUITY,2003-01-22
76,JCI,Johnson Controls International plc,2002-10-24T00:00:00.000Z,TNS,1.33,1.26,-5.34,EST,0,EQUITY,2002-10-24
77,JCI,Johnson Controls International plc,2002-07-23T00:00:00.000Z,TNS,1.87,1.88,0.84,EST,0,EQUITY,2002-07-23
