,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,JOUT,Johnson Outdoors Inc,2021-12-10T06:00:00.000Z,TAS,0.65,0.68,4.62,EST,-18000000,EQUITY,2021-12-10
4,JOUT,Johnson Outdoors Inc.,2021-08-09T00:00:00.000Z,TNS,2.5,2.83,13.2,EST,0,EQUITY,2021-08-09
5,JOUT,Johnson Outdoors Inc.,2021-05-07T00:00:00.000Z,TNS,2.44,2.74,12.3,EST,0,EQUITY,2021-05-07
6,JOUT,Johnson Outdoors Inc.,2021-02-05T00:00:00.000Z,TNS,0.89,1.96,120.22,EST,0,EQUITY,2021-02-05
7,JOUT,Johnson Outdoors Inc.,2020-12-11T00:00:00.000Z,TNS,0.8,1.53,91.25,EST,0,EQUITY,2020-12-11
8,JOUT,Johnson Outdoors Inc.,2020-07-31T00:00:00.000Z,TNS,1.82,1.27,-30.22,EST,0,EQUITY,2020-07-31
9,JOUT,Johnson Outdoors Inc.,2020-05-05T00:00:00.000Z,TNS,1.6,2.02,26.25,EST,0,EQUITY,2020-05-05
10,JOUT,Johnson Outdoors Inc.,2020-01-31T00:00:00.000Z,TNS,0.5,0.64,29.29,EST,0,EQUITY,2020-01-31
11,JOUT,Johnson Outdoors Inc.,2019-12-06T00:00:00.000Z,TNS,-0.1,0.39,471.43,EST,0,EQUITY,2019-12-06
12,JOUT,Johnson Outdoors Inc.,2019-08-02T00:00:00.000Z,TNS,2.37,2.19,-7.59,EST,0,EQUITY,2019-08-02
13,JOUT,Johnson Outdoors Inc.,2019-05-03T00:00:00.000Z,TNS,1.83,2.18,19.13,EST,0,EQUITY,2019-05-03
14,JOUT,Johnson Outdoors Inc.,2019-02-04T00:00:00.000Z,TNS,0.39,0.35,-10.26,EST,0,EQUITY,2019-02-04
15,JOUT,Johnson Outdoors Inc.,2018-12-07T00:00:00.000Z,TNS,0.01,-0.49,-9900.0,EST,0,EQUITY,2018-12-07
16,JOUT,Johnson Outdoors Inc.,2018-08-07T00:00:00.000Z,TNS,1.97,2.37,20.61,EST,0,EQUITY,2018-08-07
17,JOUT,Johnson Outdoors Inc.,2018-05-04T00:00:00.000Z,TNS,1.47,2.15,46.26,EST,0,EQUITY,2018-05-04
18,JOUT,Johnson Outdoors Inc.,2018-02-02T00:00:00.000Z,TNS,0.03,0.02,-20.0,EST,0,EQUITY,2018-02-02
19,JOUT,Johnson Outdoors Inc.,2017-12-08T00:00:00.000Z,TNS,0.0,0.06,,EST,0,EQUITY,2017-12-08
20,JOUT,Johnson Outdoors Inc.,2017-08-04T00:00:00.000Z,TNS,1.09,1.65,51.38,EST,0,EQUITY,2017-08-04
21,JOUT,Johnson Outdoors Inc.,2017-05-05T00:00:00.000Z,TNS,0.92,1.39,51.09,EST,0,EQUITY,2017-05-05
22,JOUT,Johnson Outdoors Inc.,2017-02-03T00:00:00.000Z,TNS,-0.06,0.4,715.38,EST,0,EQUITY,2017-02-03
23,JOUT,Johnson Outdoors Inc.,2016-12-12T00:00:00.000Z,TNS,0.02,-0.21,-1150.0,EST,0,EQUITY,2016-12-12
26,JOUT,Johnson Outdoors Inc.,2016-02-05T00:00:00.000Z,TNS,-0.25,-0.05,80.0,EST,0,EQUITY,2016-02-05
