,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,KFRC,Kforce Inc.,2021-11-01T00:00:00.000Z,TNS,0.88,0.96,9.59,EST,0,EQUITY,2021-11-01
5,KFRC,Kforce Inc.,2021-08-03T00:00:00.000Z,TNS,0.9,1.0,11.61,EST,0,EQUITY,2021-08-03
6,KFRC,Kforce Inc.,2021-05-03T00:00:00.000Z,TNS,0.62,0.62,-0.64,EST,0,EQUITY,2021-05-03
7,KFRC,Kforce Inc.,2021-02-08T00:00:00.000Z,TNS,0.77,0.86,12.27,EST,0,EQUITY,2021-02-08
8,KFRC,Kforce Inc.,2020-11-02T00:00:00.000Z,TNS,0.81,0.89,9.88,EST,0,EQUITY,2020-11-02
9,KFRC,Kforce Inc.,2020-08-10T00:00:00.000Z,TNS,0.31,0.47,51.13,EST,0,EQUITY,2020-08-10
10,KFRC,Kforce Inc.,2020-05-06T00:00:00.000Z,TNS,0.37,0.42,12.6,EST,0,EQUITY,2020-05-06
11,KFRC,Kforce Inc.,2020-02-05T00:00:00.000Z,TNS,0.67,0.66,-1.49,EST,0,EQUITY,2020-02-05
12,KFRC,Kforce Inc.,2019-10-30T00:00:00.000Z,TNS,0.67,0.68,1.34,EST,0,EQUITY,2019-10-30
13,KFRC,Kforce Inc.,2019-07-31T00:00:00.000Z,TNS,0.65,0.66,1.07,EST,0,EQUITY,2019-07-31
14,KFRC,Kforce Inc.,2019-05-01T00:00:00.000Z,TNS,0.4,0.38,-3.8,EST,0,EQUITY,2019-05-01
15,KFRC,Kforce Inc.,2019-02-06T00:00:00.000Z,TNS,0.57,0.65,14.84,EST,0,EQUITY,2019-02-06
16,KFRC,Kforce Inc.,2018-10-31T00:00:00.000Z,TNS,0.66,0.64,-2.74,EST,0,EQUITY,2018-10-31
17,KFRC,Kforce Inc.,2018-08-01T00:00:00.000Z,TNS,0.64,0.65,1.88,EST,0,EQUITY,2018-08-01
18,KFRC,Kforce Inc.,2018-05-01T00:00:00.000Z,TNS,0.36,0.37,4.23,EST,0,EQUITY,2018-05-01
19,KFRC,Kforce Inc.,2018-02-06T00:00:00.000Z,TNS,0.37,0.45,21.29,EST,0,EQUITY,2018-02-06
20,KFRC,Kforce Inc.,2017-10-31T00:00:00.000Z,TNS,0.45,0.4,-11.11,EST,0,EQUITY,2017-10-31
21,KFRC,Kforce Inc.,2017-08-01T00:00:00.000Z,TNS,0.46,0.44,-4.35,EST,0,EQUITY,2017-08-01
22,KFRC,Kforce Inc.,2017-05-02T00:00:00.000Z,TNS,0.23,0.23,0.44,EST,0,EQUITY,2017-05-02
23,KFRC,Kforce Inc.,2017-02-07T00:00:00.000Z,TNS,0.32,0.36,13.21,EST,0,EQUITY,2017-02-07
24,KFRC,Kforce Inc.,2016-11-01T00:00:00.000Z,TNS,0.42,0.44,5.52,EST,0,EQUITY,2016-11-01
25,KFRC,Kforce Inc.,2016-08-02T00:00:00.000Z,TNS,0.4,0.41,2.24,EST,0,EQUITY,2016-08-02
26,KFRC,Kforce Inc.,2016-05-03T00:00:00.000Z,TNS,0.25,0.24,-4.38,EST,0,EQUITY,2016-05-03
27,KFRC,Kforce Inc.,2016-02-09T00:00:00.000Z,TNS,0.44,0.43,-2.05,EST,0,EQUITY,2016-02-09
28,KFRC,Kforce Inc.,2015-11-03T00:00:00.000Z,TNS,0.46,0.48,3.9,EST,0,EQUITY,2015-11-03
29,KFRC,Kforce Inc.,2015-08-04T00:00:00.000Z,TNS,0.35,0.41,18.5,EST,0,EQUITY,2015-08-04
30,KFRC,Kforce Inc.,2015-04-28T00:00:00.000Z,TNS,0.18,0.2,12.36,EST,0,EQUITY,2015-04-28
31,KFRC,Kforce Inc.,2015-02-10T00:00:00.000Z,TNS,0.31,0.31,-1.27,EST,0,EQUITY,2015-02-10
32,KFRC,Kforce Inc.,2014-10-28T00:00:00.000Z,TNS,0.28,0.3,7.53,EST,0,EQUITY,2014-10-28
33,KFRC,Kforce Inc.,2014-08-04T00:00:00.000Z,TNS,0.32,0.33,2.92,EST,0,EQUITY,2014-08-04
34,KFRC,Kforce Inc.,2014-04-29T00:00:00.000Z,TNS,0.16,0.19,15.5,EST,0,EQUITY,2014-04-29
35,KFRC,Kforce Inc.,2014-02-11T00:00:00.000Z,TNS,0.28,0.28,-1.28,EST,0,EQUITY,2014-02-11
36,KFRC,Kforce Inc.,2013-10-29T00:00:00.000Z,TNS,0.27,0.27,-0.53,EST,0,EQUITY,2013-10-29
37,KFRC,Kforce Inc.,2013-07-30T00:00:00.000Z,TNS,0.21,0.21,1.87,EST,0,EQUITY,2013-07-30
38,KFRC,Kforce Inc.,2013-04-30T00:00:00.000Z,TNS,0.11,0.09,-20.35,EST,0,EQUITY,2013-04-30
39,KFRC,Kforce Inc.,2013-02-05T00:00:00.000Z,TNS,0.22,0.24,8.9,EST,0,EQUITY,2013-02-05
40,KFRC,Kforce Inc.,2012-10-30T00:00:00.000Z,TNS,0.24,0.26,7.74,EST,0,EQUITY,2012-10-30
41,KFRC,Kforce Inc.,2012-07-31T00:00:00.000Z,TNS,0.22,0.24,11.28,EST,0,EQUITY,2012-07-31
42,KFRC,Kforce Inc.,2012-05-01T00:00:00.000Z,TNS,0.15,0.12,-19.94,EST,0,EQUITY,2012-05-01
43,KFRC,Kforce Inc.,2012-02-07T00:00:00.000Z,TNS,0.19,0.2,5.05,EST,0,EQUITY,2012-02-07
44,KFRC,Kforce Inc.,2011-11-01T00:00:00.000Z,TNS,0.22,0.22,0.0,EST,0,EQUITY,2011-11-01
45,KFRC,Kforce Inc.,2011-08-02T00:00:00.000Z,TNS,0.19,0.17,-8.91,EST,0,EQUITY,2011-08-02
46,KFRC,Kforce Inc.,2011-05-03T00:00:00.000Z,TNS,0.13,0.12,-10.2,EST,0,EQUITY,2011-05-03
47,KFRC,Kforce Inc.,2011-02-08T00:00:00.000Z,TNS,0.15,0.16,4.07,EST,0,EQUITY,2011-02-08
48,KFRC,Kforce Inc.,2010-11-01T00:00:00.000Z,TNS,0.15,0.16,4.07,EST,0,EQUITY,2010-11-01
49,KFRC,Kforce Inc.,2010-08-03T00:00:00.000Z,TNS,0.12,0.13,11.43,EST,0,EQUITY,2010-08-03
50,KFRC,Kforce Inc.,2010-05-04T00:00:00.000Z,TNS,0.06,0.07,10.53,EST,0,EQUITY,2010-05-04
51,KFRC,Kforce Inc.,2010-02-09T00:00:00.000Z,TNS,0.08,0.09,17.39,EST,0,EQUITY,2010-02-09
52,KFRC,Kforce Inc.,2009-11-03T00:00:00.000Z,TNS,0.07,0.06,-8.48,EST,0,EQUITY,2009-11-03
53,KFRC,Kforce Inc.,2009-08-04T00:00:00.000Z,TNS,0.06,0.1,56.86,EST,0,EQUITY,2009-08-04
54,KFRC,Kforce Inc.,2009-05-05T00:00:00.000Z,TNS,0.07,0.08,21.75,EST,0,EQUITY,2009-05-05
55,KFRC,Kforce Inc.,2009-02-10T00:00:00.000Z,TNS,0.12,0.19,65.22,EST,0,EQUITY,2009-02-10
56,KFRC,Kforce Inc.,2008-10-28T00:00:00.000Z,TNS,0.19,0.18,-3.82,EST,0,EQUITY,2008-10-28
57,KFRC,Kforce Inc.,2008-07-29T00:00:00.000Z,TNS,0.17,0.22,26.23,EST,0,EQUITY,2008-07-29
58,KFRC,Kforce Inc.,2008-04-29T00:00:00.000Z,TNS,0.2,0.18,-7.69,EST,0,EQUITY,2008-04-29
59,KFRC,Kforce Inc.,2008-02-05T00:00:00.000Z,TNS,0.25,0.24,-3.35,EST,0,EQUITY,2008-02-05
60,KFRC,Kforce Inc.,2007-10-30T00:00:00.000Z,TNS,0.26,0.26,1.3,EST,0,EQUITY,2007-10-30
61,KFRC,Kforce Inc.,2007-07-31T00:00:00.000Z,TNS,0.25,0.25,2.04,EST,0,EQUITY,2007-07-31
62,KFRC,Kforce Inc.,2007-05-01T00:00:00.000Z,TNS,0.19,0.21,10.53,EST,0,EQUITY,2007-05-01
63,KFRC,Kforce Inc.,2007-02-06T00:00:00.000Z,TNS,0.22,0.22,0.0,EST,0,EQUITY,2007-02-06
64,KFRC,Kforce Inc.,2006-10-31T00:00:00.000Z,TNS,0.22,0.21,-4.55,EST,0,EQUITY,2006-10-31
65,KFRC,Kforce Inc.,2006-08-01T00:00:00.000Z,TNS,0.2,0.2,0.0,EST,0,EQUITY,2006-08-01
66,KFRC,Kforce Inc.,2006-05-02T00:00:00.000Z,TNS,0.13,0.15,13.64,EST,0,EQUITY,2006-05-02
67,KFRC,Kforce Inc.,2006-02-07T00:00:00.000Z,TNS,0.17,0.17,1.49,EST,0,EQUITY,2006-02-07
68,KFRC,Kforce Inc.,2005-11-01T00:00:00.000Z,TNS,0.15,0.17,13.33,EST,0,EQUITY,2005-11-01
69,KFRC,Kforce Inc.,2005-08-02T00:00:00.000Z,TNS,0.12,0.14,21.74,EST,0,EQUITY,2005-08-02
70,KFRC,Kforce Inc.,2005-05-03T00:00:00.000Z,TNS,0.08,0.08,3.23,EST,0,EQUITY,2005-05-03
71,KFRC,Kforce Inc.,2005-02-08T00:00:00.000Z,TNS,0.13,0.13,-1.89,EST,0,EQUITY,2005-02-08
72,KFRC,Kforce Inc.,2004-10-26T00:00:00.000Z,TNS,0.14,0.16,12.28,EST,0,EQUITY,2004-10-26
73,KFRC,Kforce Inc.,2004-07-28T00:00:00.000Z,TNS,0.06,0.01,-82.35,EST,0,EQUITY,2004-07-28
74,KFRC,Kforce Inc.,2004-04-27T00:00:00.000Z,TNS,0.03,0.03,20.0,EST,0,EQUITY,2004-04-27
75,KFRC,Kforce Inc.,2004-02-04T00:00:00.000Z,TNS,0.03,0.09,200.0,EST,0,EQUITY,2004-02-04
76,KFRC,Kforce Inc.,2003-10-29T00:00:00.000Z,TNS,0.02,0.04,71.45,EST,0,EQUITY,2003-10-29
77,KFRC,Kforce Inc.,2003-07-30T00:00:00.000Z,TNS,0.01,0.02,100.0,EST,0,EQUITY,2003-07-30
78,KFRC,Kforce Inc.,2003-04-30T00:00:00.000Z,TNS,-0.02,0.01,142.86,EST,0,EQUITY,2003-04-30
79,KFRC,Kforce Inc.,2003-02-05T00:00:00.000Z,TNS,-0.05,-0.36,-620.0,EST,0,EQUITY,2003-02-05
80,KFRC,Kforce Inc.,2002-10-30T00:00:00.000Z,TNS,-0.03,0.0,100.0,EST,0,EQUITY,2002-10-30
81,KFRC,Kforce Inc.,2002-07-31T00:00:00.000Z,TNS,-0.05,-0.02,57.15,EST,0,EQUITY,2002-07-31
82,KFRC,Kforce Inc.,2002-04-24T00:00:00.000Z,TNS,-0.06,-0.05,11.77,EST,0,EQUITY,2002-04-24
83,KFRC,Kforce Inc.,2002-01-30T00:00:00.000Z,TNS,-0.05,-0.07,-49.99,EST,0,EQUITY,2002-01-30
84,KFRC,Kforce Inc.,2001-10-24T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,2001-10-24
