,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,KMPR,Kemper Corp,2021-10-28T16:05:00.000Z,TAS,-0.07,-1.19,-1600.0,EST,-18000000,EQUITY,2021-10-28
2,KMPR,Kemper Corporation,2021-07-29T00:00:00.000Z,TNS,1.24,-1.54,-224.7,EST,0,EQUITY,2021-07-29
3,KMPR,Kemper Corporation,2021-04-29T00:00:00.000Z,TNS,1.31,1.31,0.15,EST,0,EQUITY,2021-04-29
4,KMPR,Kemper Corporation,2021-02-01T00:00:00.000Z,TNS,1.55,1.59,2.58,EST,0,EQUITY,2021-02-01
5,KMPR,Kemper Corporation,2020-11-02T00:00:00.000Z,TNS,0.99,1.36,37.79,EST,0,EQUITY,2020-11-02
6,KMPR,Kemper Corporation,2020-08-03T00:00:00.000Z,TNS,1.03,1.2,16.5,EST,0,EQUITY,2020-08-03
7,KMPR,Kemper Corporation,2020-05-07T00:00:00.000Z,TNS,2.34,2.43,3.84,EST,0,EQUITY,2020-05-07
8,KMPR,Kemper Corporation,2020-02-10T00:00:00.000Z,TNS,1.39,1.45,4.02,EST,0,EQUITY,2020-02-10
9,KMPR,Kemper Corporation,2019-11-04T00:00:00.000Z,TNS,1.39,1.93,38.55,EST,0,EQUITY,2019-11-04
10,KMPR,Kemper Corporation,2019-08-05T00:00:00.000Z,TNS,1.35,1.38,2.0,EST,0,EQUITY,2019-08-05
11,KMPR,Kemper Corporation,2019-04-29T00:00:00.000Z,TNS,1.35,1.5,11.44,EST,0,EQUITY,2019-04-29
12,KMPR,Kemper Corporation,2019-02-11T00:00:00.000Z,TNS,0.72,0.91,25.86,EST,0,EQUITY,2019-02-11
13,KMPR,Kemper Corporation,2018-11-05T00:00:00.000Z,TNS,1.19,1.59,33.28,EST,0,EQUITY,2018-11-05
14,KMPR,Kemper Corporation,2018-07-30T00:00:00.000Z,TNS,0.66,0.7,6.38,EST,0,EQUITY,2018-07-30
15,KMPR,Kemper Corporation,2018-04-30T00:00:00.000Z,TNS,0.76,1.1,44.36,EST,0,EQUITY,2018-04-30
16,KMPR,Kemper Corporation,2018-02-13T00:00:00.000Z,TNS,0.42,0.45,8.17,EST,0,EQUITY,2018-02-13
17,KMPR,Kemper Corporation,2017-10-30T00:00:00.000Z,TNS,0.34,0.85,149.27,EST,0,EQUITY,2017-10-30
18,KMPR,Kemper Corporation,2017-08-01T00:00:00.000Z,TNS,0.17,0.41,141.18,EST,0,EQUITY,2017-08-01
19,KMPR,Kemper Corporation,2017-05-04T00:00:00.000Z,TNS,-0.18,-0.08,56.04,EST,0,EQUITY,2017-05-04
20,KMPR,Kemper Corporation,2017-02-09T00:00:00.000Z,TNS,0.43,0.56,30.84,EST,0,EQUITY,2017-02-09
21,KMPR,Kemper Corporation,2016-11-03T00:00:00.000Z,TNS,-0.46,-0.4,13.42,EST,0,EQUITY,2016-11-03
22,KMPR,Kemper Corporation,2016-08-04T00:00:00.000Z,TNS,-0.15,0.09,159.6,EST,0,EQUITY,2016-08-04
23,KMPR,Kemper Corporation,2016-05-05T00:00:00.000Z,TNS,0.0,-0.01,,EST,0,EQUITY,2016-05-05
24,KMPR,Kemper Corporation,2016-02-04T00:00:00.000Z,TNS,0.59,0.09,-84.62,EST,0,EQUITY,2016-02-04
25,KMPR,Kemper Corporation,2015-11-05T00:00:00.000Z,TNS,0.56,0.7,25.45,EST,0,EQUITY,2015-11-05
26,KMPR,Kemper Corporation,2015-08-06T00:00:00.000Z,TNS,0.5,0.13,-74.05,EST,0,EQUITY,2015-08-06
27,KMPR,Kemper Corporation,2015-05-07T00:00:00.000Z,TNS,0.57,0.42,-26.44,EST,0,EQUITY,2015-05-07
28,KMPR,Kemper Corporation,2015-02-05T00:00:00.000Z,TNS,0.71,1.02,43.86,EST,0,EQUITY,2015-02-05
29,KMPR,Kemper Corporation,2014-11-06T00:00:00.000Z,TNS,-0.15,0.04,127.21,EST,0,EQUITY,2014-11-06
30,KMPR,Kemper Corporation,2014-08-07T00:00:00.000Z,TNS,0.29,0.18,-38.04,EST,0,EQUITY,2014-08-07
31,KMPR,Kemper Corporation,2014-05-08T00:00:00.000Z,TNS,0.65,0.56,-14.37,EST,0,EQUITY,2014-05-08
32,KMPR,Kemper Corporation,2014-02-06T00:00:00.000Z,TNS,0.61,0.83,35.8,EST,0,EQUITY,2014-02-06
33,KMPR,Kemper Corporation,2013-10-31T00:00:00.000Z,TNS,0.47,0.69,48.39,EST,0,EQUITY,2013-10-31
34,KMPR,Kemper Corporation,2013-08-01T00:00:00.000Z,TNS,0.29,0.55,88.23,EST,0,EQUITY,2013-08-01
35,KMPR,Kemper Corporation,2013-05-02T00:00:00.000Z,TNS,0.53,0.72,35.03,EST,0,EQUITY,2013-05-02
36,KMPR,Kemper Corporation,2013-02-07T00:00:00.000Z,TNS,0.04,-0.06,-271.43,EST,0,EQUITY,2013-02-07
37,KMPR,Kemper Corporation,2012-11-08T00:00:00.000Z,TNS,0.34,0.42,25.37,EST,0,EQUITY,2012-11-08
38,KMPR,Kemper Corporation,2012-08-06T00:00:00.000Z,TNS,0.1,-0.01,-110.34,EST,0,EQUITY,2012-08-06
39,KMPR,Kemper Corporation,2012-05-07T00:00:00.000Z,TNS,0.57,0.56,-1.1,EST,0,EQUITY,2012-05-07
40,KMPR,Kemper Corporation,2012-02-01T00:00:00.000Z,TNS,0.7,0.42,-40.4,EST,0,EQUITY,2012-02-01
41,KMPR,Kemper Corporation,2011-11-02T00:00:00.000Z,TNS,0.52,0.17,-67.14,EST,0,EQUITY,2011-11-02
42,KMPR,Kemper Corporation,2011-08-03T00:00:00.000Z,TNS,-0.36,-0.2,44.9,EST,0,EQUITY,2011-08-03
43,KMPR,Kemper Corporation,2011-05-03T00:00:00.000Z,TNS,0.63,0.77,21.77,EST,0,EQUITY,2011-05-03
44,KMPR,Kemper Corporation,2011-02-03T00:00:00.000Z,TNS,0.68,0.74,9.2,EST,0,EQUITY,2011-02-03
45,KMPR,Kemper Corporation,2010-11-01T00:00:00.000Z,TNS,0.58,0.74,26.82,EST,0,EQUITY,2010-11-01
46,KMPR,Kemper Corporation,2010-08-02T00:00:00.000Z,TNS,0.64,0.58,-8.66,EST,0,EQUITY,2010-08-02
47,KMPR,Kemper Corporation,2010-05-03T00:00:00.000Z,TNS,0.63,0.77,22.22,EST,0,EQUITY,2010-05-03
48,KMPR,Kemper Corporation,2010-02-01T00:00:00.000Z,TNS,0.56,0.95,68.14,EST,0,EQUITY,2010-02-01
49,KMPR,Kemper Corporation,2009-11-02T00:00:00.000Z,TNS,0.5,1.0,100.0,EST,0,EQUITY,2009-11-02
50,KMPR,Kemper Corporation,2009-08-03T00:00:00.000Z,TNS,0.38,0.72,89.47,EST,0,EQUITY,2009-08-03
51,KMPR,Kemper Corporation,2009-05-04T00:00:00.000Z,TNS,0.47,0.15,-68.09,EST,0,EQUITY,2009-05-04
52,KMPR,Kemper Corporation,2009-02-04T00:00:00.000Z,TNS,0.24,0.19,-20.83,EST,0,EQUITY,2009-02-04
53,KMPR,Kemper Corporation,2008-08-04T00:00:00.000Z,TNS,0.28,0.0,-100.0,EST,0,EQUITY,2008-08-04
