,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,KMT,Kennametal Inc.,2021-11-01T00:00:00.000Z,TNS,0.38,0.44,16.4,EST,0,EQUITY,2021-11-01
1,KMT,Kennametal Inc.,2021-08-02T00:00:00.000Z,TNS,0.4,0.53,32.83,EST,0,EQUITY,2021-08-02
2,KMT,Kennametal Inc.,2021-05-03T00:00:00.000Z,TNS,0.2,0.32,59.2,EST,0,EQUITY,2021-05-03
3,KMT,Kennametal Inc.,2021-02-01T00:00:00.000Z,TNS,0.09,0.16,77.78,EST,0,EQUITY,2021-02-01
4,KMT,Kennametal Inc.,2020-11-02T00:00:00.000Z,TNS,0.04,0.03,-14.29,EST,0,EQUITY,2020-11-02
5,KMT,Kennametal Inc.,2020-08-03T00:00:00.000Z,TNS,0.12,0.15,27.12,EST,0,EQUITY,2020-08-03
6,KMT,Kennametal Inc.,2020-05-04T00:00:00.000Z,TNS,0.3,0.46,51.82,EST,0,EQUITY,2020-05-04
7,KMT,Kennametal Inc.,2020-02-03T00:00:00.000Z,TNS,0.2,0.17,-14.14,EST,0,EQUITY,2020-02-03
8,KMT,Kennametal Inc.,2019-11-04T00:00:00.000Z,TNS,0.26,0.17,-33.33,EST,0,EQUITY,2019-11-04
9,KMT,Kennametal Inc.,2019-08-05T00:00:00.000Z,TNS,0.85,0.84,-1.29,EST,0,EQUITY,2019-08-05
10,KMT,Kennametal Inc.,2019-05-06T00:00:00.000Z,TNS,0.8,0.77,-3.14,EST,0,EQUITY,2019-05-06
11,KMT,Kennametal Inc.,2019-02-04T00:00:00.000Z,TNS,0.68,0.71,3.8,EST,0,EQUITY,2019-02-04
12,KMT,Kennametal Inc.,2018-11-05T00:00:00.000Z,TNS,0.65,0.7,7.2,EST,0,EQUITY,2018-11-05
13,KMT,Kennametal Inc.,2018-08-06T00:00:00.000Z,TNS,0.8,0.87,9.02,EST,0,EQUITY,2018-08-06
14,KMT,Kennametal Inc.,2018-05-02T00:00:00.000Z,TNS,0.72,0.7,-3.05,EST,0,EQUITY,2018-05-02
15,KMT,Kennametal Inc.,2018-02-01T00:00:00.000Z,TNS,0.55,0.52,-5.8,EST,0,EQUITY,2018-02-01
16,KMT,Kennametal Inc.,2017-11-01T00:00:00.000Z,TNS,0.38,0.55,46.28,EST,0,EQUITY,2017-11-01
17,KMT,Kennametal Inc.,2017-08-02T00:00:00.000Z,TNS,0.64,0.56,-11.81,EST,0,EQUITY,2017-08-02
18,KMT,Kennametal Inc.,2017-04-25T00:00:00.000Z,TNS,0.43,0.6,39.53,EST,0,EQUITY,2017-04-25
19,KMT,Kennametal Inc.,2017-02-01T00:00:00.000Z,TNS,0.21,0.24,12.15,EST,0,EQUITY,2017-02-01
20,KMT,Kennametal Inc.,2016-10-26T00:00:00.000Z,TNS,0.14,0.11,-24.14,EST,0,EQUITY,2016-10-26
21,KMT,Kennametal Inc.,2016-08-01T00:00:00.000Z,TNS,0.43,0.44,3.04,EST,0,EQUITY,2016-08-01
22,KMT,Kennametal Inc.,2016-05-02T00:00:00.000Z,TNS,0.23,0.37,58.8,EST,0,EQUITY,2016-05-02
23,KMT,Kennametal Inc.,2016-02-03T00:00:00.000Z,TNS,0.12,0.14,18.64,EST,0,EQUITY,2016-02-03
24,KMT,Kennametal Inc.,2015-11-03T00:00:00.000Z,TNS,0.22,0.14,-36.07,EST,0,EQUITY,2015-11-03
25,KMT,Kennametal Inc.,2015-07-30T00:00:00.000Z,TNS,0.44,0.46,3.6,EST,0,EQUITY,2015-07-30
26,KMT,Kennametal Inc.,2015-05-05T00:00:00.000Z,TNS,0.44,0.46,5.5,EST,0,EQUITY,2015-05-05
27,KMT,Kennametal Inc.,2015-01-29T00:00:00.000Z,TNS,0.55,0.52,-5.97,EST,0,EQUITY,2015-01-29
28,KMT,Kennametal Inc.,2014-10-30T00:00:00.000Z,TNS,0.55,0.56,2.0,EST,0,EQUITY,2014-10-30
29,KMT,Kennametal Inc.,2014-07-31T00:00:00.000Z,TNS,0.89,0.75,-15.97,EST,0,EQUITY,2014-07-31
30,KMT,Kennametal Inc.,2014-05-01T00:00:00.000Z,TNS,0.72,0.74,3.44,EST,0,EQUITY,2014-05-01
31,KMT,Kennametal Inc.,2014-01-30T00:00:00.000Z,TNS,0.6,0.52,-13.78,EST,0,EQUITY,2014-01-30
32,KMT,Kennametal Inc.,2013-10-24T00:00:00.000Z,TNS,0.55,0.53,-4.06,EST,0,EQUITY,2013-10-24
33,KMT,Kennametal Inc.,2013-07-25T00:00:00.000Z,TNS,0.74,0.76,2.8,EST,0,EQUITY,2013-07-25
34,KMT,Kennametal Inc.,2013-04-25T00:00:00.000Z,TNS,0.7,0.65,-7.76,EST,0,EQUITY,2013-04-25
35,KMT,Kennametal Inc.,2013-01-24T00:00:00.000Z,TNS,0.64,0.52,-18.66,EST,0,EQUITY,2013-01-24
36,KMT,Kennametal Inc.,2012-10-24T00:00:00.000Z,TNS,0.87,0.57,-34.73,EST,0,EQUITY,2012-10-24
37,KMT,Kennametal Inc.,2012-07-26T00:00:00.000Z,TNS,1.03,1.08,5.07,EST,0,EQUITY,2012-07-26
38,KMT,Kennametal Inc.,2012-04-26T00:00:00.000Z,TNS,0.93,0.98,5.13,EST,0,EQUITY,2012-04-26
39,KMT,Kennametal Inc.,2012-01-26T00:00:00.000Z,TNS,0.78,0.91,16.21,EST,0,EQUITY,2012-01-26
40,KMT,Kennametal Inc.,2011-10-27T00:00:00.000Z,TNS,0.77,0.88,13.6,EST,0,EQUITY,2011-10-27
41,KMT,Kennametal Inc.,2011-07-28T00:00:00.000Z,TNS,0.98,1.11,13.27,EST,0,EQUITY,2011-07-28
42,KMT,Kennametal Inc.,2011-04-28T00:00:00.000Z,TNS,0.73,0.83,13.7,EST,0,EQUITY,2011-04-28
43,KMT,Kennametal Inc.,2011-01-27T00:00:00.000Z,TNS,0.56,0.57,1.79,EST,0,EQUITY,2011-01-27
44,KMT,Kennametal Inc.,2010-10-28T00:00:00.000Z,TNS,0.45,0.47,3.87,EST,0,EQUITY,2010-10-28
45,KMT,Kennametal Inc.,2010-07-29T00:00:00.000Z,TNS,0.57,0.61,7.81,EST,0,EQUITY,2010-07-29
46,KMT,Kennametal Inc.,2010-04-29T00:00:00.000Z,TNS,0.27,0.39,43.63,EST,0,EQUITY,2010-04-29
47,KMT,Kennametal Inc.,2010-01-28T00:00:00.000Z,TNS,0.05,0.14,156.32,EST,0,EQUITY,2010-01-28
48,KMT,Kennametal Inc.,2009-10-29T00:00:00.000Z,TNS,-0.14,-0.04,71.6,EST,0,EQUITY,2009-10-29
49,KMT,Kennametal Inc.,2009-07-30T00:00:00.000Z,TNS,-0.16,-0.13,16.37,EST,0,EQUITY,2009-07-30
50,KMT,Kennametal Inc.,2009-04-24T00:00:00.000Z,TNS,0.01,0.01,0.0,EST,0,EQUITY,2009-04-24
51,KMT,Kennametal Inc.,2009-01-29T00:00:00.000Z,TNS,0.35,0.35,-1.28,EST,0,EQUITY,2009-01-29
52,KMT,Kennametal Inc.,2008-10-23T00:00:00.000Z,TNS,0.55,0.57,3.98,EST,0,EQUITY,2008-10-23
53,KMT,Kennametal Inc.,2008-07-24T00:00:00.000Z,TNS,0.84,0.85,0.95,EST,0,EQUITY,2008-07-24
54,KMT,Kennametal Inc.,2008-04-24T00:00:00.000Z,TNS,0.73,0.75,2.74,EST,0,EQUITY,2008-04-24
55,KMT,Kennametal Inc.,2008-01-23T00:00:00.000Z,TNS,0.58,0.64,11.09,EST,0,EQUITY,2008-01-23
56,KMT,Kennametal Inc.,2007-10-24T00:00:00.000Z,TNS,0.5,0.53,5.12,EST,0,EQUITY,2007-10-24
57,KMT,Kennametal Inc.,2007-07-25T00:00:00.000Z,TNS,0.75,0.79,4.49,EST,0,EQUITY,2007-07-25
58,KMT,Kennametal Inc.,2007-04-25T00:00:00.000Z,TNS,0.65,0.66,0.96,EST,0,EQUITY,2007-04-25
59,KMT,Kennametal Inc.,2007-01-24T00:00:00.000Z,TNS,0.39,0.43,9.98,EST,0,EQUITY,2007-01-24
60,KMT,Kennametal Inc.,2006-10-25T00:00:00.000Z,TNS,0.39,0.4,2.73,EST,0,EQUITY,2006-10-25
61,KMT,Kennametal Inc.,2006-07-26T00:00:00.000Z,TNS,0.6,0.63,4.17,EST,0,EQUITY,2006-07-26
62,KMT,Kennametal Inc.,2006-04-26T00:00:00.000Z,TNS,0.55,0.59,6.12,EST,0,EQUITY,2006-04-26
63,KMT,Kennametal Inc.,2006-01-25T00:00:00.000Z,TNS,0.37,0.4,8.03,EST,0,EQUITY,2006-01-25
64,KMT,Kennametal Inc.,2005-10-26T00:00:00.000Z,TNS,0.23,0.36,54.51,EST,0,EQUITY,2005-10-26
65,KMT,Kennametal Inc.,2005-07-27T00:00:00.000Z,TNS,0.48,0.49,2.73,EST,0,EQUITY,2005-07-27
66,KMT,Kennametal Inc.,2005-04-27T00:00:00.000Z,TNS,0.46,0.46,0.44,EST,0,EQUITY,2005-04-27
67,KMT,Kennametal Inc.,2005-01-26T00:00:00.000Z,TNS,0.37,0.37,0.0,EST,0,EQUITY,2005-01-26
68,KMT,Kennametal Inc.,2004-10-27T00:00:00.000Z,TNS,0.28,0.31,7.02,EST,0,EQUITY,2004-10-27
69,KMT,Kennametal Inc.,2004-07-28T00:00:00.000Z,TNS,0.39,0.41,3.85,EST,0,EQUITY,2004-07-28
70,KMT,Kennametal Inc.,2004-04-28T00:00:00.000Z,TNS,0.32,0.33,4.21,EST,0,EQUITY,2004-04-28
71,KMT,Kennametal Inc.,2004-01-28T00:00:00.000Z,TNS,0.16,0.17,9.09,EST,0,EQUITY,2004-01-28
