,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,KPTI,Karyopharm Therapeutics Inc.,2021-11-03T00:00:00.000Z,TNS,-0.67,-0.69,-2.53,EST,0,EQUITY,2021-11-03
5,KPTI,Karyopharm Therapeutics Inc.,2021-08-05T00:00:00.000Z,TNS,-0.75,-0.71,5.21,EST,0,EQUITY,2021-08-05
6,KPTI,Karyopharm Therapeutics Inc.,2021-05-03T00:00:00.000Z,TNS,-0.71,-0.77,-8.3,EST,0,EQUITY,2021-05-03
7,KPTI,Karyopharm Therapeutics Inc.,2021-02-11T00:00:00.000Z,TNS,-0.59,-0.59,0.34,EST,0,EQUITY,2021-02-11
8,KPTI,Karyopharm Therapeutics Inc.,2020-11-02T00:00:00.000Z,TNS,-0.72,-0.73,-0.97,EST,0,EQUITY,2020-11-02
9,KPTI,Karyopharm Therapeutics Inc.,2020-08-04T00:00:00.000Z,TNS,-0.58,-0.63,-8.43,EST,0,EQUITY,2020-08-04
10,KPTI,Karyopharm Therapeutics Inc.,2020-05-05T00:00:00.000Z,TNS,-0.69,-0.78,-12.39,EST,0,EQUITY,2020-05-05
11,KPTI,Karyopharm Therapeutics Inc.,2020-02-13T00:00:00.000Z,TNS,-0.67,-0.76,-13.43,EST,0,EQUITY,2020-02-13
12,KPTI,Karyopharm Therapeutics Inc.,2019-11-04T00:00:00.000Z,TNS,-0.83,-0.67,18.89,EST,0,EQUITY,2019-11-04
13,KPTI,Karyopharm Therapeutics Inc.,2019-08-06T00:00:00.000Z,TNS,-0.98,-0.71,27.85,EST,0,EQUITY,2019-08-06
14,KPTI,Karyopharm Therapeutics Inc.,2019-05-09T00:00:00.000Z,TNS,-0.87,-1.09,-25.14,EST,0,EQUITY,2019-05-09
15,KPTI,Karyopharm Therapeutics Inc.,2019-02-28T00:00:00.000Z,TNS,-0.85,-0.96,-13.07,EST,0,EQUITY,2019-02-28
16,KPTI,Karyopharm Therapeutics Inc.,2018-11-08T00:00:00.000Z,TNS,-0.89,-0.79,11.53,EST,0,EQUITY,2018-11-08
17,KPTI,Karyopharm Therapeutics Inc.,2018-08-07T00:00:00.000Z,TNS,-0.81,-0.6,25.56,EST,0,EQUITY,2018-08-07
18,KPTI,Karyopharm Therapeutics Inc.,2018-05-10T00:00:00.000Z,TNS,-0.62,-0.78,-25.4,EST,0,EQUITY,2018-05-10
19,KPTI,Karyopharm Therapeutics Inc.,2018-03-15T00:00:00.000Z,TNS,-0.65,-0.8,-23.08,EST,0,EQUITY,2018-03-15
20,KPTI,Karyopharm Therapeutics Inc.,2017-11-02T00:00:00.000Z,TNS,-0.64,-0.65,-0.78,EST,0,EQUITY,2017-11-02
21,KPTI,Karyopharm Therapeutics Inc.,2017-08-08T00:00:00.000Z,TNS,-0.65,-0.64,0.93,EST,0,EQUITY,2017-08-08
22,KPTI,Karyopharm Therapeutics Inc.,2017-05-04T00:00:00.000Z,TNS,-0.67,-0.71,-6.45,EST,0,EQUITY,2017-05-04
23,KPTI,Karyopharm Therapeutics Inc.,2017-03-16T00:00:00.000Z,TNS,-0.66,-0.65,1.96,EST,0,EQUITY,2017-03-16
24,KPTI,Karyopharm Therapeutics Inc.,2016-11-07T00:00:00.000Z,TNS,-0.81,-0.69,14.5,EST,0,EQUITY,2016-11-07
25,KPTI,Karyopharm Therapeutics Inc.,2016-08-04T00:00:00.000Z,TNS,-0.76,-0.84,-10.67,EST,0,EQUITY,2016-08-04
26,KPTI,Karyopharm Therapeutics Inc.,2016-05-09T00:00:00.000Z,TNS,-0.74,-0.75,-1.21,EST,0,EQUITY,2016-05-09
27,KPTI,Karyopharm Therapeutics Inc.,2016-03-14T00:00:00.000Z,TNS,-0.82,-0.81,1.46,EST,0,EQUITY,2016-03-14
28,KPTI,Karyopharm Therapeutics Inc.,2015-11-09T00:00:00.000Z,TNS,-0.87,-0.85,2.3,EST,0,EQUITY,2015-11-09
29,KPTI,Karyopharm Therapeutics Inc.,2015-08-10T00:00:00.000Z,TNS,-0.77,-0.92,-19.48,EST,0,EQUITY,2015-08-10
30,KPTI,Karyopharm Therapeutics Inc.,2015-05-11T00:00:00.000Z,TNS,-0.73,-0.74,-0.95,EST,0,EQUITY,2015-05-11
31,KPTI,Karyopharm Therapeutics Inc.,2015-03-11T00:00:00.000Z,TNS,-0.65,-0.79,-21.54,EST,0,EQUITY,2015-03-11
32,KPTI,Karyopharm Therapeutics Inc.,2014-11-10T00:00:00.000Z,TNS,-0.52,-0.61,-16.86,EST,0,EQUITY,2014-11-10
33,KPTI,Karyopharm Therapeutics Inc.,2014-08-07T00:00:00.000Z,TNS,-0.49,-0.55,-11.11,EST,0,EQUITY,2014-08-07
34,KPTI,Karyopharm Therapeutics Inc.,2014-05-07T00:00:00.000Z,TNS,-0.47,-0.46,1.43,EST,0,EQUITY,2014-05-07
35,KPTI,Karyopharm Therapeutics Inc.,2014-03-05T00:00:00.000Z,TNS,-0.34,-2.0,-482.53,EST,0,EQUITY,2014-03-05
