,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,KR,Kroger Co,2021-12-02T08:00:20.000Z,TAS,0.66,0.78,18.18,EST,-18000000,EQUITY,2021-12-02
4,KR,Kroger Co,2021-09-10T08:00:13.000Z,TAS,0.64,0.8,25.0,EST,-18000000,EQUITY,2021-09-10
6,KR,The Kroger Co.,2021-06-17T00:00:00.000Z,TNS,1.01,1.19,17.94,EST,0,EQUITY,2021-06-17
7,KR,The Kroger Co.,2021-03-04T00:00:00.000Z,TNS,0.69,0.81,18.08,EST,0,EQUITY,2021-03-04
8,KR,The Kroger Co.,2020-12-03T00:00:00.000Z,TNS,0.67,0.71,6.45,EST,0,EQUITY,2020-12-03
9,KR,The Kroger Co.,2020-09-11T00:00:00.000Z,TNS,0.55,0.73,33.21,EST,0,EQUITY,2020-09-11
10,KR,The Kroger Co.,2020-06-18T00:00:00.000Z,TNS,1.09,1.22,12.24,EST,0,EQUITY,2020-06-18
11,KR,The Kroger Co.,2020-03-05T00:00:00.000Z,TNS,0.55,0.57,2.89,EST,0,EQUITY,2020-03-05
12,KR,The Kroger Co.,2019-12-05T00:00:00.000Z,TNS,0.48,0.47,-2.89,EST,0,EQUITY,2019-12-05
13,KR,The Kroger Co.,2019-11-05T00:00:00.000Z,TNS,0.48,0.47,-1.9,EST,0,EQUITY,2019-11-05
14,KR,The Kroger Co.,2019-09-12T00:00:00.000Z,TNS,0.41,0.44,6.54,EST,0,EQUITY,2019-09-12
15,KR,The Kroger Co.,2019-06-20T00:00:00.000Z,TNS,0.71,0.72,0.98,EST,0,EQUITY,2019-06-20
16,KR,The Kroger Co.,2019-03-07T00:00:00.000Z,TNS,0.52,0.48,-8.4,EST,0,EQUITY,2019-03-07
17,KR,The Kroger Co.,2018-12-06T00:00:00.000Z,TNS,0.43,0.48,11.11,EST,0,EQUITY,2018-12-06
18,KR,The Kroger Co.,2018-09-13T00:00:00.000Z,TNS,0.38,0.41,8.47,EST,0,EQUITY,2018-09-13
19,KR,The Kroger Co.,2018-06-21T00:00:00.000Z,TNS,0.63,0.73,16.06,EST,0,EQUITY,2018-06-21
20,KR,The Kroger Co.,2018-03-08T00:00:00.000Z,TNS,0.63,0.63,0.48,EST,0,EQUITY,2018-03-08
21,KR,The Kroger Co.,2017-11-30T00:00:00.000Z,TNS,0.4,0.44,10.55,EST,0,EQUITY,2017-11-30
22,KR,The Kroger Co.,2017-09-08T00:00:00.000Z,TNS,0.39,0.39,-0.51,EST,0,EQUITY,2017-09-08
23,KR,The Kroger Co.,2017-06-15T00:00:00.000Z,TNS,0.57,0.58,0.87,EST,0,EQUITY,2017-06-15
24,KR,The Kroger Co.,2017-03-02T00:00:00.000Z,TNS,0.52,0.53,1.92,EST,0,EQUITY,2017-03-02
