,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LEVI,Levi Strauss & Co,2021-10-06T16:10:00.000Z,TAS,0.37,0.48,29.73,EST,-18000000,EQUITY,2021-10-06
2,LEVI,Levi Strauss & Co.,2021-07-08T00:00:00.000Z,TNS,0.09,0.23,152.75,EST,0,EQUITY,2021-07-08
3,LEVI,Levi Strauss & Co.,2021-04-08T00:00:00.000Z,TNS,0.25,0.34,38.21,EST,0,EQUITY,2021-04-08
4,LEVI,Levi Strauss & Co.,2021-01-27T00:00:00.000Z,TNS,0.15,0.2,33.33,EST,0,EQUITY,2021-01-27
5,LEVI,Levi Strauss & Co.,2020-10-06T00:00:00.000Z,TNS,-0.22,0.08,136.2,EST,0,EQUITY,2020-10-06
6,LEVI,Levi Strauss & Co.,2020-07-07T00:00:00.000Z,TNS,-0.49,-0.48,2.44,EST,0,EQUITY,2020-07-07
7,LEVI,Levi Strauss & Co.,2020-04-07T00:00:00.000Z,TNS,0.36,0.4,12.68,EST,0,EQUITY,2020-04-07
8,LEVI,Levi Strauss & Co.,2020-01-30T00:00:00.000Z,TNS,0.21,0.26,22.07,EST,0,EQUITY,2020-01-30
9,LEVI,Levi Strauss & Co.,2019-10-08T00:00:00.000Z,TNS,0.28,0.31,11.91,EST,0,EQUITY,2019-10-08
10,LEVI,Levi Strauss & Co.,2019-07-09T00:00:00.000Z,TNS,0.13,0.17,32.81,EST,0,EQUITY,2019-07-09
