,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LGF-A,Lions Gate Entertainment Corp.,2021-11-04T00:00:00.000Z,TNS,-0.13,0.03,123.62,EST,0,EQUITY,2021-11-04
1,LGF-A,Lions Gate Entertainment Corp.,2021-08-05T00:00:00.000Z,TNS,-0.14,-0.2,-40.85,EST,0,EQUITY,2021-08-05
2,LGF-A,Lions Gate Entertainment Corp.,2021-05-27T00:00:00.000Z,TNS,-0.31,-0.17,44.98,EST,0,EQUITY,2021-05-27
3,LGF-A,Lions Gate Entertainment Corp.,2021-02-04T00:00:00.000Z,TNS,-0.11,-0.06,45.95,EST,0,EQUITY,2021-02-04
4,LGF-A,Lions Gate Entertainment Corp.,2020-11-05T00:00:00.000Z,TNS,-0.04,-0.08,-128.57,EST,0,EQUITY,2020-11-05
5,LGF-A,Lions Gate Entertainment Corp.,2020-08-06T00:00:00.000Z,TNS,0.02,0.23,995.24,EST,0,EQUITY,2020-08-06
6,LGF-A,Lions Gate Entertainment Corp.,2020-05-21T00:00:00.000Z,TNS,-0.1,-0.2,-102.02,EST,0,EQUITY,2020-05-21
7,LGF-A,Lions Gate Entertainment Corp.,2020-02-06T00:00:00.000Z,TNS,-0.15,-0.42,-174.51,EST,0,EQUITY,2020-02-06
8,LGF-A,Lions Gate Entertainment Corp.,2019-11-07T00:00:00.000Z,TNS,-0.05,0.01,118.18,EST,0,EQUITY,2019-11-07
9,LGF-A,Lions Gate Entertainment Corp.,2019-08-08T00:00:00.000Z,TNS,-0.26,-0.25,3.85,EST,0,EQUITY,2019-08-08
10,LGF-A,Lions Gate Entertainment Corp.,2019-05-23T00:00:00.000Z,TNS,-0.06,-0.72,-1120.34,EST,0,EQUITY,2019-05-23
11,LGF-A,Lions Gate Entertainment Corp.,2019-02-07T00:00:00.000Z,TNS,0.08,0.1,33.33,EST,0,EQUITY,2019-02-07
12,LGF-A,Lions Gate Entertainment Corp.,2018-11-08T00:00:00.000Z,TNS,-0.17,-0.67,-296.45,EST,0,EQUITY,2018-11-08
13,LGF-A,Lions Gate Entertainment Corp.,2018-08-09T00:00:00.000Z,TNS,-0.06,-0.04,38.46,EST,0,EQUITY,2018-08-09
14,LGF-A,Lions Gate Entertainment Corp.,2018-05-24T00:00:00.000Z,TNS,-0.02,0.41,1808.33,EST,0,EQUITY,2018-05-24
15,LGF-A,Lions Gate Entertainment Corp.,2018-02-08T00:00:00.000Z,TNS,0.23,0.87,283.26,EST,0,EQUITY,2018-02-08
16,LGF-A,Lions Gate Entertainment Corp.,2017-11-09T00:00:00.000Z,TNS,-0.13,0.07,152.63,EST,0,EQUITY,2017-11-09
17,LGF-A,Lions Gate Entertainment Corp.,2017-08-08T00:00:00.000Z,TNS,0.18,0.8,339.56,EST,0,EQUITY,2017-08-08
18,LGF-A,Lions Gate Entertainment Corp.,2017-05-25T00:00:00.000Z,TNS,0.26,0.28,8.95,EST,0,EQUITY,2017-05-25
