,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LII,Lennox International Inc,2021-10-25T07:30:04.000Z,TAS,3.61,3.4,-5.82,EST,-18000000,EQUITY,2021-10-25
2,LII,Lennox International Inc.,2021-07-26T00:00:00.000Z,TNS,4.39,4.57,4.08,EST,0,EQUITY,2021-07-26
3,LII,Lennox International Inc.,2021-04-26T00:00:00.000Z,TNS,1.32,2.27,72.62,EST,0,EQUITY,2021-04-26
4,LII,Lennox International Inc.,2021-02-02T00:00:00.000Z,TNS,2.65,2.89,9.18,EST,0,EQUITY,2021-02-02
5,LII,Lennox International Inc.,2020-10-19T00:00:00.000Z,TNS,3.15,3.53,11.96,EST,0,EQUITY,2020-10-19
6,LII,Lennox International Inc.,2020-07-20T00:00:00.000Z,TNS,2.63,2.97,13.06,EST,0,EQUITY,2020-07-20
7,LII,Lennox International Inc.,2020-04-20T00:00:00.000Z,TNS,1.09,0.56,-48.62,EST,0,EQUITY,2020-04-20
8,LII,Lennox International Inc.,2020-02-04T00:00:00.000Z,TNS,2.45,2.45,-0.04,EST,0,EQUITY,2020-02-04
9,LII,Lennox International Inc.,2019-10-21T00:00:00.000Z,TNS,3.41,3.34,-2.11,EST,0,EQUITY,2019-10-21
10,LII,Lennox International Inc.,2019-07-22T00:00:00.000Z,TNS,4.12,3.74,-9.22,EST,0,EQUITY,2019-07-22
11,LII,Lennox International Inc.,2019-04-22T00:00:00.000Z,TNS,1.4,1.68,20.0,EST,0,EQUITY,2019-04-22
12,LII,Lennox International Inc.,2019-02-05T00:00:00.000Z,TNS,1.93,1.93,0.26,EST,0,EQUITY,2019-02-05
13,LII,Lennox International Inc.,2018-10-22T00:00:00.000Z,TNS,2.92,2.72,-6.91,EST,0,EQUITY,2018-10-22
14,LII,Lennox International Inc.,2018-07-23T00:00:00.000Z,TNS,3.56,3.67,3.09,EST,0,EQUITY,2018-07-23
15,LII,Lennox International Inc.,2018-04-23T00:00:00.000Z,TNS,1.09,1.13,4.15,EST,0,EQUITY,2018-04-23
16,LII,Lennox International Inc.,2018-02-06T00:00:00.000Z,TNS,1.65,1.68,1.69,EST,0,EQUITY,2018-02-06
17,LII,Lennox International Inc.,2017-10-23T00:00:00.000Z,TNS,2.44,2.53,3.65,EST,0,EQUITY,2017-10-23
18,LII,Lennox International Inc.,2017-07-24T00:00:00.000Z,TNS,2.76,2.83,2.61,EST,0,EQUITY,2017-07-24
19,LII,Lennox International Inc.,2017-04-24T00:00:00.000Z,TNS,0.77,0.9,16.88,EST,0,EQUITY,2017-04-24
20,LII,Lennox International Inc.,2017-02-07T00:00:00.000Z,TNS,1.43,1.5,4.9,EST,0,EQUITY,2017-02-07
21,LII,Lennox International Inc.,2016-10-17T00:00:00.000Z,TNS,2.27,2.33,2.6,EST,0,EQUITY,2016-10-17
22,LII,Lennox International Inc.,2016-07-18T00:00:00.000Z,TNS,2.35,2.53,7.89,EST,0,EQUITY,2016-07-18
23,LII,Lennox International Inc.,2016-04-18T00:00:00.000Z,TNS,0.55,0.6,8.89,EST,0,EQUITY,2016-04-18
24,LII,Lennox International Inc.,2016-02-08T00:00:00.000Z,TNS,1.23,1.11,-9.68,EST,0,EQUITY,2016-02-08
25,LII,Lennox International Inc.,2015-10-19T00:00:00.000Z,TNS,1.79,1.82,1.73,EST,0,EQUITY,2015-10-19
26,LII,Lennox International Inc.,2015-07-20T00:00:00.000Z,TNS,1.8,1.84,2.05,EST,0,EQUITY,2015-07-20
27,LII,Lennox International Inc.,2015-04-20T00:00:00.000Z,TNS,0.46,0.37,-19.04,EST,0,EQUITY,2015-04-20
28,LII,Lennox International Inc.,2015-02-02T00:00:00.000Z,TNS,0.99,1.02,3.34,EST,0,EQUITY,2015-02-02
29,LII,Lennox International Inc.,2014-10-20T00:00:00.000Z,TNS,1.41,1.44,2.27,EST,0,EQUITY,2014-10-20
30,LII,Lennox International Inc.,2014-07-21T00:00:00.000Z,TNS,1.5,1.51,0.38,EST,0,EQUITY,2014-07-21
31,LII,Lennox International Inc.,2014-04-21T00:00:00.000Z,TNS,0.41,0.42,1.82,EST,0,EQUITY,2014-04-21
32,LII,Lennox International Inc.,2014-02-05T00:00:00.000Z,TNS,0.73,0.77,4.83,EST,0,EQUITY,2014-02-05
33,LII,Lennox International Inc.,2013-10-21T00:00:00.000Z,TNS,1.28,1.3,1.89,EST,0,EQUITY,2013-10-21
34,LII,Lennox International Inc.,2013-07-22T00:00:00.000Z,TNS,1.19,1.31,10.08,EST,0,EQUITY,2013-07-22
35,LII,Lennox International Inc.,2013-04-22T00:00:00.000Z,TNS,0.27,0.33,24.06,EST,0,EQUITY,2013-04-22
36,LII,Lennox International Inc.,2013-02-05T00:00:00.000Z,TNS,0.55,0.56,2.0,EST,0,EQUITY,2013-02-05
37,LII,Lennox International Inc.,2012-10-22T00:00:00.000Z,TNS,0.94,0.97,3.03,EST,0,EQUITY,2012-10-22
38,LII,Lennox International Inc.,2012-07-24T00:00:00.000Z,TNS,0.96,0.96,0.19,EST,0,EQUITY,2012-07-24
