,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LKQ,LKQ Corp,2021-10-28T06:00:01.000Z,TAS,0.86,1.02,18.6,EST,-18000000,EQUITY,2021-10-28
2,LKQ,LKQ Corporation,2021-07-29T00:00:00.000Z,TNS,0.75,1.13,51.27,EST,0,EQUITY,2021-07-29
3,LKQ,LKQ Corporation,2021-04-29T00:00:00.000Z,TNS,0.63,0.94,48.73,EST,0,EQUITY,2021-04-29
4,LKQ,LKQ Corporation,2021-02-18T00:00:00.000Z,TNS,0.59,0.69,17.35,EST,0,EQUITY,2021-02-18
5,LKQ,LKQ Corporation,2020-10-29T00:00:00.000Z,TNS,0.53,0.75,41.51,EST,0,EQUITY,2020-10-29
6,LKQ,LKQ Corporation,2020-07-30T00:00:00.000Z,TNS,0.17,0.53,221.21,EST,0,EQUITY,2020-07-30
7,LKQ,LKQ Corporation,2020-04-30T00:00:00.000Z,TNS,0.49,0.57,16.33,EST,0,EQUITY,2020-04-30
8,LKQ,LKQ Corporation,2020-02-20T00:00:00.000Z,TNS,0.52,0.54,3.25,EST,0,EQUITY,2020-02-20
9,LKQ,LKQ Corporation,2019-10-31T00:00:00.000Z,TNS,0.58,0.61,5.9,EST,0,EQUITY,2019-10-31
10,LKQ,LKQ Corporation,2019-07-25T00:00:00.000Z,TNS,0.65,0.65,0.78,EST,0,EQUITY,2019-07-25
11,LKQ,LKQ Corporation,2019-04-25T00:00:00.000Z,TNS,0.56,0.56,0.0,EST,0,EQUITY,2019-04-25
12,LKQ,LKQ Corporation,2019-02-28T00:00:00.000Z,TNS,0.49,0.48,-2.64,EST,0,EQUITY,2019-02-28
13,LKQ,LKQ Corporation,2018-10-25T00:00:00.000Z,TNS,0.56,0.56,0.36,EST,0,EQUITY,2018-10-25
14,LKQ,LKQ Corporation,2018-07-26T00:00:00.000Z,TNS,0.58,0.61,5.72,EST,0,EQUITY,2018-07-26
15,LKQ,LKQ Corporation,2018-04-26T00:00:00.000Z,TNS,0.59,0.55,-7.09,EST,0,EQUITY,2018-04-26
16,LKQ,LKQ Corporation,2018-02-22T00:00:00.000Z,TNS,0.42,0.41,-1.44,EST,0,EQUITY,2018-02-22
17,LKQ,LKQ Corporation,2017-10-26T00:00:00.000Z,TNS,0.42,0.45,6.38,EST,0,EQUITY,2017-10-26
