,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LLY,Eli Lilly and Co,2021-10-26T06:25:05.000Z,TAS,1.98,1.94,-2.02,EST,-18000000,EQUITY,2021-10-26
2,LLY,Eli Lilly and Company,2021-08-03T00:00:00.000Z,TNS,1.89,1.87,-1.22,EST,0,EQUITY,2021-08-03
3,LLY,Eli Lilly and Company,2021-04-27T00:00:00.000Z,TNS,2.13,1.87,-12.0,EST,0,EQUITY,2021-04-27
4,LLY,Eli Lilly and Company,2021-01-29T00:00:00.000Z,TNS,2.35,2.75,16.82,EST,0,EQUITY,2021-01-29
5,LLY,Eli Lilly and Company,2020-10-27T00:00:00.000Z,TNS,1.71,1.54,-10.05,EST,0,EQUITY,2020-10-27
6,LLY,Eli Lilly and Company,2020-07-30T00:00:00.000Z,TNS,1.56,1.89,21.0,EST,0,EQUITY,2020-07-30
7,LLY,Eli Lilly and Company,2020-04-23T00:00:00.000Z,TNS,1.48,1.75,18.24,EST,0,EQUITY,2020-04-23
8,LLY,Eli Lilly and Company,2020-01-30T00:00:00.000Z,TNS,1.52,1.73,13.67,EST,0,EQUITY,2020-01-30
9,LLY,Eli Lilly and Company,2019-10-23T00:00:00.000Z,TNS,1.41,1.48,5.34,EST,0,EQUITY,2019-10-23
10,LLY,Eli Lilly and Company,2019-07-30T00:00:00.000Z,TNS,1.45,1.5,3.45,EST,0,EQUITY,2019-07-30
11,LLY,Eli Lilly and Company,2019-04-30T00:00:00.000Z,TNS,1.31,1.33,1.29,EST,0,EQUITY,2019-04-30
12,LLY,Eli Lilly and Company,2019-02-06T00:00:00.000Z,TNS,1.34,1.33,-0.67,EST,0,EQUITY,2019-02-06
13,LLY,Eli Lilly and Company,2018-11-06T00:00:00.000Z,TNS,1.35,1.39,2.96,EST,0,EQUITY,2018-11-06
14,LLY,Eli Lilly and Company,2018-07-24T00:00:00.000Z,TNS,1.3,1.5,15.74,EST,0,EQUITY,2018-07-24
15,LLY,Eli Lilly and Company,2018-04-24T00:00:00.000Z,TNS,1.13,1.34,18.27,EST,0,EQUITY,2018-04-24
16,LLY,Eli Lilly and Company,2018-01-31T00:00:00.000Z,TNS,1.07,1.14,6.15,EST,0,EQUITY,2018-01-31
17,LLY,Eli Lilly and Company,2017-10-24T00:00:00.000Z,TNS,1.03,1.05,2.14,EST,0,EQUITY,2017-10-24
18,LLY,Eli Lilly and Company,2017-07-25T00:00:00.000Z,TNS,1.05,1.11,5.41,EST,0,EQUITY,2017-07-25
19,LLY,Eli Lilly and Company,2017-04-25T00:00:00.000Z,TNS,0.96,0.98,1.77,EST,0,EQUITY,2017-04-25
20,LLY,Eli Lilly and Company,2017-01-31T00:00:00.000Z,TNS,0.98,0.95,-2.86,EST,0,EQUITY,2017-01-31
21,LLY,Eli Lilly and Company,2016-10-25T00:00:00.000Z,TNS,0.96,0.88,-8.14,EST,0,EQUITY,2016-10-25
22,LLY,Eli Lilly and Company,2016-07-26T00:00:00.000Z,TNS,0.86,0.86,0.23,EST,0,EQUITY,2016-07-26
23,LLY,Eli Lilly and Company,2016-04-26T00:00:00.000Z,TNS,0.85,0.83,-2.12,EST,0,EQUITY,2016-04-26
24,LLY,Eli Lilly and Company,2016-01-28T00:00:00.000Z,TNS,0.78,0.78,0.0,EST,0,EQUITY,2016-01-28
25,LLY,Eli Lilly and Company,2015-10-22T00:00:00.000Z,TNS,0.76,0.89,17.26,EST,0,EQUITY,2015-10-22
26,LLY,Eli Lilly and Company,2015-07-23T00:00:00.000Z,TNS,0.74,0.9,21.95,EST,0,EQUITY,2015-07-23
27,LLY,Eli Lilly and Company,2015-04-23T00:00:00.000Z,TNS,0.77,0.87,13.58,EST,0,EQUITY,2015-04-23
28,LLY,Eli Lilly and Company,2015-01-30T00:00:00.000Z,TNS,0.74,0.75,2.04,EST,0,EQUITY,2015-01-30
29,LLY,Eli Lilly and Company,2014-10-23T00:00:00.000Z,TNS,0.67,0.66,-1.35,EST,0,EQUITY,2014-10-23
30,LLY,Eli Lilly and Company,2014-07-24T00:00:00.000Z,TNS,0.65,0.68,4.26,EST,0,EQUITY,2014-07-24
31,LLY,Eli Lilly and Company,2014-04-24T00:00:00.000Z,TNS,0.7,0.7,-0.65,EST,0,EQUITY,2014-04-24
32,LLY,Eli Lilly and Company,2014-01-30T00:00:00.000Z,TNS,0.74,0.74,-0.15,EST,0,EQUITY,2014-01-30
33,LLY,Eli Lilly and Company,2013-10-23T00:00:00.000Z,TNS,1.04,1.11,7.04,EST,0,EQUITY,2013-10-23
34,LLY,Eli Lilly and Company,2013-07-24T00:00:00.000Z,TNS,1.0,1.16,15.49,EST,0,EQUITY,2013-07-24
35,LLY,Eli Lilly and Company,2013-04-24T00:00:00.000Z,TNS,1.05,1.14,8.44,EST,0,EQUITY,2013-04-24
36,LLY,Eli Lilly and Company,2013-01-29T00:00:00.000Z,TNS,0.78,0.85,8.37,EST,0,EQUITY,2013-01-29
37,LLY,Eli Lilly and Company,2012-10-24T00:00:00.000Z,TNS,0.83,0.79,-4.74,EST,0,EQUITY,2012-10-24
38,LLY,Eli Lilly and Company,2012-07-25T00:00:00.000Z,TNS,0.77,0.83,7.55,EST,0,EQUITY,2012-07-25
39,LLY,Eli Lilly and Company,2012-04-25T00:00:00.000Z,TNS,0.78,0.92,17.67,EST,0,EQUITY,2012-04-25
40,LLY,Eli Lilly and Company,2012-01-31T00:00:00.000Z,TNS,0.81,0.87,7.72,EST,0,EQUITY,2012-01-31
41,LLY,Eli Lilly and Company,2011-10-20T00:00:00.000Z,TNS,1.13,1.13,0.22,EST,0,EQUITY,2011-10-20
42,LLY,Eli Lilly and Company,2011-07-21T00:00:00.000Z,TNS,1.18,1.18,-0.3,EST,0,EQUITY,2011-07-21
43,LLY,Eli Lilly and Company,2011-04-18T00:00:00.000Z,TNS,1.17,1.24,6.18,EST,0,EQUITY,2011-04-18
44,LLY,Eli Lilly and Company,2011-01-27T00:00:00.000Z,TNS,1.1,1.11,1.18,EST,0,EQUITY,2011-01-27
45,LLY,Eli Lilly and Company,2010-10-21T00:00:00.000Z,TNS,1.15,1.21,5.07,EST,0,EQUITY,2010-10-21
46,LLY,Eli Lilly and Company,2010-07-22T00:00:00.000Z,TNS,1.1,1.24,12.4,EST,0,EQUITY,2010-07-22
47,LLY,Eli Lilly and Company,2010-04-19T00:00:00.000Z,TNS,1.1,1.18,6.93,EST,0,EQUITY,2010-04-19
48,LLY,Eli Lilly and Company,2010-01-28T00:00:00.000Z,TNS,0.92,0.91,-0.97,EST,0,EQUITY,2010-01-28
49,LLY,Eli Lilly and Company,2009-10-21T00:00:00.000Z,TNS,1.02,1.2,17.94,EST,0,EQUITY,2009-10-21
50,LLY,Eli Lilly and Company,2009-07-22T00:00:00.000Z,TNS,1.02,1.12,9.54,EST,0,EQUITY,2009-07-22
51,LLY,Eli Lilly and Company,2009-04-20T00:00:00.000Z,TNS,0.99,1.2,20.89,EST,0,EQUITY,2009-04-20
52,LLY,Eli Lilly and Company,2009-01-29T00:00:00.000Z,TNS,1.05,1.07,2.18,EST,0,EQUITY,2009-01-29
53,LLY,Eli Lilly and Company,2008-10-23T00:00:00.000Z,TNS,1.02,1.04,1.73,EST,0,EQUITY,2008-10-23
54,LLY,Eli Lilly and Company,2008-07-24T00:00:00.000Z,TNS,1.0,0.99,-0.5,EST,0,EQUITY,2008-07-24
55,LLY,Eli Lilly and Company,2008-04-21T00:00:00.000Z,TNS,0.96,0.92,-3.97,EST,0,EQUITY,2008-04-21
56,LLY,Eli Lilly and Company,2008-01-29T00:00:00.000Z,TNS,0.89,0.9,0.86,EST,0,EQUITY,2008-01-29
57,LLY,Eli Lilly and Company,2007-10-18T00:00:00.000Z,TNS,0.87,0.91,4.13,EST,0,EQUITY,2007-10-18
58,LLY,Eli Lilly and Company,2007-07-24T00:00:00.000Z,TNS,0.82,0.9,9.13,EST,0,EQUITY,2007-07-24
59,LLY,Eli Lilly and Company,2007-04-16T00:00:00.000Z,TNS,0.79,0.84,6.68,EST,0,EQUITY,2007-04-16
60,LLY,Eli Lilly and Company,2007-01-31T00:00:00.000Z,TNS,0.82,0.85,4.06,EST,0,EQUITY,2007-01-31
61,LLY,Eli Lilly and Company,2006-10-19T00:00:00.000Z,TNS,0.79,0.8,1.27,EST,0,EQUITY,2006-10-19
62,LLY,Eli Lilly and Company,2006-07-21T00:00:00.000Z,TNS,0.75,0.76,0.92,EST,0,EQUITY,2006-07-21
63,LLY,Eli Lilly and Company,2006-04-20T00:00:00.000Z,TNS,0.75,0.77,2.79,EST,0,EQUITY,2006-04-20
64,LLY,Eli Lilly and Company,2006-01-26T00:00:00.000Z,TNS,0.78,0.8,2.51,EST,0,EQUITY,2006-01-26
65,LLY,Eli Lilly and Company,2005-10-20T00:00:00.000Z,TNS,0.71,0.73,2.88,EST,0,EQUITY,2005-10-20
