,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LOGI,Logitech International S.A.,2021-10-25T00:00:00.000Z,TNS,1.08,1.05,-2.33,EST,0,EQUITY,2021-10-25
1,LOGI,Logitech International S.A.,2021-07-26T00:00:00.000Z,TNS,0.88,1.22,39.11,EST,0,EQUITY,2021-07-26
2,LOGI,Logitech International S.A.,2021-04-28T00:00:00.000Z,TNS,0.83,1.45,74.07,EST,0,EQUITY,2021-04-28
3,LOGI,Logitech International S.A.,2021-01-18T00:00:00.000Z,TNS,1.02,2.45,139.73,EST,0,EQUITY,2021-01-18
4,LOGI,Logitech International S.A.,2020-10-19T00:00:00.000Z,TNS,0.57,1.87,225.78,EST,0,EQUITY,2020-10-19
5,LOGI,Logitech International S.A.,2020-07-20T00:00:00.000Z,TNS,0.34,0.64,89.35,EST,0,EQUITY,2020-07-20
6,LOGI,Logitech International S.A.,2020-05-11T00:00:00.000Z,TNS,0.36,0.42,17.98,EST,0,EQUITY,2020-05-11
7,LOGI,Logitech International S.A.,2020-01-20T00:00:00.000Z,TNS,0.79,0.84,6.46,EST,0,EQUITY,2020-01-20
8,LOGI,Logitech International S.A.,2019-10-21T00:00:00.000Z,TNS,0.5,0.5,0.6,EST,0,EQUITY,2019-10-21
9,LOGI,Logitech International S.A.,2019-07-22T00:00:00.000Z,TNS,0.35,0.39,12.07,EST,0,EQUITY,2019-07-22
10,LOGI,Logitech International S.A.,2019-04-29T00:00:00.000Z,TNS,0.3,0.38,27.09,EST,0,EQUITY,2019-04-29
11,LOGI,Logitech International S.A.,2019-01-21T00:00:00.000Z,TNS,0.67,0.79,17.21,EST,0,EQUITY,2019-01-21
12,LOGI,Logitech International S.A.,2018-10-23T00:00:00.000Z,TNS,0.44,0.49,10.86,EST,0,EQUITY,2018-10-23
13,LOGI,Logitech International S.A.,2018-07-31T00:00:00.000Z,TNS,0.29,0.34,16.84,EST,0,EQUITY,2018-07-31
14,LOGI,Logitech International S.A.,2018-05-02T00:00:00.000Z,TNS,0.24,0.32,33.89,EST,0,EQUITY,2018-05-02
15,LOGI,Logitech International S.A.,2018-01-23T00:00:00.000Z,TNS,0.58,0.65,11.88,EST,0,EQUITY,2018-01-23
16,LOGI,Logitech International S.A.,2017-10-23T00:00:00.000Z,TNS,0.36,0.4,12.04,EST,0,EQUITY,2017-10-23
17,LOGI,Logitech International S.A.,2017-07-25T00:00:00.000Z,TNS,0.22,0.24,10.09,EST,0,EQUITY,2017-07-25
18,LOGI,Logitech International S.A.,2017-04-25T00:00:00.000Z,TNS,0.17,0.21,25.75,EST,0,EQUITY,2017-04-25
19,LOGI,Logitech International S.A.,2017-01-24T00:00:00.000Z,TNS,0.42,0.56,32.08,EST,0,EQUITY,2017-01-24
20,LOGI,Logitech International S.A.,2016-10-26T00:00:00.000Z,TNS,0.25,0.35,40.0,EST,0,EQUITY,2016-10-26
21,LOGI,Logitech International S.A.,2016-07-27T00:00:00.000Z,TNS,0.13,0.2,50.38,EST,0,EQUITY,2016-07-27
22,LOGI,Logitech International S.A.,2016-04-27T00:00:00.000Z,TNS,0.1,0.21,114.29,EST,0,EQUITY,2016-04-27
23,LOGI,Logitech International S.A.,2016-01-20T00:00:00.000Z,TNS,0.34,0.39,13.37,EST,0,EQUITY,2016-01-20
24,LOGI,Logitech International S.A.,2015-10-21T00:00:00.000Z,TNS,0.19,0.22,13.4,EST,0,EQUITY,2015-10-21
25,LOGI,Logitech International S.A.,2015-07-22T00:00:00.000Z,TNS,0.11,0.16,49.53,EST,0,EQUITY,2015-07-22
26,LOGI,Logitech International S.A.,2015-04-22T00:00:00.000Z,TNS,0.08,0.1,33.33,EST,0,EQUITY,2015-04-22
27,LOGI,Logitech International S.A.,2015-01-22T00:00:00.000Z,TNS,0.32,0.41,28.12,EST,0,EQUITY,2015-01-22
28,LOGI,Logitech International S.A.,2014-10-23T00:00:00.000Z,TNS,0.22,0.31,42.2,EST,0,EQUITY,2014-10-23
29,LOGI,Logitech International S.A.,2014-10-22T00:00:00.000Z,TNS,0.21,0.31,45.54,EST,0,EQUITY,2014-10-22
30,LOGI,Logitech International S.A.,2014-07-24T00:00:00.000Z,TNS,0.08,0.23,173.81,EST,0,EQUITY,2014-07-24
31,LOGI,Logitech International S.A.,2014-04-24T00:00:00.000Z,TNS,0.06,0.14,133.33,EST,0,EQUITY,2014-04-24
32,LOGI,Logitech International S.A.,2014-01-22T00:00:00.000Z,TNS,0.18,0.3,64.38,EST,0,EQUITY,2014-01-22
33,LOGI,Logitech International S.A.,2013-10-23T00:00:00.000Z,TNS,0.06,0.09,50.0,EST,0,EQUITY,2013-10-23
34,LOGI,Logitech International S.A.,2013-07-25T00:00:00.000Z,TNS,-0.09,0.01,110.81,EST,0,EQUITY,2013-07-25
35,LOGI,Logitech International S.A.,2013-04-25T00:00:00.000Z,TNS,-0.05,-0.23,-384.21,EST,0,EQUITY,2013-04-25
36,LOGI,Logitech International S.A.,2013-01-23T00:00:00.000Z,TNS,0.31,0.11,-64.89,EST,0,EQUITY,2013-01-23
37,LOGI,Logitech International S.A.,2012-10-25T00:00:00.000Z,TNS,0.09,0.14,64.71,EST,0,EQUITY,2012-10-25
38,LOGI,Logitech International S.A.,2012-07-27T00:00:00.000Z,TNS,0.0,-0.15,,EST,0,EQUITY,2012-07-27
39,LOGI,Logitech International S.A.,2012-04-26T00:00:00.000Z,TNS,0.07,0.17,142.86,EST,0,EQUITY,2012-04-26
40,LOGI,Logitech International S.A.,2012-01-25T00:00:00.000Z,TNS,0.39,0.32,-17.42,EST,0,EQUITY,2012-01-25
41,LOGI,Logitech International S.A.,2011-10-26T00:00:00.000Z,TNS,0.09,0.1,15.38,EST,0,EQUITY,2011-10-26
42,LOGI,Logitech International S.A.,2011-07-27T00:00:00.000Z,TNS,0.02,-0.17,-1044.44,EST,0,EQUITY,2011-07-27
43,LOGI,Logitech International S.A.,2011-04-27T00:00:00.000Z,TNS,0.06,0.02,-65.71,EST,0,EQUITY,2011-04-27
44,LOGI,Logitech International S.A.,2011-01-27T00:00:00.000Z,TNS,0.37,0.36,-1.56,EST,0,EQUITY,2011-01-27
45,LOGI,Logitech International S.A.,2010-10-27T00:00:00.000Z,TNS,0.22,0.23,5.75,EST,0,EQUITY,2010-10-27
46,LOGI,Logitech International S.A.,2010-07-28T00:00:00.000Z,TNS,0.03,0.11,243.75,EST,0,EQUITY,2010-07-28
47,LOGI,Logitech International S.A.,2010-04-28T00:00:00.000Z,TNS,0.09,0.14,51.35,EST,0,EQUITY,2010-04-28
48,LOGI,Logitech International S.A.,2010-01-20T00:00:00.000Z,TNS,0.27,0.32,18.52,EST,0,EQUITY,2010-01-20
49,LOGI,Logitech International S.A.,2009-10-21T00:00:00.000Z,TNS,0.05,0.11,103.7,EST,0,EQUITY,2009-10-21
50,LOGI,Logitech International S.A.,2009-07-22T00:00:00.000Z,TNS,-0.19,-0.2,-3.45,EST,0,EQUITY,2009-07-22
51,LOGI,Logitech International S.A.,2009-04-22T00:00:00.000Z,TNS,0.06,-0.2,-442.88,EST,0,EQUITY,2009-04-22
52,LOGI,Logitech International S.A.,2009-01-19T00:00:00.000Z,TNS,0.42,0.22,-48.15,EST,0,EQUITY,2009-01-19
53,LOGI,Logitech International S.A.,2008-10-20T00:00:00.000Z,TNS,0.44,0.39,-10.78,EST,0,EQUITY,2008-10-20
54,LOGI,Logitech International S.A.,2008-07-21T00:00:00.000Z,TNS,0.19,0.16,-15.79,EST,0,EQUITY,2008-07-21
55,LOGI,Logitech International S.A.,2008-04-21T00:00:00.000Z,TNS,0.32,0.36,11.34,EST,0,EQUITY,2008-04-21
56,LOGI,Logitech International S.A.,2008-01-16T00:00:00.000Z,TNS,0.63,0.59,-5.6,EST,0,EQUITY,2008-01-16
57,LOGI,Logitech International S.A.,2007-10-29T00:00:00.000Z,TNS,0.4,0.42,5.44,EST,0,EQUITY,2007-10-29
58,LOGI,Logitech International S.A.,2007-07-18T00:00:00.000Z,TNS,0.17,0.14,-18.6,EST,0,EQUITY,2007-07-18
59,LOGI,Logitech International S.A.,2007-04-18T00:00:00.000Z,TNS,0.29,0.29,-1.36,EST,0,EQUITY,2007-04-18
60,LOGI,Logitech International S.A.,2007-01-17T00:00:00.000Z,TNS,0.47,0.49,5.38,EST,0,EQUITY,2007-01-17
61,LOGI,Logitech International S.A.,2006-10-18T00:00:00.000Z,TNS,0.21,0.26,21.88,EST,0,EQUITY,2006-10-18
62,LOGI,Logitech International S.A.,2006-07-19T00:00:00.000Z,TNS,0.13,0.16,25.49,EST,0,EQUITY,2006-07-19
63,LOGI,Logitech International S.A.,2006-04-19T00:00:00.000Z,TNS,0.24,0.26,9.24,EST,0,EQUITY,2006-04-19
64,LOGI,Logitech International S.A.,2006-01-18T00:00:00.000Z,TNS,0.39,0.36,-8.39,EST,0,EQUITY,2006-01-18
65,LOGI,Logitech International S.A.,2005-10-19T00:00:00.000Z,TNS,0.17,0.19,6.47,EST,0,EQUITY,2005-10-19
66,LOGI,Logitech International S.A.,2005-07-20T00:00:00.000Z,TNS,0.11,0.12,5.75,EST,0,EQUITY,2005-07-20
67,LOGI,Logitech International S.A.,2005-04-18T00:00:00.000Z,TNS,0.21,0.21,0.91,EST,0,EQUITY,2005-04-18
68,LOGI,Logitech International S.A.,2005-01-20T00:00:00.000Z,TNS,0.3,0.33,9.09,EST,0,EQUITY,2005-01-20
69,LOGI,Logitech International S.A.,2004-10-20T00:00:00.000Z,TNS,0.15,0.14,-11.48,EST,0,EQUITY,2004-10-20
70,LOGI,Logitech International S.A.,2004-07-22T00:00:00.000Z,TNS,0.06,0.1,69.57,EST,0,EQUITY,2004-07-22
71,LOGI,Logitech International S.A.,2004-04-15T00:00:00.000Z,TNS,0.17,0.2,13.04,EST,0,EQUITY,2004-04-15
72,LOGI,Logitech International S.A.,2004-01-19T00:00:00.000Z,TNS,0.2,0.34,66.67,EST,0,EQUITY,2004-01-19
73,LOGI,Logitech International S.A.,2003-10-21T00:00:00.000Z,TNS,0.06,0.11,91.3,EST,0,EQUITY,2003-10-21
74,LOGI,Logitech International S.A.,2003-07-22T00:00:00.000Z,TNS,0.03,0.03,20.0,EST,0,EQUITY,2003-07-22
75,LOGI,Logitech International S.A.,2003-04-23T00:00:00.000Z,TNS,0.12,0.14,10.2,EST,0,EQUITY,2003-04-23
76,LOGI,Logitech International S.A.,2003-01-21T00:00:00.000Z,TNS,0.18,0.2,12.68,EST,0,EQUITY,2003-01-21
77,LOGI,Logitech International S.A.,2002-10-22T00:00:00.000Z,TNS,0.08,0.11,40.0,EST,0,EQUITY,2002-10-22
78,LOGI,Logitech International S.A.,2002-07-23T00:00:00.000Z,TNS,0.04,0.06,46.67,EST,0,EQUITY,2002-07-23
80,LOGI,Logitech International S.A.,2002-01-23T00:00:00.000Z,TNS,0.12,0.16,32.65,EST,0,EQUITY,2002-01-23
81,LOGI,Logitech International S.A.,2001-11-15T00:00:00.000Z,TNS,0.07,0.07,7.69,EST,0,EQUITY,2001-11-15
82,LOGI,Logitech International S.A.,2001-07-24T00:00:00.000Z,TNS,0.02,0.03,62.5,EST,0,EQUITY,2001-07-24
