,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,LUMO,"Lumos Pharma, Inc.",2021-11-03T00:00:00.000Z,TNS,-1.07,-0.9,16.04,EST,0,EQUITY,2021-11-03
4,LUMO,"Lumos Pharma, Inc.",2021-08-05T00:00:00.000Z,TNS,-1.03,-1.04,-0.68,EST,0,EQUITY,2021-08-05
5,LUMO,"Lumos Pharma, Inc.",2021-05-05T00:00:00.000Z,TNS,-0.87,-1.04,-18.99,EST,0,EQUITY,2021-05-05
6,LUMO,"Lumos Pharma, Inc.",2021-03-09T00:00:00.000Z,TNS,-0.86,-0.31,64.04,EST,0,EQUITY,2021-03-09
7,LUMO,"Lumos Pharma, Inc.",2020-11-10T00:00:00.000Z,TNS,-0.64,0.21,132.56,EST,0,EQUITY,2020-11-10
8,LUMO,"Lumos Pharma, Inc.",2020-08-13T00:00:00.000Z,TNS,-0.71,-0.65,8.84,EST,0,EQUITY,2020-08-13
9,LUMO,"Lumos Pharma, Inc.",2020-05-28T00:00:00.000Z,TNS,-0.82,-0.14,83.03,EST,0,EQUITY,2020-05-28
10,LUMO,"Lumos Pharma, Inc.",2020-02-28T00:00:00.000Z,TNS,-2.52,-1.98,21.43,EST,0,EQUITY,2020-02-28
11,LUMO,"Lumos Pharma, Inc.",2019-11-06T00:00:00.000Z,TNS,-2.43,-3.51,-44.44,EST,0,EQUITY,2019-11-06
12,LUMO,"Lumos Pharma, Inc.",2019-07-30T00:00:00.000Z,TNS,-2.61,-2.43,6.9,EST,0,EQUITY,2019-07-30
13,LUMO,"Lumos Pharma, Inc.",2019-05-08T00:00:00.000Z,TNS,-2.74,-2.43,11.48,EST,0,EQUITY,2019-05-08
14,LUMO,"Lumos Pharma, Inc.",2019-02-27T00:00:00.000Z,TNS,-3.09,-2.52,18.45,EST,0,EQUITY,2019-02-27
15,LUMO,"Lumos Pharma, Inc.",2018-11-01T00:00:00.000Z,TNS,-3.6,-1.8,50.0,EST,0,EQUITY,2018-11-01
16,LUMO,"Lumos Pharma, Inc.",2018-07-31T00:00:00.000Z,TNS,-5.42,-4.23,21.9,EST,0,EQUITY,2018-07-31
17,LUMO,"Lumos Pharma, Inc.",2018-05-03T00:00:00.000Z,TNS,-4.95,-4.41,10.91,EST,0,EQUITY,2018-05-03
18,LUMO,"Lumos Pharma, Inc.",2018-03-01T00:00:00.000Z,TNS,-0.67,-0.37,44.78,EST,0,EQUITY,2018-03-01
19,LUMO,"Lumos Pharma, Inc.",2017-11-02T00:00:00.000Z,TNS,-0.73,-0.69,6.12,EST,0,EQUITY,2017-11-02
20,LUMO,"Lumos Pharma, Inc.",2017-07-28T00:00:00.000Z,TNS,-0.73,-0.57,21.49,EST,0,EQUITY,2017-07-28
21,LUMO,"Lumos Pharma, Inc.",2017-05-04T00:00:00.000Z,TNS,-0.81,-0.72,11.66,EST,0,EQUITY,2017-05-04
22,LUMO,"Lumos Pharma, Inc.",2017-02-28T00:00:00.000Z,TNS,-0.62,-0.46,26.05,EST,0,EQUITY,2017-02-28
23,LUMO,"Lumos Pharma, Inc.",2016-11-01T00:00:00.000Z,TNS,-0.6,-0.54,9.4,EST,0,EQUITY,2016-11-01
24,LUMO,"Lumos Pharma, Inc.",2016-07-29T00:00:00.000Z,TNS,-0.76,-1.12,-46.41,EST,0,EQUITY,2016-07-29
