,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,LYB,LyondellBasell Industries N.V.,2021-10-29T00:00:00.000Z,TNS,5.75,5.25,-8.74,EST,0,EQUITY,2021-10-29
1,LYB,LyondellBasell Industries N.V.,2021-07-30T00:00:00.000Z,TNS,5.57,6.13,9.99,EST,0,EQUITY,2021-07-30
2,LYB,LyondellBasell Industries N.V.,2021-04-30T00:00:00.000Z,TNS,2.59,3.18,22.73,EST,0,EQUITY,2021-04-30
3,LYB,LyondellBasell Industries N.V.,2021-01-29T00:00:00.000Z,TNS,1.36,2.19,60.56,EST,0,EQUITY,2021-01-29
4,LYB,LyondellBasell Industries N.V.,2020-10-30T00:00:00.000Z,TNS,1.12,1.27,13.29,EST,0,EQUITY,2020-10-30
5,LYB,LyondellBasell Industries N.V.,2020-07-31T00:00:00.000Z,TNS,0.65,0.71,9.4,EST,0,EQUITY,2020-07-31
6,LYB,LyondellBasell Industries N.V.,2020-05-01T00:00:00.000Z,TNS,1.56,1.51,-3.08,EST,0,EQUITY,2020-05-01
7,LYB,LyondellBasell Industries N.V.,2020-01-31T00:00:00.000Z,TNS,2.26,1.92,-15.01,EST,0,EQUITY,2020-01-31
8,LYB,LyondellBasell Industries N.V.,2019-11-01T00:00:00.000Z,TNS,2.76,2.7,-2.17,EST,0,EQUITY,2019-11-01
9,LYB,LyondellBasell Industries N.V.,2019-08-02T00:00:00.000Z,TNS,2.84,2.74,-3.45,EST,0,EQUITY,2019-08-02
10,LYB,LyondellBasell Industries N.V.,2019-04-26T00:00:00.000Z,TNS,2.19,2.22,1.19,EST,0,EQUITY,2019-04-26
11,LYB,LyondellBasell Industries N.V.,2019-02-01T00:00:00.000Z,TNS,2.26,1.83,-19.17,EST,0,EQUITY,2019-02-01
12,LYB,LyondellBasell Industries N.V.,2018-10-30T00:00:00.000Z,TNS,2.68,2.96,10.32,EST,0,EQUITY,2018-10-30
13,LYB,LyondellBasell Industries N.V.,2018-08-03T00:00:00.000Z,TNS,2.92,3.34,14.27,EST,0,EQUITY,2018-08-03
14,LYB,LyondellBasell Industries N.V.,2018-04-27T00:00:00.000Z,TNS,2.75,3.11,12.93,EST,0,EQUITY,2018-04-27
15,LYB,LyondellBasell Industries N.V.,2018-02-02T00:00:00.000Z,TNS,2.56,2.73,6.68,EST,0,EQUITY,2018-02-02
16,LYB,LyondellBasell Industries N.V.,2017-10-27T00:00:00.000Z,TNS,2.48,2.41,-2.86,EST,0,EQUITY,2017-10-27
17,LYB,LyondellBasell Industries N.V.,2017-07-28T00:00:00.000Z,TNS,2.67,2.82,5.46,EST,0,EQUITY,2017-07-28
18,LYB,LyondellBasell Industries N.V.,2017-04-28T00:00:00.000Z,TNS,2.36,2.26,-4.03,EST,0,EQUITY,2017-04-28
