,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,MANU,Manchester United plc,2021-11-17T00:00:00.000Z,TNS,-18.0,-7.67,57.39,EST,0,EQUITY,2021-11-17
1,MANU,Manchester United PLC,2021-09-17T07:00:00.000Z,TAS,-15.0,-20.67,-37.8,EST,-18000000,EQUITY,2021-09-17
3,MANU,Manchester United plc,2021-06-17T00:00:00.000Z,TNS,1.0,-13.3,-1430.0,EST,0,EQUITY,2021-06-17
4,MANU,Manchester United plc,2021-03-04T00:00:00.000Z,TNS,-4.0,21.63,640.75,EST,0,EQUITY,2021-03-04
5,MANU,Manchester United plc,2020-11-12T00:00:00.000Z,TNS,-13.0,-15.12,-16.31,EST,0,EQUITY,2020-11-12
6,MANU,Manchester United plc,2020-10-21T00:00:00.000Z,TNS,-20.0,-21.59,-7.95,EST,0,EQUITY,2020-10-21
7,MANU,Manchester United plc,2020-05-21T00:00:00.000Z,TNS,1.0,-4.42,-542.0,EST,0,EQUITY,2020-05-21
8,MANU,Manchester United plc,2020-02-25T00:00:00.000Z,TNS,18.0,15.66,-13.0,EST,0,EQUITY,2020-02-25
9,MANU,Manchester United plc,2019-11-18T00:00:00.000Z,TNS,-3.42,2.35,168.71,EST,0,EQUITY,2019-11-18
10,MANU,Manchester United plc,2019-09-24T00:00:00.000Z,TNS,-11.82,-13.49,-14.08,EST,0,EQUITY,2019-09-24
11,MANU,Manchester United plc,2019-05-16T00:00:00.000Z,TNS,1.88,4.65,147.34,EST,0,EQUITY,2019-05-16
12,MANU,Manchester United plc,2019-02-14T00:00:00.000Z,TNS,22.38,16.26,-27.35,EST,0,EQUITY,2019-02-14
13,MANU,Manchester United plc,2018-11-15T00:00:00.000Z,TNS,-4.86,4.04,183.21,EST,0,EQUITY,2018-11-15
14,MANU,Manchester United plc,2018-09-25T00:00:00.000Z,TNS,-0.66,-9.89,-1407.62,EST,0,EQUITY,2018-09-25
15,MANU,Manchester United plc,2018-05-17T00:00:00.000Z,TNS,-2.5,0.07,102.8,EST,0,EQUITY,2018-05-17
16,MANU,Manchester United plc,2018-02-08T00:00:00.000Z,TNS,8.77,-17.71,-301.87,EST,0,EQUITY,2018-02-08
17,MANU,Manchester United plc,2017-11-16T00:00:00.000Z,TNS,-2.43,4.83,298.68,EST,0,EQUITY,2017-11-16
18,MANU,Manchester United plc,2017-09-21T00:00:00.000Z,TNS,7.88,14.74,87.13,EST,0,EQUITY,2017-09-21
19,MANU,Manchester United plc,2017-05-16T00:00:00.000Z,TNS,-3.79,-2.3,39.36,EST,0,EQUITY,2017-05-16
20,MANU,Manchester United plc,2017-02-09T00:00:00.000Z,TNS,6.31,10.66,68.94,EST,0,EQUITY,2017-02-09
21,MANU,Manchester United plc,2016-11-17T00:00:00.000Z,TNS,-5.6,0.71,112.69,EST,0,EQUITY,2016-11-17
22,MANU,Manchester United plc,2016-09-12T00:00:00.000Z,TNS,6.0,-0.58,-109.67,EST,0,EQUITY,2016-09-12
23,MANU,Manchester United plc,2016-05-13T00:00:00.000Z,TNS,5.26,8.38,59.19,EST,0,EQUITY,2016-05-13
24,MANU,Manchester United plc,2016-02-11T00:00:00.000Z,TNS,5.1,11.33,122.29,EST,0,EQUITY,2016-02-11
25,MANU,Manchester United plc,2015-11-12T00:00:00.000Z,TNS,-1.0,3.02,402.0,EST,0,EQUITY,2015-11-12
26,MANU,Manchester United plc,2015-09-17T00:00:00.000Z,TNS,-7.53,0.09,101.2,EST,0,EQUITY,2015-09-17
27,MANU,Manchester United plc,2015-05-14T00:00:00.000Z,TNS,-7.07,-1.75,75.24,EST,0,EQUITY,2015-05-14
28,MANU,Manchester United plc,2015-02-12T00:00:00.000Z,TNS,-2.27,-0.03,98.68,EST,0,EQUITY,2015-02-12
29,MANU,Manchester United plc,2014-11-18T00:00:00.000Z,TNS,-4.5,5.45,221.11,EST,0,EQUITY,2014-11-18
30,MANU,Manchester United plc,2014-09-10T00:00:00.000Z,TNS,-2.0,-3.56,-78.0,EST,0,EQUITY,2014-09-10
31,MANU,Manchester United plc,2014-05-15T00:00:00.000Z,TNS,5.0,6.66,33.2,EST,0,EQUITY,2014-05-15
32,MANU,Manchester United plc,2014-02-12T00:00:00.000Z,TNS,11.74,11.62,-1.02,EST,0,EQUITY,2014-02-12
33,MANU,Manchester United plc,2013-11-14T00:00:00.000Z,TNS,2.08,1.45,-30.4,EST,0,EQUITY,2013-11-14
34,MANU,Manchester United plc,2013-09-18T00:00:00.000Z,TNS,-1.0,74.21,7521.0,EST,0,EQUITY,2013-09-18
35,MANU,Manchester United plc,2013-05-02T00:00:00.000Z,TNS,1.83,2.0,9.09,EST,0,EQUITY,2013-05-02
36,MANU,Manchester United plc,2013-02-14T00:00:00.000Z,TNS,15.83,10.0,-36.84,EST,0,EQUITY,2013-02-14
37,MANU,Manchester United plc,2012-11-14T00:00:00.000Z,TNS,-2.0,-1.88,6.0,EST,0,EQUITY,2012-11-14
38,MANU,Manchester United plc,2012-09-18T00:00:00.000Z,TNS,-0.01,-0.11,-915.7,EST,0,EQUITY,2012-09-18
