,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,MBUU,"Malibu Boats, Inc.",2021-11-04T00:00:00.000Z,TNS,1.26,1.37,8.39,EST,0,EQUITY,2021-11-04
1,MBUU,"Malibu Boats, Inc.",2021-08-26T00:00:00.000Z,TNS,1.62,1.84,13.58,EST,0,EQUITY,2021-08-26
2,MBUU,"Malibu Boats, Inc.",2021-05-04T00:00:00.000Z,TNS,1.65,1.82,10.24,EST,0,EQUITY,2021-05-04
3,MBUU,"Malibu Boats, Inc.",2021-02-09T00:00:00.000Z,TNS,1.03,1.22,18.56,EST,0,EQUITY,2021-02-09
4,MBUU,"Malibu Boats, Inc.",2020-11-06T00:00:00.000Z,TNS,0.87,1.13,30.03,EST,0,EQUITY,2020-11-06
5,MBUU,"Malibu Boats, Inc.",2020-08-27T00:00:00.000Z,TNS,0.12,0.4,233.33,EST,0,EQUITY,2020-08-27
6,MBUU,"Malibu Boats, Inc.",2020-05-07T00:00:00.000Z,TNS,0.98,1.13,15.07,EST,0,EQUITY,2020-05-07
7,MBUU,"Malibu Boats, Inc.",2020-02-06T00:00:00.000Z,TNS,0.7,0.93,32.67,EST,0,EQUITY,2020-02-06
8,MBUU,"Malibu Boats, Inc.",2019-11-07T00:00:00.000Z,TNS,0.7,0.83,18.91,EST,0,EQUITY,2019-11-07
9,MBUU,"Malibu Boats, Inc.",2019-08-29T00:00:00.000Z,TNS,0.95,1.08,13.45,EST,0,EQUITY,2019-08-29
10,MBUU,"Malibu Boats, Inc.",2019-05-09T00:00:00.000Z,TNS,1.04,1.15,10.36,EST,0,EQUITY,2019-05-09
11,MBUU,"Malibu Boats, Inc.",2019-02-06T00:00:00.000Z,TNS,0.74,0.86,16.85,EST,0,EQUITY,2019-02-06
12,MBUU,"Malibu Boats, Inc.",2018-11-06T00:00:00.000Z,TNS,0.54,0.67,24.07,EST,0,EQUITY,2018-11-06
13,MBUU,"Malibu Boats, Inc.",2018-09-06T00:00:00.000Z,TNS,0.59,0.76,29.47,EST,0,EQUITY,2018-09-06
14,MBUU,"Malibu Boats, Inc.",2018-05-02T00:00:00.000Z,TNS,0.7,0.89,27.32,EST,0,EQUITY,2018-05-02
15,MBUU,"Malibu Boats, Inc.",2018-02-09T00:00:00.000Z,TNS,0.48,0.53,10.42,EST,0,EQUITY,2018-02-09
16,MBUU,"Malibu Boats, Inc.",2017-11-07T00:00:00.000Z,TNS,0.32,0.42,29.63,EST,0,EQUITY,2017-11-07
17,MBUU,"Malibu Boats, Inc.",2017-09-07T00:00:00.000Z,TNS,0.42,0.43,2.87,EST,0,EQUITY,2017-09-07
18,MBUU,"Malibu Boats, Inc.",2017-05-03T00:00:00.000Z,TNS,0.46,0.49,5.83,EST,0,EQUITY,2017-05-03
19,MBUU,"Malibu Boats, Inc.",2017-02-01T00:00:00.000Z,TNS,0.33,0.38,14.46,EST,0,EQUITY,2017-02-01
20,MBUU,"Malibu Boats, Inc.",2016-11-01T00:00:00.000Z,TNS,0.25,0.26,4.0,EST,0,EQUITY,2016-11-01
21,MBUU,"Malibu Boats, Inc.",2016-09-07T00:00:00.000Z,TNS,0.36,0.38,6.44,EST,0,EQUITY,2016-09-07
22,MBUU,"Malibu Boats, Inc.",2016-05-04T00:00:00.000Z,TNS,0.4,0.4,0.0,EST,0,EQUITY,2016-05-04
23,MBUU,"Malibu Boats, Inc.",2016-02-03T00:00:00.000Z,TNS,0.3,0.3,0.67,EST,0,EQUITY,2016-02-03
24,MBUU,"Malibu Boats, Inc.",2015-11-03T00:00:00.000Z,TNS,0.25,0.25,1.63,EST,0,EQUITY,2015-11-03
25,MBUU,"Malibu Boats, Inc.",2015-09-09T00:00:00.000Z,TNS,0.31,0.32,3.23,EST,0,EQUITY,2015-09-09
26,MBUU,"Malibu Boats, Inc.",2015-05-05T00:00:00.000Z,TNS,0.32,0.34,6.25,EST,0,EQUITY,2015-05-05
27,MBUU,"Malibu Boats, Inc.",2015-02-05T00:00:00.000Z,TNS,0.24,0.26,7.0,EST,0,EQUITY,2015-02-05
28,MBUU,"Malibu Boats, Inc.",2014-11-04T00:00:00.000Z,TNS,0.19,0.19,2.7,EST,0,EQUITY,2014-11-04
29,MBUU,"Malibu Boats, Inc.",2014-09-11T00:00:00.000Z,TNS,0.21,0.24,17.07,EST,0,EQUITY,2014-09-11
30,MBUU,"Malibu Boats, Inc.",2014-05-07T00:00:00.000Z,TNS,0.14,0.2,37.93,EST,0,EQUITY,2014-05-07
