,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,MD,MEDNAX Inc,2021-10-28T06:00:00.000Z,TAS,0.42,0.46,9.52,EST,-18000000,EQUITY,2021-10-28
4,MD,"MEDNAX, Inc.",2021-08-06T00:00:00.000Z,TNS,0.32,0.41,26.54,EST,0,EQUITY,2021-08-06
5,MD,"MEDNAX, Inc.",2021-05-07T00:00:00.000Z,TNS,0.13,0.24,80.45,EST,0,EQUITY,2021-05-07
6,MD,"MEDNAX, Inc.",2021-02-18T00:00:00.000Z,TNS,0.36,0.25,-29.78,EST,0,EQUITY,2021-02-18
7,MD,"MEDNAX, Inc.",2020-11-06T00:00:00.000Z,TNS,0.4,0.37,-8.19,EST,0,EQUITY,2020-11-06
8,MD,"MEDNAX, Inc.",2020-07-30T00:00:00.000Z,TNS,0.09,0.32,259.55,EST,0,EQUITY,2020-07-30
9,MD,"MEDNAX, Inc.",2020-05-07T00:00:00.000Z,TNS,0.54,0.32,-40.85,EST,0,EQUITY,2020-05-07
10,MD,"MEDNAX, Inc.",2020-02-20T00:00:00.000Z,TNS,0.9,0.91,1.0,EST,0,EQUITY,2020-02-20
11,MD,"MEDNAX, Inc.",2019-11-01T00:00:00.000Z,TNS,0.91,0.91,0.55,EST,0,EQUITY,2019-11-01
12,MD,"MEDNAX, Inc.",2019-08-01T00:00:00.000Z,TNS,0.86,0.89,3.73,EST,0,EQUITY,2019-08-01
13,MD,"MEDNAX, Inc.",2019-05-02T00:00:00.000Z,TNS,0.7,0.65,-6.88,EST,0,EQUITY,2019-05-02
14,MD,"MEDNAX, Inc.",2019-02-07T00:00:00.000Z,TNS,0.9,0.92,2.45,EST,0,EQUITY,2019-02-07
15,MD,"MEDNAX, Inc.",2018-11-01T00:00:00.000Z,TNS,0.97,0.94,-2.59,EST,0,EQUITY,2018-11-01
16,MD,"MEDNAX, Inc.",2018-08-02T00:00:00.000Z,TNS,1.06,1.07,0.85,EST,0,EQUITY,2018-08-02
17,MD,"MEDNAX, Inc.",2018-04-30T00:00:00.000Z,TNS,0.86,0.89,3.73,EST,0,EQUITY,2018-04-30
18,MD,"MEDNAX, Inc.",2018-02-08T00:00:00.000Z,TNS,0.83,0.87,4.32,EST,0,EQUITY,2018-02-08
19,MD,"MEDNAX, Inc.",2017-11-01T00:00:00.000Z,TNS,0.85,0.87,2.84,EST,0,EQUITY,2017-11-01
20,MD,"MEDNAX, Inc.",2017-07-28T00:00:00.000Z,TNS,0.88,0.85,-2.97,EST,0,EQUITY,2017-07-28
21,MD,"MEDNAX, Inc.",2017-05-04T00:00:00.000Z,TNS,0.82,0.75,-8.42,EST,0,EQUITY,2017-05-04
22,MD,"MEDNAX, Inc.",2017-02-07T00:00:00.000Z,TNS,1.04,1.0,-4.21,EST,0,EQUITY,2017-02-07
23,MD,"MEDNAX, Inc.",2016-10-27T00:00:00.000Z,TNS,1.11,1.09,-1.45,EST,0,EQUITY,2016-10-27
24,MD,"MEDNAX, Inc.",2016-07-28T00:00:00.000Z,TNS,1.06,1.03,-3.1,EST,0,EQUITY,2016-07-28
25,MD,"MEDNAX, Inc.",2016-04-28T00:00:00.000Z,TNS,0.86,0.87,1.28,EST,0,EQUITY,2016-04-28
26,MD,"MEDNAX, Inc.",2016-02-04T00:00:00.000Z,TNS,1.1,1.13,2.54,EST,0,EQUITY,2016-02-04
27,MD,"MEDNAX, Inc.",2015-10-29T00:00:00.000Z,TNS,1.1,1.1,0.46,EST,0,EQUITY,2015-10-29
28,MD,"MEDNAX, Inc.",2015-07-30T00:00:00.000Z,TNS,0.88,1.02,15.52,EST,0,EQUITY,2015-07-30
29,MD,"MEDNAX, Inc.",2015-04-30T00:00:00.000Z,TNS,0.71,0.83,17.4,EST,0,EQUITY,2015-04-30
30,MD,"MEDNAX, Inc.",2015-01-29T00:00:00.000Z,TNS,0.86,0.89,3.13,EST,0,EQUITY,2015-01-29
31,MD,"MEDNAX, Inc.",2014-10-30T00:00:00.000Z,TNS,0.85,0.86,1.06,EST,0,EQUITY,2014-10-30
32,MD,"MEDNAX, Inc.",2014-07-31T00:00:00.000Z,TNS,0.78,0.79,1.4,EST,0,EQUITY,2014-07-31
33,MD,"MEDNAX, Inc.",2014-05-01T00:00:00.000Z,TNS,0.63,0.63,0.73,EST,0,EQUITY,2014-05-01
34,MD,"MEDNAX, Inc.",2014-01-30T00:00:00.000Z,TNS,0.75,0.78,4.05,EST,0,EQUITY,2014-01-30
35,MD,"MEDNAX, Inc.",2013-10-31T00:00:00.000Z,TNS,0.74,0.76,2.85,EST,0,EQUITY,2013-10-31
36,MD,"MEDNAX, Inc.",2013-07-30T00:00:00.000Z,TNS,0.68,0.69,0.52,EST,0,EQUITY,2013-07-30
37,MD,"MEDNAX, Inc.",2013-05-02T00:00:00.000Z,TNS,0.54,0.55,1.23,EST,0,EQUITY,2013-05-02
38,MD,"MEDNAX, Inc.",2013-01-31T00:00:00.000Z,TNS,0.65,0.66,1.59,EST,0,EQUITY,2013-01-31
39,MD,"MEDNAX, Inc.",2012-11-01T00:00:00.000Z,TNS,0.64,0.66,3.5,EST,0,EQUITY,2012-11-01
