,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,MDLZ,Mondelez International Inc,2021-11-02T16:05:00.000Z,TAS,0.7,0.7,0.0,EST,-18000000,EQUITY,2021-11-02
5,MDLZ,"Mondelez International, Inc.",2021-07-27T00:00:00.000Z,TNS,0.65,0.66,1.54,EST,0,EQUITY,2021-07-27
6,MDLZ,"Mondelez International, Inc.",2021-04-27T00:00:00.000Z,TNS,0.69,0.77,11.76,EST,0,EQUITY,2021-04-27
7,MDLZ,"Mondelez International, Inc.",2021-01-28T00:00:00.000Z,TNS,0.67,0.67,0.75,EST,0,EQUITY,2021-01-28
8,MDLZ,"Mondelez International, Inc.",2020-11-02T00:00:00.000Z,TNS,0.62,0.63,0.96,EST,0,EQUITY,2020-11-02
9,MDLZ,"Mondelez International, Inc.",2020-07-28T00:00:00.000Z,TNS,0.56,0.63,12.5,EST,0,EQUITY,2020-07-28
10,MDLZ,"Mondelez International, Inc.",2020-04-28T00:00:00.000Z,TNS,0.66,0.69,4.39,EST,0,EQUITY,2020-04-28
11,MDLZ,"Mondelez International, Inc.",2020-01-29T00:00:00.000Z,TNS,0.6,0.61,1.33,EST,0,EQUITY,2020-01-29
12,MDLZ,"Mondelez International, Inc.",2019-10-29T00:00:00.000Z,TNS,0.61,0.64,5.79,EST,0,EQUITY,2019-10-29
13,MDLZ,"Mondelez International, Inc.",2019-07-30T00:00:00.000Z,TNS,0.57,0.57,0.53,EST,0,EQUITY,2019-07-30
14,MDLZ,"Mondelez International, Inc.",2019-04-30T00:00:00.000Z,TNS,0.61,0.65,6.21,EST,0,EQUITY,2019-04-30
15,MDLZ,"Mondelez International, Inc.",2019-01-30T00:00:00.000Z,TNS,0.63,0.63,0.48,EST,0,EQUITY,2019-01-30
16,MDLZ,"Mondelez International, Inc.",2018-10-29T00:00:00.000Z,TNS,0.61,0.62,2.31,EST,0,EQUITY,2018-10-29
