,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,MG,Mistras Group Inc,2021-11-02T16:01:01.000Z,TAS,0.19,0.12,-36.84,EST,-18000000,EQUITY,2021-11-02
4,MG,"Mistras Group, Inc.",2021-08-02T00:00:00.000Z,TNS,0.12,0.22,78.86,EST,0,EQUITY,2021-08-02
5,MG,"Mistras Group, Inc.",2021-05-05T00:00:00.000Z,TNS,-0.13,-0.14,-9.38,EST,0,EQUITY,2021-05-05
6,MG,"Mistras Group, Inc.",2021-03-16T00:00:00.000Z,TNS,-0.02,0.05,377.78,EST,0,EQUITY,2021-03-16
7,MG,"Mistras Group, Inc.",2020-11-04T00:00:00.000Z,TNS,0.01,0.06,361.54,EST,0,EQUITY,2020-11-04
8,MG,"Mistras Group, Inc.",2020-08-05T00:00:00.000Z,TNS,-0.24,-0.06,74.68,EST,0,EQUITY,2020-08-05
9,MG,"Mistras Group, Inc.",2020-05-18T00:00:00.000Z,TNS,-0.19,-0.24,-23.08,EST,0,EQUITY,2020-05-18
10,MG,"Mistras Group, Inc.",2020-03-25T00:00:00.000Z,TNS,0.04,-0.03,-185.71,EST,0,EQUITY,2020-03-25
11,MG,"Mistras Group, Inc.",2019-11-04T00:00:00.000Z,TNS,0.22,0.12,-45.45,EST,0,EQUITY,2019-11-04
12,MG,"Mistras Group, Inc.",2019-08-05T00:00:00.000Z,TNS,0.18,0.22,22.22,EST,0,EQUITY,2019-08-05
13,MG,"Mistras Group, Inc.",2019-05-06T00:00:00.000Z,TNS,0.08,-0.03,-137.5,EST,0,EQUITY,2019-05-06
14,MG,"Mistras Group, Inc.",2019-03-11T00:00:00.000Z,TNS,0.22,0.06,-72.73,EST,0,EQUITY,2019-03-11
15,MG,"Mistras Group, Inc.",2018-11-05T00:00:00.000Z,TNS,0.25,0.15,-39.52,EST,0,EQUITY,2018-11-05
16,MG,"Mistras Group, Inc.",2018-08-06T00:00:00.000Z,TNS,0.17,0.21,23.53,EST,0,EQUITY,2018-08-06
17,MG,"Mistras Group, Inc.",2018-05-07T00:00:00.000Z,TNS,0.13,0.07,-44.0,EST,0,EQUITY,2018-05-07
18,MG,"Mistras Group, Inc.",2018-03-12T00:00:00.000Z,TNS,0.19,0.15,-22.68,EST,0,EQUITY,2018-03-12
19,MG,"Mistras Group, Inc.",2017-11-06T00:00:00.000Z,TNS,0.15,0.13,-15.03,EST,0,EQUITY,2017-11-06
20,MG,"Mistras Group, Inc.",2017-08-08T00:00:00.000Z,TNS,0.14,0.09,-34.78,EST,0,EQUITY,2017-08-08
21,MG,"Mistras Group, Inc.",2017-05-08T00:00:00.000Z,TNS,0.07,0.08,9.59,EST,0,EQUITY,2017-05-08
23,MG,"Mistras Group, Inc.",2017-01-04T00:00:00.000Z,TNS,0.31,0.27,-12.9,EST,0,EQUITY,2017-01-04
24,MG,"Mistras Group, Inc.",2016-10-06T00:00:00.000Z,TNS,0.2,0.23,12.75,EST,0,EQUITY,2016-10-06
25,MG,"Mistras Group, Inc.",2016-08-10T00:00:00.000Z,TNS,0.22,0.22,1.85,EST,0,EQUITY,2016-08-10
26,MG,"Mistras Group, Inc.",2016-04-06T00:00:00.000Z,TNS,0.05,0.12,130.77,EST,0,EQUITY,2016-04-06
27,MG,"Mistras Group, Inc.",2016-01-06T00:00:00.000Z,TNS,0.26,0.39,50.0,EST,0,EQUITY,2016-01-06
28,MG,"Mistras Group, Inc.",2015-10-07T00:00:00.000Z,TNS,0.09,0.23,164.37,EST,0,EQUITY,2015-10-07
29,MG,"Mistras Group, Inc.",2015-08-05T00:00:00.000Z,TNS,0.22,0.15,-32.74,EST,0,EQUITY,2015-08-05
30,MG,"Mistras Group, Inc.",2015-04-08T00:00:00.000Z,TNS,0.1,0.01,-90.0,EST,0,EQUITY,2015-04-08
31,MG,"Mistras Group, Inc.",2015-01-07T00:00:00.000Z,TNS,0.26,0.33,26.92,EST,0,EQUITY,2015-01-07
32,MG,"Mistras Group, Inc.",2014-10-07T00:00:00.000Z,TNS,0.12,0.04,-66.67,EST,0,EQUITY,2014-10-07
33,MG,"Mistras Group, Inc.",2014-08-06T00:00:00.000Z,TNS,0.24,0.17,-28.57,EST,0,EQUITY,2014-08-06
34,MG,"Mistras Group, Inc.",2014-04-08T00:00:00.000Z,TNS,0.13,0.06,-55.0,EST,0,EQUITY,2014-04-08
35,MG,"Mistras Group, Inc.",2014-01-08T00:00:00.000Z,TNS,0.29,0.31,6.9,EST,0,EQUITY,2014-01-08
36,MG,"Mistras Group, Inc.",2013-10-08T00:00:00.000Z,TNS,0.12,0.15,30.43,EST,0,EQUITY,2013-10-08
37,MG,"Mistras Group, Inc.",2013-08-07T00:00:00.000Z,TNS,0.15,0.16,5.49,EST,0,EQUITY,2013-08-07
38,MG,"Mistras Group, Inc.",2013-04-08T00:00:00.000Z,TNS,0.17,0.07,-59.61,EST,0,EQUITY,2013-04-08
39,MG,"Mistras Group, Inc.",2013-01-08T00:00:00.000Z,TNS,0.32,0.32,0.9,EST,0,EQUITY,2013-01-08
40,MG,"Mistras Group, Inc.",2012-10-09T00:00:00.000Z,TNS,0.14,0.14,-2.78,EST,0,EQUITY,2012-10-09
41,MG,"Mistras Group, Inc.",2012-08-08T00:00:00.000Z,TNS,0.3,0.25,-17.13,EST,0,EQUITY,2012-08-08
42,MG,"Mistras Group, Inc.",2012-04-04T00:00:00.000Z,TNS,0.13,0.13,3.41,EST,0,EQUITY,2012-04-04
43,MG,"Mistras Group, Inc.",2012-01-09T00:00:00.000Z,TNS,0.25,0.27,9.89,EST,0,EQUITY,2012-01-09
44,MG,"Mistras Group, Inc.",2011-10-10T00:00:00.000Z,TNS,0.1,0.11,8.64,EST,0,EQUITY,2011-10-10
45,MG,"Mistras Group, Inc.",2011-08-09T00:00:00.000Z,TNS,0.22,0.26,20.0,EST,0,EQUITY,2011-08-09
46,MG,"Mistras Group, Inc.",2011-04-12T00:00:00.000Z,TNS,0.09,0.09,2.86,EST,0,EQUITY,2011-04-12
47,MG,"Mistras Group, Inc.",2011-01-11T00:00:00.000Z,TNS,0.16,0.21,28.57,EST,0,EQUITY,2011-01-11
48,MG,"Mistras Group, Inc.",2010-10-12T00:00:00.000Z,TNS,0.06,0.06,0.0,EST,0,EQUITY,2010-10-12
49,MG,"Mistras Group, Inc.",2010-08-10T00:00:00.000Z,TNS,0.14,0.18,25.58,EST,0,EQUITY,2010-08-10
50,MG,"Mistras Group, Inc.",2010-04-07T00:00:00.000Z,TNS,0.05,0.03,-42.86,EST,0,EQUITY,2010-04-07
51,MG,"Mistras Group, Inc.",2010-01-07T00:00:00.000Z,TNS,0.14,0.14,2.94,EST,0,EQUITY,2010-01-07
