,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,MOV,"Movado Group, Inc.",2021-11-23T00:00:00.000Z,TNS,1.01,1.36,34.65,EST,0,EQUITY,2021-11-23
1,MOV,"Movado Group, Inc.",2021-08-26T00:00:00.000Z,TNS,0.3,0.85,185.23,EST,0,EQUITY,2021-08-26
2,MOV,"Movado Group, Inc.",2021-05-27T00:00:00.000Z,TNS,-0.08,0.43,605.88,EST,0,EQUITY,2021-05-27
3,MOV,"Movado Group, Inc.",2021-03-25T00:00:00.000Z,TNS,0.45,0.84,87.92,EST,0,EQUITY,2021-03-25
4,MOV,"Movado Group, Inc.",2020-11-24T00:00:00.000Z,TNS,0.48,0.7,45.23,EST,0,EQUITY,2020-11-24
5,MOV,"Movado Group, Inc.",2020-08-27T00:00:00.000Z,TNS,-0.31,-0.07,77.42,EST,0,EQUITY,2020-08-27
6,MOV,"Movado Group, Inc.",2020-06-09T00:00:00.000Z,TNS,-0.2,-0.56,-181.41,EST,0,EQUITY,2020-06-09
7,MOV,"Movado Group, Inc.",2020-03-26T00:00:00.000Z,TNS,0.21,0.15,-28.57,EST,0,EQUITY,2020-03-26
8,MOV,"Movado Group, Inc.",2019-11-26T00:00:00.000Z,TNS,1.03,0.82,-20.39,EST,0,EQUITY,2019-11-26
9,MOV,"Movado Group, Inc.",2019-08-28T00:00:00.000Z,TNS,0.5,0.36,-27.27,EST,0,EQUITY,2019-08-28
10,MOV,"Movado Group, Inc.",2019-05-30T00:00:00.000Z,TNS,0.31,0.24,-22.83,EST,0,EQUITY,2019-05-30
11,MOV,"Movado Group, Inc.",2019-03-28T00:00:00.000Z,TNS,0.55,0.67,21.82,EST,0,EQUITY,2019-03-28
12,MOV,"Movado Group, Inc.",2018-12-04T00:00:00.000Z,TNS,1.12,1.18,5.83,EST,0,EQUITY,2018-12-04
13,MOV,"Movado Group, Inc.",2018-08-29T00:00:00.000Z,TNS,0.45,0.45,1.12,EST,0,EQUITY,2018-08-29
14,MOV,"Movado Group, Inc.",2018-05-30T00:00:00.000Z,TNS,0.11,0.37,227.43,EST,0,EQUITY,2018-05-30
15,MOV,"Movado Group, Inc.",2018-03-29T00:00:00.000Z,TNS,0.26,0.52,102.33,EST,0,EQUITY,2018-03-29
16,MOV,"Movado Group, Inc.",2017-11-21T00:00:00.000Z,TNS,0.85,1.04,21.92,EST,0,EQUITY,2017-11-21
17,MOV,"Movado Group, Inc.",2017-08-29T00:00:00.000Z,TNS,0.23,0.43,86.96,EST,0,EQUITY,2017-08-29
18,MOV,"Movado Group, Inc.",2017-05-25T00:00:00.000Z,TNS,0.1,0.01,-89.69,EST,0,EQUITY,2017-05-25
19,MOV,"Movado Group, Inc.",2017-03-20T00:00:00.000Z,TNS,0.23,0.22,-4.35,EST,0,EQUITY,2017-03-20
20,MOV,"Movado Group, Inc.",2016-11-22T00:00:00.000Z,TNS,0.72,0.91,25.86,EST,0,EQUITY,2016-11-22
21,MOV,"Movado Group, Inc.",2016-08-25T00:00:00.000Z,TNS,0.31,0.27,-13.74,EST,0,EQUITY,2016-08-25
22,MOV,"Movado Group, Inc.",2016-05-26T00:00:00.000Z,TNS,0.16,0.19,15.85,EST,0,EQUITY,2016-05-26
23,MOV,"Movado Group, Inc.",2016-03-31T00:00:00.000Z,TNS,0.39,0.4,1.78,EST,0,EQUITY,2016-03-31
24,MOV,"Movado Group, Inc.",2015-11-24T00:00:00.000Z,TNS,0.93,0.92,-0.65,EST,0,EQUITY,2015-11-24
25,MOV,"Movado Group, Inc.",2015-08-27T00:00:00.000Z,TNS,0.42,0.5,18.48,EST,0,EQUITY,2015-08-27
26,MOV,"Movado Group, Inc.",2015-05-27T00:00:00.000Z,TNS,0.26,0.25,-2.34,EST,0,EQUITY,2015-05-27
27,MOV,"Movado Group, Inc.",2015-03-31T00:00:00.000Z,TNS,0.2,0.4,96.08,EST,0,EQUITY,2015-03-31
28,MOV,"Movado Group, Inc.",2014-11-25T00:00:00.000Z,TNS,0.86,0.87,0.69,EST,0,EQUITY,2014-11-25
29,MOV,"Movado Group, Inc.",2014-08-26T00:00:00.000Z,TNS,0.54,0.47,-12.8,EST,0,EQUITY,2014-08-26
30,MOV,"Movado Group, Inc.",2014-05-22T00:00:00.000Z,TNS,0.32,0.29,-10.31,EST,0,EQUITY,2014-05-22
31,MOV,"Movado Group, Inc.",2014-03-26T00:00:00.000Z,TNS,0.3,0.46,55.05,EST,0,EQUITY,2014-03-26
32,MOV,"Movado Group, Inc.",2013-11-26T00:00:00.000Z,TNS,0.87,0.89,1.83,EST,0,EQUITY,2013-11-26
33,MOV,"Movado Group, Inc.",2013-08-27T00:00:00.000Z,TNS,0.32,0.44,37.5,EST,0,EQUITY,2013-08-27
34,MOV,"Movado Group, Inc.",2013-05-29T00:00:00.000Z,TNS,0.22,0.28,30.23,EST,0,EQUITY,2013-05-29
35,MOV,"Movado Group, Inc.",2013-03-21T00:00:00.000Z,TNS,0.26,0.41,57.69,EST,0,EQUITY,2013-03-21
36,MOV,"Movado Group, Inc.",2012-11-28T00:00:00.000Z,TNS,0.61,0.67,9.84,EST,0,EQUITY,2012-11-28
37,MOV,"Movado Group, Inc.",2012-08-28T00:00:00.000Z,TNS,0.18,0.3,69.81,EST,0,EQUITY,2012-08-28
38,MOV,"Movado Group, Inc.",2012-05-31T00:00:00.000Z,TNS,0.25,0.26,6.12,EST,0,EQUITY,2012-05-31
39,MOV,"Movado Group, Inc.",2012-03-29T00:00:00.000Z,TNS,0.1,0.24,140.0,EST,0,EQUITY,2012-03-29
40,MOV,"Movado Group, Inc.",2011-12-01T00:00:00.000Z,TNS,0.43,0.65,51.16,EST,0,EQUITY,2011-12-01
41,MOV,"Movado Group, Inc.",2011-09-01T00:00:00.000Z,TNS,0.06,0.16,182.34,EST,0,EQUITY,2011-09-01
42,MOV,"Movado Group, Inc.",2011-06-02T00:00:00.000Z,TNS,-0.03,0.02,166.67,EST,0,EQUITY,2011-06-02
43,MOV,"Movado Group, Inc.",2011-04-07T00:00:00.000Z,TNS,0.01,0.05,649.63,EST,0,EQUITY,2011-04-07
44,MOV,"Movado Group, Inc.",2010-12-02T00:00:00.000Z,TNS,0.28,0.5,76.47,EST,0,EQUITY,2010-12-02
45,MOV,"Movado Group, Inc.",2010-09-02T00:00:00.000Z,TNS,-0.01,-0.04,-300.0,EST,0,EQUITY,2010-09-02
