,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,MUSA,Murphy USA Inc.,2021-10-27T00:00:00.000Z,TNS,3.25,3.98,22.61,EST,0,EQUITY,2021-10-27
4,MUSA,Murphy USA Inc.,2021-07-28T00:00:00.000Z,TNS,2.88,4.79,66.2,EST,0,EQUITY,2021-07-28
5,MUSA,Murphy USA Inc.,2021-04-28T00:00:00.000Z,TNS,1.47,2.01,36.36,EST,0,EQUITY,2021-04-28
6,MUSA,Murphy USA Inc.,2021-02-03T00:00:00.000Z,TNS,2.17,2.16,-0.28,EST,0,EQUITY,2021-02-03
7,MUSA,Murphy USA Inc.,2020-10-28T00:00:00.000Z,TNS,2.42,2.53,4.46,EST,0,EQUITY,2020-10-28
8,MUSA,Murphy USA Inc.,2020-07-21T00:00:00.000Z,TNS,4.79,5.73,19.7,EST,0,EQUITY,2020-07-21
9,MUSA,Murphy USA Inc.,2020-04-17T00:00:00.000Z,TNS,2.51,2.92,16.57,EST,0,EQUITY,2020-04-17
10,MUSA,Murphy USA Inc.,2020-01-29T00:00:00.000Z,TNS,1.46,1.54,5.48,EST,0,EQUITY,2020-01-29
11,MUSA,Murphy USA Inc.,2019-10-30T00:00:00.000Z,TNS,1.44,2.54,76.88,EST,0,EQUITY,2019-10-30
12,MUSA,Murphy USA Inc.,2019-07-31T00:00:00.000Z,TNS,1.08,1.01,-6.83,EST,0,EQUITY,2019-07-31
13,MUSA,Murphy USA Inc.,2019-04-29T00:00:00.000Z,TNS,0.19,0.16,-15.79,EST,0,EQUITY,2019-04-29
14,MUSA,Murphy USA Inc.,2019-01-30T00:00:00.000Z,TNS,2.36,2.38,0.68,EST,0,EQUITY,2019-01-30
15,MUSA,Murphy USA Inc.,2018-10-31T00:00:00.000Z,TNS,1.51,1.38,-8.43,EST,0,EQUITY,2018-10-31
16,MUSA,Murphy USA Inc.,2018-08-01T00:00:00.000Z,TNS,1.15,1.5,30.66,EST,0,EQUITY,2018-08-01
17,MUSA,Murphy USA Inc.,2018-05-01T00:00:00.000Z,TNS,0.26,0.12,-53.49,EST,0,EQUITY,2018-05-01
18,MUSA,Murphy USA Inc.,2018-01-31T00:00:00.000Z,TNS,1.23,1.02,-17.07,EST,0,EQUITY,2018-01-31
19,MUSA,Murphy USA Inc.,2017-11-01T00:00:00.000Z,TNS,1.32,1.9,43.5,EST,0,EQUITY,2017-11-01
20,MUSA,Murphy USA Inc.,2017-08-02T00:00:00.000Z,TNS,1.06,1.51,41.92,EST,0,EQUITY,2017-08-02
21,MUSA,Murphy USA Inc.,2017-05-01T00:00:00.000Z,TNS,0.0,-0.08,-1500.0,EST,0,EQUITY,2017-05-01
22,MUSA,Murphy USA Inc.,2017-02-01T00:00:00.000Z,TNS,1.02,1.14,11.76,EST,0,EQUITY,2017-02-01
23,MUSA,Murphy USA Inc.,2016-11-02T00:00:00.000Z,TNS,1.6,1.16,-27.55,EST,0,EQUITY,2016-11-02
24,MUSA,Murphy USA Inc.,2016-08-03T00:00:00.000Z,TNS,0.99,1.17,18.54,EST,0,EQUITY,2016-08-03
25,MUSA,Murphy USA Inc.,2016-05-09T00:00:00.000Z,TNS,0.52,0.72,37.67,EST,0,EQUITY,2016-05-09
26,MUSA,Murphy USA Inc.,2016-02-03T00:00:00.000Z,TNS,1.05,0.69,-34.03,EST,0,EQUITY,2016-02-03
27,MUSA,Murphy USA Inc.,2015-11-04T00:00:00.000Z,TNS,1.32,1.4,6.06,EST,0,EQUITY,2015-11-04
28,MUSA,Murphy USA Inc.,2015-08-05T00:00:00.000Z,TNS,0.79,0.59,-25.13,EST,0,EQUITY,2015-08-05
29,MUSA,Murphy USA Inc.,2015-05-04T00:00:00.000Z,TNS,0.5,0.5,0.0,EST,0,EQUITY,2015-05-04
30,MUSA,Murphy USA Inc.,2015-02-04T00:00:00.000Z,TNS,1.55,2.13,37.86,EST,0,EQUITY,2015-02-04
31,MUSA,Murphy USA Inc.,2014-11-05T00:00:00.000Z,TNS,1.02,1.36,33.33,EST,0,EQUITY,2014-11-05
32,MUSA,Murphy USA Inc.,2014-08-06T00:00:00.000Z,TNS,0.86,1.42,64.48,EST,0,EQUITY,2014-08-06
33,MUSA,Murphy USA Inc.,2014-05-05T00:00:00.000Z,TNS,0.22,-0.04,-117.91,EST,0,EQUITY,2014-05-05
34,MUSA,Murphy USA Inc.,2014-02-19T00:00:00.000Z,TNS,0.67,0.63,-5.5,EST,0,EQUITY,2014-02-19
35,MUSA,Murphy USA Inc.,2013-11-06T00:00:00.000Z,TNS,0.39,0.89,128.21,EST,0,EQUITY,2013-11-06
