,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,MYGN,"Myriad Genetics, Inc.",2021-11-02T00:00:00.000Z,TNS,-0.02,-0.02,0.0,EST,0,EQUITY,2021-11-02
1,MYGN,"Myriad Genetics, Inc.",2021-08-03T00:00:00.000Z,TNS,-0.09,0.12,237.93,EST,0,EQUITY,2021-08-03
2,MYGN,"Myriad Genetics, Inc.",2021-05-03T00:00:00.000Z,TNS,-0.14,-0.06,56.83,EST,0,EQUITY,2021-05-03
3,MYGN,"Myriad Genetics, Inc.",2021-02-23T00:00:00.000Z,TNS,-0.12,-0.12,2.44,EST,0,EQUITY,2021-02-23
4,MYGN,"Myriad Genetics, Inc.",2020-11-09T00:00:00.000Z,TNS,-0.3,-0.15,49.66,EST,0,EQUITY,2020-11-09
5,MYGN,"Myriad Genetics, Inc.",2020-08-13T00:00:00.000Z,TNS,-0.47,-0.31,33.48,EST,0,EQUITY,2020-08-13
6,MYGN,"Myriad Genetics, Inc.",2020-05-05T00:00:00.000Z,TNS,0.01,-0.08,-1100.0,EST,0,EQUITY,2020-05-05
7,MYGN,"Myriad Genetics, Inc.",2020-02-06T00:00:00.000Z,TNS,0.29,0.23,-21.77,EST,0,EQUITY,2020-02-06
8,MYGN,"Myriad Genetics, Inc.",2019-11-04T00:00:00.000Z,TNS,0.32,0.08,-75.31,EST,0,EQUITY,2019-11-04
9,MYGN,"Myriad Genetics, Inc.",2019-08-13T00:00:00.000Z,TNS,0.47,0.41,-13.5,EST,0,EQUITY,2019-08-13
10,MYGN,"Myriad Genetics, Inc.",2019-05-07T00:00:00.000Z,TNS,0.42,0.46,9.0,EST,0,EQUITY,2019-05-07
11,MYGN,"Myriad Genetics, Inc.",2019-02-05T00:00:00.000Z,TNS,0.39,0.38,-1.55,EST,0,EQUITY,2019-02-05
12,MYGN,"Myriad Genetics, Inc.",2018-11-06T00:00:00.000Z,TNS,0.3,0.43,42.86,EST,0,EQUITY,2018-11-06
13,MYGN,"Myriad Genetics, Inc.",2018-08-21T00:00:00.000Z,TNS,0.33,0.38,15.85,EST,0,EQUITY,2018-08-21
14,MYGN,"Myriad Genetics, Inc.",2018-05-08T00:00:00.000Z,TNS,0.27,0.31,13.97,EST,0,EQUITY,2018-05-08
15,MYGN,"Myriad Genetics, Inc.",2018-02-06T00:00:00.000Z,TNS,0.24,0.31,30.8,EST,0,EQUITY,2018-02-06
16,MYGN,"Myriad Genetics, Inc.",2017-11-07T00:00:00.000Z,TNS,0.21,0.26,26.21,EST,0,EQUITY,2017-11-07
17,MYGN,"Myriad Genetics, Inc.",2017-08-08T00:00:00.000Z,TNS,0.26,0.3,17.65,EST,0,EQUITY,2017-08-08
18,MYGN,"Myriad Genetics, Inc.",2017-05-02T00:00:00.000Z,TNS,0.23,0.27,15.38,EST,0,EQUITY,2017-05-02
19,MYGN,"Myriad Genetics, Inc.",2017-02-07T00:00:00.000Z,TNS,0.24,0.26,7.0,EST,0,EQUITY,2017-02-07
20,MYGN,"Myriad Genetics, Inc.",2016-11-01T00:00:00.000Z,TNS,0.25,0.23,-9.45,EST,0,EQUITY,2016-11-01
21,MYGN,"Myriad Genetics, Inc.",2016-08-09T00:00:00.000Z,TNS,0.38,0.36,-4.0,EST,0,EQUITY,2016-08-09
22,MYGN,"Myriad Genetics, Inc.",2016-05-03T00:00:00.000Z,TNS,0.38,0.41,7.61,EST,0,EQUITY,2016-05-03
23,MYGN,"Myriad Genetics, Inc.",2016-02-02T00:00:00.000Z,TNS,0.41,0.45,10.29,EST,0,EQUITY,2016-02-02
24,MYGN,"Myriad Genetics, Inc.",2015-11-03T00:00:00.000Z,TNS,0.35,0.41,16.15,EST,0,EQUITY,2015-11-03
25,MYGN,"Myriad Genetics, Inc.",2015-08-11T00:00:00.000Z,TNS,0.42,0.41,-1.2,EST,0,EQUITY,2015-08-11
26,MYGN,"Myriad Genetics, Inc.",2015-05-05T00:00:00.000Z,TNS,0.39,0.4,1.78,EST,0,EQUITY,2015-05-05
27,MYGN,"Myriad Genetics, Inc.",2015-02-03T00:00:00.000Z,TNS,0.35,0.4,15.27,EST,0,EQUITY,2015-02-03
28,MYGN,"Myriad Genetics, Inc.",2014-11-04T00:00:00.000Z,TNS,0.32,0.25,-21.14,EST,0,EQUITY,2014-11-04
29,MYGN,"Myriad Genetics, Inc.",2014-08-12T00:00:00.000Z,TNS,0.46,0.44,-4.66,EST,0,EQUITY,2014-08-12
30,MYGN,"Myriad Genetics, Inc.",2014-05-06T00:00:00.000Z,TNS,0.46,0.6,30.9,EST,0,EQUITY,2014-05-06
31,MYGN,"Myriad Genetics, Inc.",2014-02-04T00:00:00.000Z,TNS,0.46,0.66,42.74,EST,0,EQUITY,2014-02-04
32,MYGN,"Myriad Genetics, Inc.",2013-11-05T00:00:00.000Z,TNS,0.45,0.68,50.51,EST,0,EQUITY,2013-11-05
33,MYGN,"Myriad Genetics, Inc.",2013-08-13T00:00:00.000Z,TNS,0.44,0.53,21.25,EST,0,EQUITY,2013-08-13
34,MYGN,"Myriad Genetics, Inc.",2013-05-07T00:00:00.000Z,TNS,0.4,0.46,16.02,EST,0,EQUITY,2013-05-07
35,MYGN,"Myriad Genetics, Inc.",2013-02-05T00:00:00.000Z,TNS,0.38,0.42,10.49,EST,0,EQUITY,2013-02-05
36,MYGN,"Myriad Genetics, Inc.",2012-11-05T00:00:00.000Z,TNS,0.32,0.36,11.52,EST,0,EQUITY,2012-11-05
37,MYGN,"Myriad Genetics, Inc.",2012-08-14T00:00:00.000Z,TNS,0.34,0.34,0.05,EST,0,EQUITY,2012-08-14
38,MYGN,"Myriad Genetics, Inc.",2012-05-01T00:00:00.000Z,TNS,0.32,0.34,6.99,EST,0,EQUITY,2012-05-01
39,MYGN,"Myriad Genetics, Inc.",2012-01-31T00:00:00.000Z,TNS,0.31,0.33,6.49,EST,0,EQUITY,2012-01-31
40,MYGN,"Myriad Genetics, Inc.",2011-11-01T00:00:00.000Z,TNS,0.28,0.29,4.75,EST,0,EQUITY,2011-11-01
41,MYGN,"Myriad Genetics, Inc.",2011-08-09T00:00:00.000Z,TNS,0.29,0.3,5.2,EST,0,EQUITY,2011-08-09
42,MYGN,"Myriad Genetics, Inc.",2011-05-03T00:00:00.000Z,TNS,0.25,0.31,23.29,EST,0,EQUITY,2011-05-03
43,MYGN,"Myriad Genetics, Inc.",2011-01-27T00:00:00.000Z,TNS,0.26,0.26,1.17,EST,0,EQUITY,2011-01-27
44,MYGN,"Myriad Genetics, Inc.",2010-11-02T00:00:00.000Z,TNS,0.23,0.24,5.03,EST,0,EQUITY,2010-11-02
45,MYGN,"Myriad Genetics, Inc.",2010-08-10T00:00:00.000Z,TNS,0.33,0.39,18.0,EST,0,EQUITY,2010-08-10
46,MYGN,"Myriad Genetics, Inc.",2010-05-04T00:00:00.000Z,TNS,0.39,0.33,-14.53,EST,0,EQUITY,2010-05-04
47,MYGN,"Myriad Genetics, Inc.",2010-02-02T00:00:00.000Z,TNS,0.34,0.36,5.56,EST,0,EQUITY,2010-02-02
48,MYGN,"Myriad Genetics, Inc.",2009-11-03T00:00:00.000Z,TNS,0.34,0.31,-7.54,EST,0,EQUITY,2009-11-03
49,MYGN,"Myriad Genetics, Inc.",2009-08-25T00:00:00.000Z,TNS,0.22,0.37,66.76,EST,0,EQUITY,2009-08-25
50,MYGN,"Myriad Genetics, Inc.",2009-05-04T00:00:00.000Z,TNS,0.24,0.25,4.32,EST,0,EQUITY,2009-05-04
51,MYGN,"Myriad Genetics, Inc.",2009-02-03T00:00:00.000Z,TNS,0.16,0.22,33.09,EST,0,EQUITY,2009-02-03
52,MYGN,"Myriad Genetics, Inc.",2008-11-04T00:00:00.000Z,TNS,0.07,0.15,111.77,EST,0,EQUITY,2008-11-04
53,MYGN,"Myriad Genetics, Inc.",2008-08-19T00:00:00.000Z,TNS,-0.13,0.7,656.31,EST,0,EQUITY,2008-08-19
54,MYGN,"Myriad Genetics, Inc.",2008-05-06T00:00:00.000Z,TNS,-0.05,-0.05,0.0,EST,0,EQUITY,2008-05-06
55,MYGN,"Myriad Genetics, Inc.",2008-02-05T00:00:00.000Z,TNS,-0.09,-0.05,39.45,EST,0,EQUITY,2008-02-05
56,MYGN,"Myriad Genetics, Inc.",2007-11-01T00:00:00.000Z,TNS,-0.12,-0.09,22.86,EST,0,EQUITY,2007-11-01
57,MYGN,"Myriad Genetics, Inc.",2007-08-21T00:00:00.000Z,TNS,-0.09,-0.09,5.26,EST,0,EQUITY,2007-08-21
58,MYGN,"Myriad Genetics, Inc.",2007-05-01T00:00:00.000Z,TNS,-0.13,-0.07,45.36,EST,0,EQUITY,2007-05-01
59,MYGN,"Myriad Genetics, Inc.",2007-02-06T00:00:00.000Z,TNS,-0.15,-0.11,28.52,EST,0,EQUITY,2007-02-06
60,MYGN,"Myriad Genetics, Inc.",2006-11-07T00:00:00.000Z,TNS,-0.15,-0.15,-5.34,EST,0,EQUITY,2006-11-07
61,MYGN,"Myriad Genetics, Inc.",2006-08-22T00:00:00.000Z,TNS,-0.14,-0.14,-1.31,EST,0,EQUITY,2006-08-22
62,MYGN,"Myriad Genetics, Inc.",2006-05-02T00:00:00.000Z,TNS,-0.13,-0.12,8.14,EST,0,EQUITY,2006-05-02
63,MYGN,"Myriad Genetics, Inc.",2006-02-07T00:00:00.000Z,TNS,-0.16,-0.11,30.16,EST,0,EQUITY,2006-02-07
