,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,NATI,National Instruments Corporation,2021-10-28T00:00:00.000Z,TNS,0.18,0.2,11.11,EST,0,EQUITY,2021-10-28
5,NATI,National Instruments Corporation,2021-07-29T00:00:00.000Z,TNS,0.05,0.13,170.83,EST,0,EQUITY,2021-07-29
6,NATI,National Instruments Corporation,2021-04-29T00:00:00.000Z,TNS,0.07,0.03,-58.9,EST,0,EQUITY,2021-04-29
7,NATI,National Instruments Corporation,2021-01-28T00:00:00.000Z,TNS,0.13,0.04,-68.25,EST,0,EQUITY,2021-01-28
8,NATI,National Instruments Corporation,2020-10-29T00:00:00.000Z,TNS,0.03,-0.04,-233.33,EST,0,EQUITY,2020-10-29
9,NATI,National Instruments Corporation,2020-07-30T00:00:00.000Z,TNS,0.09,0.08,-13.98,EST,0,EQUITY,2020-07-30
10,NATI,National Instruments Corporation,2020-04-30T00:00:00.000Z,TNS,0.7,1.01,44.91,EST,0,EQUITY,2020-04-30
11,NATI,National Instruments Corporation,2020-01-30T00:00:00.000Z,TNS,0.33,0.45,35.14,EST,0,EQUITY,2020-01-30
12,NATI,National Instruments Corporation,2019-10-29T00:00:00.000Z,TNS,0.29,0.39,33.11,EST,0,EQUITY,2019-10-29
13,NATI,National Instruments Corporation,2019-07-30T00:00:00.000Z,TNS,0.25,0.22,-10.2,EST,0,EQUITY,2019-07-30
14,NATI,National Instruments Corporation,2019-04-30T00:00:00.000Z,TNS,0.18,0.17,-7.1,EST,0,EQUITY,2019-04-30
15,NATI,National Instruments Corporation,2019-01-29T00:00:00.000Z,TNS,0.44,0.42,-4.55,EST,0,EQUITY,2019-01-29
16,NATI,National Instruments Corporation,2018-10-25T00:00:00.000Z,TNS,0.28,0.32,14.29,EST,0,EQUITY,2018-10-25
17,NATI,National Instruments Corporation,2018-07-26T00:00:00.000Z,TNS,0.2,0.23,17.95,EST,0,EQUITY,2018-07-26
18,NATI,National Instruments Corporation,2018-04-26T00:00:00.000Z,TNS,0.19,0.18,-2.7,EST,0,EQUITY,2018-04-26
19,NATI,National Instruments Corporation,2018-01-30T00:00:00.000Z,TNS,0.34,0.35,2.04,EST,0,EQUITY,2018-01-30
20,NATI,National Instruments Corporation,2017-10-26T00:00:00.000Z,TNS,0.23,0.25,10.13,EST,0,EQUITY,2017-10-26
21,NATI,National Instruments Corporation,2017-07-27T00:00:00.000Z,TNS,0.19,0.19,1.6,EST,0,EQUITY,2017-07-27
22,NATI,National Instruments Corporation,2017-04-27T00:00:00.000Z,TNS,0.13,0.14,7.69,EST,0,EQUITY,2017-04-27
23,NATI,National Instruments Corporation,2017-01-26T00:00:00.000Z,TNS,0.31,0.27,-12.05,EST,0,EQUITY,2017-01-26
24,NATI,National Instruments Corporation,2016-10-27T00:00:00.000Z,TNS,0.18,0.19,3.83,EST,0,EQUITY,2016-10-27
25,NATI,National Instruments Corporation,2016-07-27T00:00:00.000Z,TNS,0.17,0.15,-10.71,EST,0,EQUITY,2016-07-27
26,NATI,National Instruments Corporation,2016-04-28T00:00:00.000Z,TNS,0.11,0.07,-34.58,EST,0,EQUITY,2016-04-28
27,NATI,National Instruments Corporation,2016-01-28T00:00:00.000Z,TNS,0.28,0.25,-9.09,EST,0,EQUITY,2016-01-28
28,NATI,National Instruments Corporation,2015-10-27T00:00:00.000Z,TNS,0.19,0.18,-2.7,EST,0,EQUITY,2015-10-27
29,NATI,National Instruments Corporation,2015-07-28T00:00:00.000Z,TNS,0.18,0.19,5.56,EST,0,EQUITY,2015-07-28
30,NATI,National Instruments Corporation,2015-04-28T00:00:00.000Z,TNS,0.17,0.12,-29.41,EST,0,EQUITY,2015-04-28
31,NATI,National Instruments Corporation,2015-01-29T00:00:00.000Z,TNS,0.3,0.34,15.25,EST,0,EQUITY,2015-01-29
32,NATI,National Instruments Corporation,2014-10-30T00:00:00.000Z,TNS,0.26,0.31,19.23,EST,0,EQUITY,2014-10-30
33,NATI,National Instruments Corporation,2014-07-29T00:00:00.000Z,TNS,0.2,0.19,-2.56,EST,0,EQUITY,2014-07-29
34,NATI,National Instruments Corporation,2014-04-29T00:00:00.000Z,TNS,0.16,0.15,-8.16,EST,0,EQUITY,2014-04-29
35,NATI,National Instruments Corporation,2014-01-30T00:00:00.000Z,TNS,0.25,0.25,-1.57,EST,0,EQUITY,2014-01-30
36,NATI,National Instruments Corporation,2013-10-31T00:00:00.000Z,TNS,0.11,0.13,14.71,EST,0,EQUITY,2013-10-31
37,NATI,National Instruments Corporation,2013-07-29T00:00:00.000Z,TNS,0.18,0.12,-34.07,EST,0,EQUITY,2013-07-29
38,NATI,National Instruments Corporation,2013-04-25T00:00:00.000Z,TNS,0.18,0.15,-18.18,EST,0,EQUITY,2013-04-25
39,NATI,National Instruments Corporation,2013-01-31T00:00:00.000Z,TNS,0.19,0.23,22.13,EST,0,EQUITY,2013-01-31
40,NATI,National Instruments Corporation,2012-10-25T00:00:00.000Z,TNS,0.2,0.2,-1.64,EST,0,EQUITY,2012-10-25
41,NATI,National Instruments Corporation,2012-07-26T00:00:00.000Z,TNS,0.21,0.21,1.94,EST,0,EQUITY,2012-07-26
42,NATI,National Instruments Corporation,2012-04-26T00:00:00.000Z,TNS,0.15,0.15,-2.6,EST,0,EQUITY,2012-04-26
43,NATI,National Instruments Corporation,2012-01-31T00:00:00.000Z,TNS,0.21,0.21,1.2,EST,0,EQUITY,2012-01-31
44,NATI,National Instruments Corporation,2011-10-26T00:00:00.000Z,TNS,0.22,0.19,-12.98,EST,0,EQUITY,2011-10-26
45,NATI,National Instruments Corporation,2011-07-27T00:00:00.000Z,TNS,0.25,0.22,-10.81,EST,0,EQUITY,2011-07-27
46,NATI,National Instruments Corporation,2011-04-28T00:00:00.000Z,TNS,0.26,0.25,-2.18,EST,0,EQUITY,2011-04-28
47,NATI,National Instruments Corporation,2011-01-25T00:00:00.000Z,TNS,0.3,0.32,5.88,EST,0,EQUITY,2011-01-25
48,NATI,National Instruments Corporation,2010-10-25T00:00:00.000Z,TNS,0.22,0.24,9.64,EST,0,EQUITY,2010-10-25
