,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,NEU,NewMarket Corporation,2021-02-03T00:00:00.000Z,TNS,,6.12,,EST,0,EQUITY,2021-02-03
4,NEU,NewMarket Corporation,2020-07-29T00:00:00.000Z,TNS,,2.05,,EST,0,EQUITY,2020-07-29
7,NEU,NewMarket Corporation,2019-10-23T00:00:00.000Z,TNS,5.93,6.06,2.19,EST,0,EQUITY,2019-10-23
8,NEU,NewMarket Corporation,2019-07-31T00:00:00.000Z,TNS,5.16,6.63,28.49,EST,0,EQUITY,2019-07-31
9,NEU,NewMarket Corporation,2019-04-24T00:00:00.000Z,TNS,5.81,5.57,-4.13,EST,0,EQUITY,2019-04-24
12,NEU,NewMarket Corporation,2018-08-08T00:00:00.000Z,TNS,5.68,4.53,-20.25,EST,0,EQUITY,2018-08-08
13,NEU,NewMarket Corporation,2018-04-25T00:00:00.000Z,TNS,5.6,5.14,-8.21,EST,0,EQUITY,2018-04-25
14,NEU,NewMarket Corporation,2018-02-06T00:00:00.000Z,TNS,3.62,3.05,-15.75,EST,0,EQUITY,2018-02-06
15,NEU,NewMarket Corporation,2017-10-25T00:00:00.000Z,TNS,5.7,5.04,-11.58,EST,0,EQUITY,2017-10-25
16,NEU,NewMarket Corporation,2017-08-02T00:00:00.000Z,TNS,5.73,5.29,-7.68,EST,0,EQUITY,2017-08-02
17,NEU,NewMarket Corporation,2017-04-26T00:00:00.000Z,TNS,4.04,5.39,33.42,EST,0,EQUITY,2017-04-26
18,NEU,NewMarket Corporation,2017-01-31T00:00:00.000Z,TNS,4.14,3.86,-6.88,EST,0,EQUITY,2017-01-31
19,NEU,NewMarket Corporation,2016-10-26T00:00:00.000Z,TNS,5.22,6.0,14.94,EST,0,EQUITY,2016-10-26
20,NEU,NewMarket Corporation,2016-07-27T00:00:00.000Z,TNS,5.45,5.5,1.01,EST,0,EQUITY,2016-07-27
21,NEU,NewMarket Corporation,2016-04-27T00:00:00.000Z,TNS,4.86,5.42,11.52,EST,0,EQUITY,2016-04-27
22,NEU,NewMarket Corporation,2016-02-01T00:00:00.000Z,TNS,4.16,4.44,6.65,EST,0,EQUITY,2016-02-01
23,NEU,NewMarket Corporation,2015-10-26T00:00:00.000Z,TNS,4.54,5.25,15.72,EST,0,EQUITY,2015-10-26
24,NEU,NewMarket Corporation,2015-07-28T00:00:00.000Z,TNS,5.27,4.65,-11.81,EST,0,EQUITY,2015-07-28
25,NEU,NewMarket Corporation,2015-04-22T00:00:00.000Z,TNS,4.87,5.26,7.94,EST,0,EQUITY,2015-04-22
26,NEU,NewMarket Corporation,2015-01-29T00:00:00.000Z,TNS,3.92,4.3,9.69,EST,0,EQUITY,2015-01-29
27,NEU,NewMarket Corporation,2014-10-29T00:00:00.000Z,TNS,4.88,4.52,-7.34,EST,0,EQUITY,2014-10-29
28,NEU,NewMarket Corporation,2014-07-29T00:00:00.000Z,TNS,5.02,5.35,6.62,EST,0,EQUITY,2014-07-29
29,NEU,NewMarket Corporation,2014-04-23T00:00:00.000Z,TNS,5.32,4.54,-14.63,EST,0,EQUITY,2014-04-23
30,NEU,NewMarket Corporation,2014-01-30T00:00:00.000Z,TNS,3.55,4.01,13.01,EST,0,EQUITY,2014-01-30
31,NEU,NewMarket Corporation,2013-10-28T00:00:00.000Z,TNS,4.65,4.32,-7.18,EST,0,EQUITY,2013-10-28
32,NEU,NewMarket Corporation,2013-07-30T00:00:00.000Z,TNS,4.87,4.61,-5.34,EST,0,EQUITY,2013-07-30
33,NEU,NewMarket Corporation,2013-04-24T00:00:00.000Z,TNS,4.82,5.04,4.52,EST,0,EQUITY,2013-04-24
34,NEU,NewMarket Corporation,2013-01-28T00:00:00.000Z,TNS,4.11,3.47,-15.61,EST,0,EQUITY,2013-01-28
35,NEU,NewMarket Corporation,2012-10-25T00:00:00.000Z,TNS,4.42,4.91,11.14,EST,0,EQUITY,2012-10-25
36,NEU,NewMarket Corporation,2012-07-30T00:00:00.000Z,TNS,4.55,4.69,3.12,EST,0,EQUITY,2012-07-30
37,NEU,NewMarket Corporation,2012-04-25T00:00:00.000Z,TNS,3.47,5.03,45.12,EST,0,EQUITY,2012-04-25
38,NEU,NewMarket Corporation,2012-02-01T00:00:00.000Z,TNS,3.42,2.57,-24.77,EST,0,EQUITY,2012-02-01
39,NEU,NewMarket Corporation,2011-11-01T00:00:00.000Z,TNS,3.79,4.06,7.19,EST,0,EQUITY,2011-11-01
40,NEU,NewMarket Corporation,2011-08-03T00:00:00.000Z,TNS,3.71,3.95,6.53,EST,0,EQUITY,2011-08-03
41,NEU,NewMarket Corporation,2011-04-20T00:00:00.000Z,TNS,2.9,3.53,21.81,EST,0,EQUITY,2011-04-20
42,NEU,NewMarket Corporation,2011-02-03T00:00:00.000Z,TNS,3.15,3.47,10.09,EST,0,EQUITY,2011-02-03
43,NEU,NewMarket Corporation,2010-10-28T00:00:00.000Z,TNS,3.25,3.18,-2.21,EST,0,EQUITY,2010-10-28
44,NEU,NewMarket Corporation,2010-08-03T00:00:00.000Z,TNS,2.95,2.69,-8.87,EST,0,EQUITY,2010-08-03
45,NEU,NewMarket Corporation,2010-04-21T00:00:00.000Z,TNS,2.62,2.78,6.09,EST,0,EQUITY,2010-04-21
46,NEU,NewMarket Corporation,2010-01-28T00:00:00.000Z,TNS,2.71,2.85,5.23,EST,0,EQUITY,2010-01-28
47,NEU,NewMarket Corporation,2009-10-22T00:00:00.000Z,TNS,2.15,3.88,80.51,EST,0,EQUITY,2009-10-22
