,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,NEWR,"New Relic, Inc.",2021-11-08T00:00:00.000Z,TNS,-0.13,-0.1,24.81,EST,0,EQUITY,2021-11-08
1,NEWR,"New Relic, Inc.",2021-08-03T00:00:00.000Z,TNS,-0.38,-0.25,33.51,EST,0,EQUITY,2021-08-03
2,NEWR,"New Relic, Inc.",2021-05-13T00:00:00.000Z,TNS,-0.45,-0.27,40.53,EST,0,EQUITY,2021-05-13
3,NEWR,"New Relic, Inc.",2021-02-04T00:00:00.000Z,TNS,-0.14,-0.14,2.78,EST,0,EQUITY,2021-02-04
4,NEWR,"New Relic, Inc.",2020-11-05T00:00:00.000Z,TNS,0.01,-0.07,-736.36,EST,0,EQUITY,2020-11-05
5,NEWR,"New Relic, Inc.",2020-08-04T00:00:00.000Z,TNS,0.03,0.15,341.18,EST,0,EQUITY,2020-08-04
6,NEWR,"New Relic, Inc.",2020-05-14T00:00:00.000Z,TNS,0.03,0.14,311.76,EST,0,EQUITY,2020-05-14
7,NEWR,"New Relic, Inc.",2020-02-04T00:00:00.000Z,TNS,0.12,0.09,-27.42,EST,0,EQUITY,2020-02-04
8,NEWR,"New Relic, Inc.",2019-11-05T00:00:00.000Z,TNS,0.15,0.24,63.27,EST,0,EQUITY,2019-11-05
9,NEWR,"New Relic, Inc.",2019-08-06T00:00:00.000Z,TNS,0.09,0.19,108.79,EST,0,EQUITY,2019-08-06
10,NEWR,"New Relic, Inc.",2019-05-14T00:00:00.000Z,TNS,0.06,0.13,120.34,EST,0,EQUITY,2019-05-14
11,NEWR,"New Relic, Inc.",2019-02-06T00:00:00.000Z,TNS,0.12,0.19,54.47,EST,0,EQUITY,2019-02-06
12,NEWR,"New Relic, Inc.",2018-11-06T00:00:00.000Z,TNS,0.12,0.2,72.41,EST,0,EQUITY,2018-11-06
13,NEWR,"New Relic, Inc.",2018-08-07T00:00:00.000Z,TNS,0.11,0.15,31.58,EST,0,EQUITY,2018-08-07
14,NEWR,"New Relic, Inc.",2018-05-08T00:00:00.000Z,TNS,0.05,0.09,80.0,EST,0,EQUITY,2018-05-08
15,NEWR,"New Relic, Inc.",2018-02-06T00:00:00.000Z,TNS,-0.07,0.05,166.67,EST,0,EQUITY,2018-02-06
16,NEWR,"New Relic, Inc.",2017-11-07T00:00:00.000Z,TNS,-0.09,-0.06,36.84,EST,0,EQUITY,2017-11-07
17,NEWR,"New Relic, Inc.",2017-08-03T00:00:00.000Z,TNS,-0.12,-0.09,28.0,EST,0,EQUITY,2017-08-03
18,NEWR,"New Relic, Inc.",2017-05-09T00:00:00.000Z,TNS,-0.15,-0.11,25.68,EST,0,EQUITY,2017-05-09
19,NEWR,"New Relic, Inc.",2017-02-07T00:00:00.000Z,TNS,-0.14,-0.09,36.62,EST,0,EQUITY,2017-02-07
20,NEWR,"New Relic, Inc.",2016-11-07T00:00:00.000Z,TNS,-0.16,-0.09,45.45,EST,0,EQUITY,2016-11-07
21,NEWR,"New Relic, Inc.",2016-08-02T00:00:00.000Z,TNS,-0.23,-0.2,12.66,EST,0,EQUITY,2016-08-02
22,NEWR,"New Relic, Inc.",2016-05-10T00:00:00.000Z,TNS,-0.23,-0.24,-2.13,EST,0,EQUITY,2016-05-10
23,NEWR,"New Relic, Inc.",2016-02-04T00:00:00.000Z,TNS,-0.29,-0.22,24.14,EST,0,EQUITY,2016-02-04
24,NEWR,"New Relic, Inc.",2015-11-05T00:00:00.000Z,TNS,-0.22,-0.17,23.08,EST,0,EQUITY,2015-11-05
25,NEWR,"New Relic, Inc.",2015-08-06T00:00:00.000Z,TNS,-0.24,-0.21,14.29,EST,0,EQUITY,2015-08-06
26,NEWR,"New Relic, Inc.",2015-05-12T00:00:00.000Z,TNS,-0.24,-0.22,10.2,EST,0,EQUITY,2015-05-12
27,NEWR,"New Relic, Inc.",2015-02-12T00:00:00.000Z,TNS,-0.37,-0.28,23.91,EST,0,EQUITY,2015-02-12
