,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,NIO,NIO Inc.,2021-08-11T00:00:00.000Z,TNS,-0.68,-0.42,38.51,EST,0,EQUITY,2021-08-11
5,NIO,NIO Inc.,2021-04-29T00:00:00.000Z,TNS,-1.01,-3.14,-210.89,EST,0,EQUITY,2021-04-29
6,NIO,NIO Inc.,2021-03-01T00:00:00.000Z,TNS,-0.47,-1.05,-125.32,EST,0,EQUITY,2021-03-01
7,NIO,NIO Inc.,2020-11-17T00:00:00.000Z,TNS,-1.11,-0.98,11.71,EST,0,EQUITY,2020-11-17
8,NIO,NIO Inc.,2020-08-11T00:00:00.000Z,TNS,-1.84,-1.15,37.4,EST,0,EQUITY,2020-08-11
9,NIO,NIO Inc.,2020-05-28T00:00:00.000Z,TNS,-1.85,-1.66,10.27,EST,0,EQUITY,2020-05-28
10,NIO,NIO Inc.,2020-03-18T00:00:00.000Z,TNS,-1.84,-2.73,-48.53,EST,0,EQUITY,2020-03-18
11,NIO,NIO Inc.,2019-12-30T00:00:00.000Z,TNS,-2.43,-2.38,1.98,EST,0,EQUITY,2019-12-30
12,NIO,NIO Inc.,2019-09-24T00:00:00.000Z,TNS,-1.66,-3.11,-87.35,EST,0,EQUITY,2019-09-24
13,NIO,NIO Inc.,2019-05-28T00:00:00.000Z,TNS,-3.23,-2.42,25.08,EST,0,EQUITY,2019-05-28
14,NIO,NIO Inc.,2019-03-05T00:00:00.000Z,TNS,,-3.2,,EST,0,EQUITY,2019-03-05
15,NIO,NIO Inc.,2018-11-06T00:00:00.000Z,TNS,-2.36,-42.59,-1704.66,EST,0,EQUITY,2018-11-06
