,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,NR,Newpark Resources Inc,2021-11-02T16:15:07.000Z,TAS,-0.09,-0.11,-22.22,EST,-18000000,EQUITY,2021-11-02
4,NR,"Newpark Resources, Inc.",2021-08-03T00:00:00.000Z,TNS,-0.06,-0.07,-9.38,EST,0,EQUITY,2021-08-03
5,NR,"Newpark Resources, Inc.",2021-05-04T00:00:00.000Z,TNS,-0.04,-0.05,-16.28,EST,0,EQUITY,2021-05-04
6,NR,"Newpark Resources, Inc.",2021-02-11T00:00:00.000Z,TNS,-0.12,0.04,133.9,EST,0,EQUITY,2021-02-11
7,NR,"Newpark Resources, Inc.",2020-11-03T00:00:00.000Z,TNS,-0.17,-0.22,-28.65,EST,0,EQUITY,2020-11-03
8,NR,"Newpark Resources, Inc.",2020-08-03T00:00:00.000Z,TNS,-0.19,-0.2,-2.56,EST,0,EQUITY,2020-08-03
9,NR,"Newpark Resources, Inc.",2020-05-05T00:00:00.000Z,TNS,-0.05,-0.11,-111.54,EST,0,EQUITY,2020-05-05
10,NR,"Newpark Resources, Inc.",2020-02-06T00:00:00.000Z,TNS,0.0,0.0,-50.0,EST,0,EQUITY,2020-02-06
11,NR,"Newpark Resources, Inc.",2019-10-30T00:00:00.000Z,TNS,0.08,-0.02,-125.32,EST,0,EQUITY,2019-10-30
12,NR,"Newpark Resources, Inc.",2019-07-30T00:00:00.000Z,TNS,0.06,0.05,-16.67,EST,0,EQUITY,2019-07-30
13,NR,"Newpark Resources, Inc.",2019-04-25T00:00:00.000Z,TNS,0.06,0.04,-35.48,EST,0,EQUITY,2019-04-25
14,NR,"Newpark Resources, Inc.",2019-02-07T00:00:00.000Z,TNS,0.1,0.11,14.58,EST,0,EQUITY,2019-02-07
15,NR,"Newpark Resources, Inc.",2018-10-25T00:00:00.000Z,TNS,0.1,0.04,-61.54,EST,0,EQUITY,2018-10-25
16,NR,"Newpark Resources, Inc.",2018-07-26T00:00:00.000Z,TNS,0.09,0.12,36.36,EST,0,EQUITY,2018-07-26
17,NR,"Newpark Resources, Inc.",2018-04-26T00:00:00.000Z,TNS,0.08,0.08,5.26,EST,0,EQUITY,2018-04-26
18,NR,"Newpark Resources, Inc.",2018-02-08T00:00:00.000Z,TNS,0.03,0.06,76.47,EST,0,EQUITY,2018-02-08
19,NR,"Newpark Resources, Inc.",2017-10-30T00:00:00.000Z,TNS,0.04,0.03,-18.92,EST,0,EQUITY,2017-10-30
20,NR,"Newpark Resources, Inc.",2017-07-28T00:00:00.000Z,TNS,-0.01,0.02,253.85,EST,0,EQUITY,2017-07-28
21,NR,"Newpark Resources, Inc.",2017-04-27T00:00:00.000Z,TNS,-0.03,-0.01,64.29,EST,0,EQUITY,2017-04-27
22,NR,"Newpark Resources, Inc.",2017-02-09T00:00:00.000Z,TNS,-0.08,-0.06,28.57,EST,0,EQUITY,2017-02-09
23,NR,"Newpark Resources, Inc.",2016-10-27T00:00:00.000Z,TNS,-0.1,-0.13,-25.0,EST,0,EQUITY,2016-10-27
24,NR,"Newpark Resources, Inc.",2016-07-28T00:00:00.000Z,TNS,-0.15,-0.06,60.26,EST,0,EQUITY,2016-07-28
25,NR,"Newpark Resources, Inc.",2016-04-28T00:00:00.000Z,TNS,-0.14,-0.16,-15.94,EST,0,EQUITY,2016-04-28
26,NR,"Newpark Resources, Inc.",2016-02-11T00:00:00.000Z,TNS,-0.09,-0.18,-104.55,EST,0,EQUITY,2016-02-11
27,NR,"Newpark Resources, Inc.",2015-10-29T00:00:00.000Z,TNS,-0.07,-0.08,-15.94,EST,0,EQUITY,2015-10-29
28,NR,"Newpark Resources, Inc.",2015-07-30T00:00:00.000Z,TNS,-0.01,-0.03,-100.0,EST,0,EQUITY,2015-07-30
29,NR,"Newpark Resources, Inc.",2015-04-30T00:00:00.000Z,TNS,0.12,0.01,-91.45,EST,0,EQUITY,2015-04-30
30,NR,"Newpark Resources, Inc.",2015-02-12T00:00:00.000Z,TNS,0.22,0.25,12.61,EST,0,EQUITY,2015-02-12
31,NR,"Newpark Resources, Inc.",2014-10-30T00:00:00.000Z,TNS,0.19,0.25,30.89,EST,0,EQUITY,2014-10-30
32,NR,"Newpark Resources, Inc.",2014-07-24T00:00:00.000Z,TNS,0.14,0.21,46.52,EST,0,EQUITY,2014-07-24
33,NR,"Newpark Resources, Inc.",2014-04-24T00:00:00.000Z,TNS,0.16,0.14,-11.11,EST,0,EQUITY,2014-04-24
34,NR,"Newpark Resources, Inc.",2014-02-13T00:00:00.000Z,TNS,0.19,0.13,-32.99,EST,0,EQUITY,2014-02-13
35,NR,"Newpark Resources, Inc.",2013-10-24T00:00:00.000Z,TNS,0.2,0.2,-0.45,EST,0,EQUITY,2013-10-24
36,NR,"Newpark Resources, Inc.",2013-07-25T00:00:00.000Z,TNS,0.19,0.2,4.76,EST,0,EQUITY,2013-07-25
37,NR,"Newpark Resources, Inc.",2013-04-25T00:00:00.000Z,TNS,0.17,0.18,6.45,EST,0,EQUITY,2013-04-25
38,NR,"Newpark Resources, Inc.",2013-02-14T00:00:00.000Z,TNS,0.16,0.17,3.66,EST,0,EQUITY,2013-02-14
39,NR,"Newpark Resources, Inc.",2012-10-25T00:00:00.000Z,TNS,0.17,0.2,18.42,EST,0,EQUITY,2012-10-25
40,NR,"Newpark Resources, Inc.",2012-07-26T00:00:00.000Z,TNS,0.16,0.15,-5.06,EST,0,EQUITY,2012-07-26
41,NR,"Newpark Resources, Inc.",2012-04-26T00:00:00.000Z,TNS,0.21,0.16,-23.14,EST,0,EQUITY,2012-04-26
42,NR,"Newpark Resources, Inc.",2012-02-16T00:00:00.000Z,TNS,0.22,0.23,5.65,EST,0,EQUITY,2012-02-16
43,NR,"Newpark Resources, Inc.",2011-10-27T00:00:00.000Z,TNS,0.18,0.23,26.37,EST,0,EQUITY,2011-10-27
44,NR,"Newpark Resources, Inc.",2011-07-28T00:00:00.000Z,TNS,0.16,0.19,19.41,EST,0,EQUITY,2011-07-28
45,NR,"Newpark Resources, Inc.",2011-04-28T00:00:00.000Z,TNS,0.13,0.16,21.74,EST,0,EQUITY,2011-04-28
46,NR,"Newpark Resources, Inc.",2011-02-17T00:00:00.000Z,TNS,0.09,0.15,73.07,EST,0,EQUITY,2011-02-17
47,NR,"Newpark Resources, Inc.",2010-10-28T00:00:00.000Z,TNS,0.11,0.09,-18.18,EST,0,EQUITY,2010-10-28
48,NR,"Newpark Resources, Inc.",2010-07-29T00:00:00.000Z,TNS,0.07,0.12,71.43,EST,0,EQUITY,2010-07-29
49,NR,"Newpark Resources, Inc.",2010-04-29T00:00:00.000Z,TNS,0.04,0.08,118.16,EST,0,EQUITY,2010-04-29
50,NR,"Newpark Resources, Inc.",2010-02-18T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,2010-02-18
51,NR,"Newpark Resources, Inc.",2009-10-29T00:00:00.000Z,TNS,-0.04,-0.02,47.37,EST,0,EQUITY,2009-10-29
52,NR,"Newpark Resources, Inc.",2009-07-30T00:00:00.000Z,TNS,-0.05,-0.1,-90.48,EST,0,EQUITY,2009-07-30
53,NR,"Newpark Resources, Inc.",2009-04-30T00:00:00.000Z,TNS,-0.09,-0.14,-52.17,EST,0,EQUITY,2009-04-30
54,NR,"Newpark Resources, Inc.",2009-02-19T00:00:00.000Z,TNS,0.12,0.12,1.21,EST,0,EQUITY,2009-02-19
55,NR,"Newpark Resources, Inc.",2008-10-30T00:00:00.000Z,TNS,0.11,0.13,19.74,EST,0,EQUITY,2008-10-30
56,NR,"Newpark Resources, Inc.",2008-07-31T00:00:00.000Z,TNS,0.1,0.1,0.0,EST,0,EQUITY,2008-07-31
57,NR,"Newpark Resources, Inc.",2008-05-01T00:00:00.000Z,TNS,0.09,0.1,14.29,EST,0,EQUITY,2008-05-01
58,NR,"Newpark Resources, Inc.",2008-02-22T00:00:00.000Z,TNS,0.09,0.09,-4.26,EST,0,EQUITY,2008-02-22
59,NR,"Newpark Resources, Inc.",2007-11-05T00:00:00.000Z,TNS,0.11,0.08,-28.36,EST,0,EQUITY,2007-11-05
60,NR,"Newpark Resources, Inc.",2007-08-02T00:00:00.000Z,TNS,0.11,0.09,-21.05,EST,0,EQUITY,2007-08-02
61,NR,"Newpark Resources, Inc.",2007-05-03T00:00:00.000Z,TNS,0.1,0.1,-3.85,EST,0,EQUITY,2007-05-03
62,NR,"Newpark Resources, Inc.",2007-03-08T00:00:00.000Z,TNS,0.1,0.1,0.0,EST,0,EQUITY,2007-03-08
63,NR,"Newpark Resources, Inc.",2006-11-09T00:00:00.000Z,TNS,0.1,0.13,30.0,EST,0,EQUITY,2006-11-09
