,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,NSIT,Insight Enterprises Inc,2021-11-04T08:00:01.000Z,TAS,1.67,1.87,11.98,EST,-18000000,EQUITY,2021-11-04
4,NSIT,"Insight Enterprises, Inc.",2021-08-05T00:00:00.000Z,TNS,1.87,1.91,2.41,EST,0,EQUITY,2021-08-05
5,NSIT,"Insight Enterprises, Inc.",2021-05-06T00:00:00.000Z,TNS,1.43,1.3,-8.84,EST,0,EQUITY,2021-05-06
6,NSIT,"Insight Enterprises, Inc.",2021-02-11T00:00:00.000Z,TNS,1.5,1.76,17.57,EST,0,EQUITY,2021-02-11
7,NSIT,"Insight Enterprises, Inc.",2020-11-03T00:00:00.000Z,TNS,1.14,1.38,21.05,EST,0,EQUITY,2020-11-03
8,NSIT,"Insight Enterprises, Inc.",2020-08-06T00:00:00.000Z,TNS,1.01,1.75,73.96,EST,0,EQUITY,2020-08-06
9,NSIT,"Insight Enterprises, Inc.",2020-05-07T00:00:00.000Z,TNS,1.14,1.3,13.74,EST,0,EQUITY,2020-05-07
10,NSIT,"Insight Enterprises, Inc.",2020-02-12T00:00:00.000Z,TNS,1.61,1.57,-2.48,EST,0,EQUITY,2020-02-12
11,NSIT,"Insight Enterprises, Inc.",2019-11-06T00:00:00.000Z,TNS,1.07,1.1,2.8,EST,0,EQUITY,2019-11-06
12,NSIT,"Insight Enterprises, Inc.",2019-08-06T00:00:00.000Z,TNS,1.39,1.57,13.19,EST,0,EQUITY,2019-08-06
13,NSIT,"Insight Enterprises, Inc.",2019-05-01T00:00:00.000Z,TNS,0.9,1.18,30.68,EST,0,EQUITY,2019-05-01
14,NSIT,"Insight Enterprises, Inc.",2019-02-14T00:00:00.000Z,TNS,1.12,1.32,17.54,EST,0,EQUITY,2019-02-14
15,NSIT,"Insight Enterprises, Inc.",2018-11-07T00:00:00.000Z,TNS,1.0,0.91,-9.27,EST,0,EQUITY,2018-11-07
16,NSIT,"Insight Enterprises, Inc.",2018-08-01T00:00:00.000Z,TNS,1.26,1.45,15.08,EST,0,EQUITY,2018-08-01
17,NSIT,"Insight Enterprises, Inc.",2018-05-02T00:00:00.000Z,TNS,0.6,0.94,57.45,EST,0,EQUITY,2018-05-02
18,NSIT,"Insight Enterprises, Inc.",2018-02-14T00:00:00.000Z,TNS,0.79,0.81,2.14,EST,0,EQUITY,2018-02-14
19,NSIT,"Insight Enterprises, Inc.",2017-11-07T00:00:00.000Z,TNS,0.68,0.73,6.88,EST,0,EQUITY,2017-11-07
20,NSIT,"Insight Enterprises, Inc.",2017-08-02T00:00:00.000Z,TNS,0.95,1.14,20.38,EST,0,EQUITY,2017-08-02
21,NSIT,"Insight Enterprises, Inc.",2017-05-03T00:00:00.000Z,TNS,0.25,0.56,121.34,EST,0,EQUITY,2017-05-03
22,NSIT,"Insight Enterprises, Inc.",2017-02-08T00:00:00.000Z,TNS,0.68,0.72,5.88,EST,0,EQUITY,2017-02-08
23,NSIT,"Insight Enterprises, Inc.",2016-10-27T00:00:00.000Z,TNS,0.53,0.62,16.98,EST,0,EQUITY,2016-10-27
24,NSIT,"Insight Enterprises, Inc.",2016-08-03T00:00:00.000Z,TNS,0.75,0.97,30.2,EST,0,EQUITY,2016-08-03
25,NSIT,"Insight Enterprises, Inc.",2016-04-28T00:00:00.000Z,TNS,0.28,0.21,-23.64,EST,0,EQUITY,2016-04-28
26,NSIT,"Insight Enterprises, Inc.",2016-02-10T00:00:00.000Z,TNS,0.6,0.57,-5.0,EST,0,EQUITY,2016-02-10
27,NSIT,"Insight Enterprises, Inc.",2015-10-28T00:00:00.000Z,TNS,0.46,0.59,28.26,EST,0,EQUITY,2015-10-28
28,NSIT,"Insight Enterprises, Inc.",2015-07-29T00:00:00.000Z,TNS,0.72,0.68,-5.56,EST,0,EQUITY,2015-07-29
