,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,NTRA,"Natera, Inc.",2021-11-04T00:00:00.000Z,TNS,-1.27,-1.63,-28.45,EST,0,EQUITY,2021-11-04
5,NTRA,"Natera, Inc.",2021-08-05T00:00:00.000Z,TNS,-1.12,-1.32,-17.86,EST,0,EQUITY,2021-08-05
6,NTRA,"Natera, Inc.",2021-05-06T00:00:00.000Z,TNS,-1.02,-0.74,27.17,EST,0,EQUITY,2021-05-06
7,NTRA,"Natera, Inc.",2021-02-25T00:00:00.000Z,TNS,-0.62,-0.92,-47.91,EST,0,EQUITY,2021-02-25
8,NTRA,"Natera, Inc.",2020-11-05T00:00:00.000Z,TNS,-0.68,-0.72,-6.04,EST,0,EQUITY,2020-11-05
9,NTRA,"Natera, Inc.",2020-08-05T00:00:00.000Z,TNS,-0.58,-0.75,-28.21,EST,0,EQUITY,2020-08-05
10,NTRA,"Natera, Inc.",2020-05-06T00:00:00.000Z,TNS,-0.56,-0.45,20.07,EST,0,EQUITY,2020-05-06
11,NTRA,"Natera, Inc.",2020-02-26T00:00:00.000Z,TNS,-0.55,-0.44,20.29,EST,0,EQUITY,2020-02-26
12,NTRA,"Natera, Inc.",2019-11-06T00:00:00.000Z,TNS,-0.55,-0.33,39.45,EST,0,EQUITY,2019-11-06
13,NTRA,"Natera, Inc.",2019-08-07T00:00:00.000Z,TNS,-0.58,-0.48,16.81,EST,0,EQUITY,2019-08-07
14,NTRA,"Natera, Inc.",2019-05-09T00:00:00.000Z,TNS,-0.6,-0.54,10.3,EST,0,EQUITY,2019-05-09
15,NTRA,"Natera, Inc.",2019-03-12T00:00:00.000Z,TNS,-0.52,-0.51,1.35,EST,0,EQUITY,2019-03-12
16,NTRA,"Natera, Inc.",2018-11-08T00:00:00.000Z,TNS,-0.47,-0.49,-3.38,EST,0,EQUITY,2018-11-08
17,NTRA,"Natera, Inc.",2018-08-08T00:00:00.000Z,TNS,-0.55,-0.62,-12.73,EST,0,EQUITY,2018-08-08
18,NTRA,"Natera, Inc.",2018-05-08T00:00:00.000Z,TNS,-0.59,-0.61,-3.39,EST,0,EQUITY,2018-05-08
19,NTRA,"Natera, Inc.",2018-03-13T00:00:00.000Z,TNS,-0.47,-0.85,-81.24,EST,0,EQUITY,2018-03-13
20,NTRA,"Natera, Inc.",2017-11-08T00:00:00.000Z,TNS,-0.48,-0.51,-5.81,EST,0,EQUITY,2017-11-08
21,NTRA,"Natera, Inc.",2017-08-08T00:00:00.000Z,TNS,-0.54,-0.52,4.06,EST,0,EQUITY,2017-08-08
22,NTRA,"Natera, Inc.",2017-05-09T00:00:00.000Z,TNS,-0.64,-0.7,-9.72,EST,0,EQUITY,2017-05-09
23,NTRA,"Natera, Inc.",2017-03-08T00:00:00.000Z,TNS,-0.61,-0.73,-18.7,EST,0,EQUITY,2017-03-08
24,NTRA,"Natera, Inc.",2016-11-09T00:00:00.000Z,TNS,-0.55,-0.5,8.42,EST,0,EQUITY,2016-11-09
25,NTRA,"Natera, Inc.",2016-08-04T00:00:00.000Z,TNS,-0.48,-0.46,4.96,EST,0,EQUITY,2016-08-04
26,NTRA,"Natera, Inc.",2016-05-10T00:00:00.000Z,TNS,-0.46,-0.17,63.04,EST,0,EQUITY,2016-05-10
27,NTRA,"Natera, Inc.",2016-03-08T00:00:00.000Z,TNS,-0.64,-0.15,76.56,EST,0,EQUITY,2016-03-08
28,NTRA,"Natera, Inc.",2015-11-12T00:00:00.000Z,TNS,-0.46,-0.39,15.95,EST,0,EQUITY,2015-11-12
29,NTRA,"Natera, Inc.",2015-08-13T00:00:00.000Z,TNS,-0.45,-3.58,-695.56,EST,0,EQUITY,2015-08-13
