,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,NUE,Nucor Corp,2021-10-21T08:00:12.000Z,TAS,7.28,7.28,0.0,EST,-18000000,EQUITY,2021-10-21
5,NUE,Nucor Corporation,2021-07-22T00:00:00.000Z,TNS,4.79,5.15,7.58,EST,0,EQUITY,2021-07-22
6,NUE,Nucor Corporation,2021-04-22T00:00:00.000Z,TNS,3.09,3.12,1.0,EST,0,EQUITY,2021-04-22
7,NUE,Nucor Corporation,2021-01-28T00:00:00.000Z,TNS,1.18,1.29,9.14,EST,0,EQUITY,2021-01-28
8,NUE,Nucor Corporation,2020-10-22T00:00:00.000Z,TNS,0.51,0.65,28.46,EST,0,EQUITY,2020-10-22
9,NUE,Nucor Corporation,2020-07-23T00:00:00.000Z,TNS,0.14,0.37,174.07,EST,0,EQUITY,2020-07-23
10,NUE,Nucor Corporation,2020-04-28T00:00:00.000Z,TNS,0.95,0.99,3.99,EST,0,EQUITY,2020-04-28
11,NUE,Nucor Corporation,2020-01-28T00:00:00.000Z,TNS,0.31,0.52,65.61,EST,0,EQUITY,2020-01-28
12,NUE,Nucor Corporation,2019-10-22T00:00:00.000Z,TNS,0.8,0.9,12.22,EST,0,EQUITY,2019-10-22
13,NUE,Nucor Corporation,2019-07-18T00:00:00.000Z,TNS,1.29,1.26,-2.25,EST,0,EQUITY,2019-07-18
14,NUE,Nucor Corporation,2019-04-23T00:00:00.000Z,TNS,1.5,1.55,3.26,EST,0,EQUITY,2019-04-23
15,NUE,Nucor Corporation,2019-01-29T00:00:00.000Z,TNS,1.94,2.07,6.81,EST,0,EQUITY,2019-01-29
16,NUE,Nucor Corporation,2018-10-18T00:00:00.000Z,TNS,2.35,2.33,-0.77,EST,0,EQUITY,2018-10-18
17,NUE,Nucor Corporation,2018-07-19T00:00:00.000Z,TNS,2.09,2.07,-0.81,EST,0,EQUITY,2018-07-19
18,NUE,Nucor Corporation,2018-04-19T00:00:00.000Z,TNS,1.1,1.17,6.17,EST,0,EQUITY,2018-04-19
19,NUE,Nucor Corporation,2018-01-30T00:00:00.000Z,TNS,0.55,0.65,17.33,EST,0,EQUITY,2018-01-30
20,NUE,Nucor Corporation,2017-10-19T00:00:00.000Z,TNS,0.78,0.79,1.15,EST,0,EQUITY,2017-10-19
21,NUE,Nucor Corporation,2017-07-20T00:00:00.000Z,TNS,1.06,1.0,-5.84,EST,0,EQUITY,2017-07-20
