,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,NVO,Novo Nordisk A/S,2021-11-03T00:00:00.000Z,TNS,5.0,5.27,5.34,EST,0,EQUITY,2021-11-03
1,NVO,Novo Nordisk A/S,2021-08-04T00:00:00.000Z,TNS,4.75,5.26,10.69,EST,0,EQUITY,2021-08-04
2,NVO,Novo Nordisk A/S,2021-05-05T00:00:00.000Z,TNS,5.11,5.45,6.72,EST,0,EQUITY,2021-05-05
3,NVO,Novo Nordisk A/S,2021-02-03T00:00:00.000Z,TNS,3.95,4.01,1.49,EST,0,EQUITY,2021-02-03
4,NVO,Novo Nordisk A/S,2020-10-30T00:00:00.000Z,TNS,4.52,4.42,-2.17,EST,0,EQUITY,2020-10-30
5,NVO,Novo Nordisk A/S,2020-08-09T00:00:00.000Z,TNS,4.46,4.44,-0.58,EST,0,EQUITY,2020-08-09
6,NVO,Novo Nordisk A/S,2020-05-06T00:00:00.000Z,TNS,4.68,5.04,7.65,EST,0,EQUITY,2020-05-06
7,NVO,Novo Nordisk A/S,2020-02-07T00:00:00.000Z,TNS,3.74,3.65,-2.43,EST,0,EQUITY,2020-02-07
8,NVO,Novo Nordisk A/S,2019-11-01T00:00:00.000Z,TNS,4.15,4.38,5.39,EST,0,EQUITY,2019-11-01
9,NVO,Novo Nordisk A/S,2019-08-20T00:00:00.000Z,TNS,4.11,3.98,-3.12,EST,0,EQUITY,2019-08-20
10,NVO,Novo Nordisk A/S,2019-05-03T00:00:00.000Z,TNS,4.14,4.41,6.49,EST,0,EQUITY,2019-05-03
11,NVO,Novo Nordisk A/S,2019-02-01T00:00:00.000Z,TNS,3.72,3.52,-5.41,EST,0,EQUITY,2019-02-01
12,NVO,Novo Nordisk A/S,2018-11-02T00:00:00.000Z,TNS,0.61,0.58,-4.43,EST,0,EQUITY,2018-11-02
13,NVO,Novo Nordisk A/S,2018-08-08T00:00:00.000Z,TNS,0.65,0.68,4.77,EST,0,EQUITY,2018-08-08
14,NVO,Novo Nordisk A/S,2018-05-02T00:00:00.000Z,TNS,0.69,0.73,5.22,EST,0,EQUITY,2018-05-02
15,NVO,Novo Nordisk A/S,2018-02-01T00:00:00.000Z,TNS,0.58,0.53,-8.62,EST,0,EQUITY,2018-02-01
16,NVO,Novo Nordisk A/S,2017-11-01T00:00:00.000Z,TNS,0.61,0.63,2.62,EST,0,EQUITY,2017-11-01
17,NVO,Novo Nordisk A/S,2017-08-09T00:00:00.000Z,TNS,0.6,0.59,-1.67,EST,0,EQUITY,2017-08-09
18,NVO,Novo Nordisk A/S,2017-05-03T00:00:00.000Z,TNS,0.53,0.58,9.43,EST,0,EQUITY,2017-05-03
19,NVO,Novo Nordisk A/S,2017-02-02T00:00:00.000Z,TNS,0.5,0.51,2.8,EST,0,EQUITY,2017-02-02
20,NVO,Novo Nordisk A/S,2016-10-28T00:00:00.000Z,TNS,0.56,0.58,2.86,EST,0,EQUITY,2016-10-28
21,NVO,Novo Nordisk A/S,2016-08-05T00:00:00.000Z,TNS,0.58,0.59,1.72,EST,0,EQUITY,2016-08-05
22,NVO,Novo Nordisk A/S,2016-04-29T00:00:00.000Z,TNS,0.55,0.55,0.0,EST,0,EQUITY,2016-04-29
23,NVO,Novo Nordisk A/S,2016-02-03T00:00:00.000Z,TNS,0.47,0.48,2.13,EST,0,EQUITY,2016-02-03
24,NVO,Novo Nordisk A/S,2015-10-29T00:00:00.000Z,TNS,0.47,0.49,3.4,EST,0,EQUITY,2015-10-29
29,NVO,Novo Nordisk A/S,2014-05-01T00:00:00.000Z,TNS,0.44,0.45,2.17,EST,0,EQUITY,2014-05-01
30,NVO,Novo Nordisk A/S,2012-04-30T00:00:00.000Z,TNS,0.3,0.29,-0.53,EST,0,EQUITY,2012-04-30
31,NVO,Novo Nordisk A/S,2012-02-02T00:00:00.000Z,TNS,0.26,0.3,16.97,EST,0,EQUITY,2012-02-02
32,NVO,Novo Nordisk A/S,2011-10-27T00:00:00.000Z,TNS,0.26,0.28,8.15,EST,0,EQUITY,2011-10-27
33,NVO,Novo Nordisk A/S,2011-08-04T00:00:00.000Z,TNS,0.29,0.28,-3.52,EST,0,EQUITY,2011-08-04
34,NVO,Novo Nordisk A/S,2011-02-02T00:00:00.000Z,TNS,0.27,0.25,-9.7,EST,0,EQUITY,2011-02-02
35,NVO,Novo Nordisk A/S,2010-10-27T00:00:00.000Z,TNS,0.22,0.21,-0.61,EST,0,EQUITY,2010-10-27
36,NVO,Novo Nordisk A/S,2006-10-27T00:00:00.000Z,TNS,0.09,0.1,7.95,EST,0,EQUITY,2006-10-27
37,NVO,Novo Nordisk A/S,2006-08-02T00:00:00.000Z,TNS,0.09,0.09,0.0,EST,0,EQUITY,2006-08-02
39,NVO,Novo Nordisk A/S,1995-03-08T00:00:00.000Z,TNS,0.02,0.02,3.39,EST,0,EQUITY,1995-03-08
40,NVO,Novo Nordisk A/S,1994-12-22T00:00:00.000Z,TNS,0.02,0.02,-8.33,EST,0,EQUITY,1994-12-22
41,NVO,Novo Nordisk A/S,1993-05-15T00:00:00.000Z,TNS,0.01,0.01,-3.68,EST,0,EQUITY,1993-05-15
