,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,NVTA,Invitae Corporation,2021-11-08T00:00:00.000Z,TNS,-0.71,-0.91,-28.53,EST,0,EQUITY,2021-11-08
1,NVTA,Invitae Corporation,2021-08-03T00:00:00.000Z,TNS,-0.64,-0.85,-31.99,EST,0,EQUITY,2021-08-03
2,NVTA,Invitae Corporation,2021-05-04T00:00:00.000Z,TNS,-0.59,-0.63,-6.24,EST,0,EQUITY,2021-05-04
3,NVTA,Invitae Corporation,2021-02-17T00:00:00.000Z,TNS,-0.55,-0.63,-13.72,EST,0,EQUITY,2021-02-17
4,NVTA,Invitae Corporation,2020-11-05T00:00:00.000Z,TNS,-0.65,-0.62,4.62,EST,0,EQUITY,2020-11-05
5,NVTA,Invitae Corporation,2020-08-04T00:00:00.000Z,TNS,-0.7,-0.77,-10.0,EST,0,EQUITY,2020-08-04
6,NVTA,Invitae Corporation,2020-05-05T00:00:00.000Z,TNS,-0.83,-0.8,3.61,EST,0,EQUITY,2020-05-05
7,NVTA,Invitae Corporation,2020-02-19T00:00:00.000Z,TNS,-0.63,-0.63,0.0,EST,0,EQUITY,2020-02-19
8,NVTA,Invitae Corporation,2019-11-06T00:00:00.000Z,TNS,-0.56,-0.69,-23.88,EST,0,EQUITY,2019-11-06
9,NVTA,Invitae Corporation,2019-08-06T00:00:00.000Z,TNS,-0.46,-0.52,-11.83,EST,0,EQUITY,2019-08-06
10,NVTA,Invitae Corporation,2019-05-07T00:00:00.000Z,TNS,-0.48,-0.47,1.67,EST,0,EQUITY,2019-05-07
11,NVTA,Invitae Corporation,2019-02-19T00:00:00.000Z,TNS,-0.45,-0.4,11.89,EST,0,EQUITY,2019-02-19
12,NVTA,Invitae Corporation,2018-11-07T00:00:00.000Z,TNS,-0.47,-0.45,4.26,EST,0,EQUITY,2018-11-07
13,NVTA,Invitae Corporation,2018-08-07T00:00:00.000Z,TNS,-0.54,-0.47,12.48,EST,0,EQUITY,2018-08-07
14,NVTA,Invitae Corporation,2018-05-09T00:00:00.000Z,TNS,-0.61,-0.66,-7.67,EST,0,EQUITY,2018-05-09
15,NVTA,Invitae Corporation,2018-02-12T00:00:00.000Z,TNS,-0.6,-0.78,-29.57,EST,0,EQUITY,2018-02-12
16,NVTA,Invitae Corporation,2017-11-06T00:00:00.000Z,TNS,-0.55,-0.57,-3.26,EST,0,EQUITY,2017-11-06
17,NVTA,Invitae Corporation,2017-08-07T00:00:00.000Z,TNS,-0.62,-0.66,-6.11,EST,0,EQUITY,2017-08-07
18,NVTA,Invitae Corporation,2017-05-08T00:00:00.000Z,TNS,-0.66,-0.64,3.03,EST,0,EQUITY,2017-05-08
19,NVTA,Invitae Corporation,2017-02-13T00:00:00.000Z,TNS,-0.73,-0.69,5.74,EST,0,EQUITY,2017-02-13
20,NVTA,Invitae Corporation,2016-11-07T00:00:00.000Z,TNS,-0.72,-0.77,-6.94,EST,0,EQUITY,2016-11-07
21,NVTA,Invitae Corporation,2016-08-08T00:00:00.000Z,TNS,-0.76,-0.77,-0.92,EST,0,EQUITY,2016-08-08
22,NVTA,Invitae Corporation,2016-05-09T00:00:00.000Z,TNS,-0.75,-0.8,-5.96,EST,0,EQUITY,2016-05-09
23,NVTA,Invitae Corporation,2016-02-09T00:00:00.000Z,TNS,-0.72,-0.76,-5.85,EST,0,EQUITY,2016-02-09
24,NVTA,Invitae Corporation,2015-11-05T00:00:00.000Z,TNS,-0.7,-0.71,-1.43,EST,0,EQUITY,2015-11-05
25,NVTA,Invitae Corporation,2015-08-06T00:00:00.000Z,TNS,-0.55,-0.76,-37.43,EST,0,EQUITY,2015-08-06
26,NVTA,Invitae Corporation,2015-05-12T00:00:00.000Z,TNS,-0.51,-1.09,-113.73,EST,0,EQUITY,2015-05-12
