,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,NWE,NorthWestern Corporation,2021-10-24T00:00:00.000Z,TNS,0.58,0.65,11.88,EST,0,EQUITY,2021-10-24
5,NWE,NorthWestern Corporation,2021-07-27T00:00:00.000Z,TNS,0.46,0.72,57.55,EST,0,EQUITY,2021-07-27
6,NWE,NorthWestern Corporation,2021-04-21T00:00:00.000Z,TNS,1.15,1.24,7.55,EST,0,EQUITY,2021-04-21
7,NWE,NorthWestern Corporation,2021-02-11T00:00:00.000Z,TNS,1.3,1.21,-6.99,EST,0,EQUITY,2021-02-11
8,NWE,NorthWestern Corporation,2020-10-21T00:00:00.000Z,TNS,0.6,0.58,-3.01,EST,0,EQUITY,2020-10-21
9,NWE,NorthWestern Corporation,2020-07-29T00:00:00.000Z,TNS,0.51,0.43,-16.02,EST,0,EQUITY,2020-07-29
10,NWE,NorthWestern Corporation,2020-04-22T00:00:00.000Z,TNS,1.23,1.0,-18.7,EST,0,EQUITY,2020-04-22
11,NWE,NorthWestern Corporation,2020-02-12T00:00:00.000Z,TNS,1.17,1.19,1.54,EST,0,EQUITY,2020-02-12
12,NWE,NorthWestern Corporation,2019-10-29T00:00:00.000Z,TNS,0.54,0.5,-6.54,EST,0,EQUITY,2019-10-29
13,NWE,NorthWestern Corporation,2019-07-23T00:00:00.000Z,TNS,0.59,0.5,-14.53,EST,0,EQUITY,2019-07-23
14,NWE,NorthWestern Corporation,2019-04-23T00:00:00.000Z,TNS,1.2,1.23,2.5,EST,0,EQUITY,2019-04-23
15,NWE,NorthWestern Corporation,2019-02-12T00:00:00.000Z,TNS,1.0,1.07,6.68,EST,0,EQUITY,2019-02-12
16,NWE,NorthWestern Corporation,2018-10-23T00:00:00.000Z,TNS,0.72,0.58,-19.44,EST,0,EQUITY,2018-10-23
17,NWE,NorthWestern Corporation,2018-07-19T00:00:00.000Z,TNS,0.5,0.63,25.75,EST,0,EQUITY,2018-07-19
18,NWE,NorthWestern Corporation,2018-04-24T00:00:00.000Z,TNS,1.17,1.11,-4.72,EST,0,EQUITY,2018-04-24
19,NWE,NorthWestern Corporation,2018-02-12T00:00:00.000Z,TNS,1.03,0.96,-6.52,EST,0,EQUITY,2018-02-12
20,NWE,NorthWestern Corporation,2017-11-01T00:00:00.000Z,TNS,0.71,0.74,4.96,EST,0,EQUITY,2017-11-01
21,NWE,NorthWestern Corporation,2017-07-25T00:00:00.000Z,TNS,0.63,0.47,-25.52,EST,0,EQUITY,2017-07-25
22,NWE,NorthWestern Corporation,2017-04-26T00:00:00.000Z,TNS,1.03,1.13,9.39,EST,0,EQUITY,2017-04-26
23,NWE,NorthWestern Corporation,2017-02-16T00:00:00.000Z,TNS,0.95,0.95,0.32,EST,0,EQUITY,2017-02-16
24,NWE,NorthWestern Corporation,2016-10-20T00:00:00.000Z,TNS,0.59,0.66,12.82,EST,0,EQUITY,2016-10-20
25,NWE,NorthWestern Corporation,2016-07-22T00:00:00.000Z,TNS,0.53,0.58,8.61,EST,0,EQUITY,2016-07-22
26,NWE,NorthWestern Corporation,2016-04-20T00:00:00.000Z,TNS,1.13,0.92,-18.29,EST,0,EQUITY,2016-04-20
27,NWE,NorthWestern Corporation,2016-02-11T00:00:00.000Z,TNS,0.99,0.98,-1.01,EST,0,EQUITY,2016-02-11
28,NWE,NorthWestern Corporation,2015-10-22T00:00:00.000Z,TNS,0.57,0.51,-9.89,EST,0,EQUITY,2015-10-22
29,NWE,NorthWestern Corporation,2015-07-23T00:00:00.000Z,TNS,0.44,0.46,4.78,EST,0,EQUITY,2015-07-23
30,NWE,NorthWestern Corporation,2015-04-23T00:00:00.000Z,TNS,1.25,1.09,-13.15,EST,0,EQUITY,2015-04-23
31,NWE,NorthWestern Corporation,2015-02-12T00:00:00.000Z,TNS,0.87,0.75,-14.09,EST,0,EQUITY,2015-02-12
32,NWE,NorthWestern Corporation,2014-10-23T00:00:00.000Z,TNS,0.43,0.34,-20.93,EST,0,EQUITY,2014-10-23
33,NWE,NorthWestern Corporation,2014-07-24T00:00:00.000Z,TNS,0.38,0.2,-47.92,EST,0,EQUITY,2014-07-24
34,NWE,NorthWestern Corporation,2014-04-24T00:00:00.000Z,TNS,1.08,1.17,8.08,EST,0,EQUITY,2014-04-24
35,NWE,NorthWestern Corporation,2014-02-19T00:00:00.000Z,TNS,0.79,0.68,-13.38,EST,0,EQUITY,2014-02-19
36,NWE,NorthWestern Corporation,2013-10-24T00:00:00.000Z,TNS,0.42,0.4,-4.76,EST,0,EQUITY,2013-10-24
37,NWE,NorthWestern Corporation,2013-07-25T00:00:00.000Z,TNS,0.3,0.37,23.33,EST,0,EQUITY,2013-07-25
38,NWE,NorthWestern Corporation,2013-04-25T00:00:00.000Z,TNS,0.94,1.01,7.83,EST,0,EQUITY,2013-04-25
39,NWE,NorthWestern Corporation,2013-02-14T00:00:00.000Z,TNS,0.76,0.72,-5.26,EST,0,EQUITY,2013-02-14
40,NWE,NorthWestern Corporation,2012-10-24T00:00:00.000Z,TNS,0.41,0.42,2.02,EST,0,EQUITY,2012-10-24
41,NWE,NorthWestern Corporation,2012-07-24T00:00:00.000Z,TNS,0.29,0.31,7.64,EST,0,EQUITY,2012-07-24
42,NWE,NorthWestern Corporation,2012-04-25T00:00:00.000Z,TNS,0.82,0.88,7.98,EST,0,EQUITY,2012-04-25
43,NWE,NorthWestern Corporation,2012-02-16T00:00:00.000Z,TNS,0.73,0.93,27.11,EST,0,EQUITY,2012-02-16
44,NWE,NorthWestern Corporation,2011-10-26T00:00:00.000Z,TNS,0.42,0.41,-2.77,EST,0,EQUITY,2011-10-26
45,NWE,NorthWestern Corporation,2011-07-27T00:00:00.000Z,TNS,0.31,0.3,-2.32,EST,0,EQUITY,2011-07-27
46,NWE,NorthWestern Corporation,2011-04-27T00:00:00.000Z,TNS,0.89,0.89,0.0,EST,0,EQUITY,2011-04-27
47,NWE,NorthWestern Corporation,2011-02-11T00:00:00.000Z,TNS,0.66,0.63,-4.83,EST,0,EQUITY,2011-02-11
48,NWE,NorthWestern Corporation,2010-10-28T00:00:00.000Z,TNS,0.3,0.4,34.08,EST,0,EQUITY,2010-10-28
49,NWE,NorthWestern Corporation,2010-07-29T00:00:00.000Z,TNS,0.23,0.32,40.15,EST,0,EQUITY,2010-07-29
50,NWE,NorthWestern Corporation,2010-04-23T00:00:00.000Z,TNS,0.73,0.79,8.97,EST,0,EQUITY,2010-04-23
51,NWE,NorthWestern Corporation,2010-02-12T00:00:00.000Z,TNS,0.61,0.7,15.07,EST,0,EQUITY,2010-02-12
52,NWE,NorthWestern Corporation,2009-10-28T00:00:00.000Z,TNS,0.3,0.52,73.33,EST,0,EQUITY,2009-10-28
53,NWE,NorthWestern Corporation,2009-07-29T00:00:00.000Z,TNS,0.3,0.17,-42.86,EST,0,EQUITY,2009-07-29
54,NWE,NorthWestern Corporation,2009-04-23T00:00:00.000Z,TNS,0.25,0.63,152.0,EST,0,EQUITY,2009-04-23
55,NWE,NorthWestern Corporation,2009-02-13T00:00:00.000Z,TNS,0.6,0.59,-1.67,EST,0,EQUITY,2009-02-13
56,NWE,NorthWestern Corporation,2008-10-30T00:00:00.000Z,TNS,0.33,0.35,6.06,EST,0,EQUITY,2008-10-30
57,NWE,NorthWestern Corporation,2008-07-31T00:00:00.000Z,TNS,0.1,0.24,140.0,EST,0,EQUITY,2008-07-31
58,NWE,NorthWestern Corporation,2008-04-23T00:00:00.000Z,TNS,0.62,0.59,-4.84,EST,0,EQUITY,2008-04-23
59,NWE,NorthWestern Corporation,2008-02-26T00:00:00.000Z,TNS,0.62,0.52,-15.45,EST,0,EQUITY,2008-02-26
60,NWE,NorthWestern Corporation,2005-05-02T00:00:00.000Z,TNS,0.38,0.66,73.68,EST,0,EQUITY,2005-05-02
61,NWE,NorthWestern Corporation,2003-08-14T00:00:00.000Z,TNS,-1.03,-1.55,-50.49,EST,0,EQUITY,2003-08-14
63,NWE,NorthWestern Corporation,2002-08-08T00:00:00.000Z,TNS,0.27,0.49,84.91,EST,0,EQUITY,2002-08-08
64,NWE,NorthWestern Corporation,2002-04-30T00:00:00.000Z,TNS,0.63,0.65,2.63,EST,0,EQUITY,2002-04-30
65,NWE,NorthWestern Corporation,2002-02-07T00:00:00.000Z,TNS,0.57,0.57,0.0,EST,0,EQUITY,2002-02-07
66,NWE,NorthWestern Corporation,2001-11-06T00:00:00.000Z,TNS,0.35,0.36,2.86,EST,0,EQUITY,2001-11-06
67,NWE,NorthWestern Corporation,2001-08-02T00:00:00.000Z,TNS,0.3,0.38,26.67,EST,0,EQUITY,2001-08-02
68,NWE,NorthWestern Corporation,2001-02-08T00:00:00.000Z,TNS,0.55,0.6,9.09,EST,0,EQUITY,2001-02-08
69,NWE,NorthWestern Corporation,2000-10-30T00:00:00.000Z,TNS,0.34,0.35,2.94,EST,0,EQUITY,2000-10-30
70,NWE,NorthWestern Corporation,2000-08-02T00:00:00.000Z,TNS,0.26,0.26,0.0,EST,0,EQUITY,2000-08-02
71,NWE,NorthWestern Corporation,2000-05-03T00:00:00.000Z,TNS,0.61,0.62,1.64,EST,0,EQUITY,2000-05-03
72,NWE,NorthWestern Corporation,2000-02-02T00:00:00.000Z,TNS,0.51,0.53,3.92,EST,0,EQUITY,2000-02-02
73,NWE,NorthWestern Corporation,1999-11-01T00:00:00.000Z,TNS,0.31,0.31,1.64,EST,0,EQUITY,1999-11-01
74,NWE,NorthWestern Corporation,1999-08-04T00:00:00.000Z,TNS,0.22,0.22,0.0,EST,0,EQUITY,1999-08-04
75,NWE,NorthWestern Corporation,1999-05-04T00:00:00.000Z,TNS,0.55,0.56,1.82,EST,0,EQUITY,1999-05-04
76,NWE,NorthWestern Corporation,1999-02-03T00:00:00.000Z,TNS,0.48,0.48,1.05,EST,0,EQUITY,1999-02-03
77,NWE,NorthWestern Corporation,1998-02-04T00:00:00.000Z,TNS,0.39,0.45,15.38,EST,0,EQUITY,1998-02-04
78,NWE,NorthWestern Corporation,1997-10-30T00:00:00.000Z,TNS,0.16,0.17,7.94,EST,0,EQUITY,1997-10-30
79,NWE,NorthWestern Corporation,1997-09-12T00:00:00.000Z,TNS,0.15,0.14,-5.08,EST,0,EQUITY,1997-09-12
80,NWE,NorthWestern Corporation,1997-05-02T00:00:00.000Z,TNS,0.64,0.55,-13.73,EST,0,EQUITY,1997-05-02
81,NWE,NorthWestern Corporation,1997-02-05T00:00:00.000Z,TNS,0.32,0.31,-3.13,EST,0,EQUITY,1997-02-05
82,NWE,NorthWestern Corporation,1996-10-24T00:00:00.000Z,TNS,0.04,0.03,-20.0,EST,0,EQUITY,1996-10-24
83,NWE,NorthWestern Corporation,1996-08-23T00:00:00.000Z,TNS,0.08,0.14,81.25,EST,0,EQUITY,1996-08-23
84,NWE,NorthWestern Corporation,1996-05-01T00:00:00.000Z,TNS,0.48,0.7,45.83,EST,0,EQUITY,1996-05-01
85,NWE,NorthWestern Corporation,1996-02-07T00:00:00.000Z,TNS,0.28,0.3,7.27,EST,0,EQUITY,1996-02-07
86,NWE,NorthWestern Corporation,1995-11-01T00:00:00.000Z,TNS,0.12,0.16,33.33,EST,0,EQUITY,1995-11-01
87,NWE,NorthWestern Corporation,1995-08-03T00:00:00.000Z,TNS,0.17,0.2,18.18,EST,0,EQUITY,1995-08-03
88,NWE,NorthWestern Corporation,1995-05-08T00:00:00.000Z,TNS,0.25,0.25,2.04,EST,0,EQUITY,1995-05-08
89,NWE,NorthWestern Corporation,1994-11-02T00:00:00.000Z,TNS,0.16,0.09,-46.87,EST,0,EQUITY,1994-11-02
90,NWE,NorthWestern Corporation,1994-08-03T00:00:00.000Z,TNS,0.15,0.14,-3.33,EST,0,EQUITY,1994-08-03
