,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,NYT,New York Times Co,2021-11-03T07:00:00.000Z,TAS,0.2,0.23,15.0,EST,-18000000,EQUITY,2021-11-03
4,NYT,The New York Times Company,2021-08-04T00:00:00.000Z,TNS,0.27,0.36,35.85,EST,0,EQUITY,2021-08-04
5,NYT,The New York Times Company,2021-05-05T00:00:00.000Z,TNS,0.14,0.26,88.41,EST,0,EQUITY,2021-05-05
6,NYT,The New York Times Company,2021-02-04T00:00:00.000Z,TNS,0.35,0.4,15.27,EST,0,EQUITY,2021-02-04
7,NYT,The New York Times Company,2020-11-05T00:00:00.000Z,TNS,0.11,0.22,94.69,EST,0,EQUITY,2020-11-05
8,NYT,The New York Times Company,2020-08-05T00:00:00.000Z,TNS,0.01,0.18,1700.0,EST,0,EQUITY,2020-08-05
9,NYT,The New York Times Company,2020-05-06T00:00:00.000Z,TNS,0.1,0.17,75.26,EST,0,EQUITY,2020-05-06
10,NYT,The New York Times Company,2020-02-06T00:00:00.000Z,TNS,0.29,0.43,46.76,EST,0,EQUITY,2020-02-06
11,NYT,The New York Times Company,2019-11-06T00:00:00.000Z,TNS,0.1,0.12,22.45,EST,0,EQUITY,2019-11-06
12,NYT,The New York Times Company,2019-08-07T00:00:00.000Z,TNS,0.15,0.17,11.84,EST,0,EQUITY,2019-08-07
13,NYT,The New York Times Company,2019-05-08T00:00:00.000Z,TNS,0.1,0.2,96.08,EST,0,EQUITY,2019-05-08
14,NYT,The New York Times Company,2019-02-06T00:00:00.000Z,TNS,0.28,0.32,15.11,EST,0,EQUITY,2019-02-06
15,NYT,The New York Times Company,2018-11-01T00:00:00.000Z,TNS,0.11,0.15,33.93,EST,0,EQUITY,2018-11-01
16,NYT,The New York Times Company,2018-08-08T00:00:00.000Z,TNS,0.15,0.17,16.44,EST,0,EQUITY,2018-08-08
17,NYT,The New York Times Company,2018-05-03T00:00:00.000Z,TNS,0.15,0.17,13.33,EST,0,EQUITY,2018-05-03
18,NYT,The New York Times Company,2018-02-08T00:00:00.000Z,TNS,0.29,0.39,33.11,EST,0,EQUITY,2018-02-08
19,NYT,The New York Times Company,2017-11-01T00:00:00.000Z,TNS,0.08,0.13,62.5,EST,0,EQUITY,2017-11-01
20,NYT,The New York Times Company,2017-07-27T00:00:00.000Z,TNS,0.14,0.18,28.57,EST,0,EQUITY,2017-07-27
21,NYT,The New York Times Company,2017-05-03T00:00:00.000Z,TNS,0.07,0.11,64.18,EST,0,EQUITY,2017-05-03
22,NYT,The New York Times Company,2017-02-02T00:00:00.000Z,TNS,0.24,0.3,26.58,EST,0,EQUITY,2017-02-02
23,NYT,The New York Times Company,2016-11-02T00:00:00.000Z,TNS,0.04,0.06,50.0,EST,0,EQUITY,2016-11-02
24,NYT,The New York Times Company,2016-07-28T00:00:00.000Z,TNS,0.11,0.11,2.8,EST,0,EQUITY,2016-07-28
25,NYT,The New York Times Company,2016-05-03T00:00:00.000Z,TNS,0.08,0.1,20.48,EST,0,EQUITY,2016-05-03
26,NYT,The New York Times Company,2016-02-04T00:00:00.000Z,TNS,0.3,0.37,25.42,EST,0,EQUITY,2016-02-04
27,NYT,The New York Times Company,2015-10-29T00:00:00.000Z,TNS,0.06,0.09,50.0,EST,0,EQUITY,2015-10-29
28,NYT,The New York Times Company,2015-08-06T00:00:00.000Z,TNS,0.11,0.13,23.81,EST,0,EQUITY,2015-08-06
29,NYT,The New York Times Company,2015-04-30T00:00:00.000Z,TNS,0.08,0.11,32.53,EST,0,EQUITY,2015-04-30
30,NYT,The New York Times Company,2015-02-03T00:00:00.000Z,TNS,0.24,0.26,9.24,EST,0,EQUITY,2015-02-03
31,NYT,The New York Times Company,2014-10-30T00:00:00.000Z,TNS,0.0,0.03,,EST,0,EQUITY,2014-10-30
32,NYT,The New York Times Company,2014-07-29T00:00:00.000Z,TNS,0.09,0.07,-17.65,EST,0,EQUITY,2014-07-29
33,NYT,The New York Times Company,2014-04-24T00:00:00.000Z,TNS,0.03,0.07,105.88,EST,0,EQUITY,2014-04-24
34,NYT,The New York Times Company,2014-02-06T00:00:00.000Z,TNS,0.16,0.26,59.65,EST,0,EQUITY,2014-02-06
35,NYT,The New York Times Company,2013-10-31T00:00:00.000Z,TNS,-0.04,-0.01,76.19,EST,0,EQUITY,2013-10-31
36,NYT,The New York Times Company,2013-08-01T00:00:00.000Z,TNS,0.12,0.14,18.64,EST,0,EQUITY,2013-08-01
37,NYT,The New York Times Company,2013-04-25T00:00:00.000Z,TNS,0.04,0.04,5.26,EST,0,EQUITY,2013-04-25
38,NYT,The New York Times Company,2013-02-07T00:00:00.000Z,TNS,0.31,0.32,3.7,EST,0,EQUITY,2013-02-07
