,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,OC,Owens Corning,2021-10-27T00:00:00.000Z,TNS,2.46,2.52,2.44,EST,0,EQUITY,2021-10-27
5,OC,Owens Corning,2021-07-28T00:00:00.000Z,TNS,2.14,2.6,21.72,EST,0,EQUITY,2021-07-28
6,OC,Owens Corning,2021-04-28T00:00:00.000Z,TNS,1.43,1.73,20.73,EST,0,EQUITY,2021-04-28
7,OC,Owens Corning,2021-02-17T00:00:00.000Z,TNS,1.38,1.9,38.08,EST,0,EQUITY,2021-02-17
8,OC,Owens Corning,2020-10-28T00:00:00.000Z,TNS,1.32,1.7,28.89,EST,0,EQUITY,2020-10-28
9,OC,Owens Corning,2020-07-29T00:00:00.000Z,TNS,0.2,0.88,335.64,EST,0,EQUITY,2020-07-29
10,OC,Owens Corning,2020-04-29T00:00:00.000Z,TNS,0.54,0.6,10.5,EST,0,EQUITY,2020-04-29
11,OC,Owens Corning,2020-02-19T00:00:00.000Z,TNS,1.13,1.13,0.27,EST,0,EQUITY,2020-02-19
12,OC,Owens Corning,2019-10-23T00:00:00.000Z,TNS,1.49,1.63,9.25,EST,0,EQUITY,2019-10-23
13,OC,Owens Corning,2019-07-24T00:00:00.000Z,TNS,1.16,1.31,13.13,EST,0,EQUITY,2019-07-24
14,OC,Owens Corning,2019-04-24T00:00:00.000Z,TNS,0.56,0.54,-3.4,EST,0,EQUITY,2019-04-24
15,OC,Owens Corning,2019-02-20T00:00:00.000Z,TNS,1.26,1.38,9.7,EST,0,EQUITY,2019-02-20
16,OC,Owens Corning,2018-10-24T00:00:00.000Z,TNS,1.65,1.54,-6.72,EST,0,EQUITY,2018-10-24
17,OC,Owens Corning,2018-07-25T00:00:00.000Z,TNS,1.45,1.17,-19.25,EST,0,EQUITY,2018-07-25
18,OC,Owens Corning,2018-04-25T00:00:00.000Z,TNS,0.96,0.8,-16.41,EST,0,EQUITY,2018-04-25
19,OC,Owens Corning,2018-02-21T00:00:00.000Z,TNS,1.04,1.11,6.94,EST,0,EQUITY,2018-02-21
20,OC,Owens Corning,2017-10-25T00:00:00.000Z,TNS,1.26,1.25,-0.56,EST,0,EQUITY,2017-10-25
21,OC,Owens Corning,2017-07-26T00:00:00.000Z,TNS,1.08,1.2,11.42,EST,0,EQUITY,2017-07-26
22,OC,Owens Corning,2017-04-26T00:00:00.000Z,TNS,0.61,0.85,38.66,EST,0,EQUITY,2017-04-26
23,OC,Owens Corning,2017-02-08T00:00:00.000Z,TNS,0.6,0.72,19.21,EST,0,EQUITY,2017-02-08
24,OC,Owens Corning,2016-10-26T00:00:00.000Z,TNS,0.99,1.09,10.1,EST,0,EQUITY,2016-10-26
25,OC,Owens Corning,2016-07-27T00:00:00.000Z,TNS,0.86,1.29,49.83,EST,0,EQUITY,2016-07-27
26,OC,Owens Corning,2016-04-27T00:00:00.000Z,TNS,0.34,0.53,54.97,EST,0,EQUITY,2016-04-27
27,OC,Owens Corning,2016-02-10T00:00:00.000Z,TNS,0.45,0.66,46.02,EST,0,EQUITY,2016-02-10
28,OC,Owens Corning,2015-10-21T00:00:00.000Z,TNS,0.68,0.96,41.18,EST,0,EQUITY,2015-10-21
29,OC,Owens Corning,2015-07-22T00:00:00.000Z,TNS,0.54,0.79,47.11,EST,0,EQUITY,2015-07-22
