,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,OKE,ONEOK Inc,2021-11-02T16:15:08.000Z,TAS,0.82,0.88,7.32,EST,-18000000,EQUITY,2021-11-02
2,OKE,"ONEOK, Inc.",2021-08-03T00:00:00.000Z,TNS,0.75,0.77,2.94,EST,0,EQUITY,2021-08-03
3,OKE,"ONEOK, Inc.",2021-04-27T00:00:00.000Z,TNS,0.77,0.86,11.54,EST,0,EQUITY,2021-04-27
4,OKE,"ONEOK, Inc.",2021-02-22T00:00:00.000Z,TNS,0.73,0.69,-5.74,EST,0,EQUITY,2021-02-22
5,OKE,"ONEOK, Inc.",2020-10-27T00:00:00.000Z,TNS,0.61,0.7,15.51,EST,0,EQUITY,2020-10-27
6,OKE,"ONEOK, Inc.",2020-07-28T00:00:00.000Z,TNS,0.51,0.32,-37.38,EST,0,EQUITY,2020-07-28
7,OKE,"ONEOK, Inc.",2020-04-28T00:00:00.000Z,TNS,0.8,0.83,3.75,EST,0,EQUITY,2020-04-28
8,OKE,"ONEOK, Inc.",2020-02-24T00:00:00.000Z,TNS,0.77,0.77,0.13,EST,0,EQUITY,2020-02-24
9,OKE,"ONEOK, Inc.",2019-10-29T00:00:00.000Z,TNS,0.75,0.74,-0.67,EST,0,EQUITY,2019-10-29
10,OKE,"ONEOK, Inc.",2019-07-30T00:00:00.000Z,TNS,0.71,0.75,5.78,EST,0,EQUITY,2019-07-30
11,OKE,"ONEOK, Inc.",2019-04-30T00:00:00.000Z,TNS,0.73,0.81,10.96,EST,0,EQUITY,2019-04-30
12,OKE,"ONEOK, Inc.",2019-02-25T00:00:00.000Z,TNS,0.73,0.7,-3.85,EST,0,EQUITY,2019-02-25
13,OKE,"ONEOK, Inc.",2018-10-30T00:00:00.000Z,TNS,0.71,0.75,5.78,EST,0,EQUITY,2018-10-30
14,OKE,"ONEOK, Inc.",2018-07-31T00:00:00.000Z,TNS,0.67,0.68,1.34,EST,0,EQUITY,2018-07-31
15,OKE,"ONEOK, Inc.",2018-05-01T00:00:00.000Z,TNS,0.61,0.64,4.58,EST,0,EQUITY,2018-05-01
16,OKE,"ONEOK, Inc.",2018-02-26T00:00:00.000Z,TNS,0.52,0.53,2.91,EST,0,EQUITY,2018-02-26
17,OKE,"ONEOK, Inc.",2017-10-31T00:00:00.000Z,TNS,0.45,0.43,-3.8,EST,0,EQUITY,2017-10-31
18,OKE,"ONEOK, Inc.",2017-08-01T00:00:00.000Z,TNS,0.4,0.33,-16.88,EST,0,EQUITY,2017-08-01
19,OKE,"ONEOK, Inc.",2017-05-02T00:00:00.000Z,TNS,0.43,0.41,-5.53,EST,0,EQUITY,2017-05-02
20,OKE,"ONEOK, Inc.",2017-02-27T00:00:00.000Z,TNS,0.46,0.43,-6.32,EST,0,EQUITY,2017-02-27
21,OKE,"ONEOK, Inc.",2016-11-01T00:00:00.000Z,TNS,0.44,0.44,-0.23,EST,0,EQUITY,2016-11-01
22,OKE,"ONEOK, Inc.",2016-08-02T00:00:00.000Z,TNS,0.44,0.41,-7.24,EST,0,EQUITY,2016-08-02
23,OKE,"ONEOK, Inc.",2016-05-03T00:00:00.000Z,TNS,0.41,0.4,-2.2,EST,0,EQUITY,2016-05-03
24,OKE,"ONEOK, Inc.",2016-02-22T00:00:00.000Z,TNS,0.47,0.46,-1.5,EST,0,EQUITY,2016-02-22
25,OKE,"ONEOK, Inc.",2015-11-03T00:00:00.000Z,TNS,0.41,0.41,0.24,EST,0,EQUITY,2015-11-03
26,OKE,"ONEOK, Inc.",2015-08-04T00:00:00.000Z,TNS,0.34,0.36,5.26,EST,0,EQUITY,2015-08-04
27,OKE,"ONEOK, Inc.",2015-05-05T00:00:00.000Z,TNS,0.36,0.29,-19.89,EST,0,EQUITY,2015-05-05
28,OKE,"ONEOK, Inc.",2015-02-23T00:00:00.000Z,TNS,0.36,0.45,23.63,EST,0,EQUITY,2015-02-23
29,OKE,"ONEOK, Inc.",2014-11-04T00:00:00.000Z,TNS,0.38,0.31,-17.33,EST,0,EQUITY,2014-11-04
30,OKE,"ONEOK, Inc.",2014-08-05T00:00:00.000Z,TNS,0.36,0.33,-8.79,EST,0,EQUITY,2014-08-05
31,OKE,"ONEOK, Inc.",2014-02-24T00:00:00.000Z,TNS,0.58,0.54,-6.31,EST,0,EQUITY,2014-02-24
32,OKE,"ONEOK, Inc.",2013-11-05T00:00:00.000Z,TNS,0.29,0.35,19.19,EST,0,EQUITY,2013-11-05
33,OKE,"ONEOK, Inc.",2013-07-30T00:00:00.000Z,TNS,0.26,0.34,31.69,EST,0,EQUITY,2013-07-30
34,OKE,"ONEOK, Inc.",2013-04-30T00:00:00.000Z,TNS,0.59,0.54,-8.99,EST,0,EQUITY,2013-04-30
35,OKE,"ONEOK, Inc.",2013-02-25T00:00:00.000Z,TNS,0.45,0.53,17.78,EST,0,EQUITY,2013-02-25
36,OKE,"ONEOK, Inc.",2012-10-30T00:00:00.000Z,TNS,0.32,0.31,-4.02,EST,0,EQUITY,2012-10-30
37,OKE,"ONEOK, Inc.",2012-07-31T00:00:00.000Z,TNS,0.34,0.29,-14.2,EST,0,EQUITY,2012-07-31
38,OKE,"ONEOK, Inc.",2012-05-01T00:00:00.000Z,TNS,0.65,0.56,-14.73,EST,0,EQUITY,2012-05-01
39,OKE,"ONEOK, Inc.",2012-02-20T00:00:00.000Z,TNS,0.53,0.54,1.79,EST,0,EQUITY,2012-02-20
40,OKE,"ONEOK, Inc.",2011-11-01T00:00:00.000Z,TNS,0.29,0.28,-0.29,EST,0,EQUITY,2011-11-01
41,OKE,"ONEOK, Inc.",2011-08-02T00:00:00.000Z,TNS,0.27,0.26,-5.8,EST,0,EQUITY,2011-08-02
42,OKE,"ONEOK, Inc.",2011-05-03T00:00:00.000Z,TNS,0.66,0.6,-9.75,EST,0,EQUITY,2011-05-03
43,OKE,"ONEOK, Inc.",2011-02-21T00:00:00.000Z,TNS,0.39,0.38,-3.18,EST,0,EQUITY,2011-02-21
44,OKE,"ONEOK, Inc.",2010-11-02T00:00:00.000Z,TNS,0.18,0.26,40.2,EST,0,EQUITY,2010-11-02
45,OKE,"ONEOK, Inc.",2010-08-03T00:00:00.000Z,TNS,0.16,0.2,25.23,EST,0,EQUITY,2010-08-03
