,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,PCAR,PACCAR Inc,2021-10-26T00:00:00.000Z,TNS,1.2,1.08,-10.07,EST,0,EQUITY,2021-10-26
5,PCAR,PACCAR Inc,2021-07-27T00:00:00.000Z,TNS,1.39,1.41,1.22,EST,0,EQUITY,2021-07-27
6,PCAR,PACCAR Inc,2021-04-27T00:00:00.000Z,TNS,1.27,1.35,5.97,EST,0,EQUITY,2021-04-27
7,PCAR,PACCAR Inc,2021-01-26T00:00:00.000Z,TNS,1.22,1.17,-4.18,EST,0,EQUITY,2021-01-26
8,PCAR,PACCAR Inc,2020-10-20T00:00:00.000Z,TNS,0.98,1.11,13.73,EST,0,EQUITY,2020-10-20
9,PCAR,PACCAR Inc,2020-07-21T00:00:00.000Z,TNS,0.31,0.43,39.16,EST,0,EQUITY,2020-07-21
10,PCAR,PACCAR Inc,2020-04-21T00:00:00.000Z,TNS,1.2,1.03,-14.1,EST,0,EQUITY,2020-04-21
11,PCAR,PACCAR Inc,2020-01-28T00:00:00.000Z,TNS,1.51,1.53,1.59,EST,0,EQUITY,2020-01-28
12,PCAR,PACCAR Inc,2019-10-22T00:00:00.000Z,TNS,1.64,1.75,6.51,EST,0,EQUITY,2019-10-22
13,PCAR,PACCAR Inc,2019-07-23T00:00:00.000Z,TNS,1.81,1.78,-1.49,EST,0,EQUITY,2019-07-23
14,PCAR,PACCAR Inc,2019-04-30T00:00:00.000Z,TNS,1.65,1.81,9.56,EST,0,EQUITY,2019-04-30
15,PCAR,PACCAR Inc,2019-01-29T00:00:00.000Z,TNS,1.53,1.65,7.7,EST,0,EQUITY,2019-01-29
16,PCAR,PACCAR Inc,2018-10-23T00:00:00.000Z,TNS,1.51,1.55,2.51,EST,0,EQUITY,2018-10-23
17,PCAR,PACCAR Inc,2018-07-24T00:00:00.000Z,TNS,1.42,1.59,11.97,EST,0,EQUITY,2018-07-24
18,PCAR,PACCAR Inc,2018-04-24T00:00:00.000Z,TNS,1.31,1.45,10.6,EST,0,EQUITY,2018-04-24
19,PCAR,PACCAR Inc,2018-01-30T00:00:00.000Z,TNS,1.12,1.18,5.26,EST,0,EQUITY,2018-01-30
20,PCAR,PACCAR Inc,2017-10-24T00:00:00.000Z,TNS,1.08,1.14,5.65,EST,0,EQUITY,2017-10-24
21,PCAR,PACCAR Inc,2017-07-25T00:00:00.000Z,TNS,0.99,1.06,7.51,EST,0,EQUITY,2017-07-25
22,PCAR,PACCAR Inc,2017-04-25T00:00:00.000Z,TNS,0.87,0.88,0.69,EST,0,EQUITY,2017-04-25
23,PCAR,PACCAR Inc,2017-01-31T00:00:00.000Z,TNS,0.86,0.82,-4.65,EST,0,EQUITY,2017-01-31
24,PCAR,PACCAR Inc,2016-10-25T00:00:00.000Z,TNS,1.0,0.98,-1.51,EST,0,EQUITY,2016-10-25
25,PCAR,PACCAR Inc,2016-07-26T00:00:00.000Z,TNS,1.02,1.06,3.52,EST,0,EQUITY,2016-07-26
26,PCAR,PACCAR Inc,2016-04-26T00:00:00.000Z,TNS,0.96,0.99,3.23,EST,0,EQUITY,2016-04-26
27,PCAR,PACCAR Inc,2016-01-29T00:00:00.000Z,TNS,1.02,0.98,-3.73,EST,0,EQUITY,2016-01-29
28,PCAR,PACCAR Inc,2015-10-27T00:00:00.000Z,TNS,1.16,1.21,4.04,EST,0,EQUITY,2015-10-27
29,PCAR,PACCAR Inc,2015-07-28T00:00:00.000Z,TNS,1.15,1.26,9.28,EST,0,EQUITY,2015-07-28
30,PCAR,PACCAR Inc,2015-04-21T00:00:00.000Z,TNS,1.01,1.06,4.74,EST,0,EQUITY,2015-04-21
31,PCAR,PACCAR Inc,2015-01-30T00:00:00.000Z,TNS,1.09,1.11,1.46,EST,0,EQUITY,2015-01-30
32,PCAR,PACCAR Inc,2014-10-28T00:00:00.000Z,TNS,0.96,1.04,8.11,EST,0,EQUITY,2014-10-28
33,PCAR,PACCAR Inc,2014-07-29T00:00:00.000Z,TNS,0.89,0.9,1.02,EST,0,EQUITY,2014-07-29
34,PCAR,PACCAR Inc,2014-04-29T00:00:00.000Z,TNS,0.76,0.77,1.43,EST,0,EQUITY,2014-04-29
35,PCAR,PACCAR Inc,2014-01-31T00:00:00.000Z,TNS,0.93,0.94,1.41,EST,0,EQUITY,2014-01-31
36,PCAR,PACCAR Inc,2013-10-29T00:00:00.000Z,TNS,0.85,0.87,2.01,EST,0,EQUITY,2013-10-29
37,PCAR,PACCAR Inc,2013-07-23T00:00:00.000Z,TNS,0.75,0.82,10.03,EST,0,EQUITY,2013-07-23
38,PCAR,PACCAR Inc,2013-04-23T00:00:00.000Z,TNS,0.68,0.67,-1.95,EST,0,EQUITY,2013-04-23
39,PCAR,PACCAR Inc,2013-01-31T00:00:00.000Z,TNS,0.68,0.72,5.8,EST,0,EQUITY,2013-01-31
40,PCAR,PACCAR Inc,2012-10-25T00:00:00.000Z,TNS,0.65,0.66,1.62,EST,0,EQUITY,2012-10-25
41,PCAR,PACCAR Inc,2012-07-24T00:00:00.000Z,TNS,0.82,0.83,1.66,EST,0,EQUITY,2012-07-24
42,PCAR,PACCAR Inc,2012-04-24T00:00:00.000Z,TNS,0.78,0.91,16.58,EST,0,EQUITY,2012-04-24
43,PCAR,PACCAR Inc,2012-01-31T00:00:00.000Z,TNS,0.79,0.91,15.27,EST,0,EQUITY,2012-01-31
44,PCAR,PACCAR Inc,2011-10-25T00:00:00.000Z,TNS,0.7,0.77,10.61,EST,0,EQUITY,2011-10-25
45,PCAR,PACCAR Inc,2011-07-26T00:00:00.000Z,TNS,0.69,0.65,-5.39,EST,0,EQUITY,2011-07-26
46,PCAR,PACCAR Inc,2011-04-19T00:00:00.000Z,TNS,0.49,0.53,7.78,EST,0,EQUITY,2011-04-19
47,PCAR,PACCAR Inc,2011-02-01T00:00:00.000Z,TNS,0.46,0.46,-0.6,EST,0,EQUITY,2011-02-01
48,PCAR,PACCAR Inc,2010-10-26T00:00:00.000Z,TNS,0.32,0.33,2.95,EST,0,EQUITY,2010-10-26
49,PCAR,PACCAR Inc,2010-07-27T00:00:00.000Z,TNS,0.2,0.27,36.2,EST,0,EQUITY,2010-07-27
50,PCAR,PACCAR Inc,2010-04-20T00:00:00.000Z,TNS,0.15,0.19,24.59,EST,0,EQUITY,2010-04-20
51,PCAR,PACCAR Inc,2010-01-29T00:00:00.000Z,TNS,0.07,0.13,98.08,EST,0,EQUITY,2010-01-29
52,PCAR,PACCAR Inc,2009-10-27T00:00:00.000Z,TNS,0.02,0.04,136.97,EST,0,EQUITY,2009-10-27
53,PCAR,PACCAR Inc,2009-07-28T00:00:00.000Z,TNS,0.04,0.07,72.29,EST,0,EQUITY,2009-07-28
54,PCAR,PACCAR Inc,2009-04-28T00:00:00.000Z,TNS,0.05,0.07,49.99,EST,0,EQUITY,2009-04-28
55,PCAR,PACCAR Inc,2009-01-30T00:00:00.000Z,TNS,0.3,0.31,4.49,EST,0,EQUITY,2009-01-30
56,PCAR,PACCAR Inc,2008-10-21T00:00:00.000Z,TNS,0.87,0.82,-5.87,EST,0,EQUITY,2008-10-21
57,PCAR,PACCAR Inc,2008-07-22T00:00:00.000Z,TNS,0.84,0.86,2.69,EST,0,EQUITY,2008-07-22
58,PCAR,PACCAR Inc,2008-04-22T00:00:00.000Z,TNS,0.77,0.79,2.07,EST,0,EQUITY,2008-04-22
59,PCAR,PACCAR Inc,2008-01-29T00:00:00.000Z,TNS,0.82,0.71,-13.89,EST,0,EQUITY,2008-01-29
60,PCAR,PACCAR Inc,2007-10-24T00:00:00.000Z,TNS,0.77,0.81,5.19,EST,0,EQUITY,2007-10-24
61,PCAR,PACCAR Inc,2007-07-24T00:00:00.000Z,TNS,0.75,0.79,6.25,EST,0,EQUITY,2007-07-24
62,PCAR,PACCAR Inc,2007-04-24T00:00:00.000Z,TNS,0.8,0.97,21.75,EST,0,EQUITY,2007-04-24
63,PCAR,PACCAR Inc,2007-01-30T00:00:00.000Z,TNS,1.03,1.01,-1.51,EST,0,EQUITY,2007-01-30
64,PCAR,PACCAR Inc,2006-10-24T00:00:00.000Z,TNS,0.99,1.07,8.54,EST,0,EQUITY,2006-10-24
65,PCAR,PACCAR Inc,2006-07-25T00:00:00.000Z,TNS,0.92,0.98,6.42,EST,0,EQUITY,2006-07-25
66,PCAR,PACCAR Inc,2006-04-25T00:00:00.000Z,TNS,0.82,0.9,10.12,EST,0,EQUITY,2006-04-25
67,PCAR,PACCAR Inc,2006-01-31T00:00:00.000Z,TNS,0.82,0.81,-1.18,EST,0,EQUITY,2006-01-31
68,PCAR,PACCAR Inc,2005-10-25T00:00:00.000Z,TNS,0.77,0.79,2.45,EST,0,EQUITY,2005-10-25
69,PCAR,PACCAR Inc,2005-07-26T00:00:00.000Z,TNS,0.75,0.78,4.76,EST,0,EQUITY,2005-07-26
70,PCAR,PACCAR Inc,2005-04-26T00:00:00.000Z,TNS,0.66,0.69,4.87,EST,0,EQUITY,2005-04-26
71,PCAR,PACCAR Inc,2005-02-01T00:00:00.000Z,TNS,0.66,0.66,-0.22,EST,0,EQUITY,2005-02-01
72,PCAR,PACCAR Inc,2004-10-21T00:00:00.000Z,TNS,0.6,0.63,4.03,EST,0,EQUITY,2004-10-21
73,PCAR,PACCAR Inc,2004-07-23T00:00:00.000Z,TNS,0.51,0.6,16.43,EST,0,EQUITY,2004-07-23
74,PCAR,PACCAR Inc,2004-04-27T00:00:00.000Z,TNS,0.4,0.46,15.3,EST,0,EQUITY,2004-04-27
75,PCAR,PACCAR Inc,2004-02-02T00:00:00.000Z,TNS,0.37,0.4,7.69,EST,0,EQUITY,2004-02-02
76,PCAR,PACCAR Inc,2003-10-21T00:00:00.000Z,TNS,0.31,0.33,8.56,EST,0,EQUITY,2003-10-21
77,PCAR,PACCAR Inc,2003-07-24T00:00:00.000Z,TNS,0.29,0.31,8.97,EST,0,EQUITY,2003-07-24
