,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,PFSI,"PennyMac Financial Services, Inc.",2021-11-04T00:00:00.000Z,TNS,3.51,3.8,8.42,EST,0,EQUITY,2021-11-04
1,PFSI,"PennyMac Financial Services, Inc.",2021-08-05T00:00:00.000Z,TNS,3.21,2.94,-8.3,EST,0,EQUITY,2021-08-05
2,PFSI,"PennyMac Financial Services, Inc.",2021-05-06T00:00:00.000Z,TNS,5.74,5.15,-10.31,EST,0,EQUITY,2021-05-06
3,PFSI,"PennyMac Financial Services, Inc.",2021-02-04T00:00:00.000Z,TNS,5.92,5.97,0.9,EST,0,EQUITY,2021-02-04
4,PFSI,"PennyMac Financial Services, Inc.",2020-11-05T00:00:00.000Z,TNS,5.34,7.03,31.72,EST,0,EQUITY,2020-11-05
5,PFSI,"PennyMac Financial Services, Inc.",2020-08-06T00:00:00.000Z,TNS,2.9,4.39,51.64,EST,0,EQUITY,2020-08-06
6,PFSI,"PennyMac Financial Services, Inc.",2020-05-07T00:00:00.000Z,TNS,2.79,3.73,33.55,EST,0,EQUITY,2020-05-07
7,PFSI,"PennyMac Financial Services, Inc.",2020-02-06T00:00:00.000Z,TNS,1.62,1.88,16.05,EST,0,EQUITY,2020-02-06
8,PFSI,"PennyMac Financial Services, Inc.",2019-10-31T00:00:00.000Z,TNS,1.31,1.51,15.0,EST,0,EQUITY,2019-10-31
9,PFSI,"PennyMac Financial Services, Inc.",2019-08-01T00:00:00.000Z,TNS,0.78,0.92,18.4,EST,0,EQUITY,2019-08-01
10,PFSI,"PennyMac Financial Services, Inc.",2019-05-02T00:00:00.000Z,TNS,0.62,0.58,-5.84,EST,0,EQUITY,2019-05-02
11,PFSI,"PennyMac Financial Services, Inc.",2019-02-07T00:00:00.000Z,TNS,0.54,0.63,16.24,EST,0,EQUITY,2019-02-07
12,PFSI,"PennyMac Financial Services, Inc.",2018-11-01T00:00:00.000Z,TNS,0.58,0.57,-1.21,EST,0,EQUITY,2018-11-01
13,PFSI,"PennyMac Financial Services, Inc.",2018-08-02T00:00:00.000Z,TNS,0.66,0.7,6.38,EST,0,EQUITY,2018-08-02
14,PFSI,"PennyMac Financial Services, Inc.",2018-05-03T00:00:00.000Z,TNS,0.72,0.67,-7.2,EST,0,EQUITY,2018-05-03
15,PFSI,"PennyMac Financial Services, Inc.",2018-02-08T00:00:00.000Z,TNS,0.66,0.65,-0.91,EST,0,EQUITY,2018-02-08
16,PFSI,"PennyMac Financial Services, Inc.",2017-11-02T00:00:00.000Z,TNS,0.7,0.79,13.67,EST,0,EQUITY,2017-11-02
17,PFSI,"PennyMac Financial Services, Inc.",2017-08-03T00:00:00.000Z,TNS,0.67,0.69,3.6,EST,0,EQUITY,2017-08-03
18,PFSI,"PennyMac Financial Services, Inc.",2017-05-04T00:00:00.000Z,TNS,0.64,0.53,-17.57,EST,0,EQUITY,2017-05-04
19,PFSI,"PennyMac Financial Services, Inc.",2017-02-02T00:00:00.000Z,TNS,0.82,1.0,22.4,EST,0,EQUITY,2017-02-02
20,PFSI,"PennyMac Financial Services, Inc.",2016-11-03T00:00:00.000Z,TNS,0.92,1.06,15.34,EST,0,EQUITY,2016-11-03
21,PFSI,"PennyMac Financial Services, Inc.",2016-08-03T00:00:00.000Z,TNS,0.57,0.65,13.04,EST,0,EQUITY,2016-08-03
22,PFSI,"PennyMac Financial Services, Inc.",2016-05-05T00:00:00.000Z,TNS,0.54,0.23,-57.72,EST,0,EQUITY,2016-05-05
23,PFSI,"PennyMac Financial Services, Inc.",2016-02-03T00:00:00.000Z,TNS,0.57,0.58,1.58,EST,0,EQUITY,2016-02-03
24,PFSI,"PennyMac Financial Services, Inc.",2015-11-04T00:00:00.000Z,TNS,0.61,0.58,-5.23,EST,0,EQUITY,2015-11-04
25,PFSI,"PennyMac Financial Services, Inc.",2015-08-05T00:00:00.000Z,TNS,0.59,0.59,0.85,EST,0,EQUITY,2015-08-05
26,PFSI,"PennyMac Financial Services, Inc.",2015-05-06T00:00:00.000Z,TNS,0.45,0.42,-6.46,EST,0,EQUITY,2015-05-06
27,PFSI,"PennyMac Financial Services, Inc.",2015-02-04T00:00:00.000Z,TNS,0.47,0.41,-13.14,EST,0,EQUITY,2015-02-04
28,PFSI,"PennyMac Financial Services, Inc.",2014-11-05T00:00:00.000Z,TNS,0.47,0.49,4.7,EST,0,EQUITY,2014-11-05
29,PFSI,"PennyMac Financial Services, Inc.",2014-08-06T00:00:00.000Z,TNS,0.41,0.45,10.26,EST,0,EQUITY,2014-08-06
30,PFSI,"PennyMac Financial Services, Inc.",2014-05-07T00:00:00.000Z,TNS,0.38,0.38,0.23,EST,0,EQUITY,2014-05-07
31,PFSI,"PennyMac Financial Services, Inc.",2014-02-05T00:00:00.000Z,TNS,0.34,0.32,-6.71,EST,0,EQUITY,2014-02-05
32,PFSI,"PennyMac Financial Services, Inc.",2013-11-06T00:00:00.000Z,TNS,0.37,0.28,-24.03,EST,0,EQUITY,2013-11-06
33,PFSI,"PennyMac Financial Services, Inc.",2013-08-08T00:00:00.000Z,TNS,0.59,0.43,-27.55,EST,0,EQUITY,2013-08-08
