,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,PKG,Packaging Corp of America,2021-10-25T17:23:00.000Z,TAS,2.34,2.69,14.96,EST,-18000000,EQUITY,2021-10-25
2,PKG,Packaging Corporation of America,2021-07-26T00:00:00.000Z,TNS,1.78,2.17,21.98,EST,0,EQUITY,2021-07-26
3,PKG,Packaging Corporation of America,2021-04-26T00:00:00.000Z,TNS,1.46,1.77,21.48,EST,0,EQUITY,2021-04-26
4,PKG,Packaging Corporation of America,2021-01-27T00:00:00.000Z,TNS,1.42,1.33,-6.54,EST,0,EQUITY,2021-01-27
5,PKG,Packaging Corporation of America,2020-10-26T00:00:00.000Z,TNS,1.42,1.57,10.25,EST,0,EQUITY,2020-10-26
6,PKG,Packaging Corporation of America,2020-07-28T00:00:00.000Z,TNS,1.28,1.38,7.64,EST,0,EQUITY,2020-07-28
7,PKG,Packaging Corporation of America,2020-04-27T00:00:00.000Z,TNS,1.22,1.5,22.55,EST,0,EQUITY,2020-04-27
8,PKG,Packaging Corporation of America,2020-01-29T00:00:00.000Z,TNS,1.7,1.71,0.41,EST,0,EQUITY,2020-01-29
9,PKG,Packaging Corporation of America,2019-10-23T00:00:00.000Z,TNS,1.91,1.92,0.79,EST,0,EQUITY,2019-10-23
10,PKG,Packaging Corporation of America,2019-07-24T00:00:00.000Z,TNS,2.03,2.04,0.39,EST,0,EQUITY,2019-07-24
11,PKG,Packaging Corporation of America,2019-04-24T00:00:00.000Z,TNS,1.96,1.98,1.23,EST,0,EQUITY,2019-04-24
12,PKG,Packaging Corporation of America,2019-01-29T00:00:00.000Z,TNS,2.14,2.17,1.35,EST,0,EQUITY,2019-01-29
13,PKG,Packaging Corporation of America,2018-10-24T00:00:00.000Z,TNS,2.15,2.23,3.82,EST,0,EQUITY,2018-10-24
14,PKG,Packaging Corporation of America,2018-07-25T00:00:00.000Z,TNS,1.97,2.08,5.74,EST,0,EQUITY,2018-07-25
15,PKG,Packaging Corporation of America,2018-04-24T00:00:00.000Z,TNS,1.53,1.55,1.31,EST,0,EQUITY,2018-04-24
16,PKG,Packaging Corporation of America,2018-01-30T00:00:00.000Z,TNS,1.51,1.56,3.17,EST,0,EQUITY,2018-01-30
17,PKG,Packaging Corporation of America,2017-10-25T00:00:00.000Z,TNS,1.68,1.68,-0.12,EST,0,EQUITY,2017-10-25
18,PKG,Packaging Corporation of America,2017-07-26T00:00:00.000Z,TNS,1.47,1.52,3.19,EST,0,EQUITY,2017-07-26
19,PKG,Packaging Corporation of America,2017-04-26T00:00:00.000Z,TNS,1.23,1.27,3.67,EST,0,EQUITY,2017-04-26
20,PKG,Packaging Corporation of America,2017-01-30T00:00:00.000Z,TNS,1.15,1.23,6.59,EST,0,EQUITY,2017-01-30
21,PKG,Packaging Corporation of America,2016-10-19T00:00:00.000Z,TNS,1.31,1.3,-0.69,EST,0,EQUITY,2016-10-19
22,PKG,Packaging Corporation of America,2016-07-20T00:00:00.000Z,TNS,1.18,1.25,5.93,EST,0,EQUITY,2016-07-20
23,PKG,Packaging Corporation of America,2016-04-20T00:00:00.000Z,TNS,1.01,1.11,9.79,EST,0,EQUITY,2016-04-20
24,PKG,Packaging Corporation of America,2016-01-25T00:00:00.000Z,TNS,1.03,1.08,4.85,EST,0,EQUITY,2016-01-25
25,PKG,Packaging Corporation of America,2015-10-20T00:00:00.000Z,TNS,1.28,1.26,-1.79,EST,0,EQUITY,2015-10-20
26,PKG,Packaging Corporation of America,2015-07-21T00:00:00.000Z,TNS,1.03,1.18,15.01,EST,0,EQUITY,2015-07-21
27,PKG,Packaging Corporation of America,2015-04-20T00:00:00.000Z,TNS,1.08,1.01,-6.83,EST,0,EQUITY,2015-04-20
28,PKG,Packaging Corporation of America,2015-01-26T00:00:00.000Z,TNS,1.17,1.16,-0.85,EST,0,EQUITY,2015-01-26
29,PKG,Packaging Corporation of America,2014-10-20T00:00:00.000Z,TNS,1.26,1.26,0.0,EST,0,EQUITY,2014-10-20
30,PKG,Packaging Corporation of America,2014-07-21T00:00:00.000Z,TNS,1.11,1.16,4.88,EST,0,EQUITY,2014-07-21
31,PKG,Packaging Corporation of America,2014-04-22T00:00:00.000Z,TNS,1.0,1.08,8.07,EST,0,EQUITY,2014-04-22
32,PKG,Packaging Corporation of America,2014-02-11T00:00:00.000Z,TNS,0.89,1.04,16.33,EST,0,EQUITY,2014-02-11
33,PKG,Packaging Corporation of America,2013-10-14T00:00:00.000Z,TNS,0.89,0.91,2.69,EST,0,EQUITY,2013-10-14
34,PKG,Packaging Corporation of America,2013-07-16T00:00:00.000Z,TNS,0.63,0.71,12.6,EST,0,EQUITY,2013-07-16
35,PKG,Packaging Corporation of America,2013-04-22T00:00:00.000Z,TNS,0.56,0.62,10.18,EST,0,EQUITY,2013-04-22
36,PKG,Packaging Corporation of America,2013-01-22T00:00:00.000Z,TNS,0.62,0.61,-1.24,EST,0,EQUITY,2013-01-22
37,PKG,Packaging Corporation of America,2012-10-15T00:00:00.000Z,TNS,0.56,0.55,-2.16,EST,0,EQUITY,2012-10-15
38,PKG,Packaging Corporation of America,2012-07-16T00:00:00.000Z,TNS,0.45,0.49,7.86,EST,0,EQUITY,2012-07-16
39,PKG,Packaging Corporation of America,2012-04-17T00:00:00.000Z,TNS,0.4,0.42,4.13,EST,0,EQUITY,2012-04-17
40,PKG,Packaging Corporation of America,2012-01-23T00:00:00.000Z,TNS,0.37,0.4,8.91,EST,0,EQUITY,2012-01-23
41,PKG,Packaging Corporation of America,2011-10-17T00:00:00.000Z,TNS,0.43,0.43,0.78,EST,0,EQUITY,2011-10-17
42,PKG,Packaging Corporation of America,2011-07-18T00:00:00.000Z,TNS,0.34,0.39,14.29,EST,0,EQUITY,2011-07-18
43,PKG,Packaging Corporation of America,2011-04-18T00:00:00.000Z,TNS,0.41,0.39,-4.41,EST,0,EQUITY,2011-04-18
44,PKG,Packaging Corporation of America,2011-01-24T00:00:00.000Z,TNS,0.53,0.52,-1.06,EST,0,EQUITY,2011-01-24
