,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,PKOH,Park-Ohio Holdings Corp.,2021-11-02T00:00:00.000Z,TNS,0.28,-0.32,-214.29,EST,0,EQUITY,2021-11-02
1,PKOH,Park-Ohio Holdings Corp.,2021-08-03T00:00:00.000Z,TNS,0.45,-0.33,-173.01,EST,0,EQUITY,2021-08-03
2,PKOH,Park-Ohio Holdings Corp.,2021-05-04T00:00:00.000Z,TNS,0.34,0.53,56.8,EST,0,EQUITY,2021-05-04
3,PKOH,Park-Ohio Holdings Corp.,2021-03-02T00:00:00.000Z,TNS,0.43,0.53,22.4,EST,0,EQUITY,2021-03-02
4,PKOH,Park-Ohio Holdings Corp.,2020-11-03T00:00:00.000Z,TNS,0.03,0.52,1633.33,EST,0,EQUITY,2020-11-03
5,PKOH,Park-Ohio Holdings Corp.,2020-08-04T00:00:00.000Z,TNS,-0.96,-1.17,-22.26,EST,0,EQUITY,2020-08-04
6,PKOH,Park-Ohio Holdings Corp.,2020-05-06T00:00:00.000Z,TNS,0.57,0.13,-77.19,EST,0,EQUITY,2020-05-06
7,PKOH,Park-Ohio Holdings Corp.,2020-03-11T00:00:00.000Z,TNS,1.0,0.65,-35.0,EST,0,EQUITY,2020-03-11
8,PKOH,Park-Ohio Holdings Corp.,2019-11-04T00:00:00.000Z,TNS,1.13,1.01,-10.86,EST,0,EQUITY,2019-11-04
9,PKOH,Park-Ohio Holdings Corp.,2019-08-05T00:00:00.000Z,TNS,1.07,1.07,-0.28,EST,0,EQUITY,2019-08-05
10,PKOH,Park-Ohio Holdings Corp.,2019-05-06T00:00:00.000Z,TNS,0.99,1.01,2.54,EST,0,EQUITY,2019-05-06
11,PKOH,Park-Ohio Holdings Corp.,2019-03-04T00:00:00.000Z,TNS,0.89,1.2,34.38,EST,0,EQUITY,2019-03-04
12,PKOH,Park-Ohio Holdings Corp.,2018-11-05T00:00:00.000Z,TNS,0.93,1.07,14.68,EST,0,EQUITY,2018-11-05
13,PKOH,Park-Ohio Holdings Corp.,2018-08-08T00:00:00.000Z,TNS,0.94,1.08,15.14,EST,0,EQUITY,2018-08-08
14,PKOH,Park-Ohio Holdings Corp.,2018-05-08T00:00:00.000Z,TNS,0.83,0.93,12.73,EST,0,EQUITY,2018-05-08
15,PKOH,Park-Ohio Holdings Corp.,2018-03-05T00:00:00.000Z,TNS,0.82,0.86,5.52,EST,0,EQUITY,2018-03-05
16,PKOH,Park-Ohio Holdings Corp.,2017-11-06T00:00:00.000Z,TNS,0.87,0.82,-5.75,EST,0,EQUITY,2017-11-06
17,PKOH,Park-Ohio Holdings Corp.,2017-08-07T00:00:00.000Z,TNS,0.83,0.87,4.44,EST,0,EQUITY,2017-08-07
18,PKOH,Park-Ohio Holdings Corp.,2017-05-08T00:00:00.000Z,TNS,0.69,0.68,-1.88,EST,0,EQUITY,2017-05-08
19,PKOH,Park-Ohio Holdings Corp.,2017-03-07T00:00:00.000Z,TNS,0.74,0.66,-11.17,EST,0,EQUITY,2017-03-07
20,PKOH,Park-Ohio Holdings Corp.,2016-11-07T00:00:00.000Z,TNS,0.92,1.13,22.43,EST,0,EQUITY,2016-11-07
21,PKOH,Park-Ohio Holdings Corp.,2016-08-08T00:00:00.000Z,TNS,0.73,0.76,3.68,EST,0,EQUITY,2016-08-08
22,PKOH,Park-Ohio Holdings Corp.,2016-04-28T00:00:00.000Z,TNS,0.91,0.46,-49.28,EST,0,EQUITY,2016-04-28
23,PKOH,Park-Ohio Holdings Corp.,2016-03-11T00:00:00.000Z,TNS,0.89,1.15,29.21,EST,0,EQUITY,2016-03-11
24,PKOH,Park-Ohio Holdings Corp.,2015-11-02T00:00:00.000Z,TNS,1.15,1.07,-6.55,EST,0,EQUITY,2015-11-02
25,PKOH,Park-Ohio Holdings Corp.,2015-08-07T00:00:00.000Z,TNS,1.08,1.04,-3.26,EST,0,EQUITY,2015-08-07
26,PKOH,Park-Ohio Holdings Corp.,2015-05-06T00:00:00.000Z,TNS,0.91,0.93,2.2,EST,0,EQUITY,2015-05-06
27,PKOH,Park-Ohio Holdings Corp.,2015-03-13T00:00:00.000Z,TNS,1.27,0.9,-29.41,EST,0,EQUITY,2015-03-13
28,PKOH,Park-Ohio Holdings Corp.,2014-11-04T00:00:00.000Z,TNS,1.2,1.15,-4.17,EST,0,EQUITY,2014-11-04
29,PKOH,Park-Ohio Holdings Corp.,2014-08-11T00:00:00.000Z,TNS,1.14,1.0,-11.89,EST,0,EQUITY,2014-08-11
30,PKOH,Park-Ohio Holdings Corp.,2014-05-05T00:00:00.000Z,TNS,1.05,0.82,-21.66,EST,0,EQUITY,2014-05-05
31,PKOH,Park-Ohio Holdings Corp.,2014-03-10T00:00:00.000Z,TNS,1.09,0.72,-33.94,EST,0,EQUITY,2014-03-10
32,PKOH,Park-Ohio Holdings Corp.,2013-11-12T00:00:00.000Z,TNS,1.02,0.93,-8.82,EST,0,EQUITY,2013-11-12
33,PKOH,Park-Ohio Holdings Corp.,2013-08-08T00:00:00.000Z,TNS,1.01,0.98,-2.97,EST,0,EQUITY,2013-08-08
34,PKOH,Park-Ohio Holdings Corp.,2013-05-01T00:00:00.000Z,TNS,0.87,0.85,-1.73,EST,0,EQUITY,2013-05-01
35,PKOH,Park-Ohio Holdings Corp.,2013-03-04T00:00:00.000Z,TNS,0.5,0.63,26.0,EST,0,EQUITY,2013-03-04
36,PKOH,Park-Ohio Holdings Corp.,2012-10-31T00:00:00.000Z,TNS,0.83,0.88,6.02,EST,0,EQUITY,2012-10-31
37,PKOH,Park-Ohio Holdings Corp.,2012-08-07T00:00:00.000Z,TNS,0.75,1.07,42.67,EST,0,EQUITY,2012-08-07
38,PKOH,Park-Ohio Holdings Corp.,2012-05-07T00:00:00.000Z,TNS,0.42,0.74,76.19,EST,0,EQUITY,2012-05-07
39,PKOH,Park-Ohio Holdings Corp.,2012-03-05T00:00:00.000Z,TNS,0.5,0.64,28.0,EST,0,EQUITY,2012-03-05
40,PKOH,Park-Ohio Holdings Corp.,2011-11-02T00:00:00.000Z,TNS,0.36,0.69,94.37,EST,0,EQUITY,2011-11-02
41,PKOH,Park-Ohio Holdings Corp.,2011-07-27T00:00:00.000Z,TNS,0.47,0.69,48.39,EST,0,EQUITY,2011-07-27
42,PKOH,Park-Ohio Holdings Corp.,2011-05-09T00:00:00.000Z,TNS,0.37,0.73,97.3,EST,0,EQUITY,2011-05-09
43,PKOH,Park-Ohio Holdings Corp.,2011-03-07T00:00:00.000Z,TNS,0.29,0.3,3.45,EST,0,EQUITY,2011-03-07
44,PKOH,Park-Ohio Holdings Corp.,2010-11-08T00:00:00.000Z,TNS,0.19,0.37,94.74,EST,0,EQUITY,2010-11-08
45,PKOH,Park-Ohio Holdings Corp.,2010-07-27T00:00:00.000Z,TNS,0.16,0.29,81.25,EST,0,EQUITY,2010-07-27
46,PKOH,Park-Ohio Holdings Corp.,2010-05-03T00:00:00.000Z,TNS,0.15,0.18,20.0,EST,0,EQUITY,2010-05-03
47,PKOH,Park-Ohio Holdings Corp.,2010-03-08T00:00:00.000Z,TNS,-0.02,0.38,2000.0,EST,0,EQUITY,2010-03-08
48,PKOH,Park-Ohio Holdings Corp.,2009-11-02T00:00:00.000Z,TNS,0.18,-0.29,-261.11,EST,0,EQUITY,2009-11-02
49,PKOH,Park-Ohio Holdings Corp.,2009-07-28T00:00:00.000Z,TNS,-0.11,0.29,363.64,EST,0,EQUITY,2009-07-28
50,PKOH,Park-Ohio Holdings Corp.,2009-05-08T00:00:00.000Z,TNS,0.1,-0.5,-600.0,EST,0,EQUITY,2009-05-08
51,PKOH,Park-Ohio Holdings Corp.,2009-03-10T00:00:00.000Z,TNS,0.26,0.16,-38.46,EST,0,EQUITY,2009-03-10
