,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,PUMP,ProPetro Holding Corp,2021-11-02T16:15:00.000Z,TAS,-0.02,-0.05,-150.0,EST,-18000000,EQUITY,2021-11-02
2,PUMP,ProPetro Holding Corp.,2021-08-03T00:00:00.000Z,TNS,-0.06,-0.08,-42.86,EST,0,EQUITY,2021-08-03
3,PUMP,ProPetro Holding Corp.,2021-05-04T00:00:00.000Z,TNS,-0.15,-0.2,-29.87,EST,0,EQUITY,2021-05-04
4,PUMP,ProPetro Holding Corp.,2021-02-23T00:00:00.000Z,TNS,-0.18,-0.44,-143.09,EST,0,EQUITY,2021-02-23
5,PUMP,ProPetro Holding Corp.,2020-11-02T00:00:00.000Z,TNS,-0.25,-0.29,-17.41,EST,0,EQUITY,2020-11-02
6,PUMP,ProPetro Holding Corp.,2020-08-04T00:00:00.000Z,TNS,-0.2,-0.19,5.47,EST,0,EQUITY,2020-08-04
7,PUMP,ProPetro Holding Corp.,2020-06-01T00:00:00.000Z,TNS,0.19,0.25,31.58,EST,0,EQUITY,2020-06-01
8,PUMP,ProPetro Holding Corp.,2020-03-31T00:00:00.000Z,TNS,0.32,0.22,-32.1,EST,0,EQUITY,2020-03-31
9,PUMP,ProPetro Holding Corp.,2019-11-13T00:00:00.000Z,TNS,0.51,0.33,-35.55,EST,0,EQUITY,2019-11-13
10,PUMP,ProPetro Holding Corp.,2019-08-08T00:00:00.000Z,TNS,0.68,0.43,-36.76,EST,0,EQUITY,2019-08-08
11,PUMP,ProPetro Holding Corp.,2019-05-07T00:00:00.000Z,TNS,0.63,0.69,9.7,EST,0,EQUITY,2019-05-07
12,PUMP,ProPetro Holding Corp.,2019-02-26T00:00:00.000Z,TNS,0.56,0.59,4.8,EST,0,EQUITY,2019-02-26
13,PUMP,ProPetro Holding Corp.,2018-11-06T00:00:00.000Z,TNS,0.54,0.53,-2.57,EST,0,EQUITY,2018-11-06
14,PUMP,ProPetro Holding Corp.,2018-08-07T00:00:00.000Z,TNS,0.54,0.45,-15.89,EST,0,EQUITY,2018-08-07
15,PUMP,ProPetro Holding Corp.,2018-05-08T00:00:00.000Z,TNS,0.38,0.42,10.53,EST,0,EQUITY,2018-05-08
16,PUMP,ProPetro Holding Corp.,2018-03-26T00:00:00.000Z,TNS,0.36,0.16,-55.92,EST,0,EQUITY,2018-03-26
17,PUMP,ProPetro Holding Corp.,2017-11-01T00:00:00.000Z,TNS,0.2,0.26,27.45,EST,0,EQUITY,2017-11-01
18,PUMP,ProPetro Holding Corp.,2017-08-08T00:00:00.000Z,TNS,0.03,0.06,114.29,EST,0,EQUITY,2017-08-08
19,PUMP,ProPetro Holding Corp.,2017-05-10T00:00:00.000Z,TNS,-0.05,-0.19,-295.83,EST,0,EQUITY,2017-05-10
