,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,PXD,Pioneer Natural Resources Co,2021-11-03T16:18:00.000Z,TAS,3.88,4.13,6.44,EST,-18000000,EQUITY,2021-11-03
4,PXD,Pioneer Natural Resources Company,2021-08-02T00:00:00.000Z,TNS,2.58,2.55,-1.12,EST,0,EQUITY,2021-08-02
5,PXD,Pioneer Natural Resources Company,2021-05-04T00:00:00.000Z,TNS,1.46,1.77,21.32,EST,0,EQUITY,2021-05-04
6,PXD,Pioneer Natural Resources Company,2021-02-23T00:00:00.000Z,TNS,0.7,1.07,53.96,EST,0,EQUITY,2021-02-23
7,PXD,Pioneer Natural Resources Company,2020-11-04T00:00:00.000Z,TNS,0.25,0.17,-32.81,EST,0,EQUITY,2020-11-04
8,PXD,Pioneer Natural Resources Company,2020-08-04T00:00:00.000Z,TNS,-0.35,-0.32,9.35,EST,0,EQUITY,2020-08-04
9,PXD,Pioneer Natural Resources Company,2020-05-06T00:00:00.000Z,TNS,1.11,1.15,3.32,EST,0,EQUITY,2020-05-06
10,PXD,Pioneer Natural Resources Company,2020-02-19T00:00:00.000Z,TNS,2.1,2.36,12.65,EST,0,EQUITY,2020-02-19
11,PXD,Pioneer Natural Resources Company,2019-11-04T00:00:00.000Z,TNS,1.99,1.99,0.05,EST,0,EQUITY,2019-11-04
12,PXD,Pioneer Natural Resources Company,2019-08-06T00:00:00.000Z,TNS,1.95,2.01,2.87,EST,0,EQUITY,2019-08-06
13,PXD,Pioneer Natural Resources Company,2019-05-06T00:00:00.000Z,TNS,1.61,1.83,13.88,EST,0,EQUITY,2019-05-06
14,PXD,Pioneer Natural Resources Company,2019-02-13T00:00:00.000Z,TNS,1.52,1.18,-22.11,EST,0,EQUITY,2019-02-13
15,PXD,Pioneer Natural Resources Company,2018-11-06T00:00:00.000Z,TNS,1.68,2.07,23.51,EST,0,EQUITY,2018-11-06
16,PXD,Pioneer Natural Resources Company,2018-08-07T00:00:00.000Z,TNS,1.49,1.41,-5.18,EST,0,EQUITY,2018-08-07
17,PXD,Pioneer Natural Resources Company,2018-05-02T00:00:00.000Z,TNS,1.49,1.66,11.56,EST,0,EQUITY,2018-05-02
18,PXD,Pioneer Natural Resources Company,2018-02-06T00:00:00.000Z,TNS,0.8,1.22,53.07,EST,0,EQUITY,2018-02-06
19,PXD,Pioneer Natural Resources Company,2017-11-01T00:00:00.000Z,TNS,0.3,0.48,57.89,EST,0,EQUITY,2017-11-01
20,PXD,Pioneer Natural Resources Company,2017-08-01T00:00:00.000Z,TNS,0.1,0.21,103.88,EST,0,EQUITY,2017-08-01
21,PXD,Pioneer Natural Resources Company,2017-05-03T00:00:00.000Z,TNS,0.16,0.25,58.23,EST,0,EQUITY,2017-05-03
22,PXD,Pioneer Natural Resources Company,2017-02-07T00:00:00.000Z,TNS,0.33,0.49,48.04,EST,0,EQUITY,2017-02-07
23,PXD,Pioneer Natural Resources Company,2016-11-01T00:00:00.000Z,TNS,0.16,0.13,-18.75,EST,0,EQUITY,2016-11-01
24,PXD,Pioneer Natural Resources Company,2016-07-27T00:00:00.000Z,TNS,-0.34,-0.22,35.67,EST,0,EQUITY,2016-07-27
25,PXD,Pioneer Natural Resources Company,2016-04-25T00:00:00.000Z,TNS,-0.77,-0.64,17.42,EST,0,EQUITY,2016-04-25
26,PXD,Pioneer Natural Resources Company,2016-02-10T00:00:00.000Z,TNS,-0.29,-0.18,38.36,EST,0,EQUITY,2016-02-10
27,PXD,Pioneer Natural Resources Company,2015-11-02T00:00:00.000Z,TNS,-0.04,-0.01,72.97,EST,0,EQUITY,2015-11-02
28,PXD,Pioneer Natural Resources Company,2015-08-04T00:00:00.000Z,TNS,0.05,0.1,88.68,EST,0,EQUITY,2015-08-04
29,PXD,Pioneer Natural Resources Company,2015-05-05T00:00:00.000Z,TNS,0.08,-0.03,-137.5,EST,0,EQUITY,2015-05-05
30,PXD,Pioneer Natural Resources Company,2015-02-10T00:00:00.000Z,TNS,0.92,0.8,-13.04,EST,0,EQUITY,2015-02-10
31,PXD,Pioneer Natural Resources Company,2014-11-04T00:00:00.000Z,TNS,1.26,1.35,7.23,EST,0,EQUITY,2014-11-04
