,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,RHI,Robert Half International Inc,2021-10-21T16:15:17.000Z,TAS,1.4,1.53,9.29,EST,-18000000,EQUITY,2021-10-21
2,RHI,Robert Half International Inc.,2021-07-22T00:00:00.000Z,TNS,1.05,1.33,26.67,EST,0,EQUITY,2021-07-22
3,RHI,Robert Half International Inc.,2021-04-21T00:00:00.000Z,TNS,0.79,0.98,24.37,EST,0,EQUITY,2021-04-21
4,RHI,Robert Half International Inc.,2021-01-28T00:00:00.000Z,TNS,0.68,0.84,22.99,EST,0,EQUITY,2021-01-28
5,RHI,Robert Half International Inc.,2020-10-22T00:00:00.000Z,TNS,0.58,0.67,14.92,EST,0,EQUITY,2020-10-22
6,RHI,Robert Half International Inc.,2020-07-23T00:00:00.000Z,TNS,0.37,0.41,11.11,EST,0,EQUITY,2020-07-23
7,RHI,Robert Half International Inc.,2020-04-23T00:00:00.000Z,TNS,0.77,0.79,2.73,EST,0,EQUITY,2020-04-23
8,RHI,Robert Half International Inc.,2020-01-30T00:00:00.000Z,TNS,0.98,0.98,0.0,EST,0,EQUITY,2020-01-30
9,RHI,Robert Half International Inc.,2019-10-23T00:00:00.000Z,TNS,1.0,1.01,1.0,EST,0,EQUITY,2019-10-23
10,RHI,Robert Half International Inc.,2019-07-23T00:00:00.000Z,TNS,0.98,0.98,0.0,EST,0,EQUITY,2019-07-23
11,RHI,Robert Half International Inc.,2019-04-23T00:00:00.000Z,TNS,0.95,0.93,-2.21,EST,0,EQUITY,2019-04-23
12,RHI,Robert Half International Inc.,2019-01-29T00:00:00.000Z,TNS,0.91,0.95,3.94,EST,0,EQUITY,2019-01-29
13,RHI,Robert Half International Inc.,2018-10-23T00:00:00.000Z,TNS,0.91,0.95,3.94,EST,0,EQUITY,2018-10-23
14,RHI,Robert Half International Inc.,2018-07-24T00:00:00.000Z,TNS,0.85,0.89,4.22,EST,0,EQUITY,2018-07-24
15,RHI,Robert Half International Inc.,2018-04-24T00:00:00.000Z,TNS,0.74,0.8,8.4,EST,0,EQUITY,2018-04-24
16,RHI,Robert Half International Inc.,2018-01-30T00:00:00.000Z,TNS,0.51,0.65,28.46,EST,0,EQUITY,2018-01-30
17,RHI,Robert Half International Inc.,2017-10-24T00:00:00.000Z,TNS,0.7,0.68,-2.3,EST,0,EQUITY,2017-10-24
18,RHI,Robert Half International Inc.,2017-07-25T00:00:00.000Z,TNS,0.66,0.64,-2.74,EST,0,EQUITY,2017-07-25
19,RHI,Robert Half International Inc.,2017-04-20T00:00:00.000Z,TNS,0.58,0.62,6.16,EST,0,EQUITY,2017-04-20
20,RHI,Robert Half International Inc.,2017-01-26T00:00:00.000Z,TNS,0.64,0.61,-4.84,EST,0,EQUITY,2017-01-26
21,RHI,Robert Half International Inc.,2016-10-26T00:00:00.000Z,TNS,0.71,0.71,0.14,EST,0,EQUITY,2016-10-26
22,RHI,Robert Half International Inc.,2016-07-26T00:00:00.000Z,TNS,0.73,0.71,-3.14,EST,0,EQUITY,2016-07-26
23,RHI,Robert Half International Inc.,2016-04-26T00:00:00.000Z,TNS,0.64,0.64,-0.47,EST,0,EQUITY,2016-04-26
24,RHI,Robert Half International Inc.,2016-02-02T00:00:00.000Z,TNS,0.7,0.71,1.28,EST,0,EQUITY,2016-02-02
25,RHI,Robert Half International Inc.,2015-10-21T00:00:00.000Z,TNS,0.73,0.73,-0.14,EST,0,EQUITY,2015-10-21
26,RHI,Robert Half International Inc.,2015-07-23T00:00:00.000Z,TNS,0.66,0.67,1.36,EST,0,EQUITY,2015-07-23
27,RHI,Robert Half International Inc.,2015-04-23T00:00:00.000Z,TNS,0.56,0.58,3.02,EST,0,EQUITY,2015-04-23
28,RHI,Robert Half International Inc.,2015-01-29T00:00:00.000Z,TNS,0.61,0.62,2.31,EST,0,EQUITY,2015-01-29
29,RHI,Robert Half International Inc.,2014-10-21T00:00:00.000Z,TNS,0.58,0.63,8.25,EST,0,EQUITY,2014-10-21
30,RHI,Robert Half International Inc.,2014-07-22T00:00:00.000Z,TNS,0.52,0.55,5.54,EST,0,EQUITY,2014-07-22
31,RHI,Robert Half International Inc.,2014-04-23T00:00:00.000Z,TNS,0.44,0.45,3.13,EST,0,EQUITY,2014-04-23
32,RHI,Robert Half International Inc.,2014-01-30T00:00:00.000Z,TNS,0.48,0.49,1.73,EST,0,EQUITY,2014-01-30
33,RHI,Robert Half International Inc.,2013-10-22T00:00:00.000Z,TNS,0.48,0.48,0.19,EST,0,EQUITY,2013-10-22
34,RHI,Robert Half International Inc.,2013-07-23T00:00:00.000Z,TNS,0.43,0.46,6.11,EST,0,EQUITY,2013-07-23
35,RHI,Robert Half International Inc.,2013-04-23T00:00:00.000Z,TNS,0.41,0.4,-2.65,EST,0,EQUITY,2013-04-23
36,RHI,Robert Half International Inc.,2013-01-29T00:00:00.000Z,TNS,0.41,0.42,2.78,EST,0,EQUITY,2013-01-29
37,RHI,Robert Half International Inc.,2012-10-18T00:00:00.000Z,TNS,0.38,0.41,6.53,EST,0,EQUITY,2012-10-18
38,RHI,Robert Half International Inc.,2012-07-24T00:00:00.000Z,TNS,0.35,0.38,8.53,EST,0,EQUITY,2012-07-24
39,RHI,Robert Half International Inc.,2012-04-24T00:00:00.000Z,TNS,0.28,0.34,22.28,EST,0,EQUITY,2012-04-24
40,RHI,Robert Half International Inc.,2012-01-26T00:00:00.000Z,TNS,0.31,0.3,-3.82,EST,0,EQUITY,2012-01-26
41,RHI,Robert Half International Inc.,2011-10-25T00:00:00.000Z,TNS,0.28,0.31,12.34,EST,0,EQUITY,2011-10-25
42,RHI,Robert Half International Inc.,2011-07-20T00:00:00.000Z,TNS,0.22,0.25,13.9,EST,0,EQUITY,2011-07-20
43,RHI,Robert Half International Inc.,2011-04-21T00:00:00.000Z,TNS,0.17,0.18,7.1,EST,0,EQUITY,2011-04-21
44,RHI,Robert Half International Inc.,2011-01-26T00:00:00.000Z,TNS,0.16,0.17,7.28,EST,0,EQUITY,2011-01-26
45,RHI,Robert Half International Inc.,2010-10-20T00:00:00.000Z,TNS,0.13,0.14,11.46,EST,0,EQUITY,2010-10-20
46,RHI,Robert Half International Inc.,2010-07-21T00:00:00.000Z,TNS,0.07,0.08,11.11,EST,0,EQUITY,2010-07-21
47,RHI,Robert Half International Inc.,2010-04-27T00:00:00.000Z,TNS,0.06,0.05,-18.37,EST,0,EQUITY,2010-04-27
48,RHI,Robert Half International Inc.,2010-01-28T00:00:00.000Z,TNS,0.05,0.09,65.5,EST,0,EQUITY,2010-01-28
49,RHI,Robert Half International Inc.,2009-10-21T00:00:00.000Z,TNS,0.04,0.06,62.69,EST,0,EQUITY,2009-10-21
50,RHI,Robert Half International Inc.,2009-07-21T00:00:00.000Z,TNS,0.03,0.03,-8.17,EST,0,EQUITY,2009-07-21
51,RHI,Robert Half International Inc.,2009-04-22T00:00:00.000Z,TNS,0.06,0.06,-5.62,EST,0,EQUITY,2009-04-22
52,RHI,Robert Half International Inc.,2009-01-28T00:00:00.000Z,TNS,0.25,0.26,3.41,EST,0,EQUITY,2009-01-28
53,RHI,Robert Half International Inc.,2008-10-22T00:00:00.000Z,TNS,0.43,0.43,-0.14,EST,0,EQUITY,2008-10-22
54,RHI,Robert Half International Inc.,2008-07-23T00:00:00.000Z,TNS,0.42,0.48,13.49,EST,0,EQUITY,2008-07-23
55,RHI,Robert Half International Inc.,2008-04-22T00:00:00.000Z,TNS,0.46,0.45,-2.42,EST,0,EQUITY,2008-04-22
56,RHI,Robert Half International Inc.,2008-01-29T00:00:00.000Z,TNS,0.47,0.5,7.05,EST,0,EQUITY,2008-01-29
57,RHI,Robert Half International Inc.,2007-10-18T00:00:00.000Z,TNS,0.46,0.46,-0.64,EST,0,EQUITY,2007-10-18
58,RHI,Robert Half International Inc.,2007-07-24T00:00:00.000Z,TNS,0.43,0.44,2.89,EST,0,EQUITY,2007-07-24
59,RHI,Robert Half International Inc.,2007-04-19T00:00:00.000Z,TNS,0.46,0.42,-8.34,EST,0,EQUITY,2007-04-19
60,RHI,Robert Half International Inc.,2007-01-25T00:00:00.000Z,TNS,0.44,0.45,2.4,EST,0,EQUITY,2007-01-25
61,RHI,Robert Half International Inc.,2006-10-19T00:00:00.000Z,TNS,0.41,0.43,4.88,EST,0,EQUITY,2006-10-19
62,RHI,Robert Half International Inc.,2006-07-25T00:00:00.000Z,TNS,0.39,0.39,0.14,EST,0,EQUITY,2006-07-25
63,RHI,Robert Half International Inc.,2006-04-20T00:00:00.000Z,TNS,0.36,0.38,6.54,EST,0,EQUITY,2006-04-20
64,RHI,Robert Half International Inc.,2006-01-26T00:00:00.000Z,TNS,0.37,0.37,0.32,EST,0,EQUITY,2006-01-26
65,RHI,Robert Half International Inc.,2005-10-20T00:00:00.000Z,TNS,0.34,0.37,9.43,EST,0,EQUITY,2005-10-20
66,RHI,Robert Half International Inc.,2005-07-21T00:00:00.000Z,TNS,0.29,0.33,13.06,EST,0,EQUITY,2005-07-21
67,RHI,Robert Half International Inc.,2005-04-21T00:00:00.000Z,TNS,0.29,0.29,0.58,EST,0,EQUITY,2005-04-21
68,RHI,Robert Half International Inc.,2005-01-27T00:00:00.000Z,TNS,0.26,0.28,8.74,EST,0,EQUITY,2005-01-27
69,RHI,Robert Half International Inc.,2004-10-21T00:00:00.000Z,TNS,0.21,0.24,13.09,EST,0,EQUITY,2004-10-21
70,RHI,Robert Half International Inc.,2004-07-22T00:00:00.000Z,TNS,0.11,0.18,61.54,EST,0,EQUITY,2004-07-22
71,RHI,Robert Half International Inc.,2004-04-22T00:00:00.000Z,TNS,0.06,0.09,55.17,EST,0,EQUITY,2004-04-22
72,RHI,Robert Half International Inc.,2004-01-27T00:00:00.000Z,TNS,0.03,0.03,-1.57,EST,0,EQUITY,2004-01-27
73,RHI,Robert Half International Inc.,2003-10-16T00:00:00.000Z,TNS,0.02,0.03,89.99,EST,0,EQUITY,2003-10-16
74,RHI,Robert Half International Inc.,2003-07-17T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,2003-07-17
75,RHI,Robert Half International Inc.,2003-04-15T00:00:00.000Z,TNS,-0.02,-0.02,13.53,EST,0,EQUITY,2003-04-15
76,RHI,Robert Half International Inc.,2003-01-23T00:00:00.000Z,TNS,-0.01,0.02,357.07,EST,0,EQUITY,2003-01-23
77,RHI,Robert Half International Inc.,2002-10-16T00:00:00.000Z,TNS,-0.01,-0.02,-111.19,EST,0,EQUITY,2002-10-16
78,RHI,Robert Half International Inc.,2002-07-18T00:00:00.000Z,TNS,0.02,0.02,3.04,EST,0,EQUITY,2002-07-18
79,RHI,Robert Half International Inc.,2002-04-16T00:00:00.000Z,TNS,0.05,0.05,-7.41,EST,0,EQUITY,2002-04-16
80,RHI,Robert Half International Inc.,2002-01-22T00:00:00.000Z,TNS,0.09,0.07,-19.67,EST,0,EQUITY,2002-01-22
81,RHI,Robert Half International Inc.,2001-10-16T00:00:00.000Z,TNS,0.13,0.13,3.41,EST,0,EQUITY,2001-10-16
82,RHI,Robert Half International Inc.,2001-07-18T00:00:00.000Z,TNS,0.2,0.21,3.38,EST,0,EQUITY,2001-07-18
83,RHI,Robert Half International Inc.,2001-04-17T00:00:00.000Z,TNS,0.25,0.26,3.31,EST,0,EQUITY,2001-04-17
84,RHI,Robert Half International Inc.,2001-01-23T00:00:00.000Z,TNS,0.26,0.26,1.84,EST,0,EQUITY,2001-01-23
85,RHI,Robert Half International Inc.,2000-10-17T00:00:00.000Z,TNS,0.25,0.26,4.74,EST,0,EQUITY,2000-10-17
86,RHI,Robert Half International Inc.,2000-07-20T00:00:00.000Z,TNS,0.23,0.25,11.11,EST,0,EQUITY,2000-07-20
87,RHI,Robert Half International Inc.,2000-04-18T00:00:00.000Z,TNS,0.21,0.24,13.84,EST,0,EQUITY,2000-04-18
88,RHI,Robert Half International Inc.,2000-01-25T00:00:00.000Z,TNS,0.19,0.21,8.07,EST,0,EQUITY,2000-01-25
89,RHI,Robert Half International Inc.,1999-10-19T00:00:00.000Z,TNS,0.19,0.19,2.52,EST,0,EQUITY,1999-10-19
90,RHI,Robert Half International Inc.,1999-07-20T00:00:00.000Z,TNS,0.18,0.19,0.72,EST,0,EQUITY,1999-07-20
91,RHI,Robert Half International Inc.,1999-04-20T00:00:00.000Z,TNS,0.19,0.19,0.0,EST,0,EQUITY,1999-04-20
92,RHI,Robert Half International Inc.,1999-01-25T00:00:00.000Z,TNS,0.19,0.19,1.06,EST,0,EQUITY,1999-01-25
93,RHI,Robert Half International Inc.,1998-10-19T00:00:00.000Z,TNS,0.18,0.19,5.29,EST,0,EQUITY,1998-10-19
94,RHI,Robert Half International Inc.,1998-07-20T00:00:00.000Z,TNS,0.16,0.17,8.97,EST,0,EQUITY,1998-07-20
95,RHI,Robert Half International Inc.,1998-04-20T00:00:00.000Z,TNS,0.14,0.16,9.59,EST,0,EQUITY,1998-04-20
96,RHI,Robert Half International Inc.,1998-01-26T00:00:00.000Z,TNS,0.13,0.14,9.67,EST,0,EQUITY,1998-01-26
97,RHI,Robert Half International Inc.,1997-10-20T00:00:00.000Z,TNS,0.12,0.13,10.84,EST,0,EQUITY,1997-10-20
98,RHI,Robert Half International Inc.,1997-07-21T00:00:00.000Z,TNS,0.1,0.12,12.0,EST,0,EQUITY,1997-07-21
99,RHI,Robert Half International Inc.,1997-04-21T00:00:00.000Z,TNS,0.1,0.11,9.6,EST,0,EQUITY,1997-04-21
