,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,RL,Ralph Lauren Corp,2021-11-02T08:01:00.000Z,TAS,1.99,2.62,31.66,EST,-18000000,EQUITY,2021-11-02
2,RL,Ralph Lauren Corporation,2021-08-03T00:00:00.000Z,TNS,0.88,2.29,160.23,EST,0,EQUITY,2021-08-03
3,RL,Ralph Lauren Corporation,2021-05-20T00:00:00.000Z,TNS,-0.73,0.38,152.2,EST,0,EQUITY,2021-05-20
4,RL,Ralph Lauren Corporation,2021-02-04T00:00:00.000Z,TNS,1.63,1.67,2.2,EST,0,EQUITY,2021-02-04
5,RL,Ralph Lauren Corporation,2020-10-29T00:00:00.000Z,TNS,0.9,1.44,60.36,EST,0,EQUITY,2020-10-29
6,RL,Ralph Lauren Corporation,2020-08-04T00:00:00.000Z,TNS,-1.72,-1.82,-6.06,EST,0,EQUITY,2020-08-04
7,RL,Ralph Lauren Corporation,2020-05-27T00:00:00.000Z,TNS,-0.4,-0.68,-69.15,EST,0,EQUITY,2020-05-27
8,RL,Ralph Lauren Corporation,2020-02-04T00:00:00.000Z,TNS,2.45,2.86,16.59,EST,0,EQUITY,2020-02-04
9,RL,Ralph Lauren Corporation,2019-11-07T00:00:00.000Z,TNS,2.39,2.55,6.83,EST,0,EQUITY,2019-11-07
10,RL,Ralph Lauren Corporation,2019-07-30T00:00:00.000Z,TNS,1.66,1.77,6.43,EST,0,EQUITY,2019-07-30
11,RL,Ralph Lauren Corporation,2019-05-14T00:00:00.000Z,TNS,0.9,1.07,19.42,EST,0,EQUITY,2019-05-14
12,RL,Ralph Lauren Corporation,2019-02-05T00:00:00.000Z,TNS,2.15,2.32,8.11,EST,0,EQUITY,2019-02-05
13,RL,Ralph Lauren Corporation,2018-11-06T00:00:00.000Z,TNS,2.16,2.26,4.82,EST,0,EQUITY,2018-11-06
14,RL,Ralph Lauren Corporation,2018-07-31T00:00:00.000Z,TNS,1.36,1.54,12.9,EST,0,EQUITY,2018-07-31
15,RL,Ralph Lauren Corporation,2018-05-23T00:00:00.000Z,TNS,0.83,0.9,7.91,EST,0,EQUITY,2018-05-23
16,RL,Ralph Lauren Corporation,2018-02-01T00:00:00.000Z,TNS,1.87,2.03,8.67,EST,0,EQUITY,2018-02-01
17,RL,Ralph Lauren Corporation,2017-11-02T00:00:00.000Z,TNS,1.89,1.99,5.51,EST,0,EQUITY,2017-11-02
18,RL,Ralph Lauren Corporation,2017-08-08T00:00:00.000Z,TNS,0.94,1.11,17.58,EST,0,EQUITY,2017-08-08
19,RL,Ralph Lauren Corporation,2017-05-18T00:00:00.000Z,TNS,0.78,0.89,14.54,EST,0,EQUITY,2017-05-18
20,RL,Ralph Lauren Corporation,2017-02-02T00:00:00.000Z,TNS,1.64,1.86,13.69,EST,0,EQUITY,2017-02-02
21,RL,Ralph Lauren Corporation,2016-11-10T00:00:00.000Z,TNS,1.71,1.9,11.11,EST,0,EQUITY,2016-11-10
22,RL,Ralph Lauren Corporation,2016-08-10T00:00:00.000Z,TNS,0.89,1.06,19.37,EST,0,EQUITY,2016-08-10
23,RL,Ralph Lauren Corporation,2016-05-12T00:00:00.000Z,TNS,0.83,0.88,5.64,EST,0,EQUITY,2016-05-12
24,RL,Ralph Lauren Corporation,2016-02-04T00:00:00.000Z,TNS,2.13,2.27,6.72,EST,0,EQUITY,2016-02-04
25,RL,Ralph Lauren Corporation,2015-11-05T00:00:00.000Z,TNS,1.74,2.13,22.77,EST,0,EQUITY,2015-11-05
26,RL,Ralph Lauren Corporation,2015-08-05T00:00:00.000Z,TNS,0.99,1.09,10.32,EST,0,EQUITY,2015-08-05
27,RL,Ralph Lauren Corporation,2015-05-13T00:00:00.000Z,TNS,1.32,1.41,7.06,EST,0,EQUITY,2015-05-13
28,RL,Ralph Lauren Corporation,2015-02-04T00:00:00.000Z,TNS,2.5,2.41,-3.64,EST,0,EQUITY,2015-02-04
29,RL,Ralph Lauren Corporation,2014-10-29T00:00:00.000Z,TNS,2.05,2.25,9.65,EST,0,EQUITY,2014-10-29
