,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,RPD,"Rapid7, Inc.",2021-11-03T00:00:00.000Z,TNS,-0.07,0.06,189.55,EST,0,EQUITY,2021-11-03
4,RPD,"Rapid7, Inc.",2021-08-04T00:00:00.000Z,TNS,0.03,0.07,169.23,EST,0,EQUITY,2021-08-04
5,RPD,"Rapid7, Inc.",2021-05-06T00:00:00.000Z,TNS,-0.06,-0.03,51.61,EST,0,EQUITY,2021-05-06
6,RPD,"Rapid7, Inc.",2021-02-09T00:00:00.000Z,TNS,-0.08,-0.07,9.09,EST,0,EQUITY,2021-02-09
7,RPD,"Rapid7, Inc.",2020-11-04T00:00:00.000Z,TNS,-0.04,0.0,100.0,EST,0,EQUITY,2020-11-04
8,RPD,"Rapid7, Inc.",2020-08-06T00:00:00.000Z,TNS,-0.01,0.05,655.56,EST,0,EQUITY,2020-08-06
9,RPD,"Rapid7, Inc.",2020-05-07T00:00:00.000Z,TNS,-0.1,-0.09,6.25,EST,0,EQUITY,2020-05-07
10,RPD,"Rapid7, Inc.",2020-02-10T00:00:00.000Z,TNS,-0.01,0.03,433.33,EST,0,EQUITY,2020-02-10
11,RPD,"Rapid7, Inc.",2019-11-05T00:00:00.000Z,TNS,-0.02,0.01,141.67,EST,0,EQUITY,2019-11-05
12,RPD,"Rapid7, Inc.",2019-08-01T00:00:00.000Z,TNS,-0.07,0.02,128.99,EST,0,EQUITY,2019-08-01
13,RPD,"Rapid7, Inc.",2019-05-02T00:00:00.000Z,TNS,-0.08,0.02,124.1,EST,0,EQUITY,2019-05-02
14,RPD,"Rapid7, Inc.",2019-02-07T00:00:00.000Z,TNS,-0.09,-0.05,44.44,EST,0,EQUITY,2019-02-07
15,RPD,"Rapid7, Inc.",2018-11-06T00:00:00.000Z,TNS,-0.13,-0.04,69.92,EST,0,EQUITY,2018-11-06
16,RPD,"Rapid7, Inc.",2018-08-06T00:00:00.000Z,TNS,-0.18,-0.13,29.73,EST,0,EQUITY,2018-08-06
17,RPD,"Rapid7, Inc.",2018-05-08T00:00:00.000Z,TNS,-0.2,-0.19,5.47,EST,0,EQUITY,2018-05-08
18,RPD,"Rapid7, Inc.",2018-02-12T00:00:00.000Z,TNS,-0.17,-0.17,2.86,EST,0,EQUITY,2018-02-12
19,RPD,"Rapid7, Inc.",2017-11-07T00:00:00.000Z,TNS,-0.17,-0.15,10.71,EST,0,EQUITY,2017-11-07
20,RPD,"Rapid7, Inc.",2017-08-07T00:00:00.000Z,TNS,-0.19,-0.14,24.73,EST,0,EQUITY,2017-08-07
21,RPD,"Rapid7, Inc.",2017-05-09T00:00:00.000Z,TNS,-0.24,-0.14,42.15,EST,0,EQUITY,2017-05-09
22,RPD,"Rapid7, Inc.",2017-02-09T00:00:00.000Z,TNS,-0.27,-0.13,51.13,EST,0,EQUITY,2017-02-09
23,RPD,"Rapid7, Inc.",2016-11-09T00:00:00.000Z,TNS,-0.2,-0.13,35.64,EST,0,EQUITY,2016-11-09
24,RPD,"Rapid7, Inc.",2016-08-08T00:00:00.000Z,TNS,-0.24,-0.22,7.95,EST,0,EQUITY,2016-08-08
25,RPD,"Rapid7, Inc.",2016-05-11T00:00:00.000Z,TNS,-0.24,-0.23,3.36,EST,0,EQUITY,2016-05-11
26,RPD,"Rapid7, Inc.",2016-02-10T00:00:00.000Z,TNS,-0.36,-0.31,14.36,EST,0,EQUITY,2016-02-10
27,RPD,"Rapid7, Inc.",2015-11-12T00:00:00.000Z,TNS,-0.35,-0.27,23.94,EST,0,EQUITY,2015-11-12
28,RPD,"Rapid7, Inc.",2015-08-18T00:00:00.000Z,TNS,-0.84,-0.61,27.55,EST,0,EQUITY,2015-08-18
