,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,RYI,Ryerson Holding Corporation,2021-11-03T00:00:00.000Z,TNS,1.75,3.25,85.71,EST,0,EQUITY,2021-11-03
1,RYI,Ryerson Holding Corporation,2021-08-04T00:00:00.000Z,TNS,0.71,1.24,75.89,EST,0,EQUITY,2021-08-04
2,RYI,Ryerson Holding Corporation,2021-05-05T00:00:00.000Z,TNS,0.45,0.26,-42.22,EST,0,EQUITY,2021-05-05
3,RYI,Ryerson Holding Corporation,2021-02-24T00:00:00.000Z,TNS,0.37,-0.17,-146.32,EST,0,EQUITY,2021-02-24
4,RYI,Ryerson Holding Corporation,2020-10-28T00:00:00.000Z,TNS,-0.14,0.31,313.79,EST,0,EQUITY,2020-10-28
5,RYI,Ryerson Holding Corporation,2020-07-29T00:00:00.000Z,TNS,-0.26,-0.64,-143.35,EST,0,EQUITY,2020-07-29
6,RYI,Ryerson Holding Corporation,2020-05-06T00:00:00.000Z,TNS,0.35,0.41,18.84,EST,0,EQUITY,2020-05-06
7,RYI,Ryerson Holding Corporation,2020-03-04T00:00:00.000Z,TNS,0.1,0.3,212.5,EST,0,EQUITY,2020-03-04
8,RYI,Ryerson Holding Corporation,2019-10-29T00:00:00.000Z,TNS,0.63,0.24,-62.03,EST,0,EQUITY,2019-10-29
9,RYI,Ryerson Holding Corporation,2019-08-05T00:00:00.000Z,TNS,0.81,0.45,-44.17,EST,0,EQUITY,2019-08-05
10,RYI,Ryerson Holding Corporation,2019-05-01T00:00:00.000Z,TNS,0.57,0.79,38.6,EST,0,EQUITY,2019-05-01
11,RYI,Ryerson Holding Corporation,2019-03-05T00:00:00.000Z,TNS,0.34,0.16,-52.66,EST,0,EQUITY,2019-03-05
12,RYI,Ryerson Holding Corporation,2018-11-01T00:00:00.000Z,TNS,0.26,0.17,-33.33,EST,0,EQUITY,2018-11-01
13,RYI,Ryerson Holding Corporation,2018-08-01T00:00:00.000Z,TNS,0.34,0.46,35.29,EST,0,EQUITY,2018-08-01
14,RYI,Ryerson Holding Corporation,2018-05-02T00:00:00.000Z,TNS,0.24,0.28,15.7,EST,0,EQUITY,2018-05-02
15,RYI,Ryerson Holding Corporation,2018-03-05T00:00:00.000Z,TNS,0.03,-0.09,-364.71,EST,0,EQUITY,2018-03-05
16,RYI,Ryerson Holding Corporation,2017-11-07T00:00:00.000Z,TNS,0.05,0.05,0.0,EST,0,EQUITY,2017-11-07
17,RYI,Ryerson Holding Corporation,2017-08-03T00:00:00.000Z,TNS,0.06,0.02,-65.52,EST,0,EQUITY,2017-08-03
18,RYI,Ryerson Holding Corporation,2017-05-03T00:00:00.000Z,TNS,0.34,0.4,19.4,EST,0,EQUITY,2017-05-03
19,RYI,Ryerson Holding Corporation,2017-03-13T00:00:00.000Z,TNS,-0.1,-0.19,-95.88,EST,0,EQUITY,2017-03-13
20,RYI,Ryerson Holding Corporation,2016-11-02T00:00:00.000Z,TNS,0.34,0.28,-17.16,EST,0,EQUITY,2016-11-02
21,RYI,Ryerson Holding Corporation,2016-08-09T00:00:00.000Z,TNS,0.47,0.52,9.94,EST,0,EQUITY,2016-08-09
22,RYI,Ryerson Holding Corporation,2016-05-05T00:00:00.000Z,TNS,0.03,0.26,664.71,EST,0,EQUITY,2016-05-05
23,RYI,Ryerson Holding Corporation,2016-03-09T00:00:00.000Z,TNS,-0.25,-0.51,-102.38,EST,0,EQUITY,2016-03-09
24,RYI,Ryerson Holding Corporation,2015-11-12T00:00:00.000Z,TNS,0.2,0.22,9.45,EST,0,EQUITY,2015-11-12
25,RYI,Ryerson Holding Corporation,2015-08-12T00:00:00.000Z,TNS,0.18,0.53,199.44,EST,0,EQUITY,2015-08-12
26,RYI,Ryerson Holding Corporation,2015-05-07T00:00:00.000Z,TNS,0.04,0.15,275.0,EST,0,EQUITY,2015-05-07
27,RYI,Ryerson Holding Corporation,2015-03-16T00:00:00.000Z,TNS,0.22,0.13,-39.81,EST,0,EQUITY,2015-03-16
28,RYI,Ryerson Holding Corporation,2014-11-12T00:00:00.000Z,TNS,0.36,0.05,-86.07,EST,0,EQUITY,2014-11-12
