,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,SEIC,SEI Investments Co,2021-10-20T16:01:04.000Z,TAS,0.95,0.97,2.11,EST,-18000000,EQUITY,2021-10-20
2,SEIC,SEI Investments Company,2021-07-21T00:00:00.000Z,TNS,0.92,0.93,1.09,EST,0,EQUITY,2021-07-21
3,SEIC,SEI Investments Company,2021-04-21T00:00:00.000Z,TNS,0.88,0.89,0.79,EST,0,EQUITY,2021-04-21
4,SEIC,SEI Investments Company,2021-01-27T00:00:00.000Z,TNS,0.8,0.86,8.04,EST,0,EQUITY,2021-01-27
5,SEIC,SEI Investments Company,2020-10-21T00:00:00.000Z,TNS,0.8,0.75,-6.25,EST,0,EQUITY,2020-10-21
6,SEIC,SEI Investments Company,2020-07-22T00:00:00.000Z,TNS,0.68,0.68,0.0,EST,0,EQUITY,2020-07-22
7,SEIC,SEI Investments Company,2020-04-23T00:00:00.000Z,TNS,0.77,0.72,-6.13,EST,0,EQUITY,2020-04-23
8,SEIC,SEI Investments Company,2020-01-29T00:00:00.000Z,TNS,0.85,0.84,-1.18,EST,0,EQUITY,2020-01-29
9,SEIC,SEI Investments Company,2019-10-23T00:00:00.000Z,TNS,0.83,0.86,3.12,EST,0,EQUITY,2019-10-23
10,SEIC,SEI Investments Company,2019-07-24T00:00:00.000Z,TNS,0.79,0.82,4.06,EST,0,EQUITY,2019-07-24
11,SEIC,SEI Investments Company,2019-04-24T00:00:00.000Z,TNS,0.76,0.73,-3.44,EST,0,EQUITY,2019-04-24
12,SEIC,SEI Investments Company,2019-01-30T00:00:00.000Z,TNS,0.74,0.73,-1.48,EST,0,EQUITY,2019-01-30
13,SEIC,SEI Investments Company,2018-10-23T00:00:00.000Z,TNS,0.76,0.8,4.85,EST,0,EQUITY,2018-10-23
14,SEIC,SEI Investments Company,2018-07-19T00:00:00.000Z,TNS,0.76,0.75,-0.66,EST,0,EQUITY,2018-07-19
15,SEIC,SEI Investments Company,2018-04-25T00:00:00.000Z,TNS,0.76,0.86,13.31,EST,0,EQUITY,2018-04-25
16,SEIC,SEI Investments Company,2018-01-31T00:00:00.000Z,TNS,0.6,0.67,11.85,EST,0,EQUITY,2018-01-31
17,SEIC,SEI Investments Company,2017-10-25T00:00:00.000Z,TNS,0.57,0.63,9.76,EST,0,EQUITY,2017-10-25
18,SEIC,SEI Investments Company,2017-07-26T00:00:00.000Z,TNS,0.55,0.57,3.26,EST,0,EQUITY,2017-07-26
19,SEIC,SEI Investments Company,2017-04-19T00:00:00.000Z,TNS,0.52,0.55,5.36,EST,0,EQUITY,2017-04-19
20,SEIC,SEI Investments Company,2017-01-25T00:00:00.000Z,TNS,0.51,0.55,7.84,EST,0,EQUITY,2017-01-25
21,SEIC,SEI Investments Company,2016-10-20T00:00:00.000Z,TNS,0.49,0.53,7.72,EST,0,EQUITY,2016-10-20
22,SEIC,SEI Investments Company,2016-07-27T00:00:00.000Z,TNS,0.5,0.49,-2.39,EST,0,EQUITY,2016-07-27
23,SEIC,SEI Investments Company,2016-04-20T00:00:00.000Z,TNS,0.44,0.46,4.07,EST,0,EQUITY,2016-04-20
24,SEIC,SEI Investments Company,2016-01-27T00:00:00.000Z,TNS,0.48,0.48,-0.83,EST,0,EQUITY,2016-01-27
25,SEIC,SEI Investments Company,2015-10-21T00:00:00.000Z,TNS,0.5,0.47,-6.75,EST,0,EQUITY,2015-10-21
26,SEIC,SEI Investments Company,2015-07-22T00:00:00.000Z,TNS,0.51,0.51,-0.39,EST,0,EQUITY,2015-07-22
27,SEIC,SEI Investments Company,2015-04-22T00:00:00.000Z,TNS,0.49,0.5,2.04,EST,0,EQUITY,2015-04-22
28,SEIC,SEI Investments Company,2015-01-28T00:00:00.000Z,TNS,0.48,0.45,-5.86,EST,0,EQUITY,2015-01-28
29,SEIC,SEI Investments Company,2014-10-22T00:00:00.000Z,TNS,0.47,0.49,5.38,EST,0,EQUITY,2014-10-22
30,SEIC,SEI Investments Company,2014-07-23T00:00:00.000Z,TNS,0.42,0.48,13.39,EST,0,EQUITY,2014-07-23
31,SEIC,SEI Investments Company,2014-04-23T00:00:00.000Z,TNS,0.4,0.41,1.86,EST,0,EQUITY,2014-04-23
32,SEIC,SEI Investments Company,2014-01-29T00:00:00.000Z,TNS,0.36,0.37,2.07,EST,0,EQUITY,2014-01-29
33,SEIC,SEI Investments Company,2013-10-24T00:00:00.000Z,TNS,0.34,0.38,11.76,EST,0,EQUITY,2013-10-24
34,SEIC,SEI Investments Company,2013-07-18T00:00:00.000Z,TNS,0.34,0.31,-9.71,EST,0,EQUITY,2013-07-18
35,SEIC,SEI Investments Company,2013-04-24T00:00:00.000Z,TNS,0.33,0.33,-1.0,EST,0,EQUITY,2013-04-24
36,SEIC,SEI Investments Company,2013-01-30T00:00:00.000Z,TNS,0.32,0.32,-0.62,EST,0,EQUITY,2013-01-30
37,SEIC,SEI Investments Company,2012-10-24T00:00:00.000Z,TNS,0.3,0.29,-3.33,EST,0,EQUITY,2012-10-24
38,SEIC,SEI Investments Company,2012-07-18T00:00:00.000Z,TNS,0.3,0.28,-6.14,EST,0,EQUITY,2012-07-18
39,SEIC,SEI Investments Company,2012-05-02T00:00:00.000Z,TNS,0.28,0.26,-8.77,EST,0,EQUITY,2012-05-02
40,SEIC,SEI Investments Company,2012-01-25T00:00:00.000Z,TNS,0.28,0.25,-11.76,EST,0,EQUITY,2012-01-25
41,SEIC,SEI Investments Company,2011-10-19T00:00:00.000Z,TNS,0.28,0.28,-1.75,EST,0,EQUITY,2011-10-19
42,SEIC,SEI Investments Company,2011-07-21T00:00:00.000Z,TNS,0.31,0.3,-2.6,EST,0,EQUITY,2011-07-21
43,SEIC,SEI Investments Company,2011-04-27T00:00:00.000Z,TNS,0.3,0.29,-4.61,EST,0,EQUITY,2011-04-27
44,SEIC,SEI Investments Company,2011-01-26T00:00:00.000Z,TNS,0.3,0.27,-9.4,EST,0,EQUITY,2011-01-26
45,SEIC,SEI Investments Company,2010-10-20T00:00:00.000Z,TNS,0.26,0.27,3.85,EST,0,EQUITY,2010-10-20
46,SEIC,SEI Investments Company,2010-07-21T00:00:00.000Z,TNS,0.27,0.27,0.0,EST,0,EQUITY,2010-07-21
47,SEIC,SEI Investments Company,2010-04-28T00:00:00.000Z,TNS,0.27,0.26,-3.7,EST,0,EQUITY,2010-04-28
48,SEIC,SEI Investments Company,2010-01-27T00:00:00.000Z,TNS,0.27,0.27,0.75,EST,0,EQUITY,2010-01-27
49,SEIC,SEI Investments Company,2009-10-21T00:00:00.000Z,TNS,0.25,0.27,8.0,EST,0,EQUITY,2009-10-21
50,SEIC,SEI Investments Company,2009-07-22T00:00:00.000Z,TNS,0.21,0.22,2.8,EST,0,EQUITY,2009-07-22
51,SEIC,SEI Investments Company,2009-04-23T00:00:00.000Z,TNS,0.22,0.18,-18.92,EST,0,EQUITY,2009-04-23
52,SEIC,SEI Investments Company,2009-01-29T00:00:00.000Z,TNS,0.28,0.25,-9.09,EST,0,EQUITY,2009-01-29
53,SEIC,SEI Investments Company,2008-10-22T00:00:00.000Z,TNS,0.32,0.31,-2.36,EST,0,EQUITY,2008-10-22
54,SEIC,SEI Investments Company,2008-07-23T00:00:00.000Z,TNS,0.33,0.33,0.76,EST,0,EQUITY,2008-07-23
55,SEIC,SEI Investments Company,2008-04-22T00:00:00.000Z,TNS,0.34,0.33,-1.49,EST,0,EQUITY,2008-04-22
56,SEIC,SEI Investments Company,2008-01-31T00:00:00.000Z,TNS,0.35,0.35,0.96,EST,0,EQUITY,2008-01-31
57,SEIC,SEI Investments Company,2007-10-25T00:00:00.000Z,TNS,0.34,0.37,9.63,EST,0,EQUITY,2007-10-25
58,SEIC,SEI Investments Company,2007-07-25T00:00:00.000Z,TNS,0.32,0.34,5.92,EST,0,EQUITY,2007-07-25
59,SEIC,SEI Investments Company,2007-04-25T00:00:00.000Z,TNS,0.31,0.31,-1.06,EST,0,EQUITY,2007-04-25
60,SEIC,SEI Investments Company,2007-02-01T00:00:00.000Z,TNS,0.3,0.31,4.83,EST,0,EQUITY,2007-02-01
61,SEIC,SEI Investments Company,2006-10-18T00:00:00.000Z,TNS,0.29,0.3,4.65,EST,0,EQUITY,2006-10-18
62,SEIC,SEI Investments Company,2006-07-20T00:00:00.000Z,TNS,0.28,0.28,3.64,EST,0,EQUITY,2006-07-20
63,SEIC,SEI Investments Company,2006-05-02T00:00:00.000Z,TNS,0.24,0.27,11.57,EST,0,EQUITY,2006-05-02
64,SEIC,SEI Investments Company,2006-02-01T00:00:00.000Z,TNS,0.24,0.25,6.38,EST,0,EQUITY,2006-02-01
65,SEIC,SEI Investments Company,2005-10-19T00:00:00.000Z,TNS,0.22,0.24,8.39,EST,0,EQUITY,2005-10-19
66,SEIC,SEI Investments Company,2005-07-20T00:00:00.000Z,TNS,0.21,0.22,1.35,EST,0,EQUITY,2005-07-20
67,SEIC,SEI Investments Company,2005-04-27T00:00:00.000Z,TNS,0.21,0.21,0.3,EST,0,EQUITY,2005-04-27
68,SEIC,SEI Investments Company,2005-02-03T00:00:00.000Z,TNS,0.2,0.21,1.23,EST,0,EQUITY,2005-02-03
69,SEIC,SEI Investments Company,2004-10-19T00:00:00.000Z,TNS,0.19,0.22,16.22,EST,0,EQUITY,2004-10-19
70,SEIC,SEI Investments Company,2004-07-15T00:00:00.000Z,TNS,0.18,0.2,8.33,EST,0,EQUITY,2004-07-15
71,SEIC,SEI Investments Company,2004-04-19T00:00:00.000Z,TNS,0.18,0.19,4.01,EST,0,EQUITY,2004-04-19
72,SEIC,SEI Investments Company,2004-01-29T00:00:00.000Z,TNS,0.17,0.18,8.15,EST,0,EQUITY,2004-01-29
73,SEIC,SEI Investments Company,2003-10-16T00:00:00.000Z,TNS,0.17,0.17,-3.65,EST,0,EQUITY,2003-10-16
74,SEIC,SEI Investments Company,2003-07-17T00:00:00.000Z,TNS,0.16,0.16,-1.16,EST,0,EQUITY,2003-07-17
75,SEIC,SEI Investments Company,2003-04-17T00:00:00.000Z,TNS,0.16,0.16,0.0,EST,0,EQUITY,2003-04-17
76,SEIC,SEI Investments Company,2003-01-29T00:00:00.000Z,TNS,0.16,0.16,-0.89,EST,0,EQUITY,2003-01-29
77,SEIC,SEI Investments Company,2002-10-17T00:00:00.000Z,TNS,0.16,0.16,2.76,EST,0,EQUITY,2002-10-17
78,SEIC,SEI Investments Company,2002-07-18T00:00:00.000Z,TNS,0.15,0.16,2.2,EST,0,EQUITY,2002-07-18
79,SEIC,SEI Investments Company,2002-04-17T00:00:00.000Z,TNS,0.15,0.15,0.0,EST,0,EQUITY,2002-04-17
80,SEIC,SEI Investments Company,2002-01-31T00:00:00.000Z,TNS,0.14,0.14,1.17,EST,0,EQUITY,2002-01-31
81,SEIC,SEI Investments Company,2001-10-16T00:00:00.000Z,TNS,0.14,0.14,0.6,EST,0,EQUITY,2001-10-16
82,SEIC,SEI Investments Company,2001-07-19T00:00:00.000Z,TNS,0.13,0.14,2.16,EST,0,EQUITY,2001-07-19
83,SEIC,SEI Investments Company,2001-04-16T00:00:00.000Z,TNS,0.12,0.13,0.5,EST,0,EQUITY,2001-04-16
84,SEIC,SEI Investments Company,2001-01-30T00:00:00.000Z,TNS,0.11,0.13,9.89,EST,0,EQUITY,2001-01-30
85,SEIC,SEI Investments Company,2000-10-16T00:00:00.000Z,TNS,0.1,0.12,16.13,EST,0,EQUITY,2000-10-16
86,SEIC,SEI Investments Company,2000-07-18T00:00:00.000Z,TNS,0.09,0.1,8.11,EST,0,EQUITY,2000-07-18
87,SEIC,SEI Investments Company,2000-04-19T00:00:00.000Z,TNS,0.08,0.09,7.46,EST,0,EQUITY,2000-04-19
88,SEIC,SEI Investments Company,2000-02-04T00:00:00.000Z,TNS,0.08,0.08,-1.03,EST,0,EQUITY,2000-02-04
89,SEIC,SEI Investments Company,1999-10-18T00:00:00.000Z,TNS,0.07,0.08,11.9,EST,0,EQUITY,1999-10-18
90,SEIC,SEI Investments Company,1999-07-19T00:00:00.000Z,TNS,0.06,0.07,15.91,EST,0,EQUITY,1999-07-19
91,SEIC,SEI Investments Company,1999-04-19T00:00:00.000Z,TNS,0.05,0.07,29.44,EST,0,EQUITY,1999-04-19
